metric,model,anthracene_293K_Sharma_S,bulkAg_600K_Kapil,bulkAu_1500K_Kapil,bulkCu_1000K_Kapil,bulkCuAu_500K-Artrith_VASP,bulkCuZrAl_1500K_A.Wadowski-J.Schmidt_VASP,bulkLiMgAlZnSn_600K_J_Schmidt_VASP,bulkLiMgAlZnSn_900K_J_Schmidt_VASP,bulkMoS2_300K_NO-VdW_J.Kioseoglou_VASP,bulkPt3Co_300K_J.Kioseoglou_VASP,CsSnI3_500K_Ivor_VASP,MAPbBr3_300K_Ivor_VASP,naphthalene_295K_Sharma_S,pentacene_295K_Sharma_S,picene_295K_Sharma_S,tetracene_295K_Sharma_S,TiSe2_400K_Ivor_VASP
num atoms,,48.0,108.0,192.0,108.0,128.0,150.0,500.0,500.0,96.0,108.0,135.0,96.0,144.0,72.0,72.0,60.0,108.0
co2_emission (g),CHGNet,1.615473,2.122934,3.100146,3.560545,3.171377,3.273725,5.783475,5.448299,1.484325,1.986995,0.924311,1.492532,2.997837,2.571517,2.416942,1.238173,1.174496
co2_emission (g),DPA4,19.67402,27.134615,48.981626,38.801551,38.55654,43.835411,113.233949,112.534352,22.585419,30.830138,12.839693,20.809754,61.694974,20.557542,29.766743,24.698789,14.279472
co2_emission (g),eSEN,27.759125,36.559908,63.765614,52.354048,51.558587,57.438697,144.630631,143.984975,30.379098,42.058152,14.875486,28.521555,85.56516,42.781986,43.120243,34.541953,19.457179
co2_emission (g),MACE,4.56954,7.771872,13.735584,9.507234,10.231084,11.531894,36.636281,35.864947,6.802673,8.612617,6.850896,6.482764,15.761607,7.148771,7.123442,5.876024,6.067439
co2_emission (g),NequIP,3.302165,4.226577,7.365352,6.201001,5.985924,6.518757,17.526968,17.129965,3.64085,5.072359,1.904123,3.32081,10.350845,4.923103,4.895686,4.089836,2.362899
co2_emission (g),Nequix,3.874664,4.777982,9.102353,7.217013,7.02214,7.859366,14.627913,21.606556,1.432124,5.723738,2.53457,3.945892,8.203657,5.6743,5.590927,4.600379,3.394527
co2_emission (g),ORB,0.336161,0.676791,0.963749,0.445554,0.488517,0.912422,1.468481,1.448557,0.656328,0.626355,0.684624,0.588794,0.861341,0.530105,0.529182,0.502901,0.61501
co2_emission (g),SevenNet,2.621113,1.52659,5.194771,7.115072,7.508245,7.688539,19.354099,13.099431,3.849504,4.546417,2.778923,3.87597,11.995915,6.039323,5.794792,4.990353,2.016533
co2_emission (g/1 ns),CHGNet,161.54729999999998,212.2934,310.0146,356.05449999999996,317.1377,327.3725,578.3475,544.8299,148.43249999999998,198.6995,92.4311,149.2532,299.7837,257.1517,241.69420000000002,123.81729999999999,117.44959999999999
