epoch,lr,trainset_Energy_RMSE,trainset_Force_RMSE,trainset_Stress_RMSE,trainset_TotalLoss,validset_Energy_RMSE,validset_Force_RMSE,validset_Stress_RMSE,validset_TotalLoss
1,0.000100,0.004434,0.122606,15.720522,0.000965,0.002738,0.123924,11.979313,0.000871
2,0.000099,0.004292,0.125080,9.753733,0.000800,0.002542,0.129762,6.606521,0.000737
3,0.000098,0.003214,0.129582,5.026463,0.000675,0.002864,0.129884,2.780270,0.000619
4,0.000097,0.003028,0.125078,2.545594,0.000586,0.002760,0.117351,1.853928,0.000549
5,0.000096,0.003036,0.112129,2.351880,0.000526,0.002650,0.107643,2.101310,0.000509
6,0.000095,0.002990,0.106904,2.387191,0.000503,0.002723,0.104997,1.710734,0.000484
7,0.000094,0.002892,0.104354,2.121290,0.000482,0.002834,0.102023,1.611552,0.000470
8,0.000093,0.002784,0.101790,2.092876,0.000470,0.002659,0.099458,1.543712,0.000453
9,0.000092,0.002647,0.099690,2.022079,0.000457,0.002459,0.097422,1.606787,0.000442
10,0.000091,0.002535,0.098128,1.965042,0.000449,0.002319,0.096108,1.501033,0.000434
11,0.000090,0.002472,0.096842,1.915257,0.000441,0.002240,0.094649,1.506394,0.000426
12,0.000089,0.002393,0.095496,1.910323,0.000434,0.002247,0.093453,1.507662,0.000420
13,0.000088,0.002341,0.094454,1.857330,0.000429,0.002184,0.092542,1.462463,0.000416
14,0.000087,0.002312,0.093519,1.842169,0.000423,0.002157,0.091569,1.486163,0.000410
15,0.000086,0.002311,0.092651,1.846498,0.000419,0.001962,0.090713,1.473783,0.000406
16,0.000085,0.002300,0.091913,1.822726,0.000415,0.002294,0.090028,1.443559,0.000404
17,0.000084,0.002189,0.091072,1.832048,0.000412,0.001876,0.089177,1.541018,0.000399
18,0.000083,0.002168,0.090386,1.807147,0.000408,0.001911,0.088565,1.447050,0.000395
19,0.000082,0.002108,0.089660,1.776340,0.000403,0.002067,0.087892,1.468532,0.000392
20,0.000081,0.002091,0.089032,1.772502,0.000401,0.001939,0.087288,1.451599,0.000389
21,0.000080,0.002064,0.088429,1.774123,0.000399,0.001850,0.086749,1.450540,0.000386
22,0.000079,0.002076,0.087881,1.766439,0.000397,0.001804,0.086233,1.467127,0.000384
23,0.000078,0.002028,0.087313,1.754365,0.000393,0.002076,0.085753,1.448401,0.000382
24,0.000077,0.002027,0.086850,1.748365,0.000390,0.001740,0.085348,1.441502,0.000379
25,0.000076,0.001987,0.086349,1.755300,0.000390,0.001784,0.084943,1.470927,0.000378
26,0.000075,0.001962,0.085924,1.766220,0.000389,0.001868,0.084602,1.418548,0.000375
27,0.000074,0.001958,0.085474,1.737929,0.000384,0.001837,0.084191,1.507230,0.000375
28,0.000073,0.001911,0.085131,1.735368,0.000383,0.001643,0.083814,1.434817,0.000371
29,0.000072,0.001987,0.084690,1.719390,0.000380,0.001745,0.083457,1.455543,0.000370
30,0.000071,0.001946,0.084281,1.723149,0.000379,0.001901,0.083104,1.452137,0.000369
31,0.000070,0.001902,0.083923,1.715215,0.000376,0.001599,0.082802,1.444029,0.000367
32,0.000069,0.001868,0.083598,1.708143,0.000374,0.001773,0.082536,1.471618,0.000366
33,0.000068,0.001882,0.083263,1.706987,0.000373,0.001738,0.082214,1.419688,0.000363
34,0.000067,0.001838,0.082945,1.700893,0.000372,0.001591,0.081932,1.445518,0.000362
35,0.000066,0.001845,0.082631,1.699894,0.000370,0.001659,0.081705,1.436311,0.000361
36,0.000065,0.001912,0.082365,1.697944,0.000369,0.001861,0.081481,1.405374,0.000360
37,0.000064,0.001824,0.082093,1.703312,0.000368,0.001476,0.081273,1.462098,0.000359
38,0.000063,0.001834,0.081787,1.689323,0.000365,0.001689,0.081004,1.417641,0.000357
39,0.000062,0.001792,0.081533,1.685964,0.000365,0.001764,0.080781,1.456547,0.000357
40,0.000061,0.001797,0.081255,1.683832,0.000362,0.001533,0.080534,1.441598,0.000355
41,0.000060,0.001763,0.081001,1.677825,0.000361,0.001610,0.080351,1.439424,0.000354
42,0.000059,0.001767,0.080795,1.703528,0.000362,0.001573,0.080145,1.404601,0.000353
43,0.000058,0.001870,0.080582,1.695045,0.000360,0.001491,0.079979,1.392271,0.000351
44,0.000057,0.001779,0.080379,1.677824,0.000359,0.001803,0.079837,1.465502,0.000353
45,0.000056,0.001767,0.080112,1.674307,0.000357,0.001465,0.079537,1.393898,0.000349
46,0.000055,0.001729,0.079893,1.659589,0.000357,0.001576,0.079312,1.435046,0.000349
47,0.000054,0.001739,0.079702,1.689189,0.000357,0.001680,0.079136,1.457079,0.000349
48,0.000053,0.001711,0.079552,1.675580,0.000354,0.001451,0.079037,1.378419,0.000347
49,0.000052,0.001722,0.079387,1.679776,0.000353,0.001600,0.078953,1.492541,0.000349
50,0.000051,0.001694,0.079189,1.663185,0.000353,0.001507,0.078762,1.369590,0.000346
51,0.000050,0.001706,0.079062,1.656278,0.000351,0.001544,0.078709,1.448994,0.000346
52,0.000049,0.001688,0.078867,1.660958,0.000350,0.001599,0.078461,1.402478,0.000344
53,0.000048,0.001677,0.078650,1.650002,0.000351,0.001503,0.078275,1.401235,0.000343
54,0.000047,0.001661,0.078484,1.651726,0.000350,0.001481,0.078114,1.445280,0.000344
55,0.000046,0.001661,0.078355,1.635569,0.000348,0.001526,0.077992,1.383888,0.000342
56,0.000045,0.001651,0.078193,1.641665,0.000349,0.001478,0.077899,1.444006,0.000342
57,0.000044,0.001660,0.078079,1.637624,0.000347,0.001448,0.077788,1.388266,0.000340
58,0.000043,0.001639,0.077956,1.634564,0.000346,0.001523,0.077686,1.416993,0.000341
59,0.000042,0.001644,0.077803,1.636819,0.000346,0.001533,0.077540,1.395829,0.000340
60,0.000041,0.001627,0.077669,1.630847,0.000346,0.001413,0.077432,1.431872,0.000340
61,0.000040,0.001636,0.077548,1.628311,0.000345,0.001439,0.077320,1.382808,0.000338
62,0.000039,0.001644,0.077447,1.655773,0.000345,0.001583,0.077234,1.435293,0.000339
63,0.000038,0.001610,0.077323,1.614091,0.000344,0.001416,0.077127,1.364813,0.000337
64,0.000037,0.001630,0.077199,1.621731,0.000344,0.001400,0.077033,1.401334,0.000337
65,0.000036,0.001606,0.077162,1.628499,0.000343,0.001514,0.076976,1.461220,0.000338
66,0.000035,0.001614,0.077012,1.634351,0.000342,0.001496,0.076829,1.364863,0.000336
67,0.000034,0.001602,0.076873,1.630002,0.000343,0.001464,0.076720,1.426061,0.000336
68,0.000033,0.001585,0.076782,1.615681,0.000342,0.001371,0.076622,1.384303,0.000335
