r_angstrom,g_r,n_r
0.025,0.0,0.0
0.075,0.0,0.0
0.125,0.0,0.0
0.175,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.325,0.0,0.0
0.375,0.0,0.0
0.425,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.575,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.725,0.0,0.0
0.775,0.0,0.0
0.825,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.975,0.0,0.0
1.025,0.0,0.0
1.075,0.0,0.0
1.125,0.0,0.0
1.175,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.325,0.0,0.0
1.375,0.0,0.0
1.425,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.575,0.0,0.0
1.625,0.0,0.0
1.675,0.0,0.0
1.725,0.0,0.0
1.775,0.0,0.0
1.825,0.0,0.0
1.875,0.0,0.0
1.925,0.0,0.0
1.975,0.0,0.0
2.025,0.0,0.0
2.075,0.0,0.0
2.125,0.0,0.0
2.175,0.0,0.0
2.225,0.003142351206016521,9.999999999999963e-05
2.275,0.009017231217071682,0.0004999999999999982
2.325,0.008633563615281602,0.0011000000000000012
2.375,0.011031828876612462,0.0017999999999999986
2.425,0.026453995007818965,0.0032000000000000062
2.475,0.05333148066115643,0.006299999999999995
2.525,0.07320036438444327,0.011400000000000021
2.575,0.14311663663627755,0.02049999999999999
2.625,0.21221886683614924,0.035999999999999935
2.675,0.24349228379072133,0.05660000000000004
2.725,0.4420426717871222,0.08889999999999992
2.775,0.5515075030825357,0.13730000000000017
2.825,0.61012972837295,0.19589999999999996
2.875,0.7471874381424708,0.2668999999999997
2.925,0.8909618169625148,0.35560000000000014
2.975,1.040548960560078,0.46379999999999977
3.025,1.0540365835510728,0.5850000000000004
3.075,1.202657294797301,0.7201
3.125,1.1883750829779982,0.8677999999999995
3.175,1.307105687005999,1.0271000000000003
3.225,1.3805654998099206,1.2040999999999997
3.275,1.38659629923263,1.3920000000000008
3.325,1.3888284567878184,1.5863
3.375,1.3411541153692972,1.7831999999999992
3.425,1.2956513896899757,1.9791000000000003
3.475,1.30887702113258,2.1783999999999994
3.525,1.3296000636202399,2.3862000000000005
3.575,1.2877997265989811,2.5982
3.625,1.2276582529019058,2.807699999999999
3.675,1.1599240062093046,3.0121
3.725,1.066209912689378,3.2078999999999995
3.775,1.0588942145419566,3.4000000000000004
3.825,1.1260244851606398,3.6028999999999995
3.875,1.053640103608967,3.810499999999999
3.925,1.0400941547301137,4.0152
3.975,0.956988572982749,4.2154
4.025,0.9794519957144399,4.414600000000001
