r_angstrom,g_r,n_r
0.025,0.0,0.0
0.075,0.0,0.0
0.125,0.0,0.0
0.175,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.325,0.0,0.0
0.375,0.0,0.0
0.425,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.575,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.725,0.0,0.0
0.775,0.0,0.0
0.825,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.975,0.0,0.0
1.025,0.0,0.0
1.075,0.0,0.0
1.125,0.0,0.0
1.175,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.325,0.0,0.0
1.375,0.0,0.0
1.425,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.575,0.0,0.0
1.625,0.0,0.0
1.675,0.0,0.0
1.725,0.0,0.0
1.775,0.0,0.0
1.825,0.0,0.0
1.875,0.0,0.0
1.925,0.0,0.0
1.975,0.0,0.0
2.025,0.004311039735984132,0.0002499999999999991
2.075,0.019707753258441145,0.0017000000000000068
2.125,0.08612651869500645,0.008399999999999984
2.175,0.23393106155473273,0.029550000000000094
2.225,0.5763357780125754,0.08554999999999988
2.275,1.0356153428091417,0.20169999999999944
2.325,1.5010627649296424,0.39225000000000043
2.375,1.936838137996165,0.6614999999999995
2.425,2.218528217701181,1.0005000000000013
2.475,2.2573530396729735,1.38055
2.525,2.1954563833182643,1.7740500000000021
2.575,2.0832961972352324,2.1673500000000008
2.625,1.8502447625995022,2.5429999999999993
2.675,1.5781541283026868,2.883000000000001
2.725,1.4141175519256277,3.1912
2.775,1.1487443995275592,3.464800000000001
2.825,0.9790783471567088,3.7004
2.875,0.8217008636774025,3.9069499999999993
2.925,0.7537636150925912,4.0942
2.975,0.646348363861412,4.266299999999999
3.025,0.5436325047860553,4.41755
3.075,0.4591665085222875,4.5493
3.125,0.42250600835831215,4.6690499999999995
3.175,0.3475747922676144,4.77695
3.225,0.2981276330476953,4.87035
3.275,0.2963460614801574,4.959150000000001
3.325,0.2747084011192632,5.0470500000000005
3.375,0.23776246351899682,5.1283
3.425,0.2230348070090681,5.203600000000001
3.475,0.2198833757316051,5.27815
3.525,0.20799898273120934,5.352250000000001
3.575,0.18838967473232215,5.42285
3.625,0.2017935674753286,5.4944
3.675,0.18246525059309496,5.56675
3.725,0.1750516704945996,5.635949999999999
3.775,0.19227812002577702,5.7090499999999995
3.825,0.18800906718494673,5.786699999999999
3.875,0.18554313078659743,5.864999999999998
3.925,0.20632053069337422,5.949349999999999
3.975,0.21973503055299737,6.043399999999998
4.025,0.23875233585374273,6.147199999999999
