t_fs,msd_angstrom2,msd_x,msd_y,msd_z
100,0.270541984,0.077107521,0.073382441,0.120052022
200,0.321359605,0.075612354,0.071811698,0.173935554
300,0.393831607,0.093217651,0.085905893,0.214708063
400,0.422067471,0.092715265,0.084595828,0.244756378
500,0.452517667,0.099570994,0.086086797,0.266859876
600,0.472336082,0.097483161,0.085787567,0.289065354
700,0.496811512,0.102426921,0.091544371,0.30284022
800,0.510400949,0.102594682,0.093724095,0.314082172
900,0.526244876,0.106588457,0.096282844,0.323373576
1000,0.540184114,0.108269504,0.098592106,0.333322503
1100,0.54636133,0.110695238,0.09773041,0.337935682
1200,0.548989239,0.110479377,0.098025799,0.340484063
1300,0.552445258,0.112831004,0.09802951,0.341584744
1400,0.557549571,0.112231922,0.100945515,0.344372134
1500,0.563329161,0.115638445,0.10186874,0.345821976
1600,0.564875473,0.11635632,0.102316034,0.346203119
1700,0.569936708,0.117749298,0.101561387,0.350626023
1800,0.571969706,0.119283051,0.10366286,0.349023794
1900,0.571665703,0.118678024,0.10436097,0.348626709
2000,0.575444456,0.118943382,0.105525916,0.350975158
2100,0.582744603,0.118253864,0.106372012,0.358118727
2200,0.590149817,0.119430186,0.108247249,0.362472382
2300,0.595535357,0.119459687,0.109185897,0.366889773
2400,0.601199861,0.120273347,0.110492376,0.370434139
2500,0.60226702,0.120737805,0.108570045,0.37295917
2600,0.602858606,0.121077112,0.108852263,0.372929231
2700,0.605450336,0.121495063,0.110026299,0.373928974
2800,0.603263709,0.123421288,0.110449839,0.369392581
2900,0.606216742,0.125307706,0.111234216,0.36967482
3000,0.607794994,0.125977399,0.112137957,0.369679639
3100,0.607253564,0.125393568,0.112554479,0.369305518
3200,0.611902416,0.126662167,0.115366343,0.369873905
3300,0.60411337,0.126907287,0.112507238,0.364698845
3400,0.606917753,0.12709997,0.114670216,0.365147567
3500,0.604642259,0.124632751,0.114300346,0.365709161
3600,0.60854384,0.129679425,0.116200436,0.362663979
3700,0.605965718,0.127912439,0.114506207,0.363547072
3800,0.611304425,0.130133725,0.117302396,0.363868304
3900,0.616985323,0.129987183,0.117164059,0.369834081
4000,0.622310638,0.132984564,0.119325435,0.370000639
4100,0.616993319,0.131565087,0.119160532,0.366267699
4200,0.612284714,0.134831832,0.117800423,0.359652459
4300,0.604348193,0.131250094,0.117967524,0.355130574
4400,0.605425543,0.134327087,0.117161739,0.353936716
4500,0.603498774,0.132612243,0.117653406,0.353233125
4600,0.612579979,0.137572713,0.117674038,0.357333228
4700,0.618600197,0.137988961,0.119553607,0.361057629
4800,0.624366816,0.139791983,0.123347997,0.361226837
4900,0.627280054,0.139169719,0.12507309,0.363037244
5000,0.632840106,0.141404032,0.125137984,0.36629809
5100,0.632448592,0.141629843,0.122482244,0.368336505
5200,0.631269974,0.137793244,0.124470073,0.369006657
5300,0.630899989,0.137489256,0.124125727,0.369285006
5400,0.627421798,0.13618033,0.124752857,0.366488611
5500,0.632893919,0.136192991,0.127192221,0.369508707
5600,0.630177533,0.137491564,0.125553452,0.367132517
5700,0.625859315,0.136303841,0.12587642,0.363679054
5800,0.624122239,0.137761171,0.126683099,0.359677969
5900,0.628006265,0.139484258,0.127823283,0.360698723
6000,0.627064353,0.140011383,0.128292378,0.358760592
6100,0.632562275,0.143821563,0.130664637,0.358076075
6200,0.634762821,0.145595552,0.131853423,0.357313845
6300,0.638985893,0.147114738,0.13357582,0.358295335
6400,0.641071786,0.148229317,0.135042414,0.357800055
6500,0.651737217,0.151053231,0.13624226,0.364441726
6600,0.655962322,0.146965222,0.138121873,0.370875227
6700,0.662777373,0.149555045,0.137873755,0.375348573
6800,0.669618142,0.149440484,0.140037053,0.380140605
6900,0.677442896,0.150489726,0.139631751,0.387321419
7000,0.686024762,0.151321739,0.141819646,0.392883377
7100,0.690878721,0.154739562,0.14055635,0.395582809
7200,0.697975096,0.156227829,0.139620699,0.402126568
7300,0.702664895,0.15690872,0.140854208,0.404901967
7400,0.703788232,0.156083099,0.143064063,0.40464107
7500,0.697707624,0.154533788,0.142383176,0.400790661
7600,0.694964278,0.154429193,0.142638323,0.397896762
7700,0.690741132,0.155008269,0.14058359,0.395149273
