r_angstrom,g_r,n_r
0.025,0.0,0.0
0.075,0.0,0.0
0.125,0.0,0.0
0.175,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.325,0.0,0.0
0.375,0.0,0.0
0.425,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.575,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.725,0.0,0.0
0.775,0.0,0.0
0.825,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.975,0.0,0.0
1.025,0.0,0.0
1.075,0.0,0.0
1.125,0.0,0.0
1.175,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.325,0.0,0.0
1.375,0.0,0.0
1.425,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.575,0.0,0.0
1.625,0.0,0.0
1.675,0.0,0.0
1.725,0.0,0.0
1.775,0.0,0.0
1.825,0.0,0.0
1.875,0.0,0.0
1.925,0.0,0.0
1.975,0.0,0.0
2.025,0.0,0.0
2.075,0.0,0.0
2.125,0.0,0.0
2.175,0.0,0.0
2.225,0.0,0.0
2.275,0.0,0.0
2.325,0.0,0.0
2.375,0.0,0.0
2.425,0.0,0.0
2.475,0.0,0.0
2.525,0.0,0.0
2.575,0.0,0.0
2.625,0.0009406864664722931,4.999999999999983e-05
2.675,0.0018116985401095342,0.00020000000000000063
2.725,0.006983296552719149,0.0006999999999999987
2.775,0.032827827564436654,0.0030500000000000115
2.825,0.08284509091326,0.010099999999999987
2.875,0.15997715930002526,0.025399999999999937
2.925,0.27804675750445823,0.05395000000000008
2.975,0.4328296985437825,0.10184999999999991
3.025,0.520643070504058,0.16815000000000027
3.075,0.5758277061272988,0.24689999999999998
3.125,0.631888448947193,0.33649999999999963
3.175,0.602498046401329,0.4309500000000001
3.225,0.5440744318048307,0.5214499999999997
3.275,0.4447937919435215,0.6019000000000002
3.325,0.3652651674176002,0.66985
3.375,0.32948414494179534,0.7299499999999998
3.425,0.31054080561487823,0.787
3.475,0.27858725966527603,0.8410499999999999
3.525,0.2775216705296484,0.8936000000000002
3.575,0.2804636298083005,0.94785
3.625,0.283632069840323,1.0042499999999999
3.675,0.3105225223508028,1.0653500000000002
3.725,0.2924322666244088,1.129
3.775,0.2920146416391479,1.1924000000000003
3.825,0.2684808144504831,1.2548000000000001
3.875,0.28274920840047263,1.31785
3.925,0.25623678811919065,1.3810500000000003
3.975,0.25721529289273987,1.4428500000000002
4.025,0.22565805783617005,1.5024000000000004
