r_angstrom,g_r,n_r
0.025,0.0,0.0
0.075,0.0,0.0
0.125,0.0,0.0
0.175,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.325,0.0,0.0
0.375,0.0,0.0
0.425,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.575,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.725,0.0,0.0
0.775,0.0,0.0
0.825,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.975,0.0,0.0
1.025,0.0,0.0
1.075,0.0,0.0
1.125,0.0,0.0
1.175,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.325,0.0,0.0
1.375,0.0,0.0
1.425,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.575,0.0,0.0
1.625,0.0,0.0
1.675,0.0,0.0
1.725,0.0,0.0
1.775,0.0,0.0
1.825,0.0,0.0
1.875,0.0,0.0
1.925,0.0,0.0
1.975,0.0,0.0
2.025,0.0,0.0
2.075,0.0008211563857683811,5.000000000000027e-05
2.125,0.007046715165955074,0.0005499999999999984
2.175,0.05904330307611465,0.004950000000000021
2.225,0.25138809648132165,0.02649999999999994
2.275,0.7254772388280399,0.09719999999999969
2.325,1.487327550087149,0.26400000000000057
2.375,2.2283040713839375,0.5554499999999996
2.425,2.7686510684319616,0.9634500000000017
2.475,2.941889144263141,1.44855
2.525,2.7355863447610504,1.9500500000000025
2.575,2.4133602735312674,2.423000000000001
2.625,2.011358699220757,2.8452999999999995
2.675,1.6236112916727077,3.2056000000000013
2.725,1.2346150882636877,3.49955
2.775,1.0036591756064128,3.7385000000000015
2.825,0.7996544871574024,3.938050000000001
2.875,0.6501745511658781,4.1043
2.925,0.5401146079638249,4.245650000000001
2.975,0.4434157502386695,4.366500000000001
3.025,0.37787675172762053,4.470900000000002
3.075,0.3230617779831078,4.5630000000000015
3.125,0.28167067223887476,4.645100000000001
3.175,0.264451456478084,4.721700000000001
3.225,0.23761826168795785,4.7943500000000006
3.275,0.22151785685724779,4.862900000000001
3.325,0.23985017559889102,4.934
3.375,0.23434812004809738,5.00925
3.425,0.22152781506981767,5.08375
3.475,0.2198833757316051,5.15805
3.525,0.20657628107094117,5.2319
3.575,0.2254590086737776,5.30895
3.625,0.20932719399440752,5.3886
3.675,0.21204713483559096,5.468000000000001
3.725,0.20945047037345108,5.549600000000001
3.775,0.21287048642853768,5.633600000000001
3.825,0.19936694142362602,5.7177500000000006
3.875,0.20861829172198645,5.8033
3.925,0.22192653301500875,5.895950000000001
3.975,0.22756672716130175,5.995150000000001
4.025,0.2123455418516377,6.0946500000000015
