r_angstrom,g_r,n_r
0.025,0.0,0.0
0.075,0.0,0.0
0.125,0.0,0.0
0.175,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.325,0.0,0.0
0.375,0.0,0.0
0.425,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.575,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.725,0.0,0.0
0.775,0.0,0.0
0.825,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.975,0.0,0.0
1.025,0.0,0.0
1.075,0.0,0.0
1.125,0.0,0.0
1.175,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.325,0.0,0.0
1.375,0.0,0.0
1.425,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.575,0.0,0.0
1.625,0.0,0.0
1.675,0.0,0.0
1.725,0.0,0.0
1.775,0.0,0.0
1.825,0.0,0.0
1.875,0.0,0.0
1.925,0.0,0.0
1.975,0.0,0.0
2.025,0.0,0.0
2.075,0.0,0.0
2.125,0.0,0.0
2.175,0.0,0.0
2.225,0.0,0.0
2.275,0.003005743739023894,9.999999999999963e-05
2.325,0.017267127230563204,0.0008000000000000033
2.375,0.005515914438306231,0.0016000000000000005
2.425,0.021163196006255172,0.002600000000000006
2.475,0.06348985792994813,0.005899999999999994
2.525,0.09272046155362815,0.012200000000000027
2.575,0.14780898537845058,0.022299999999999993
2.625,0.20996121931661574,0.037899999999999934
2.675,0.31958362247532174,0.06190000000000006
2.725,0.42947273799222774,0.09709999999999994
2.775,0.5090838489992637,0.14280000000000018
2.825,0.7075945412120794,0.20429999999999995
2.875,0.6850786586495198,0.2769999999999997
2.925,0.9291458948323369,0.36450000000000016
2.975,0.9807877026900735,0.47139999999999976
3.025,1.1169387667629915,0.5929000000000004
3.075,1.150010190237091,0.7284999999999999
3.125,1.2266069891327862,0.8753999999999994
3.175,1.320994649441718,1.0380000000000003
3.225,1.2564193064358975,1.2075999999999996
3.275,1.354687179375812,1.3850000000000005
3.325,1.4240064825423224,1.5795999999999997
3.375,1.3274967414856995,1.777999999999999
3.425,1.3314575181665667,1.9756
3.475,1.3101652859171593,2.1776999999999993
3.525,1.3033085369384836,2.3835000000000006
3.575,1.2281568281081021,2.5885
3.625,1.2406806644563138,2.794199999999999
3.675,1.1265200378080436,2.9968000000000004
3.725,1.1166614858450268,3.1941999999999995
3.775,1.1058348859082496,3.3951000000000007
3.825,1.0622270639050795,3.5963
3.875,1.0349916061999587,3.796099999999999
3.925,0.9835453463176026,3.9934000000000003
3.975,0.9766796958836286,4.1899999999999995
4.025,0.9890544662606598,4.392200000000001
