r_angstrom,g_r,n_r
0.025,0.0,0.0
0.075,0.0,0.0
0.125,0.0,0.0
0.175,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.325,0.0,0.0
0.375,0.0,0.0
0.425,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.575,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.725,0.0,0.0
0.775,0.0,0.0
0.825,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.975,0.0,0.0
1.025,0.0,0.0
1.075,0.0,0.0
1.125,0.0,0.0
1.175,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.325,0.0,0.0
1.375,0.0,0.0
1.425,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.575,0.0,0.0
1.625,0.0,0.0
1.675,0.0,0.0
1.725,0.0,0.0
1.775,0.0,0.0
1.825,0.0,0.0
1.875,0.0,0.0
1.925,0.0,0.0
1.975,0.0,0.0
2.025,0.0,0.0
2.075,0.0,0.0
2.125,0.0,0.0
2.175,0.0,0.0
2.225,0.0,0.0
2.275,0.0,0.0
2.325,0.0,0.0
2.375,0.0,0.0
2.425,0.0,0.0
2.475,0.0,0.0
2.525,0.0,0.0
2.575,0.0,0.0
2.625,0.0,0.0
2.675,0.0049409960184805465,0.00025000000000000136
2.725,0.015236283387750871,0.0012999999999999976
2.775,0.03673043643573331,0.0041000000000000125
2.825,0.08417415654288446,0.010849999999999988
2.875,0.16083265213050668,0.02499999999999994
2.925,0.26117248066804694,0.05020000000000008
2.975,0.3563304947863903,0.08829999999999993
3.025,0.4172872104967589,0.1376000000000002
3.075,0.43972297558811896,0.194
3.125,0.4648652225639013,0.2554999999999998
3.175,0.4321010535557022,0.3184000000000001
3.225,0.33994028853785097,0.3741999999999999
3.275,0.2867865111098297,0.42095000000000016
3.325,0.2257789652970894,0.46035000000000004
3.375,0.17195875298893504,0.4918499999999999
3.425,0.11091460672883388,0.5149
3.475,0.09779100864761132,0.53245
3.525,0.08422393828787683,0.5482
3.575,0.07303212060107643,0.5621999999999999
3.625,0.07802684609046039,0.5760499999999998
3.675,0.06754093924392897,0.5897499999999999
3.725,0.08255711970924348,0.6042999999999998
3.775,0.09229349761237297,0.6216999999999999
3.825,0.10294583884419962,0.6416499999999998
3.875,0.10313184173163664,0.6632499999999998
3.925,0.11934001775367586,0.6871999999999999
3.975,0.10695859939341419,0.7121499999999998
4.025,0.12701449677045545,0.73865
