r_angstrom,g_r,n_r
0.025,0,0
0.075,0,0
0.125,0,0
0.175,0,0
0.225,0,0
0.275,0,0
0.325,0,0
0.375,0,0
0.425,0,0
0.475,0,0
0.525,0,0
0.575,0,0
0.625,0,0
0.675,0,0
0.725,0,0
0.775,0,0
0.825,0,0
0.875,0,0
0.925,0,0
0.975,0,0
1.025,0,0
1.075,0,0
1.125,0,0
1.175,0,0
1.225,0,0
1.275,0,0
1.325,0,0
1.375,0,0
1.425,0,0
1.475,0,0
1.525,0,0
1.575,0,0
1.625,0,0
1.675,0,0
1.725,0,0
1.775,0,0
1.825,0,0
1.875,0,0
1.925,0,0
1.975,0,0
2.025,0,0
2.075,0,0
2.125,0,0
2.175,0,0
2.225,0,0
2.275,0,0
2.325,0,0
2.375,0,0
2.425,0,0
2.475,0,0
2.525,0,0
2.575,0,0
2.625,0.001026203,5.00E-05
2.675,0.002964598,0.00025
2.725,0.011427213,0.001
2.775,0.042240002,0.0039
2.825,0.087718332,0.01115
2.875,0.171954059,0.02615
2.925,0.242989586,0.0509
2.975,0.343547338,0.0871
3.025,0.412650686,0.1353
3.075,0.447201257,0.1919
3.125,0.434453479,0.2518
3.175,0.41596741,0.31145
3.225,0.375294079,0.3687
3.275,0.313816964,0.4201
3.325,0.226418566,0.4616
3.375,0.207964557,0.49605
3.425,0.125984526,0.52325
3.475,0.078467037,0.5404
3.525,0.078533132,0.554
3.575,0.055880638,0.56595
3.625,0.061883361,0.57675
3.675,0.066493793,0.58885
3.725,0.066249541,0.6017
3.775,0.066987216,0.61495
3.825,0.082163346,0.6302
3.875,0.088062349,0.64805
3.925,0.090423013,0.66725
3.975,0.111433855,0.68955
4.025,0.133998112,0.71735
