r_angstrom,g_r,n_r
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.749999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.249999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.749999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.249999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.074999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.324999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.574999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.824999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.925000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.075000000000000178e+00,5.474375905122540143e-04,3.333333333333351111e-05
2.125000000000000000e+00,6.002757363591359335e-03,4.499999999999987409e-04
2.174999999999999822e+00,4.185348066154962604e-02,3.633333333333348212e-03
2.225000000000000089e+00,1.923499829137385320e-01,1.989999999999995592e-02
2.274999999999999911e+00,5.742792204407773937e-01,7.539999999999975888e-02
2.325000000000000178e+00,1.235515277974768678e+00,2.118833333333337843e-01
2.375000000000000000e+00,1.993041963144057904e+00,4.653166666666662121e-01
2.424999999999999822e+00,2.531967976733217718e+00,8.348666666666680891e-01
2.475000000000000089e+00,2.818949692089696146e+00,1.289633333333333187e+00
2.524999999999999911e+00,2.751298544187004591e+00,1.781900000000002704e+00
2.575000000000000178e+00,2.473258816187037024e+00,2.261883333333333912e+00
2.625000000000000000e+00,2.116886617368648249e+00,2.700083333333332281e+00
2.674999999999999822e+00,1.725889909255255317e+00,3.081016666666668069e+00
2.725000000000000089e+00,1.392215394555735841e+00,3.401866666666666816e+00
2.774999999999999911e+00,1.145377442854283778e+00,3.672800000000001841e+00
2.825000000000000178e+00,9.117390219224011938e-01,3.900433333333333863e+00
2.875000000000000000e+00,7.680899796339001329e-01,4.093116666666666958e+00
2.924999999999999822e+00,6.295138378971384396e-01,4.259066666666667444e+00
2.975000000000000089e+00,5.223783748307209152e-01,4.400616666666667065e+00
3.024999999999999911e+00,4.339014235072780057e-01,4.522150000000000780e+00
3.075000000000000178e+00,3.846329656079747750e-01,4.629733333333335032e+00
3.125000000000000000e+00,3.254780647079028033e-01,4.726116666666666966e+00
3.174999999999999822e+00,2.957834592792009110e-01,4.813233333333333697e+00
3.225000000000000089e+00,2.594877535838929217e-01,4.893566666666667508e+00
3.274999999999999911e+00,2.375603206971080017e-01,4.967766666666667774e+00
3.325000000000000178e+00,2.370785735697482632e-01,5.040866666666667051e+00
3.375000000000000000e+00,2.215184657938085999e-01,5.113616666666666255e+00
3.424999999999999822e+00,2.092709472972472673e-01,5.184016666666667383e+00
3.475000000000000089e+00,1.999738290608339408e-01,5.252883333333334015e+00
3.524999999999999911e+00,1.914007966947471606e-01,5.320666666666666877e+00
3.575000000000000178e+00,1.963199302521359824e-01,5.389783333333333815e+00
3.625000000000000000e+00,1.885200350369513889e-01,5.460300000000000153e+00
3.674999999999999822e+00,1.905806347658150768e-01,5.531733333333334279e+00
3.725000000000000089e+00,1.867727430459119597e-01,5.604783333333334561e+00
3.774999999999999911e+00,1.883912074919226187e-01,5.679400000000001114e+00
3.825000000000000178e+00,1.887340378810326291e-01,5.756416666666667403e+00
3.875000000000000000e+00,1.957464332410211449e-01,5.837033333333334184e+00
3.924999999999999822e+00,2.018835300333016447e-01,5.922583333333334643e+00
3.975000000000000089e+00,2.156327132819807757e-01,6.014750000000000263e+00
4.025000000000000355e+00,2.155463653670443847e-01,6.112316666666668397e+00
