t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.608574384803773556e-14,2.174371793728369021e-14,1.163930063441398551e-14,-1.729727472365994016e-14
1.000000000000000000e+02,5.048699317346596604e-01,1.579248593496807851e-01,1.465143583727639420e-01,2.004307140122148501e-01
2.000000000000000000e+02,6.951152082200707794e-01,2.032540746921010777e-01,1.854167744620154323e-01,3.064443590659542416e-01
3.000000000000000000e+02,8.528280959781959769e-01,2.344051346250418943e-01,2.170908852168808301e-01,4.013320761362731970e-01
4.000000000000000000e+02,9.422084100777818882e-01,2.511715294264443288e-01,2.305103815430130376e-01,4.605264991083245496e-01
5.000000000000000000e+02,1.030988998654071231e+00,2.641457305299905745e-01,2.485469075376979531e-01,5.182963605863827317e-01
6.000000000000000000e+02,1.123174551295420320e+00,2.816999164226457464e-01,2.611778885452010757e-01,5.802967463275734428e-01
7.000000000000000000e+02,1.243440182412234529e+00,3.056150958839216614e-01,2.917157408466520829e-01,6.461093456816607850e-01
8.000000000000000000e+02,1.362293577404887657e+00,3.343254676204658327e-01,3.204662527848126663e-01,7.075018569996093243e-01
9.000000000000000000e+02,1.482401594026862224e+00,3.639855841064996711e-01,3.471005001898251896e-01,7.713155097305374186e-01
1.000000000000000000e+03,1.584207945430816000e+00,3.848165950125824741e-01,3.654348613643694232e-01,8.339564890538639919e-01
1.100000000000000000e+03,1.678918885470797706e+00,4.087819281285470785e-01,3.852249045010084361e-01,8.849120528412421915e-01
1.200000000000000000e+03,1.763578514959720511e+00,4.301030656807899311e-01,4.010084196299267267e-01,9.324670296490038535e-01
1.300000000000000000e+03,1.869458067879468555e+00,4.502377037215253286e-01,4.286584509498362339e-01,9.905619132081069367e-01
1.400000000000000000e+03,1.989755506666419649e+00,4.809363260935762829e-01,4.544998769683472051e-01,1.054319303604496216e+00
1.500000000000000000e+03,2.112348822726737740e+00,5.057055970798425282e-01,4.829404097875588664e-01,1.123702815859336290e+00
1.600000000000000000e+03,2.236261420718379966e+00,5.320003185439741156e-01,5.056620190791989433e-01,1.198599083095207130e+00
1.700000000000000000e+03,2.344590943508316094e+00,5.574305361539704240e-01,5.275346753919565312e-01,1.259625731962388917e+00
1.800000000000000000e+03,2.450305689739100234e+00,5.790563079095774057e-01,5.457391625627601162e-01,1.325510219266762713e+00
1.900000000000000000e+03,2.554241984434959534e+00,6.017407728714461168e-01,5.675573332185696040e-01,1.384943878344943480e+00
2.000000000000000000e+03,2.658198290660306107e+00,6.257499541683160249e-01,5.869761960880168772e-01,1.445472140403972983e+00
2.100000000000000000e+03,2.776766370109957638e+00,6.523776977487129036e-01,6.109200052631558187e-01,1.513468667098088805e+00
2.200000000000000000e+03,2.889719861154225633e+00,6.794666742291323169e-01,6.322883590228471906e-01,1.577964827902246236e+00
2.300000000000000000e+03,3.000267881365092038e+00,7.035674974868474374e-01,6.507317465676974999e-01,1.645968637310546878e+00
2.400000000000000000e+03,3.106222077795017356e+00,7.256413050036448764e-01,6.713008443161738725e-01,1.709279928475198274e+00
2.500000000000000000e+03,3.212595417743616455e+00,7.515298972366334374e-01,6.938189327908302895e-01,1.767246587716152728e+00
2.600000000000000000e+03,3.321211988621619149e+00,7.776637072993569655e-01,7.118652768192423874e-01,1.831683004503019463e+00
2.700000000000000000e+03,3.435672546056650845e+00,8.012298196935386807e-01,7.336547016168474267e-01,1.900788024746264515e+00
2.800000000000000000e+03,3.565684268732996820e+00,8.294752146914765589e-01,7.601899151774449415e-01,1.976019138864075542e+00
