t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,3.250825534687843822e-14,1.293224786517536521e-14,1.282955223539753854e-14,6.746455246305533683e-15
1.000000000000000000e+02,5.113642506043554192e-01,1.569216526610996698e-01,1.557460181111596231e-01,1.986965798320960153e-01
2.000000000000000000e+02,7.164777289285572115e-01,2.035316744951839729e-01,2.033320801173245373e-01,3.096139743160486457e-01
3.000000000000000000e+02,8.759437404584528020e-01,2.372158388501113269e-01,2.377329530731036034e-01,4.009949485352378162e-01
4.000000000000000000e+02,9.735123846368581857e-01,2.586771817230121284e-01,2.544517040822607545e-01,4.603834988315851362e-01
5.000000000000000000e+02,1.075986474838305895e+00,2.792217860606637791e-01,2.755664854205229219e-01,5.211982033571193051e-01
6.000000000000000000e+02,1.170790020599155268e+00,2.976702765383678062e-01,2.920274510995316541e-01,5.810922929612557519e-01
7.000000000000000000e+02,1.291195154725991889e+00,3.259205622059072049e-01,3.232619085421061800e-01,6.420126839779783934e-01
8.000000000000000000e+02,1.410267616056387174e+00,3.559397530252336739e-01,3.548267114278673695e-01,6.995011516032860754e-01
9.000000000000000000e+02,1.522899303985911112e+00,3.814808714375382270e-01,3.828794053040266987e-01,7.585390272443465198e-01
1.000000000000000000e+03,1.622159857009941364e+00,4.059130824983750441e-01,4.035578865692821537e-01,8.126888879422843326e-01
1.100000000000000000e+03,1.716745058975503779e+00,4.293090327551515872e-01,4.245877847176969255e-01,8.628482415026551555e-01
1.200000000000000000e+03,1.806665355980096477e+00,4.499319801758051018e-01,4.447588698374049798e-01,9.119745059668861176e-01
1.300000000000000000e+03,1.910559552256305693e+00,4.709231943764272121e-01,4.731228989344523073e-01,9.665134589454259517e-01
1.400000000000000000e+03,2.022355915338717391e+00,4.982890446890053116e-01,4.987495296344417461e-01,1.025317341015269834e+00
1.500000000000000000e+03,2.133952382564268113e+00,5.219570107879198950e-01,5.256005290805290109e-01,1.086394842695819207e+00
1.600000000000000000e+03,2.245978370152697856e+00,5.468282210910694330e-01,5.515353802496449909e-01,1.147614768811983543e+00
1.700000000000000000e+03,2.347982600157390021e+00,5.715738402785141004e-01,5.741467167571991936e-01,1.202262043121676394e+00
1.800000000000000000e+03,2.443339859925139468e+00,5.919149822697443719e-01,5.957091885150966881e-01,1.255715689140298519e+00
1.900000000000000000e+03,2.548026968360638467e+00,6.148956102858652573e-01,6.210322609987587450e-01,1.312099097076014464e+00
2.000000000000000000e+03,2.647277662155760325e+00,6.356145958057404233e-01,6.435299950405095615e-01,1.368133071309510340e+00
2.100000000000000000e+03,2.751281231240798153e+00,6.582597439862895028e-01,6.685184600711387981e-01,1.424503027183370074e+00
2.200000000000000000e+03,2.853658499572315321e+00,6.822550624882092185e-01,6.932337684460417870e-01,1.478169668638064538e+00
2.300000000000000000e+03,2.953796726046112209e+00,7.048045943776873878e-01,7.168714322645356463e-01,1.532120699403888731e+00
2.400000000000000000e+03,3.049088902050073102e+00,7.264304761610805850e-01,7.382861776110373198e-01,1.584372248277955419e+00
2.500000000000000000e+03,3.150170868634154520e+00,7.516488034586917832e-01,7.618787077425354104e-01,1.636643357432927104e+00
2.600000000000000000e+03,3.253738828731243871e+00,7.760342712664461962e-01,7.832076163778028954e-01,1.694496941086994779e+00
2.700000000000000000e+03,3.356229922639123231e+00,7.961819478548058937e-01,8.056746776991704495e-01,1.754373297085147554e+00
2.800000000000000000e+03,3.459854939497392312e+00,8.195334013645630966e-01,8.294257582200659229e-01,1.810895779912762960e+00
2.900000000000000000e+03,3.565551423996575320e+00,8.484470352814437177e-01,8.530339598262220990e-01,1.864070428888909392e+00
3.000000000000000000e+03,3.664165094704878722e+00,8.731245763479472677e-01,8.741454386163267642e-01,1.916895079740604801e+00
3.100000000000000000e+03,3.763393371220178807e+00,8.966084233245538160e-01,8.967787476465018948e-01,1.970006200249122985e+00
3.200000000000000000e+03,3.860532603965011855e+00,9.206757617993606146e-01,9.191033108722782563e-01,2.020753531293372873e+00
3.300000000000000000e+03,3.961160557105783742e+00,9.428448312025391465e-01,9.426665410931502898e-01,2.075649184810093750e+00
3.400000000000000000e+03,4.059901956048372007e+00,9.660642922294195856e-01,9.662833679248458152e-01,2.127554295894106939e+00
3.500000000000000000e+03,4.153997737753967634e+00,9.898030324725755058e-01,9.886139291468062362e-01,2.175580776134585559e+00
3.600000000000000000e+03,4.250441813239696387e+00,1.012081185379834158e+00,1.012316986572760813e+00,2.226043641287101860e+00
3.700000000000000000e+03,4.343038810027867846e+00,1.035536745632361644e+00,1.036167422788122794e+00,2.271334641607384075e+00
