t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,7.012168623532487700e-14,7.327471962526033167e-15,-2.255973186038317964e-14,8.535394613318202978e-14
1.000000000000000000e+02,7.613089726727206852e-01,2.390214327573004505e-01,2.404382444309667854e-01,2.818492954844534770e-01
2.000000000000000000e+02,1.212527605991552626e+00,3.586641731296674740e-01,3.697794602211879611e-01,4.840839726406970245e-01
3.000000000000000000e+02,1.552573686264296038e+00,4.516278122469888356e-01,4.675612103478747339e-01,6.333846636694324683e-01
4.000000000000000000e+02,1.846277721435930719e+00,5.229909823186342788e-01,5.560151899456562408e-01,7.672715491716401992e-01
5.000000000000000000e+02,2.125265502166012510e+00,5.938880549039670109e-01,6.278417661671904515e-01,9.035356810948549366e-01
6.000000000000000000e+02,2.352880950118660053e+00,6.535720324262010994e-01,6.859128002378093170e-01,1.013396117454649747e+00
7.000000000000000000e+02,2.575327961882729610e+00,7.098589021549794875e-01,7.338216818950628051e-01,1.131647377832687429e+00
8.000000000000000000e+02,2.797800359488679334e+00,7.684866720978169585e-01,7.881789258351870053e-01,1.241134761555675592e+00
9.000000000000000000e+02,3.004128919407130560e+00,8.256138264688418493e-01,8.274067132250184642e-01,1.351108379713269914e+00
1.000000000000000000e+03,3.204775115224862692e+00,8.802938043204608931e-01,8.727397375706686944e-01,1.451741573333733104e+00
1.100000000000000000e+03,3.420098249318505701e+00,9.419824076944778302e-01,9.230426101257347415e-01,1.555073231498293351e+00
1.200000000000000000e+03,3.623958652711767314e+00,1.003370100480179605e+00,9.787486223917122308e-01,1.641839929839875367e+00
1.300000000000000000e+03,3.824239142374490363e+00,1.058148318792112574e+00,1.040564297433169028e+00,1.725526526149209205e+00
1.400000000000000000e+03,4.040013901742295133e+00,1.120801036919658822e+00,1.109855179107066547e+00,1.809357685715569986e+00
1.500000000000000000e+03,4.243784891307088358e+00,1.176927498380320625e+00,1.174849524312296722e+00,1.892007868614470567e+00
1.600000000000000000e+03,4.439682912565986683e+00,1.238392289582392225e+00,1.230100971062137116e+00,1.971189651921457564e+00
1.700000000000000000e+03,4.639307469858972688e+00,1.296829873311779124e+00,1.286050797592464434e+00,2.056426798954729129e+00
1.800000000000000000e+03,4.837567422320269372e+00,1.357012891924966436e+00,1.341077313864480702e+00,2.139477216530822457e+00
1.900000000000000000e+03,5.018461412398481869e+00,1.414011815600192623e+00,1.386276113098965368e+00,2.218173483699323434e+00
2.000000000000000000e+03,5.212515564444959004e+00,1.471080365207557916e+00,1.441979356982990623e+00,2.299455842254410243e+00
2.100000000000000000e+03,5.401337986059905560e+00,1.524122629739614876e+00,1.486880937819031079e+00,2.390334418501259606e+00
2.200000000000000000e+03,5.604668263963350938e+00,1.587947117714877399e+00,1.535218734899535420e+00,2.481502411348938342e+00
2.300000000000000000e+03,5.808062068724511917e+00,1.652910731211247874e+00,1.586854815558938148e+00,2.568296521954326561e+00
2.400000000000000000e+03,6.018395221231486403e+00,1.719651288991562721e+00,1.642051815938398107e+00,2.656692116301524909e+00
2.500000000000000000e+03,6.216111819308706821e+00,1.781098559271574899e+00,1.696959262329291729e+00,2.738053997707840193e+00
2.600000000000000000e+03,6.418436724235888846e+00,1.845114784258397034e+00,1.759000552430541875e+00,2.814321387546949715e+00
2.700000000000000000e+03,6.607531877699497791e+00,1.903529549143768040e+00,1.817213298932250254e+00,2.886789029623479497e+00
2.800000000000000000e+03,6.798709090263649557e+00,1.964156595529647165e+00,1.873069015674658555e+00,2.961483479059343615e+00
2.900000000000000000e+03,6.991518640864559764e+00,2.027315747488362963e+00,1.924695092572397126e+00,3.039507800803799675e+00
3.000000000000000000e+03,7.184184628602404032e+00,2.087451269164675161e+00,1.981820923347142438e+00,3.114912436090585768e+00
3.100000000000000000e+03,7.365310747376457634e+00,2.137290997295740347e+00,2.026683709284223589e+00,3.201336040796493698e+00
3.200000000000000000e+03,7.545789391112763589e+00,2.192603032228478188e+00,2.075080150054726680e+00,3.278106208829558277e+00
3.300000000000000000e+03,7.733443626487643385e+00,2.246681650796892527e+00,2.128881392353188406e+00,3.357880583337563341e+00
3.400000000000000000e+03,7.912218839970397433e+00,2.305243255554657367e+00,2.181217122779099959e+00,3.425758461636640106e+00
3.500000000000000000e+03,8.091702082344655267e+00,2.360666818115014109e+00,2.243083840849012578e+00,3.487951423380629024e+00
3.600000000000000000e+03,8.262524597647699309e+00,2.418327505895134788e+00,2.298574051135386931e+00,3.545623040617178479e+00
3.700000000000000000e+03,8.447320434075590967e+00,2.476010283060745554e+00,2.356707778098276140e+00,3.614602372916569273e+00
3.800000000000000000e+03,8.614680392492358507e+00,2.526332095082019613e+00,2.405775570825883669e+00,3.682572726584454781e+00
3.900000000000000000e+03,8.787779564442230296e+00,2.588163351089426634e+00,2.457704967749666292e+00,3.741911245603137814e+00
4.000000000000000000e+03,8.958562282536639998e+00,2.642690984139039578e+00,2.505686352595687616e+00,3.810184945801911915e+00
4.100000000000000000e+03,9.116970045337140505e+00,2.689751653716465185e+00,2.554637808617416184e+00,3.872580583003258248e+00
4.200000000000000000e+03,9.261838176624534569e+00,2.733510950169396381e+00,2.598810035878145186e+00,3.929517190576993446e+00
4.300000000000000000e+03,9.448066847720834716e+00,2.796589373501212172e+00,2.646412604948078950e+00,4.005064869271542705e+00
4.400000000000000000e+03,9.607958778723133975e+00,2.850221694226795499e+00,2.693033804218520011e+00,4.064703280277819353e+00
4.500000000000000000e+03,9.751623330561720593e+00,2.897735212384479730e+00,2.743532891191847511e+00,4.110355226985392463e+00
4.600000000000000000e+03,9.901410542105132606e+00,2.947918789752557167e+00,2.794626658271233133e+00,4.158865094081342306e+00
4.700000000000000000e+03,1.006468580814546243e+01,3.011973647362991002e+00,2.839238475268730078e+00,4.213473685513742240e+00
4.800000000000000000e+03,1.023059338412353902e+01,3.072016768411157450e+00,2.891054607593436465e+00,4.267522008118945109e+00
4.900000000000000000e+03,1.039371907712662590e+01,3.142897001752163355e+00,2.934254006668549408e+00,4.316568068705914030e+00
5.000000000000000000e+03,1.054484638061105173e+01,3.205382697825311489e+00,2.978082068540605309e+00,4.361381614245134486e+00
5.100000000000000000e+03,1.070881059126721269e+01,3.271186937542357676e+00,3.027011725468563341e+00,4.410611928256292558e+00
5.200000000000000000e+03,1.086258645018377322e+01,3.332392519852349189e+00,3.069873662686147142e+00,4.460320267645276893e+00
5.300000000000000000e+03,1.102528804934504691e+01,3.399882231246068809e+00,3.112789926419132769e+00,4.512615891679844893e+00
5.400000000000000000e+03,1.118919676536041408e+01,3.470187693158353959e+00,3.155545328890847934e+00,4.563463743311212184e+00
5.500000000000000000e+03,1.135359992451968125e+01,3.539032818858460328e+00,3.195667191425341169e+00,4.618899914235880644e+00
5.600000000000000000e+03,1.150943342763566690e+01,3.600066606823836057e+00,3.238082622411488920e+00,4.671284198400340593e+00
5.700000000000000000e+03,1.166633496502280387e+01,3.662250903992370077e+00,3.282224031394001429e+00,4.721860029636432365e+00
5.800000000000000000e+03,1.181955221222509067e+01,3.728588028061790460e+00,3.327927978212017024e+00,4.763036205951283186e+00
5.900000000000000000e+03,1.198771260973819963e+01,3.790553070526280433e+00,3.380604707929009578e+00,4.816554831282908289e+00
6.000000000000000000e+03,1.215385281395643169e+01,3.852483149470702806e+00,3.431211069363504063e+00,4.870158595122225265e+00
6.100000000000000000e+03,1.233606127383175810e+01,3.923643378157783079e+00,3.487379772107897402e+00,4.925038123566077175e+00
6.200000000000000000e+03,1.252189876602066043e+01,3.990461741876281110e+00,3.540608584143456028e+00,4.990828440000923294e+00
6.300000000000000000e+03,1.269533366876759395e+01,4.051065216413457293e+00,3.590487231696426473e+00,5.053781220657709738e+00
6.400000000000000000e+03,1.287212295002267659e+01,4.117480425371477182e+00,3.641625907143871466e+00,5.113016617507327943e+00
6.500000000000000000e+03,1.304760456402447133e+01,4.185680377861805468e+00,3.680923681305733108e+00,5.181000504856932309e+00
6.600000000000000000e+03,1.322175785270052017e+01,4.257113412623096949e+00,3.728451356748265333e+00,5.236193083329157005e+00
6.700000000000000000e+03,1.339870008462473372e+01,4.328250079297271569e+00,3.779689090903889159e+00,5.290760914423573880e+00
6.800000000000000000e+03,1.357671991037737591e+01,4.401495862105727852e+00,3.824345619862251855e+00,5.350878428409396648e+00
6.900000000000000000e+03,1.375645053350762481e+01,4.478670419285894155e+00,3.866694665010415033e+00,5.411085449211316067e+00
7.000000000000000000e+03,1.393966942939407971e+01,4.554462886996370585e+00,3.912885865513987760e+00,5.472320676883721369e+00
7.100000000000000000e+03,1.412936896164376321e+01,4.632578580822430681e+00,3.967486848796717425e+00,5.529303532024615997e+00
7.200000000000000000e+03,1.431183627960193938e+01,4.708188490061670173e+00,4.015755669043889142e+00,5.587892120496379178e+00
7.300000000000000000e+03,1.449324192824717628e+01,4.782537325201746903e+00,4.066734925246747068e+00,5.643969677798682305e+00
7.400000000000000000e+03,1.467372472217362578e+01,4.860600080402879719e+00,4.110136983109071274e+00,5.702987658661674786e+00
7.500000000000000000e+03,1.484942831895505222e+01,4.937524722924216292e+00,4.156962991688748943e+00,5.754940604342086985e+00
7.600000000000000000e+03,1.503292476715450654e+01,5.022029414416519622e+00,4.197123843048626846e+00,5.813771509689360073e+00
7.700000000000000000e+03,1.520066217064867331e+01,5.095022877892146695e+00,4.236138776071356915e+00,5.869500516685169700e+00
7.800000000000000000e+03,1.538491926030702039e+01,5.169046234279241148e+00,4.287738188310415310e+00,5.928134837717363936e+00
7.900000000000000000e+03,1.558293703398374319e+01,5.251589601660278106e+00,4.338271016809281733e+00,5.993076415514183353e+00
8.000000000000000000e+03,1.578427073032785799e+01,5.339843664192895467e+00,4.395499497818168955e+00,6.048927568316793568e+00
8.100000000000000000e+03,1.598569885037917615e+01,5.427818540726329744e+00,4.450599138364156104e+00,6.107281171288690302e+00
8.200000000000000000e+03,1.618235518436014786e+01,5.503985981980478392e+00,4.507494379073587076e+00,6.170874823306083279e+00
8.300000000000000000e+03,1.636921734160225839e+01,5.578920024762328289e+00,4.559967299889892800e+00,6.230330016950039074e+00
8.400000000000000000e+03,1.656247627303874026e+01,5.657191330223724890e+00,4.614630340769349637e+00,6.290654602045665733e+00
8.500000000000000000e+03,1.674834248333660369e+01,5.736875562722728361e+00,4.668591472154693278e+00,6.342875448459182053e+00
8.600000000000000000e+03,1.692271291961460733e+01,5.818367673437549570e+00,4.717090716266642225e+00,6.387254529910413758e+00
8.700000000000000000e+03,1.709317306841413853e+01,5.897414998750607040e+00,4.767275108049174648e+00,6.428482961614356839e+00
8.800000000000000000e+03,1.727476252613909935e+01,5.972619294204593032e+00,4.825506543346876676e+00,6.476636688587629642e+00
8.900000000000000000e+03,1.744585426822967023e+01,6.040618289555529152e+00,4.874271665300101475e+00,6.530964313374039598e+00
9.000000000000000000e+03,1.761621925338987893e+01,6.104213201665547039e+00,4.924847052507765888e+00,6.587158999216566890e+00
9.100000000000000000e+03,1.778768427975011690e+01,6.176482746845449512e+00,4.974904058568498044e+00,6.636297474336169344e+00
9.200000000000000000e+03,1.797177795359449348e+01,6.247518081363958586e+00,5.028515755038850621e+00,6.695744117191682498e+00
9.300000000000000000e+03,1.817278130256514501e+01,6.322505930016935061e+00,5.087466477155884625e+00,6.762808895392325326e+00
9.400000000000000000e+03,1.835696276667122007e+01,6.396868637715949824e+00,5.135427741341909602e+00,6.824666387613360641e+00
9.500000000000000000e+03,1.853453813723366395e+01,6.478173487419542020e+00,5.176263923648032339e+00,6.880100726166088698e+00
9.600000000000000000e+03,1.871804283022832038e+01,6.560170506475829555e+00,5.219348043221453182e+00,6.938524280531038535e+00
9.700000000000000000e+03,1.890928494895769774e+01,6.642198445678031860e+00,5.260204793847593763e+00,7.006881709432070338e+00
9.800000000000000000e+03,1.908243257885085242e+01,6.715373783277845732e+00,5.297045790924275188e+00,7.070013004648731503e+00
9.900000000000000000e+03,1.924836150503255183e+01,6.799905921831303601e+00,5.330288063246788610e+00,7.118167519954459621e+00
1.000000000000000000e+04,1.942912600964911718e+01,6.876638223622791202e+00,5.374025264508345501e+00,7.178462521517980477e+00
1.010000000000000000e+04,1.960606972192143260e+01,6.949232401079120436e+00,5.417962552731021120e+00,7.238874768111290159e+00
1.020000000000000000e+04,1.979295392294376654e+01,7.021951186083612129e+00,5.462329292843412176e+00,7.308673444016743126e+00
1.030000000000000000e+04,1.998532370711087935e+01,7.107236302372735182e+00,5.513733169537034406e+00,7.364354235201107990e+00
1.040000000000000000e+04,2.017093642830555211e+01,7.182091648507485715e+00,5.560809022977641902e+00,7.428035756820426272e+00
1.050000000000000000e+04,2.033190952427543152e+01,7.255843597906216580e+00,5.602889187880342625e+00,7.473176738488872317e+00
1.060000000000000000e+04,2.049453225448946370e+01,7.332202410132448556e+00,5.641189449858970306e+00,7.521140394498045723e+00
1.070000000000000000e+04,2.066389916040835573e+01,7.411312683633137333e+00,5.683550501744392136e+00,7.569035975030824481e+00
1.080000000000000000e+04,2.084682626673529526e+01,7.496457430938309408e+00,5.717654021036852718e+00,7.632714814760132249e+00
1.090000000000000000e+04,2.101861940921169492e+01,7.571052042530283188e+00,5.752113610106453834e+00,7.695453756574958781e+00
1.100000000000000000e+04,2.119045571134003936e+01,7.645056370937055590e+00,5.785477429648944181e+00,7.759921910754039587e+00
1.110000000000000000e+04,2.136300954609281177e+01,7.721612322489605162e+00,5.829929346273273083e+00,7.811467877329931753e+00
1.120000000000000000e+04,2.152949563491633711e+01,7.796981144287038035e+00,5.864679278313588817e+00,7.867835212315711146e+00
1.130000000000000000e+04,2.170882126802265688e+01,7.876725739842806995e+00,5.907740809275066063e+00,7.924354718904782935e+00
1.140000000000000000e+04,2.189273105953658671e+01,7.959445530317959872e+00,5.952089333298457241e+00,7.981196195920167824e+00
1.150000000000000000e+04,2.207905681934892783e+01,8.041852046255147712e+00,6.002232560314729071e+00,8.034972212779049272e+00
