t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,2.081390615416012161e-14,-6.830647159006275457e-15,1.039168751049146459e-14,1.725286580267493327e-14
1.000000000000000000e+02,5.040217315640690421e-01,1.549074643689591357e-01,1.504923112657578499e-01,1.986219559293520287e-01
2.000000000000000000e+02,6.994844296008629891e-01,1.920349668130275078e-01,1.907902236435955190e-01,3.166592391442399901e-01
3.000000000000000000e+02,8.499668276582703630e-01,2.249432950703837975e-01,2.208462516953138000e-01,4.041772808925728211e-01
4.000000000000000000e+02,9.353181023573393649e-01,2.393199681924171318e-01,2.324818704093589705e-01,4.635162637555633180e-01
5.000000000000000000e+02,1.011422090354006320e+00,2.467514864849459921e-01,2.418144643970741581e-01,5.228561394719861699e-01
6.000000000000000000e+02,1.090369688533774362e+00,2.577712769382889957e-01,2.481385229164119743e-01,5.844598886790735026e-01
7.000000000000000000e+02,1.188812626719920384e+00,2.804876909588746026e-01,2.691376117002051704e-01,6.391873240608406670e-01
8.000000000000000000e+02,1.292685889516210995e+00,3.021901018911570258e-01,2.949813824249091776e-01,6.955144052001448474e-01
9.000000000000000000e+02,1.394060675584253950e+00,3.210950208567407982e-01,3.124695664689459140e-01,7.604960882585670712e-01
1.000000000000000000e+03,1.490163407461899236e+00,3.405448226932476508e-01,3.288347410740917742e-01,8.207838436945597005e-01
1.100000000000000000e+03,1.573432259013125778e+00,3.497165941061566308e-01,3.409242236617032185e-01,8.827914412452659843e-01
1.200000000000000000e+03,1.661652846633012715e+00,3.647663784710987178e-01,3.487502796158241103e-01,9.481361885460899419e-01
1.300000000000000000e+03,1.751518265065750368e+00,3.815737861184819724e-01,3.654551236257981839e-01,1.004489355321470212e+00
1.400000000000000000e+03,1.848053838946352112e+00,3.984288212132192086e-01,3.832651973328236594e-01,1.066359820400309300e+00
1.500000000000000000e+03,1.940853900818212630e+00,4.161592540657023664e-01,3.957566876601775752e-01,1.128937959092332743e+00
1.600000000000000000e+03,2.031897952288463927e+00,4.319109432437101548e-01,4.117274576304831291e-01,1.188259551414270643e+00
1.700000000000000000e+03,2.119891987554533230e+00,4.456587683808730382e-01,4.278117771424095328e-01,1.246421442031250937e+00
1.800000000000000000e+03,2.203104766188914265e+00,4.580025442155555848e-01,4.385075392265448402e-01,1.306594682746813785e+00
1.900000000000000000e+03,2.297311767362648638e+00,4.713483456964959184e-01,4.546548015627517314e-01,1.371308620103401044e+00
2.000000000000000000e+03,2.379617082226107350e+00,4.838989744570553198e-01,4.697635851643878757e-01,1.425954522604663932e+00
2.100000000000000000e+03,2.455067420121530120e+00,4.987846798644811064e-01,4.800116870604430597e-01,1.476271053196606120e+00
2.200000000000000000e+03,2.551093753239913831e+00,5.150287581742259979e-01,4.990833796576589765e-01,1.536981615408029134e+00
2.300000000000000000e+03,2.645417260100742851e+00,5.331722204644363527e-01,5.151020022292313039e-01,1.597143037407074972e+00
2.400000000000000000e+03,2.727624296563552431e+00,5.430654501725437067e-01,5.277112123553142631e-01,1.656847634035694572e+00
2.500000000000000000e+03,2.807441155152232692e+00,5.534011607512002717e-01,5.423983771692383327e-01,1.711641617231794088e+00
2.600000000000000000e+03,2.891437039743662396e+00,5.710444053404636344e-01,5.554208916877401148e-01,1.764971742715458758e+00
2.700000000000000000e+03,2.979884004763030614e+00,5.875745215171613856e-01,5.721556979198550996e-01,1.820153785326014129e+00
2.800000000000000000e+03,3.059409415781843222e+00,6.008616320502657704e-01,5.856200057831579819e-01,1.872927777948419692e+00
2.900000000000000000e+03,3.149343636627768284e+00,6.165563848410071657e-01,6.033955221094158272e-01,1.929391729677345513e+00
3.000000000000000000e+03,3.215372908841328758e+00,6.262310793884714455e-01,6.111437446862543199e-01,1.977998084766602771e+00
3.100000000000000000e+03,3.289074484093748918e+00,6.396961631572356533e-01,6.238205839093530214e-01,2.025557737027160243e+00
3.200000000000000000e+03,3.364515811021612901e+00,6.541007039890724961e-01,6.352051624026485710e-01,2.075209944629891723e+00
3.300000000000000000e+03,3.442745165570137988e+00,6.679232866274789071e-01,6.535337849778330988e-01,2.121288093964825983e+00
3.400000000000000000e+03,3.510778421945292216e+00,6.816852734678359171e-01,6.647546034927058756e-01,2.164338544984750534e+00
3.500000000000000000e+03,3.583472130957954693e+00,6.982108462374412294e-01,6.746984676899592248e-01,2.210562817030554239e+00
3.600000000000000000e+03,3.656764884091768142e+00,7.064604773727342080e-01,6.898789329080127208e-01,2.260425473811021213e+00
3.700000000000000000e+03,3.733882453590154693e+00,7.210880231722922584e-01,6.990147947516988092e-01,2.313779635666163514e+00
3.800000000000000000e+03,3.814179492421253759e+00,7.322457240870990924e-01,7.144888196530851943e-01,2.367444948681069583e+00
3.900000000000000000e+03,3.893413802651328304e+00,7.457009942885191034e-01,7.287419911858548094e-01,2.418970817176954391e+00
4.000000000000000000e+03,3.962416831764196790e+00,7.584261072822765515e-01,7.437222745024365533e-01,2.460268449979483574e+00
4.100000000000000000e+03,4.036455096378697149e+00,7.742054855862467999e-01,7.584252878274357901e-01,2.503824322965014115e+00
4.200000000000000000e+03,4.125261277401007121e+00,7.932917382766179193e-01,7.794784022187356554e-01,2.552491136905653324e+00
4.300000000000000000e+03,4.205634833951900298e+00,8.039197365580242893e-01,7.937324245709386217e-01,2.607982672822937609e+00
4.400000000000000000e+03,4.297228459540470169e+00,8.174939572846608993e-01,8.102965152178234209e-01,2.669437987037985405e+00
4.500000000000000000e+03,4.379931597097255214e+00,8.260554006740916666e-01,8.223181458881434480e-01,2.731558050535020321e+00
4.600000000000000000e+03,4.473453431173272321e+00,8.396589325157883810e-01,8.391380164073318770e-01,2.794656482250152063e+00
4.700000000000000000e+03,4.560534320313793799e+00,8.548880174345582228e-01,8.519067093714074446e-01,2.853739593507827799e+00
4.800000000000000000e+03,4.654702374316502578e+00,8.738068920667402262e-01,8.670618329168856553e-01,2.913833649332876696e+00
4.900000000000000000e+03,4.741871469280489748e+00,8.828469080927602297e-01,8.799838027438440236e-01,2.979040758443884940e+00
5.000000000000000000e+03,4.839262285986655421e+00,8.965791252428669811e-01,8.966406561807496178e-01,3.046042504563038822e+00
5.100000000000000000e+03,4.935282108506293675e+00,9.126179222800082647e-01,9.125757029902696882e-01,3.110088483236015833e+00
5.200000000000000000e+03,5.026639614231715569e+00,9.186071932192183542e-01,9.282369529258394092e-01,3.179795468086657806e+00
5.300000000000000000e+03,5.119623852257426222e+00,9.346393559531038786e-01,9.419613425513816418e-01,3.243023153752941035e+00
5.400000000000000000e+03,5.209438273069357805e+00,9.465007608537178152e-01,9.554335473568521531e-01,3.307503964858787615e+00
5.500000000000000000e+03,5.296069971840155155e+00,9.599171699907973476e-01,9.682407159942986175e-01,3.367912085855059079e+00
5.600000000000000000e+03,5.382268746757769229e+00,9.662783458740726861e-01,9.814326978609468899e-01,3.434557703022749653e+00
5.700000000000000000e+03,5.479288080864169075e+00,9.767330680691401756e-01,1.000612935239727941e+00,3.501942077555300958e+00
5.800000000000000000e+03,5.578201876088851208e+00,9.890862620980371833e-01,1.015336758447818344e+00,3.573778855542995014e+00
5.900000000000000000e+03,5.673194739972724499e+00,1.001353500851258627e+00,1.030256735858638306e+00,3.641584503262827788e+00
6.000000000000000000e+03,5.760919578180084599e+00,1.014418055860394796e+00,1.043353086010295971e+00,3.703148436309393166e+00
6.100000000000000000e+03,5.850297071529471538e+00,1.022977133638979463e+00,1.063000182076382805e+00,3.764319755814109492e+00
6.200000000000000000e+03,5.951103145666876593e+00,1.039674312671501344e+00,1.078949389340737586e+00,3.832479443654637663e+00
6.300000000000000000e+03,6.050651540623508851e+00,1.045255532749252092e+00,1.098566612654208852e+00,3.906829395220047907e+00
6.400000000000000000e+03,6.148006873887277735e+00,1.055781055002227520e+00,1.117666427672677987e+00,3.974559391212372450e+00
6.500000000000000000e+03,6.237063596318520808e+00,1.066081425172310526e+00,1.131638508354102512e+00,4.039343662792107992e+00
