t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.052630205222726072e-15,5.792588630981753934e-15,9.915679388683429746e-16,-5.731526364627370640e-15
1.000000000000000000e+02,2.431628590343005714e-01,7.514377813209205392e-02,6.864983304543330334e-02,9.936924785677520022e-02
2.000000000000000000e+02,3.254023737212399792e-01,9.289870965625438015e-02,8.169677811647250987e-02,1.508068859485131030e-01
3.000000000000000000e+02,3.879181000493079345e-01,1.088090617682798411e-01,9.048354632184282820e-02,1.886254919591852652e-01
4.000000000000000000e+02,3.936228356811892759e-01,1.053436037772758765e-01,8.877565110662051506e-02,1.995035807972928843e-01
5.000000000000000000e+02,3.945700263889410642e-01,1.011107667282910294e-01,8.698064137224911785e-02,2.064786182884009169e-01
6.000000000000000000e+02,3.904627745599825728e-01,9.762554597874976980e-02,8.460399361998773016e-02,2.082332349612450728e-01
7.000000000000000000e+02,4.113357612881949898e-01,1.036199526813708915e-01,9.066489576781906756e-02,2.170509128390050169e-01
8.000000000000000000e+02,4.369498119196060237e-01,1.120670915264376788e-01,9.700089007049433887e-02,2.278818303226740061e-01
9.000000000000000000e+02,4.575907189540895925e-01,1.190359400050557542e-01,1.024678878335845977e-01,2.360868911154492267e-01
1.000000000000000000e+03,4.763496128133957175e-01,1.244467304660283880e-01,1.053225959978961040e-01,2.465802863494712116e-01
1.100000000000000000e+03,4.763198203894355443e-01,1.208472800889251325e-01,1.044941177105436630e-01,2.509784225899667764e-01
1.200000000000000000e+03,4.763637515442177284e-01,1.194146808077034966e-01,1.042395477419763017e-01,2.527095229945379162e-01
1.300000000000000000e+03,4.836606696702365760e-01,1.209346785742582558e-01,1.061640576698504174e-01,2.565619334261278750e-01
1.400000000000000000e+03,5.035739607502689452e-01,1.266395984676488840e-01,1.099311157033127512e-01,2.670032465793072407e-01
1.500000000000000000e+03,5.193232441120788634e-01,1.317575485227914789e-01,1.144385406213560830e-01,2.731271549679313293e-01
1.600000000000000000e+03,5.297643720645007770e-01,1.339069289749620084e-01,1.163350975209797716e-01,2.795223455685589831e-01
1.700000000000000000e+03,5.397561452727139830e-01,1.356590749206948998e-01,1.178963838272232001e-01,2.862006865247959664e-01
1.800000000000000000e+03,5.483625387351687142e-01,1.363775077535515357e-01,1.187664699876801733e-01,2.932185609939369497e-01
1.900000000000000000e+03,5.552925778114272681e-01,1.360992756222351441e-01,1.199507342474244870e-01,2.992425679417675677e-01
2.000000000000000000e+03,5.628921850391792603e-01,1.390133505402467162e-01,1.206559575269718493e-01,3.032228769719607087e-01
2.100000000000000000e+03,5.772187095849257155e-01,1.427896476028064909e-01,1.242194766267450123e-01,3.102095853553741844e-01
2.200000000000000000e+03,5.913023354868058856e-01,1.461756603858093140e-01,1.266731547234075661e-01,3.184535203775890055e-01
2.300000000000000000e+03,6.035763310732136233e-01,1.497016109894246938e-01,1.292199787575850356e-01,3.246547413262038662e-01
2.400000000000000000e+03,6.180475620455753161e-01,1.529759633952631204e-01,1.319577334381297207e-01,3.331138652121824473e-01
2.500000000000000000e+03,6.255998812255126884e-01,1.534858112703375299e-01,1.329411694055231408e-01,3.391729005496519900e-01
2.600000000000000000e+03,6.344728395115931674e-01,1.570703135904898406e-01,1.345165712648406231e-01,3.428859546562627036e-01
2.700000000000000000e+03,6.361907653217631076e-01,1.578797313814332692e-01,1.355889735371038629e-01,3.427220604032260032e-01
2.800000000000000000e+03,6.394082349636429630e-01,1.595814805627193966e-01,1.374329833290891811e-01,3.423937710718343297e-01
2.900000000000000000e+03,6.461189882701433573e-01,1.603843911303617920e-01,1.395700421706980443e-01,3.461645549690834933e-01
3.000000000000000000e+03,6.532769693048298132e-01,1.640514027743551762e-01,1.413097307364730437e-01,3.479158357940015933e-01
3.100000000000000000e+03,6.606397085800685964e-01,1.658030730766906768e-01,1.435268265100905771e-01,3.513098089932873425e-01
3.200000000000000000e+03,6.673254460956046241e-01,1.677698129043622699e-01,1.444162750898094760e-01,3.551393581014329337e-01
3.300000000000000000e+03,6.734938406083599283e-01,1.685086785479818494e-01,1.471330063670081567e-01,3.578521556933698666e-01
3.400000000000000000e+03,6.801091050042886721e-01,1.688634478120718541e-01,1.490002313764480779e-01,3.622454258157687401e-01
3.500000000000000000e+03,6.905041211369871146e-01,1.705671284223446160e-01,1.515062848304195298e-01,3.684307078842229410e-01
3.600000000000000000e+03,7.093032361186946133e-01,1.743151025518842046e-01,1.541112182669295838e-01,3.808769152998808805e-01
3.700000000000000000e+03,7.209172022973655558e-01,1.782735923406134904e-01,1.559801665353081901e-01,3.866634434214438754e-01
3.800000000000000000e+03,7.298306226158253196e-01,1.799790736699676819e-01,1.567421552232300397e-01,3.931093937226276536e-01
3.900000000000000000e+03,7.329208334632096866e-01,1.813410432409867934e-01,1.582629289378924553e-01,3.933168612843304102e-01
4.000000000000000000e+03,7.379504168917905282e-01,1.813476051982443049e-01,1.606239167466430862e-01,3.959788949469031927e-01
4.100000000000000000e+03,7.487587504198334187e-01,1.835814545026112077e-01,1.643566114515346843e-01,4.008206844656875267e-01
4.200000000000000000e+03,7.581834999735461711e-01,1.873223429283404073e-01,1.644633026703215539e-01,4.063978543748841821e-01
4.300000000000000000e+03,7.632921599330031448e-01,1.867589296899949125e-01,1.642401318539323252e-01,4.122930983890759071e-01
4.400000000000000000e+03,7.740515049069320863e-01,1.880204924810460754e-01,1.660512466623738359e-01,4.199797657635121473e-01
4.500000000000000000e+03,7.911582599027864315e-01,1.912575985269396317e-01,1.691784152052855927e-01,4.307222461705612626e-01
4.600000000000000000e+03,7.982218088753965102e-01,1.922955274889036059e-01,1.719867096260737638e-01,4.339395717604191960e-01
4.700000000000000000e+03,8.037573561210810125e-01,1.918693637902372240e-01,1.729736358730736279e-01,4.389143564577701606e-01
4.800000000000000000e+03,8.102703371539716759e-01,1.908542670830184473e-01,1.746791687464469001e-01,4.447369013245062730e-01
4.900000000000000000e+03,8.148105588433175450e-01,1.927015524068083074e-01,1.742486424167833114e-01,4.478603640197259539e-01
5.000000000000000000e+03,8.202413291896752945e-01,1.941390152315816686e-01,1.752004590100448289e-01,4.509018549480487970e-01
5.100000000000000000e+03,8.295641394935426849e-01,1.960641850946500953e-01,1.763627731767173357e-01,4.571371812221752817e-01
5.200000000000000000e+03,8.425823596550212624e-01,1.957702359000599579e-01,1.807900541244884252e-01,4.660220696304728238e-01
5.300000000000000000e+03,8.499840706542698410e-01,1.943595075645877246e-01,1.812656945028883193e-01,4.743588685867937693e-01
5.400000000000000000e+03,8.628855064027085575e-01,1.975589558813702351e-01,1.831781652682916706e-01,4.821483852530466518e-01
5.500000000000000000e+03,8.700117305002108559e-01,2.002635821383494386e-01,1.819362323169482765e-01,4.878119160449131408e-01
5.600000000000000000e+03,8.849282421891111472e-01,2.021105146937559049e-01,1.860598931356195473e-01,4.967578343597356394e-01
5.700000000000000000e+03,8.890871939897135867e-01,2.023546741720646247e-01,1.871758903278537833e-01,4.995566294897951787e-01
5.800000000000000000e+03,8.949583376861592887e-01,2.026732424416557987e-01,1.895287807057417784e-01,5.027563145387616839e-01
5.900000000000000000e+03,8.992483272350343393e-01,2.017398241075237519e-01,1.913541371571544913e-01,5.061543659703561238e-01
6.000000000000000000e+03,9.110436254811833390e-01,2.039010616223672356e-01,1.940755036488619745e-01,5.130670602099540734e-01
6.100000000000000000e+03,9.179585085426803515e-01,2.042769448025977819e-01,1.942268635827983092e-01,5.194547001572842326e-01
6.200000000000000000e+03,9.303065313893541521e-01,2.078962339212709343e-01,1.980619508745330437e-01,5.243483465935502297e-01
6.300000000000000000e+03,9.373054118246993971e-01,2.083652817422887438e-01,2.003427861317633452e-01,5.285973439506472804e-01
6.400000000000000000e+03,9.429959168877374287e-01,2.095755906923005285e-01,2.030087025299978920e-01,5.304116236654390359e-01
6.500000000000000000e+03,9.483203172905183553e-01,2.093333217095330878e-01,2.038089169110166021e-01,5.351780786699686931e-01
6.600000000000000000e+03,9.496224179735945903e-01,2.097117825135392799e-01,2.054484995233740174e-01,5.344621359366812374e-01
6.700000000000000000e+03,9.577912447960497122e-01,2.140482847214003892e-01,2.075422443505444969e-01,5.362007157241048816e-01
6.800000000000000000e+03,9.621024581744425097e-01,2.124477203143357862e-01,2.089959516585563615e-01,5.406587862015503898e-01
6.900000000000000000e+03,9.707113731930373524e-01,2.154628342471142377e-01,2.109154242794988865e-01,5.443331146664242004e-01
7.000000000000000000e+03,9.800951760975028515e-01,2.146702859783237716e-01,2.140264423785740999e-01,5.513984477406049800e-01
7.100000000000000000e+03,9.917361663983135234e-01,2.186686274997377555e-01,2.173076077537285100e-01,5.557599311448472301e-01
7.200000000000000000e+03,1.001237758574442971e+00,2.204569540032196018e-01,2.193320981793231428e-01,5.614487063919001431e-01
