t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-3.677613769070831040e-15,1.842692665121603505e-14,3.197442310920450915e-15,-2.530198273120731819e-14
1.000000000000000000e+02,5.317173223466127308e-01,1.528981895016211789e-01,1.603391705629600428e-01,2.184799622820314813e-01
2.000000000000000000e+02,7.501211585940863458e-01,1.904666393975248395e-01,1.999025011637414195e-01,3.597520180328200867e-01
3.000000000000000000e+02,9.203914932520791403e-01,2.216633952611800074e-01,2.241690675722013693e-01,4.745590304186976804e-01
4.000000000000000000e+02,1.025963739415270748e+00,2.324390119805272159e-01,2.363040683280170084e-01,5.572206591067265791e-01
5.000000000000000000e+02,1.143690099764553381e+00,2.451772191211200325e-01,2.489058967279574597e-01,6.496069839154757775e-01
6.000000000000000000e+02,1.264356241853957119e+00,2.603872246556524495e-01,2.610966236374838156e-01,7.428723935608207984e-01
7.000000000000000000e+02,1.413243275118258424e+00,2.846041417940777807e-01,2.847994982436666822e-01,8.438396350805140722e-01
8.000000000000000000e+02,1.560519430820996645e+00,3.095071263602026113e-01,3.051517634235342835e-01,9.458605410372598055e-01
9.000000000000000000e+02,1.690024093875856170e+00,3.255712665337321954e-01,3.196909046529963772e-01,1.044761922689127598e+00
1.000000000000000000e+03,1.802294478653857723e+00,3.376906046905648884e-01,3.258985342871828506e-01,1.138705339676109984e+00
1.100000000000000000e+03,1.917788800195130428e+00,3.524816034101190820e-01,3.359766177651181129e-01,1.229330579019893177e+00
1.200000000000000000e+03,2.031000264111795683e+00,3.680390092117525880e-01,3.463897824997742569e-01,1.316571472400268838e+00
1.300000000000000000e+03,2.152015720467107318e+00,3.848010228436810065e-01,3.605871242162392853e-01,1.406627573407187137e+00
1.400000000000000000e+03,2.258760356390244972e+00,3.969622119806989202e-01,3.705999229902826042e-01,1.491198221419263614e+00
1.500000000000000000e+03,2.359048294275169599e+00,4.132064171538650799e-01,3.817018094849914389e-01,1.564140067636313081e+00
1.600000000000000000e+03,2.456113723725017017e+00,4.277585163276798608e-01,3.897227918539183378e-01,1.638632415543418874e+00
1.700000000000000000e+03,2.549487633370448592e+00,4.410539954804322815e-01,4.006898445746583937e-01,1.707743793315357639e+00
1.800000000000000000e+03,2.644179562475827971e+00,4.488457071313842195e-01,4.096532350143828327e-01,1.785680620330060808e+00
1.900000000000000000e+03,2.732730448243408272e+00,4.521048195468605480e-01,4.174067980802467770e-01,1.863218830616300892e+00
2.000000000000000000e+03,2.825429675589134160e+00,4.631460578617558888e-01,4.245407599613812977e-01,1.937742857765996973e+00
2.100000000000000000e+03,2.913496729024954490e+00,4.755638584660067947e-01,4.319663042804145481e-01,2.005966566278533314e+00
2.200000000000000000e+03,2.996493752084242068e+00,4.838141134372910268e-01,4.382895127420356474e-01,2.074390125904915116e+00
2.300000000000000000e+03,3.075887972117222979e+00,4.918414776685450240e-01,4.422647704861789042e-01,2.141781723962498774e+00
2.400000000000000000e+03,3.167313080545541837e+00,4.968385062511588290e-01,4.563315095436731861e-01,2.214143064750709655e+00
2.500000000000000000e+03,3.250382110301827332e+00,5.082015394311037992e-01,4.609572133777217751e-01,2.281223357493001647e+00
2.600000000000000000e+03,3.339760413772218772e+00,5.177303185735298019e-01,4.745974161330245300e-01,2.347432679065664551e+00
