t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.526417880981512225e-14,-5.700995231450178993e-15,6.931955010003321149e-15,1.403321903126197930e-14
1.000000000000000000e+02,6.143360351201179181e-01,1.877742227719218504e-01,1.864920239042353045e-01,2.400697884439607077e-01
2.000000000000000000e+02,9.145587901687688426e-01,2.664659282229945858e-01,2.653132846326943239e-01,3.827795773130799328e-01
3.000000000000000000e+02,1.153293130459434934e+00,3.221293525291075710e-01,3.262914316497692591e-01,5.048723462805579931e-01
4.000000000000000000e+02,1.340275513394731055e+00,3.647243066938419820e-01,3.701653284097962127e-01,6.053858782910928049e-01
5.000000000000000000e+02,1.503502081530214696e+00,4.038747934435379383e-01,4.110269606044288926e-01,6.886003274822479758e-01
6.000000000000000000e+02,1.645935228393986982e+00,4.370754179860343314e-01,4.440423687844267664e-01,7.648174416235258288e-01
7.000000000000000000e+02,1.782351269198639621e+00,4.694657385903083235e-01,4.798045363265071583e-01,8.330809942818241387e-01
8.000000000000000000e+02,1.921918626068807034e+00,5.068835787511160040e-01,5.154429730014623567e-01,8.995920743162286737e-01
9.000000000000000000e+02,2.067643656456763068e+00,5.485435391929802673e-01,5.545622301170407553e-01,9.645378871467421567e-01
1.000000000000000000e+03,2.210235966293772059e+00,5.832273204882010287e-01,5.982519183104330063e-01,1.028756727495137913e+00
1.100000000000000000e+03,2.354909988656315178e+00,6.259195052668176107e-01,6.376726625286925909e-01,1.091317820860804755e+00
1.200000000000000000e+03,2.481210700445900308e+00,6.613133933840809053e-01,6.747567798118476734e-01,1.145140527249971951e+00
1.300000000000000000e+03,2.613326771000826554e+00,7.053578237482647229e-01,7.147735879043308760e-01,1.193195359348231177e+00
1.400000000000000000e+03,2.732996338243296019e+00,7.447770487295907182e-01,7.506110246662902608e-01,1.237608264847414929e+00
1.500000000000000000e+03,2.851454369217632401e+00,7.818011302422829267e-01,7.876510339294480190e-01,1.282002205045901455e+00
1.600000000000000000e+03,2.977695945489755580e+00,8.194207163639660729e-01,8.253257613276889781e-01,1.332949467798100640e+00
1.700000000000000000e+03,3.093044560544032429e+00,8.549471901239631411e-01,8.569092673930643889e-01,1.381188103027004788e+00
1.800000000000000000e+03,3.224565231526132614e+00,8.949574389819957565e-01,8.912494265878561084e-01,1.438358365956281082e+00
1.900000000000000000e+03,3.356623081564882316e+00,9.334283409734618342e-01,9.211222477442067014e-01,1.502072492847213780e+00
2.000000000000000000e+03,3.487613400946158126e+00,9.700282040928239757e-01,9.510028019079805883e-01,1.566582394945353673e+00
2.100000000000000000e+03,3.617612190109673165e+00,1.008284820466031295e+00,9.842666662247581133e-01,1.625060703418883978e+00
2.200000000000000000e+03,3.744706589245311079e+00,1.041880131581534474e+00,1.019928423156149844e+00,1.682898034507626761e+00
2.300000000000000000e+03,3.896208594095161182e+00,1.089622331770920383e+00,1.058219929460539888e+00,1.748366332863700690e+00
2.400000000000000000e+03,4.037824353460526261e+00,1.128386561358346141e+00,1.103910471228154888e+00,1.805527320874025232e+00
2.500000000000000000e+03,4.177238279253774778e+00,1.168912304506896316e+00,1.141966041723034397e+00,1.866359933023844508e+00
2.600000000000000000e+03,4.317874355464864422e+00,1.213045524123693930e+00,1.178103004541875665e+00,1.926725826799294605e+00
2.700000000000000000e+03,4.467422018865242705e+00,1.257266120492049000e+00,1.221404826327204374e+00,1.988751072045988888e+00
2.800000000000000000e+03,4.618999648521100454e+00,1.299597131917781700e+00,1.262449374430226312e+00,2.056953142173092886e+00
2.900000000000000000e+03,4.763991528316766200e+00,1.338943345098475568e+00,1.308255976041054369e+00,2.116792207177236484e+00
3.000000000000000000e+03,4.908169222957372568e+00,1.383572015251047560e+00,1.349064359236085142e+00,2.175532848470239866e+00
3.100000000000000000e+03,5.042850688006717874e+00,1.423103816052098791e+00,1.390526200931807788e+00,2.229220671022810851e+00
3.200000000000000000e+03,5.174382901407018842e+00,1.458642085598367277e+00,1.432022505580702543e+00,2.283718310227949022e+00
3.300000000000000000e+03,5.321670526996433281e+00,1.500030841675443538e+00,1.477568224632654914e+00,2.344071460688335051e+00
3.400000000000000000e+03,5.466926993994169592e+00,1.542635747920141132e+00,1.517300605323827378e+00,2.406990640750200861e+00
