t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,4.368265008973064417e-15,-4.794313094672968081e-15,2.621514116896150566e-15,6.541063986749880354e-15
1.000000000000000000e+02,6.159509689618657413e-01,1.891683539337084552e-01,1.855433031078888295e-01,2.412393119202684844e-01
2.000000000000000000e+02,8.992566018095379254e-01,2.570482356141435276e-01,2.557995380848551714e-01,3.864088281105392819e-01
3.000000000000000000e+02,1.126732676515887155e+00,3.076632994657077513e-01,3.122858580821639141e-01,5.067835189680155450e-01
4.000000000000000000e+02,1.298741986006272109e+00,3.445519088582105205e-01,3.511564601378130424e-01,6.030336170102486015e-01
5.000000000000000000e+02,1.449220166882611016e+00,3.795382983141041833e-01,3.858351056596003303e-01,6.838467629089063360e-01
6.000000000000000000e+02,1.584950335061250160e+00,4.085462528255184300e-01,4.127101191400361913e-01,7.636939630956954828e-01
7.000000000000000000e+02,1.715283345550776994e+00,4.379294046534901175e-01,4.422456714648179132e-01,8.351082694324688527e-01
8.000000000000000000e+02,1.851539446641125686e+00,4.717208244482584689e-01,4.756942100346661095e-01,9.041244121582009408e-01
9.000000000000000000e+02,1.995491781473749171e+00,5.079622443841556034e-01,5.146186839962866300e-01,9.729108530933071597e-01
1.000000000000000000e+03,2.138399004117141899e+00,5.423606928565151142e-01,5.516360538921197820e-01,1.044402257368507003e+00
1.100000000000000000e+03,2.275055979504913228e+00,5.760024177836639003e-01,5.850524445037850185e-01,1.114001117217464421e+00
1.200000000000000000e+03,2.402872298958292685e+00,6.062743456483277171e-01,6.179172838030588810e-01,1.178680669506906309e+00
1.300000000000000000e+03,2.536411904004688189e+00,6.418395404391493697e-01,6.520697012291530870e-01,1.242502662336385733e+00
1.400000000000000000e+03,2.659945091118312899e+00,6.745160055885289774e-01,6.826308139521785057e-01,1.302798271577605194e+00
1.500000000000000000e+03,2.784420154216604271e+00,7.075881517945634691e-01,7.114016335104834665e-01,1.365430368911557224e+00
1.600000000000000000e+03,2.917910424083403509e+00,7.405097621152679777e-01,7.481334640072189179e-01,1.429267197960916391e+00
1.700000000000000000e+03,3.039682293104245758e+00,7.710786852383889611e-01,7.788041948092757627e-01,1.489799413056581256e+00
1.800000000000000000e+03,3.170763573879418207e+00,8.031161410774405596e-01,8.120545813510219313e-01,1.555592851450956049e+00
1.900000000000000000e+03,3.299314367183917796e+00,8.351519610547154526e-01,8.407343800265115741e-01,1.623428026102690991e+00
2.000000000000000000e+03,3.429628445943004866e+00,8.663180923635875885e-01,8.707287378293916413e-01,1.692581615750025525e+00
2.100000000000000000e+03,3.552904562792450260e+00,8.970346174188458255e-01,8.971609194259274611e-01,1.758709025947676752e+00
2.200000000000000000e+03,3.679342436394291926e+00,9.257946343286468371e-01,9.253752538415208617e-01,1.828172548224124228e+00
2.300000000000000000e+03,3.814586711200909530e+00,9.603379102269512524e-01,9.559127195615068073e-01,1.898336081412451248e+00
2.400000000000000000e+03,3.951552088907499982e+00,9.956915233453743630e-01,9.898123677139007981e-01,1.966048197848224932e+00
2.500000000000000000e+03,4.084797237953472937e+00,1.028259115542242697e+00,1.023417615408611647e+00,2.033120507002618371e+00
2.600000000000000000e+03,4.221462620978491564e+00,1.066726372182318583e+00,1.054373654545440742e+00,2.100362594250731796e+00
2.700000000000000000e+03,4.359044106011986663e+00,1.100409692065165146e+00,1.085473802655740005e+00,2.173160611291082400e+00
2.800000000000000000e+03,4.494226622527542681e+00,1.130506781659957438e+00,1.116177461488830458e+00,2.247542379378755228e+00
2.900000000000000000e+03,4.627152053464840264e+00,1.163563920183524614e+00,1.147243695688409337e+00,2.316344437592906313e+00
3.000000000000000000e+03,4.762647062967424461e+00,1.198738493099817504e+00,1.177712144304618347e+00,2.386196425562987944e+00
3.100000000000000000e+03,4.898562152665642877e+00,1.232044007249738060e+00,1.209896128372520030e+00,2.456622017043384343e+00
3.200000000000000000e+03,5.028246202531033937e+00,1.263209918365663098e+00,1.241894202390176227e+00,2.523142081775195056e+00
3.300000000000000000e+03,5.166301706284943229e+00,1.297299727137826375e+00,1.276419255322494006e+00,2.592582723824621738e+00
3.400000000000000000e+03,5.304275331109590930e+00,1.332508609568016089e+00,1.309035949832718648e+00,2.662730771708856636e+00
3.500000000000000000e+03,5.445171377122644429e+00,1.369014015059574207e+00,1.339718517448574175e+00,2.736438844614495824e+00
3.600000000000000000e+03,5.580265551565491755e+00,1.402200645709711813e+00,1.370321388924501393e+00,2.807743516931278105e+00
3.700000000000000000e+03,5.710805180201110609e+00,1.433760199562192028e+00,1.400762126574131017e+00,2.876282854064788452e+00
3.800000000000000000e+03,5.842020645298066306e+00,1.466557268916315993e+00,1.430087000341126791e+00,2.945376376040623967e+00
3.900000000000000000e+03,5.966417532226866882e+00,1.496605568172241441e+00,1.458360110515291019e+00,3.011451853539334422e+00
4.000000000000000000e+03,6.086612967739821300e+00,1.522650060589346266e+00,1.486718731816028649e+00,3.077244175334445941e+00
4.100000000000000000e+03,6.219918600756725091e+00,1.558969387495129810e+00,1.517724047164063172e+00,3.143225166097531886e+00
4.200000000000000000e+03,6.351167775562070794e+00,1.593084311500800210e+00,1.548486285301857945e+00,3.209597178759413083e+00
4.300000000000000000e+03,6.485893561454193268e+00,1.628241286687483580e+00,1.577527215874596989e+00,3.280125058892112033e+00
4.400000000000000000e+03,6.617756957309585353e+00,1.663331327964261419e+00,1.607811130953023415e+00,3.346614498392300963e+00
4.500000000000000000e+03,6.742150316846797331e+00,1.692439956425964676e+00,1.635638974718701233e+00,3.414071385702131423e+00
4.600000000000000000e+03,6.866684490061587987e+00,1.721778333486972956e+00,1.662302403907636617e+00,3.482603752666978636e+00
4.700000000000000000e+03,6.993507592410002083e+00,1.753644629645332964e+00,1.689540505430831674e+00,3.550322457333837889e+00
4.800000000000000000e+03,7.119409345962736779e+00,1.785023151043341416e+00,1.719071629186450068e+00,3.615314565732945962e+00
4.900000000000000000e+03,7.251984460193496851e+00,1.819398628230014303e+00,1.750474871600480542e+00,3.682110960363002672e+00
5.000000000000000000e+03,7.380317112396929780e+00,1.854813486893807761e+00,1.780149482021264218e+00,3.745354143481856912e+00
5.100000000000000000e+03,7.502300817203491512e+00,1.886471977680850287e+00,1.809544830729370446e+00,3.806284008793269891e+00
5.200000000000000000e+03,7.626388292950236014e+00,1.917468202123743692e+00,1.835139550687777676e+00,3.873780540138715534e+00
5.300000000000000000e+03,7.751021668300943190e+00,1.950116956208042263e+00,1.864855221602644386e+00,3.936049490490257430e+00
5.400000000000000000e+03,7.873278389490583784e+00,1.980541415407963912e+00,1.895060487380793690e+00,3.997676486701827070e+00
5.500000000000000000e+03,7.996137081411260006e+00,2.014419273640034369e+00,1.923675122135482196e+00,4.058042685635743219e+00
5.600000000000000000e+03,8.121170164652918189e+00,2.048286374984107372e+00,1.950690315332693103e+00,4.122193474336117269e+00
5.700000000000000000e+03,8.245645041645119022e+00,2.080970646176874883e+00,1.980869162472275180e+00,4.183805232995969625e+00
5.800000000000000000e+03,8.370402147101943413e+00,2.113652460091013374e+00,2.010116291650295928e+00,4.246633395360633223e+00
5.900000000000000000e+03,8.495610356699915044e+00,2.147922518532858316e+00,2.036440857515824820e+00,4.311246980651231020e+00
6.000000000000000000e+03,8.624619161150578250e+00,2.184317107789496504e+00,2.062034770955220697e+00,4.378267282405862382e+00
6.100000000000000000e+03,8.743619626468607464e+00,2.213075203197999219e+00,2.090984702737424872e+00,4.439559720533183373e+00
6.200000000000000000e+03,8.866767559366744322e+00,2.244253631705768637e+00,2.120709305130078270e+00,4.501804622530896971e+00
6.300000000000000000e+03,8.985818000445439324e+00,2.275875208393327132e+00,2.151368879910060539e+00,4.558573912142051654e+00
6.400000000000000000e+03,9.100202054986379352e+00,2.306300922990882629e+00,2.179004474349763854e+00,4.614896657645733313e+00
6.500000000000000000e+03,9.220887717169830466e+00,2.340714670128763775e+00,2.208537754006609788e+00,4.671635293034456460e+00
6.600000000000000000e+03,9.337645418792675400e+00,2.373299984360038195e+00,2.236436926251158308e+00,4.727908508181479341e+00
6.700000000000000000e+03,9.460886498057982763e+00,2.408351239959952483e+00,2.263555388163664528e+00,4.788979869934365752e+00
6.800000000000000000e+03,9.587335854849728278e+00,2.442855214706298295e+00,2.290268203969481942e+00,4.854212436173948042e+00
6.900000000000000000e+03,9.718851878909445574e+00,2.477055819525003866e+00,2.320356917815451947e+00,4.921439141568989761e+00
7.000000000000000000e+03,9.843676935735444999e+00,2.508619482061487549e+00,2.348242435748461698e+00,4.986815017925494864e+00
7.100000000000000000e+03,9.965191886091099960e+00,2.538749454647366122e+00,2.376462389559911514e+00,5.049980041883821436e+00
7.200000000000000000e+03,1.008538173131415761e+01,2.567423795392506758e+00,2.404273662601184025e+00,5.113684273320465934e+00
7.300000000000000000e+03,1.021108890681371939e+01,2.601394046468288312e+00,2.431876435332951392e+00,5.177818425012481462e+00
7.400000000000000000e+03,1.034077422175957217e+01,2.638009789903431379e+00,2.459012573643707178e+00,5.243751858212434058e+00
7.500000000000000000e+03,1.046250152645762732e+01,2.668215728924045127e+00,2.483500443806788027e+00,5.310785353726794611e+00
7.600000000000000000e+03,1.058769731255388891e+01,2.700513085190503038e+00,2.511099879432327597e+00,5.376084347931057827e+00
7.700000000000000000e+03,1.071228806444057291e+01,2.729749957133758453e+00,2.542198898814845176e+00,5.440339208491970169e+00
7.800000000000000000e+03,1.084007885169867258e+01,2.761431684469616510e+00,2.568785413538789086e+00,5.509861753690269204e+00
7.900000000000000000e+03,1.095986257191067814e+01,2.794209491992443173e+00,2.590021325235251748e+00,5.575631754682984109e+00
8.000000000000000000e+03,1.108081412959194445e+01,2.826331587331546658e+00,2.610815895855819413e+00,5.643666646404579268e+00
8.100000000000000000e+03,1.120231036801066971e+01,2.858821557343782072e+00,2.635790497408875499e+00,5.707698313258011247e+00
8.200000000000000000e+03,1.131984743621761247e+01,2.889206160995998030e+00,2.660264576526230940e+00,5.770376698695383944e+00
8.300000000000000000e+03,1.144103272141940941e+01,2.922057236664354463e+00,2.686457914471894970e+00,5.832517570283161312e+00
8.400000000000000000e+03,1.156103550521777912e+01,2.956384020184758210e+00,2.712956222759417724e+00,5.891695262273604961e+00
8.500000000000000000e+03,1.168151214950484906e+01,2.988288885629034386e+00,2.738260033306264329e+00,5.954963230569550348e+00
8.600000000000000000e+03,1.179312774379956075e+01,3.019159239238943471e+00,2.761717073340474116e+00,6.012251431220145825e+00
8.700000000000000000e+03,1.191111119354736125e+01,3.051926270010143938e+00,2.787386334762335327e+00,6.071798588774881544e+00
8.800000000000000000e+03,1.202301508859305379e+01,3.082610321496216610e+00,2.810164431256282125e+00,6.130240335840554167e+00
8.900000000000000000e+03,1.214093547963435249e+01,3.116511179269867871e+00,2.835320728192930684e+00,6.189103572171553935e+00
9.000000000000000000e+03,1.225771103448480481e+01,3.149808647919857041e+00,2.861410177100734753e+00,6.246492209464212131e+00
9.100000000000000000e+03,1.237120442093875461e+01,3.180269471949314752e+00,2.888236432093526762e+00,6.302698516895913095e+00
9.200000000000000000e+03,1.248888650480244245e+01,3.211140243606743550e+00,2.914272819461876107e+00,6.363473441733822789e+00
