t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,2.176175906143385153e-14,5.684341886080801803e-15,-3.329281295094688254e-15,1.940669847044773759e-14
1.000000000000000000e+02,5.372211753144390256e-01,1.677604858362896356e-01,1.564046233791746010e-01,2.130560660989747335e-01
2.000000000000000000e+02,7.613819523973754944e-01,2.165181736038330751e-01,2.101282943759266997e-01,3.347354844176156918e-01
3.000000000000000000e+02,9.470618690002432505e-01,2.598570910315201044e-01,2.532142887783437324e-01,4.339904891903794137e-01
4.000000000000000000e+02,1.058351289225281100e+00,2.828406430400229321e-01,2.764196313721894449e-01,4.990910148130688340e-01
5.000000000000000000e+02,1.166030231331179667e+00,3.054792381723718253e-01,2.984545326511329755e-01,5.620964605076747000e-01
6.000000000000000000e+02,1.257399066573356983e+00,3.222806673198466698e-01,3.151601625199090817e-01,6.199582367336012867e-01
7.000000000000000000e+02,1.369660564938726566e+00,3.534901499713521411e-01,3.429416910978685951e-01,6.732287238695058296e-01
8.000000000000000000e+02,1.488098219786882392e+00,3.854418515291603287e-01,3.729781294482129583e-01,7.296782388095092164e-01
9.000000000000000000e+02,1.605989149475883782e+00,4.143379624280905671e-01,3.996519262621728852e-01,7.919992607856203293e-01
1.000000000000000000e+03,1.718313910835574276e+00,4.393019327533316809e-01,4.239653458354666893e-01,8.550466322467759062e-01
1.100000000000000000e+03,1.825968730903116510e+00,4.618085798515815799e-01,4.462188187122214100e-01,9.179413323393135204e-01
1.200000000000000000e+03,1.940978121005650259e+00,4.869777603802736832e-01,4.699545058551729548e-01,9.840458547702034542e-01
1.300000000000000000e+03,2.058429656735845104e+00,5.150447621022606892e-01,4.945609242210783352e-01,1.048823970412505968e+00
1.400000000000000000e+03,2.191549770722590829e+00,5.412717354942832015e-01,5.268346806733293919e-01,1.123443354554978457e+00
1.500000000000000000e+03,2.305843895749698724e+00,5.625737335046683274e-01,5.514689238569687735e-01,1.191801238388061845e+00
1.600000000000000000e+03,2.428019293838858061e+00,5.888913595537990098e-01,5.788028097041112430e-01,1.260325124580947698e+00
1.700000000000000000e+03,2.535962079596968621e+00,6.148471570482212378e-01,6.007133126250517874e-01,1.320401609923695263e+00
1.800000000000000000e+03,2.651798617252786983e+00,6.428729192211571908e-01,6.252819528181968733e-01,1.383643745213432696e+00
1.900000000000000000e+03,2.757544699831321111e+00,6.646010795295712592e-01,6.428660757672470805e-01,1.450077544534502882e+00
2.000000000000000000e+03,2.875834765172454954e+00,6.895976409984079236e-01,6.653994644324325858e-01,1.520837659741614445e+00
2.100000000000000000e+03,2.984121475826812198e+00,7.158412752351390740e-01,6.871838982041890143e-01,1.581096302387483998e+00
2.200000000000000000e+03,3.088018110948442363e+00,7.403957270904352184e-01,7.070243473620398955e-01,1.640598036495967360e+00
2.300000000000000000e+03,3.182798494955571211e+00,7.647818336018665786e-01,7.245339273700326377e-01,1.693482733983671995e+00
2.400000000000000000e+03,3.291831367173635670e+00,7.917598203271952739e-01,7.443743154026364328e-01,1.755697231443804185e+00
2.500000000000000000e+03,3.378094128484438574e+00,8.130569206494631107e-01,7.567748457904042159e-01,1.808262362044571248e+00
2.600000000000000000e+03,3.473443505303786871e+00,8.367600280974766269e-01,7.731850769895550757e-01,1.863498400216754947e+00
2.700000000000000000e+03,3.560736560857003852e+00,8.554654079687576962e-01,7.916292274234189019e-01,1.913641925464827365e+00
2.800000000000000000e+03,3.660773430506607973e+00,8.737829811186310636e-01,8.101418758171948786e-01,1.976848573570781920e+00
2.900000000000000000e+03,3.758146118483406184e+00,8.969861335414190950e-01,8.302587718447798082e-01,2.030901213097207503e+00
3.000000000000000000e+03,3.836586280490330125e+00,9.136412729530839494e-01,8.396821578731202829e-01,2.083262849664125671e+00
3.100000000000000000e+03,3.919768509685730429e+00,9.253767599694328050e-01,8.553120392231587932e-01,2.139079710493138720e+00
3.200000000000000000e+03,4.008054102341966463e+00,9.426842251504279346e-01,8.714009491197043378e-01,2.193968928071833968e+00
3.300000000000000000e+03,4.094583192820999251e+00,9.585223578084773877e-01,8.888981672725581040e-01,2.247162667739963648e+00
3.400000000000000000e+03,4.177707855314031882e+00,9.706353865321186714e-01,9.026450226832911650e-01,2.304427446098622045e+00
3.500000000000000000e+03,4.269409299462117779e+00,9.839075693473260387e-01,9.170414574756666770e-01,2.368460272639125286e+00
3.600000000000000000e+03,4.359722189062520847e+00,1.000893877908094698e+00,9.302302057023481563e-01,2.428598105452078215e+00
3.700000000000000000e+03,4.447655778261863091e+00,1.013800534118691976e+00,9.436746923050689517e-01,2.490180551838102385e+00
3.800000000000000000e+03,4.540462528633646855e+00,1.030093399815967148e+00,9.577672675165651572e-01,2.552601861301114994e+00
3.900000000000000000e+03,4.634392007222325915e+00,1.043227373810562186e+00,9.730017758444386988e-01,2.618162857567324586e+00
4.000000000000000000e+03,4.725902379089712113e+00,1.061027447250814548e+00,9.866620608920193547e-01,2.678212870946878432e+00
4.100000000000000000e+03,4.809655646345248670e+00,1.073454927840326700e+00,9.969414272934147281e-01,2.739259291211507019e+00
4.200000000000000000e+03,4.897600885183022612e+00,1.086262097088538825e+00,1.010009753297941293e+00,2.801329034796542494e+00
4.300000000000000000e+03,4.990535757094205493e+00,1.102330264043692498e+00,1.023552232799655570e+00,2.864653260250856981e+00
4.400000000000000000e+03,5.081709091795330480e+00,1.116956649236433119e+00,1.038779357930808001e+00,2.925973084628088916e+00
4.500000000000000000e+03,5.170034571952069058e+00,1.134701644971645162e+00,1.048736767729377961e+00,2.986596159251045268e+00
4.600000000000000000e+03,5.258330794067131997e+00,1.146860423564966869e+00,1.057958095519079489e+00,3.053512274983085639e+00
4.700000000000000000e+03,5.360242189577595795e+00,1.162885651605802151e+00,1.067565930479317249e+00,3.129790607492477061e+00
