t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,8.074096946586450940e-14,1.350239364761307633e-14,1.513372760442166470e-15,6.572520305780926719e-14
1.000000000000000000e+02,2.432301630603445064e-01,7.556954417418673686e-02,7.452026397947542069e-02,9.314035490668234885e-02
2.000000000000000000e+02,3.214404411037081744e-01,8.819380669110009341e-02,9.096631073019495473e-02,1.422803236824130846e-01
3.000000000000000000e+02,3.827496509207112263e-01,1.009806822145569161e-01,1.053453464256735445e-01,1.764236222804807519e-01
4.000000000000000000e+02,3.834302469083255560e-01,9.917078468221768306e-02,1.047254915092429017e-01,1.795339707168649712e-01
5.000000000000000000e+02,3.905414641407468634e-01,1.028352669919605084e-01,1.028742433496835085e-01,1.848319537991028605e-01
6.000000000000000000e+02,3.765385453353553569e-01,9.611943161286491677e-02,9.631011876274765682e-02,1.841089949597427555e-01
7.000000000000000000e+02,3.838258266082728021e-01,9.972735878840022217e-02,9.798552741899532736e-02,1.861129404008772803e-01
8.000000000000000000e+02,3.918128595583423301e-01,1.003941536820387864e-01,1.036508090033116114e-01,1.877678968729919462e-01
9.000000000000000000e+02,4.072599761843245236e-01,1.049875611345541387e-01,1.066848484964012800e-01,1.955875665533691188e-01
1.000000000000000000e+03,4.244946137880742931e-01,1.063918842223168654e-01,1.104669268031475970e-01,2.076358027626098168e-01
1.100000000000000000e+03,4.350740497266096241e-01,1.071322744681841160e-01,1.098611714463375161e-01,2.180806038120879919e-01
1.200000000000000000e+03,4.425527693233223259e-01,1.080704708599915520e-01,1.097464918622901298e-01,2.247358066010406163e-01
1.300000000000000000e+03,4.468523659847671303e-01,1.075096423977998372e-01,1.099039593170516166e-01,2.294387642699156626e-01
1.400000000000000000e+03,4.514809548261780048e-01,1.097676548831961474e-01,1.107940078613495194e-01,2.309192920816323102e-01
1.500000000000000000e+03,4.561660274971487961e-01,1.095746494387841441e-01,1.131508847178984423e-01,2.334404933404662097e-01
1.600000000000000000e+03,4.680393364439154880e-01,1.134561455898300125e-01,1.138760204131792769e-01,2.407071704409062263e-01
1.700000000000000000e+03,4.803784415283500753e-01,1.143129717744324897e-01,1.166337513815426108e-01,2.494317183723749609e-01
1.800000000000000000e+03,4.924070886518680523e-01,1.148116293283707040e-01,1.187591270842598828e-01,2.588363322392374655e-01
1.900000000000000000e+03,4.997018531146755760e-01,1.162401692452444263e-01,1.194857613427912774e-01,2.639759225266398723e-01
2.000000000000000000e+03,5.102482388777305200e-01,1.185264929087955083e-01,1.214465747561634529e-01,2.702751712127716144e-01
2.100000000000000000e+03,5.184583416646348919e-01,1.198721817794674155e-01,1.235913789946767177e-01,2.749947808904907864e-01
2.200000000000000000e+03,5.286313146797199103e-01,1.222314652510493316e-01,1.261511673066559869e-01,2.802486821220146473e-01
2.300000000000000000e+03,5.338714633590592173e-01,1.222829875456535875e-01,1.238864346308169162e-01,2.877020411825887414e-01
2.400000000000000000e+03,5.384158504589326988e-01,1.207061232357525549e-01,1.249349955724333994e-01,2.927747316507467445e-01
2.500000000000000000e+03,5.463693801407177864e-01,1.205054114446321434e-01,1.266206155498619812e-01,2.992433531462236340e-01
2.600000000000000000e+03,5.605439124979270105e-01,1.257661101436038376e-01,1.294132108089583455e-01,3.053645915453648829e-01
2.700000000000000000e+03,5.752616475471592494e-01,1.288913574686036401e-01,1.317010267723764394e-01,3.146692633061791144e-01
2.800000000000000000e+03,5.917087564334271299e-01,1.319625103780455166e-01,1.351608270770155718e-01,3.245854189783660138e-01
2.900000000000000000e+03,5.964551135045339514e-01,1.295056328593323369e-01,1.359481741432747304e-01,3.310013065019268841e-01
3.000000000000000000e+03,6.090696983488809169e-01,1.296806641547768868e-01,1.362639423324241705e-01,3.431250918616798318e-01
3.100000000000000000e+03,6.153017203064012897e-01,1.303702990202536549e-01,1.321785635934622227e-01,3.527528576926853843e-01
3.200000000000000000e+03,6.311843037992692640e-01,1.338520505209722100e-01,1.362554028520188698e-01,3.610768504262781287e-01
3.300000000000000000e+03,6.393419676366918214e-01,1.334946582594820352e-01,1.372284920521273377e-01,3.686188173250823930e-01
3.400000000000000000e+03,6.520175599183742898e-01,1.358224754402352352e-01,1.405255325245863829e-01,3.756695519535526717e-01
3.500000000000000000e+03,6.620936804720628510e-01,1.358203938038172465e-01,1.416913359384552040e-01,3.845819507297904005e-01
3.600000000000000000e+03,6.765083398350399957e-01,1.369133003012473204e-01,1.447046789861495819e-01,3.948903605476430934e-01
3.700000000000000000e+03,6.853763833099324465e-01,1.379699783413242675e-01,1.453409625245480619e-01,4.020654424440600616e-01
3.800000000000000000e+03,6.971314669323479540e-01,1.432686359277060006e-01,1.451161854684517305e-01,4.087466455361902229e-01
