t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,3.318595398482670665e-14,1.460498388894393555e-14,2.133432319695316374e-14,-2.753353101070388299e-15
1.000000000000000000e+02,5.127109534965748061e-01,1.584298061209392094e-01,1.511262783240443774e-01,2.031548690515912470e-01
2.000000000000000000e+02,7.267846177439201139e-01,2.016769414788546211e-01,1.957188371856891929e-01,3.293888390793763277e-01
3.000000000000000000e+02,9.190717456277283093e-01,2.414244715990945811e-01,2.334032611024902393e-01,4.442440129261434612e-01
4.000000000000000000e+02,1.046145366098679474e+00,2.596121029703534200e-01,2.545112005245280251e-01,5.320220626037981404e-01
5.000000000000000000e+02,1.176850345208390713e+00,2.798216530605273644e-01,2.783194293501628502e-01,6.187092627977003323e-01
6.000000000000000000e+02,1.292485410304879956e+00,2.973762456360343753e-01,2.979944529457110858e-01,6.971147117231345502e-01
7.000000000000000000e+02,1.425993114867783795e+00,3.217381652642529177e-01,3.289930606082291931e-01,7.752618889953017955e-01
8.000000000000000000e+02,1.565102255427231359e+00,3.467000400870997590e-01,3.593709093389925724e-01,8.590313060011389723e-01
9.000000000000000000e+02,1.694088117998350462e+00,3.692552294741973662e-01,3.844803775480781782e-01,9.403525109760749734e-01
1.000000000000000000e+03,1.799206473066044865e+00,3.904602036170354284e-01,4.034500791658507945e-01,1.005296190283158531e+00
1.100000000000000000e+03,1.909839032990300556e+00,4.133238506668324708e-01,4.229062456603090436e-01,1.073608936663159152e+00
1.200000000000000000e+03,2.020607826041167954e+00,4.372987083489158211e-01,4.446442045229911377e-01,1.138664913169260773e+00
1.300000000000000000e+03,2.134673198014686246e+00,4.563998592703049084e-01,4.681455739345175004e-01,1.210127764809863837e+00
1.400000000000000000e+03,2.250391060586212078e+00,4.752346572923519252e-01,4.908681787923419582e-01,1.284288224501518361e+00
1.500000000000000000e+03,2.365162602617995269e+00,4.938377242293108260e-01,5.108630910115663504e-01,1.360461787377118092e+00
1.600000000000000000e+03,2.474036136510789241e+00,5.112870465080889826e-01,5.286418523854118368e-01,1.434107237617288755e+00
1.700000000000000000e+03,2.581684544430833839e+00,5.300364875759157046e-01,5.462065809540772587e-01,1.505441475900840764e+00
1.800000000000000000e+03,2.693071812114438579e+00,5.493852695948183706e-01,5.660961169165271700e-01,1.577590425603093038e+00
1.900000000000000000e+03,2.799193736534585142e+00,5.649091653132726210e-01,5.849227081450830701e-01,1.649361863076229229e+00
2.000000000000000000e+03,2.899042491157527657e+00,5.766804312403426280e-01,6.055267354727544848e-01,1.716835324444430544e+00
2.100000000000000000e+03,3.004403337147424580e+00,5.921757573731371016e-01,6.247415973084295970e-01,1.787485982465857770e+00
2.200000000000000000e+03,3.127048021105484299e+00,6.125761690183448849e-01,6.484890018770628206e-01,1.865982850210076593e+00
2.300000000000000000e+03,3.230837022645666856e+00,6.329052020366531250e-01,6.660354162926153121e-01,1.931896404316398641e+00
2.400000000000000000e+03,3.337535700637369374e+00,6.526499137691182950e-01,6.823523782577489705e-01,2.002533408610501997e+00
2.500000000000000000e+03,3.426915911513396473e+00,6.694252774860318667e-01,6.950666135476384344e-01,2.062424020479726394e+00
2.600000000000000000e+03,3.534174446244581880e+00,6.896952672253775507e-01,7.202975469282018040e-01,2.124181632091002747e+00
2.700000000000000000e+03,3.628960988375016683e+00,7.063854045488568989e-01,7.412377497969532270e-01,2.181337834029206668e+00
2.800000000000000000e+03,3.724279586395596642e+00,7.216961594289622584e-01,7.663685932955520697e-01,2.236214833671082314e+00
2.900000000000000000e+03,3.821198133709632128e+00,7.422469372577985558e-01,7.841734299203724223e-01,2.294777766531461261e+00
3.000000000000000000e+03,3.915167143673297545e+00,7.598143025492176683e-01,8.024946501041704261e-01,2.352858191019909562e+00
3.100000000000000000e+03,4.008371477763279955e+00,7.773216225058957596e-01,8.252802060994207656e-01,2.405769649157963208e+00
3.200000000000000000e+03,4.107530766405066203e+00,7.946106287515974920e-01,8.487472020190957034e-01,2.464172935634372674e+00
3.300000000000000000e+03,4.202773403570713384e+00,8.135981275133901125e-01,8.724992647837883641e-01,2.516676011273534908e+00
3.400000000000000000e+03,4.306562365175079066e+00,8.331345811851516014e-01,8.944704068980758871e-01,2.578957377091851910e+00
3.500000000000000000e+03,4.405286620735777703e+00,8.511159394703892156e-01,9.203642593692231699e-01,2.633806421896164984e+00
3.600000000000000000e+03,4.507575451666214761e+00,8.718109384698810027e-01,9.401048812053472981e-01,2.695659631990986238e+00
3.700000000000000000e+03,4.595226260620960623e+00,8.898345656430937112e-01,9.514827585741244542e-01,2.753908936403742569e+00
3.800000000000000000e+03,4.693190151745985972e+00,9.081648361836665018e-01,9.737085119645563225e-01,2.811316803597763148e+00
3.900000000000000000e+03,4.804229624742472282e+00,9.318262397873660063e-01,9.984410674650792128e-01,2.873962317490027285e+00
4.000000000000000000e+03,4.911649716201562654e+00,9.537428182898999296e-01,1.019586114930028264e+00,2.938320782981634238e+00
4.100000000000000000e+03,5.008346916779380820e+00,9.688930934579712551e-01,1.036978365510313305e+00,3.002475457811096593e+00
4.200000000000000000e+03,5.120377198797104512e+00,9.905379483506161487e-01,1.056639758719959632e+00,3.073199491726528176e+00
4.300000000000000000e+03,5.235489744939627599e+00,1.011028006424124159e+00,1.079122898677563613e+00,3.145338839837939382e+00
4.400000000000000000e+03,5.347595812222415645e+00,1.031893014624818639e+00,1.097299819118117581e+00,3.218402978479478982e+00
