t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-2.183669911559605086e-15,6.938893903907228763e-19,-1.223743328893078734e-14,1.005306948798079216e-14
1.000000000000000000e+02,2.332441877517198170e-01,7.033907786190023159e-02,7.222768098205148424e-02,9.067742890776811504e-02
2.000000000000000000e+02,3.131132324233660835e-01,8.801159254622845096e-02,8.902112867531990215e-02,1.360805112018177443e-01
3.000000000000000000e+02,3.594271538310513936e-01,9.613490118567177833e-02,9.870827508181412302e-02,1.645839775635654645e-01
4.000000000000000000e+02,3.712382001457523173e-01,9.729833479385807671e-02,9.989706251823636529e-02,1.740428028336578614e-01
5.000000000000000000e+02,3.771170018448691263e-01,9.563733305381022509e-02,9.811894069649633454e-02,1.833607280945625528e-01
6.000000000000000000e+02,3.819645496237137894e-01,9.589129159385617607e-02,9.617517996070260033e-02,1.898980780691550130e-01
7.000000000000000000e+02,3.989463810146544054e-01,9.991589263388284126e-02,1.040860500517398063e-01,1.949444383290317440e-01
8.000000000000000000e+02,4.135836512102334384e-01,1.036132550111487777e-01,1.109276611300064330e-01,1.990427350690781860e-01
9.000000000000000000e+02,4.329558961860336952e-01,1.093509959885869548e-01,1.156767921824278789e-01,2.079281080150188754e-01
1.000000000000000000e+03,4.513695603902193043e-01,1.130206408549043751e-01,1.187548600150917233e-01,2.195940595202232060e-01
1.100000000000000000e+03,4.559881914801405256e-01,1.118303840010380912e-01,1.168749018051447042e-01,2.272829056739577303e-01
1.200000000000000000e+03,4.672294333291401314e-01,1.140383826626862884e-01,1.170294480321304870e-01,2.361616026343233421e-01
1.300000000000000000e+03,4.907118908957152636e-01,1.188950495032046195e-01,1.216684702319184713e-01,2.501483711605921867e-01
1.400000000000000000e+03,5.148383739504538426e-01,1.231378761823176821e-01,1.284176442385721317e-01,2.632828535295640426e-01
1.500000000000000000e+03,5.289598534358985749e-01,1.230305989805993983e-01,1.310956376590243222e-01,2.748336167962748822e-01
1.600000000000000000e+03,5.487154579472049987e-01,1.279490429753600833e-01,1.340376887305016473e-01,2.867287262413432680e-01
1.700000000000000000e+03,5.679424803054384796e-01,1.311886275135341895e-01,1.381201094035302002e-01,2.986337433883740622e-01
1.800000000000000000e+03,5.799387588733988519e-01,1.339649406676529930e-01,1.390322965300286873e-01,3.069415216757171438e-01
1.900000000000000000e+03,5.865380694419928265e-01,1.340254683407137437e-01,1.393323709278581624e-01,3.131802301734208926e-01
2.000000000000000000e+03,6.019614082799851218e-01,1.396823573680788244e-01,1.440781692472714870e-01,3.182008816646347271e-01
2.100000000000000000e+03,6.106597763584511451e-01,1.407707248128143296e-01,1.456730938841713507e-01,3.242159576614654926e-01
2.200000000000000000e+03,6.205236213452585137e-01,1.424124013346776685e-01,1.465272918113406098e-01,3.315839281992402077e-01
2.300000000000000000e+03,6.378697276008928885e-01,1.462529853146974645e-01,1.488498560974190477e-01,3.427668861887763763e-01
2.400000000000000000e+03,6.517614469383726794e-01,1.478917534890428487e-01,1.535340416940334796e-01,3.503356517552963512e-01
2.500000000000000000e+03,6.695117179901947102e-01,1.498670915799453496e-01,1.582997203376317885e-01,3.613449060726175999e-01
2.600000000000000000e+03,6.808495533921213871e-01,1.498533210696954554e-01,1.598548939941407954e-01,3.711413383282851086e-01
2.700000000000000000e+03,6.907388182666622800e-01,1.505361266325400682e-01,1.637139378693217573e-01,3.764887537648005100e-01
2.800000000000000000e+03,7.020906605125301070e-01,1.535594321006287510e-01,1.664474956472569711e-01,3.820837327646443571e-01
2.900000000000000000e+03,7.091729507463461202e-01,1.552984733361393588e-01,1.674543386671676626e-01,3.864201387430390988e-01
3.000000000000000000e+03,7.155823870162971723e-01,1.563982601359841795e-01,1.686790547582816269e-01,3.905050721220313936e-01
3.100000000000000000e+03,7.298433728028131950e-01,1.611807962560625196e-01,1.726150473505959904e-01,3.960475291961547128e-01
3.200000000000000000e+03,7.415547777624109660e-01,1.619189120189157838e-01,1.763138787289136311e-01,4.033219870145815511e-01
3.300000000000000000e+03,7.541119579134700768e-01,1.637124569599377188e-01,1.805964321991740673e-01,4.098030687543582351e-01
3.400000000000000000e+03,7.613651500475273615e-01,1.653533734474729733e-01,1.801604794224845041e-01,4.158512971775699119e-01
3.500000000000000000e+03,7.758073739316043715e-01,1.688740408209577770e-01,1.814092654487131362e-01,4.255240676619334583e-01
3.600000000000000000e+03,7.902438799132023295e-01,1.732539195973880064e-01,1.857884326472372116e-01,4.312015276685771115e-01
3.700000000000000000e+03,8.082790420286154465e-01,1.791218513090253039e-01,1.913881541310446521e-01,4.377690365885455459e-01
3.800000000000000000e+03,8.147994553558790543e-01,1.809116935744960186e-01,1.941714604575054959e-01,4.397163013238774565e-01
3.900000000000000000e+03,8.217969685921819867e-01,1.824539372952241334e-01,1.986951378240693344e-01,4.406478934728885188e-01
4.000000000000000000e+03,8.235542331141393335e-01,1.836536631599858249e-01,1.990832387610275978e-01,4.408173311931259386e-01
4.100000000000000000e+03,8.249018521416262573e-01,1.824829404573809488e-01,2.030666103304978876e-01,4.393523013537473654e-01
4.200000000000000000e+03,8.254820328207593816e-01,1.832571606531410990e-01,2.032929148763981675e-01,4.389319572912201428e-01
4.300000000000000000e+03,8.346057024861569529e-01,1.834957873597957145e-01,2.085828961293867967e-01,4.425270189969744417e-01
4.400000000000000000e+03,8.421048305476693807e-01,1.846609078419982897e-01,2.115187103555528358e-01,4.459252123501182830e-01
4.500000000000000000e+03,8.516798238690418410e-01,1.877089333061293941e-01,2.144460167153611485e-01,4.495248738475512984e-01
4.600000000000000000e+03,8.612420563081004676e-01,1.886983240296849496e-01,2.175174567509522150e-01,4.550262755274633864e-01
4.700000000000000000e+03,8.744404867079395016e-01,1.931272780587096893e-01,2.201761551520719506e-01,4.611370534971578339e-01
4.800000000000000000e+03,8.861117007117065292e-01,1.959201011544293158e-01,2.252481877904098373e-01,4.649434117668673205e-01
4.900000000000000000e+03,8.893347712508306024e-01,1.945131606221527920e-01,2.261372117518397062e-01,4.686843988768381597e-01
5.000000000000000000e+03,8.920028035054041737e-01,1.958429551492977538e-01,2.282198900628865101e-01,4.679399582932198820e-01
5.100000000000000000e+03,8.943711454704224018e-01,1.939933302315933195e-01,2.325636975709413912e-01,4.678141176678877189e-01
5.200000000000000000e+03,9.013447918132280190e-01,1.968185810675017466e-01,2.350286366931010618e-01,4.694975740526251551e-01
5.300000000000000000e+03,9.057462764973579494e-01,1.985737885449886664e-01,2.361845200609218876e-01,4.709879678914473677e-01
5.400000000000000000e+03,9.133492648989445239e-01,2.008112863852657415e-01,2.411859790003594850e-01,4.713519995133192420e-01
5.500000000000000000e+03,9.194059856105025741e-01,2.018429242842998961e-01,2.458217552667194550e-01,4.717413060594831675e-01
5.600000000000000000e+03,9.208380257567083671e-01,2.028173065346291770e-01,2.444610289093970823e-01,4.735596903126821355e-01
5.700000000000000000e+03,9.222040278002809899e-01,2.023161574279336017e-01,2.480014736864325220e-01,4.718863966859148107e-01
5.800000000000000000e+03,9.240016738400254059e-01,2.016192755996678854e-01,2.492673327038907871e-01,4.731150655364667057e-01
5.900000000000000000e+03,9.365468077459111473e-01,2.030567439399955099e-01,2.553351020727380738e-01,4.781549617331776192e-01
6.000000000000000000e+03,9.439021758470715895e-01,2.042534234049154518e-01,2.586321035112649769e-01,4.810166489308911331e-01
6.100000000000000000e+03,9.446346239163332381e-01,2.028196996639807514e-01,2.613145501971831375e-01,4.805003740551693214e-01
6.200000000000000000e+03,9.480786843489692473e-01,2.062119621003619119e-01,2.626991524871915562e-01,4.791675697614158347e-01
6.300000000000000000e+03,9.538882874851165594e-01,2.072532534974852736e-01,2.651638616596222464e-01,4.814711723280090672e-01
6.400000000000000000e+03,9.580057218002573372e-01,2.067238146611916905e-01,2.671735992141416882e-01,4.841083079249239307e-01
6.500000000000000000e+03,9.614138159294123298e-01,2.080914201301667654e-01,2.701944053451006411e-01,4.831279904541448955e-01
6.600000000000000000e+03,9.648925954669367311e-01,2.082302257802029766e-01,2.737749266154059780e-01,4.828874430713277488e-01
6.700000000000000000e+03,9.618009928813847642e-01,2.065320269471541681e-01,2.747433345243921465e-01,4.805256314098384496e-01
6.800000000000000000e+03,9.639754816605283771e-01,2.076769159084809468e-01,2.771176443067166484e-01,4.791809214453308097e-01
6.900000000000000000e+03,9.662012483463717771e-01,2.063321067901959793e-01,2.797105199350725657e-01,4.801586216211032321e-01
7.000000000000000000e+03,9.753734241281519779e-01,2.078575939094285674e-01,2.814476077813424792e-01,4.860682224373809035e-01
7.100000000000000000e+03,9.804069559043894211e-01,2.101944551312412979e-01,2.849592801309014378e-01,4.852532206422466854e-01
7.200000000000000000e+03,9.827251498736584434e-01,2.095679465625652216e-01,2.883511613225601677e-01,4.848060419885331096e-01
7.300000000000000000e+03,9.904776869681839457e-01,2.099108597597318104e-01,2.916322475015468707e-01,4.889345797069052368e-01
7.400000000000000000e+03,9.980313168406369506e-01,2.107579378435419371e-01,2.926602292170209507e-01,4.946131497800740351e-01
7.500000000000000000e+03,1.007111915406880165e+00,2.096804220913225103e-01,2.951920067296744388e-01,5.022394865858833546e-01
7.600000000000000000e+03,1.011997857138841272e+00,2.081195502476171078e-01,2.975871460623687459e-01,5.062911608288555021e-01
7.700000000000000000e+03,1.017088951918837747e+00,2.066943744224290780e-01,3.011082212686616022e-01,5.092863562277469835e-01
7.800000000000000000e+03,1.021566448787328607e+00,2.068546398603652858e-01,3.033278355575990126e-01,5.113839733693643641e-01
7.900000000000000000e+03,1.023529359228435576e+00,2.073084083807124611e-01,3.033646864127729215e-01,5.128562644349501376e-01
8.000000000000000000e+03,1.026104429897447545e+00,2.072124659188783191e-01,3.070128371014792523e-01,5.118791268770900293e-01
8.100000000000000000e+03,1.030942511850546861e+00,2.070316552336672333e-01,3.092910758824111150e-01,5.146197807344685682e-01
8.200000000000000000e+03,1.033418092369462915e+00,2.070741873764324059e-01,3.106461011015939633e-01,5.156978038914367124e-01
8.300000000000000000e+03,1.038386231894855793e+00,2.069971357249733579e-01,3.137206006119903079e-01,5.176684955578921832e-01
8.400000000000000000e+03,1.038442242899128232e+00,2.061562173974872125e-01,3.115056979987330665e-01,5.207803275029079249e-01
8.500000000000000000e+03,1.043333867608806642e+00,2.046174813009700999e-01,3.156457305330945817e-01,5.230706557747418772e-01
8.600000000000000000e+03,1.047583796972018755e+00,2.034732868583465082e-01,3.172644418586891280e-01,5.268460682549831464e-01
8.700000000000000000e+03,1.054440903232792159e+00,2.039362627943367978e-01,3.207728454622619796e-01,5.297317949761934930e-01
8.800000000000000000e+03,1.060502653016231589e+00,2.047099985254097199e-01,3.212516208233346937e-01,5.345410336674871754e-01
8.900000000000000000e+03,1.072984029091172076e+00,2.057681962242560725e-01,3.270913710654975715e-01,5.401244618014185983e-01
9.000000000000000000e+03,1.073149689227004489e+00,2.053505261343678556e-01,3.277287014141884169e-01,5.400704616784481882e-01
9.100000000000000000e+03,1.072319376288847215e+00,2.044310462507180348e-01,3.286113150747561606e-01,5.392770149633729915e-01
9.200000000000000000e+03,1.071231634740224870e+00,2.036151790422844887e-01,3.308051387345231631e-01,5.368113169634172177e-01
9.300000000000000000e+03,1.070895765777787556e+00,2.022066574496642899e-01,3.321984075541876691e-01,5.364907007739354583e-01
9.400000000000000000e+03,1.080124759138144430e+00,2.030590614683288331e-01,3.359363547984878240e-01,5.411293428713277454e-01
9.500000000000000000e+03,1.088045208929795393e+00,2.032392259140328450e-01,3.403712878811020470e-01,5.444346951346605845e-01
9.600000000000000000e+03,1.093876493627890634e+00,2.037448059910826059e-01,3.436436164558397399e-01,5.464880711809683156e-01
9.700000000000000000e+03,1.097476251520436819e+00,2.038168931873029222e-01,3.452273157773340095e-01,5.484320425558000256e-01
9.800000000000000000e+03,1.093670321933065459e+00,2.013677270014091469e-01,3.456280321106913189e-01,5.466745628209651597e-01
9.900000000000000000e+03,1.099407147129742190e+00,2.031360842149386448e-01,3.482246962423808379e-01,5.480463666724226801e-01
1.000000000000000000e+04,1.100808467972493210e+00,2.046150619411039595e-01,3.490345531241166310e-01,5.471588529072726192e-01
1.010000000000000000e+04,1.102555078666992650e+00,2.041332779083507298e-01,3.530204773203463597e-01,5.454013234382955044e-01
1.020000000000000000e+04,1.101356996030860014e+00,2.015896763849120421e-01,3.546773220095641443e-01,5.450899976363837718e-01
1.030000000000000000e+04,1.107223590653224843e+00,2.025946569194125857e-01,3.595023468977203152e-01,5.451265868360919420e-01
1.040000000000000000e+04,1.112335083877507680e+00,2.046381312363241278e-01,3.622861927860005493e-01,5.454107598551829472e-01
1.050000000000000000e+04,1.108834690421617530e+00,2.053387420403825492e-01,3.599207405762686607e-01,5.435752078049663760e-01
1.060000000000000000e+04,1.116839579576832886e+00,2.056989001236731451e-01,3.618981818702456943e-01,5.492424975829138800e-01
1.070000000000000000e+04,1.125209991254369379e+00,2.074219341869917577e-01,3.670311875027655879e-01,5.507568695646120061e-01
1.080000000000000000e+04,1.124915807119077904e+00,2.055086730616989266e-01,3.699327045457783680e-01,5.494744295116005262e-01
1.090000000000000000e+04,1.126924752259230278e+00,2.041191169379964754e-01,3.724789634690831575e-01,5.503266718521505618e-01
1.100000000000000000e+04,1.130747865885621373e+00,2.051323898902450149e-01,3.740203595330888753e-01,5.515951164622873160e-01
1.110000000000000000e+04,1.132070904426056845e+00,2.061409781110858375e-01,3.745925765066391300e-01,5.513373498083317115e-01
1.120000000000000000e+04,1.129296294053119265e+00,2.050690961972446158e-01,3.755653291917726011e-01,5.486618686641020481e-01
1.130000000000000000e+04,1.119499947946144269e+00,2.012012042283584934e-01,3.759114590353485608e-01,5.423872846824372429e-01
1.140000000000000000e+04,1.118663367604059378e+00,2.015528886454912849e-01,3.791084516225586287e-01,5.380020273360094363e-01
1.150000000000000000e+04,1.127012501494004892e+00,2.012344445200853760e-01,3.849924953649258019e-01,5.407855616089937145e-01
1.160000000000000000e+04,1.134023880978370036e+00,2.041597374765919126e-01,3.875826004405202307e-01,5.422815430612578647e-01
1.170000000000000000e+04,1.143966694124355143e+00,2.066897013391732207e-01,3.907652920262819629e-01,5.465117007588999876e-01
1.180000000000000000e+04,1.145882343504448730e+00,2.061726551338214364e-01,3.919870332587131467e-01,5.477226551119142028e-01
1.190000000000000000e+04,1.152858128911772528e+00,2.077976517879396856e-01,3.956529091588689706e-01,5.494075679649639277e-01
1.200000000000000000e+04,1.157663306602962683e+00,2.071598078800637732e-01,3.994645409597025743e-01,5.510389577631963354e-01
1.210000000000000000e+04,1.163941734754557089e+00,2.080556152678839921e-01,4.024056812250676463e-01,5.534804382616055340e-01
1.220000000000000000e+04,1.170865689376671348e+00,2.067310811157426487e-01,4.069586496201653136e-01,5.571759586407634135e-01
1.230000000000000000e+04,1.175915149954260386e+00,2.088753168474885569e-01,4.089371108643249930e-01,5.581027222424468359e-01
1.240000000000000000e+04,1.180585607291191774e+00,2.076851491375281411e-01,4.121251839819994878e-01,5.607752741716642841e-01
1.250000000000000000e+04,1.186747883813527915e+00,2.086798126637633699e-01,4.169512655566006143e-01,5.611168055931639032e-01
1.260000000000000000e+04,1.192365346969413320e+00,2.086144098876728248e-01,4.216896605745564797e-01,5.620612765071838490e-01
1.270000000000000000e+04,1.198934238829894250e+00,2.076099735363429732e-01,4.255453460435540403e-01,5.657789192499972364e-01
1.280000000000000000e+04,1.206060001416771055e+00,2.084174634123970304e-01,4.276864739446014640e-01,5.699560640597726158e-01
1.290000000000000000e+04,1.216272587734218202e+00,2.102393801779548765e-01,4.291681472109208362e-01,5.768650603453424619e-01
1.300000000000000000e+04,1.232883432325540873e+00,2.140819833286080609e-01,4.354675011482821434e-01,5.833339478486505580e-01
1.310000000000000000e+04,1.240743301431552315e+00,2.134047107583852687e-01,4.394211310396906045e-01,5.879174596334764136e-01
1.320000000000000000e+04,1.249250095662591376e+00,2.142981610566551398e-01,4.432790761525583489e-01,5.916728584533779145e-01
1.330000000000000000e+04,1.254332206983510556e+00,2.138366250122780698e-01,4.455868841441604222e-01,5.949086978270720083e-01
1.340000000000000000e+04,1.256732921810729708e+00,2.139907843707192225e-01,4.464434877075185715e-01,5.962986497324919144e-01
1.350000000000000000e+04,1.266493678229923869e+00,2.160339848785211569e-01,4.489121886378654724e-01,6.015475047135372400e-01
1.360000000000000000e+04,1.278431593594836935e+00,2.183657085719791779e-01,4.526741348442842039e-01,6.073917501785734974e-01
1.370000000000000000e+04,1.291831704732972597e+00,2.196983590322044155e-01,4.567484154236802207e-01,6.153849302770878493e-01
1.380000000000000000e+04,1.304783083374143837e+00,2.209893727109365213e-01,4.624905421881813083e-01,6.213031684750259798e-01
1.390000000000000000e+04,1.315377755021082340e+00,2.236101086666230364e-01,4.659767019136039634e-01,6.257909444408553679e-01
1.400000000000000000e+04,1.318328194820300725e+00,2.257878343465442028e-01,4.668562126970733361e-01,6.256841477766832416e-01
1.410000000000000000e+04,1.321267391406068192e+00,2.256431515777037600e-01,4.702237637784970614e-01,6.254004760498673710e-01
1.420000000000000000e+04,1.327680506864854504e+00,2.252275033617520406e-01,4.736391034911996423e-01,6.288139000119029598e-01
1.430000000000000000e+04,1.334905807915986564e+00,2.252988159480091013e-01,4.756369246571862108e-01,6.339700673107911966e-01
1.440000000000000000e+04,1.347765595854938603e+00,2.272500331783805783e-01,4.815699757821855220e-01,6.389455868943725303e-01
1.450000000000000000e+04,1.360712520771936163e+00,2.265575834472211003e-01,4.875347561456790935e-01,6.466201811790358578e-01
1.460000000000000000e+04,1.371156393830930575e+00,2.271995722471239765e-01,4.927083362465409233e-01,6.512484853372656479e-01
1.470000000000000000e+04,1.380863441944917280e+00,2.300091576227710211e-01,4.971215331257564651e-01,6.537327511963896276e-01
1.480000000000000000e+04,1.388090702952077482e+00,2.313591709187916567e-01,4.999124815975723446e-01,6.568190504357134252e-01
1.490000000000000000e+04,1.393116363568987381e+00,2.308514865492143353e-01,5.020667395462043991e-01,6.601981374735687025e-01
1.500000000000000000e+04,1.403690463924699205e+00,2.322963852522651196e-01,5.048674484321957756e-01,6.665266302402383936e-01
1.510000000000000000e+04,1.425357895077088211e+00,2.337754614059183722e-01,5.141952702372980522e-01,6.773871634338717307e-01
1.520000000000000000e+04,1.441286420031994586e+00,2.374725631070601639e-01,5.188114290556031793e-01,6.850024278693311874e-01
1.530000000000000000e+04,1.447053358039273929e+00,2.377881666567965568e-01,5.219537476248384822e-01,6.873114437576388625e-01
