t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,7.602807272633072746e-14,2.073896609999792544e-14,-6.350475700855895727e-15,6.163958232718869617e-14
1.000000000000000000e+02,5.833066030873337304e-01,1.815184887473978159e-01,1.799701751065951316e-01,2.218179392333407551e-01
2.000000000000000000e+02,8.515441268286745302e-01,2.451298653407115447e-01,2.485142864164354981e-01,3.578999750715274319e-01
3.000000000000000000e+02,1.081393559120948922e+00,2.990094130703961350e-01,3.051276705760404551e-01,4.772564754745123317e-01
4.000000000000000000e+02,1.240405984883481416e+00,3.289135111431213399e-01,3.385737382206469581e-01,5.729187355197132847e-01
5.000000000000000000e+02,1.383754144454495405e+00,3.537499512313410088e-01,3.611598982281488679e-01,6.688442949950055283e-01
6.000000000000000000e+02,1.529573971336186222e+00,3.800786832805571058e-01,3.843475216620556023e-01,7.651477663935734030e-01
7.000000000000000000e+02,1.686504320098042964e+00,4.088426392970661571e-01,4.112937951484266774e-01,8.663678856525500738e-01
8.000000000000000000e+02,1.858206129546225327e+00,4.493861199692391617e-01,4.469552856652955763e-01,9.618647239116906444e-01
9.000000000000000000e+02,2.039039181357761521e+00,4.913573911718621678e-01,4.878968100206957925e-01,1.059784980165203283e+00
1.000000000000000000e+03,2.213891125970719465e+00,5.279926844784584850e-01,5.289826225041032171e-01,1.156915818988157874e+00
1.100000000000000000e+03,2.369957023176898048e+00,5.591392478836341162e-01,5.598220096111818922e-01,1.250995765682082039e+00
1.200000000000000000e+03,2.524680292774336365e+00,5.816858124806989494e-01,5.934512783796527247e-01,1.349543201913984580e+00
1.300000000000000000e+03,2.686607940006414452e+00,6.121888392082239783e-01,6.213072126727137157e-01,1.453111888125476536e+00
1.400000000000000000e+03,2.839587330424445888e+00,6.416855764135820372e-01,6.456468528484350378e-01,1.552254901162428924e+00
1.500000000000000000e+03,2.990351294930563952e+00,6.702657478978621963e-01,6.749185519235600950e-01,1.645166995109141883e+00
1.600000000000000000e+03,3.142384417218522685e+00,7.078472346679951510e-01,7.007695124748961613e-01,1.733767670075631262e+00
1.700000000000000000e+03,3.303340758322097059e+00,7.411293683032903479e-01,7.338657950469946734e-01,1.828345594971811705e+00
1.800000000000000000e+03,3.461716319306400003e+00,7.736862143233455003e-01,7.665533658559087193e-01,1.921476739127145894e+00
1.900000000000000000e+03,3.617033741174762618e+00,7.983759542940790377e-01,8.013316949385448362e-01,2.017326091942138966e+00
