t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,3.098863758192275521e-14,2.254955481599078532e-14,3.156271540423934273e-15,5.282811225508037590e-15
1.000000000000000000e+02,5.791812139823734329e-01,1.797309621845122329e-01,1.809457342950443748e-01,2.185045175028168252e-01
2.000000000000000000e+02,8.379358984376793495e-01,2.452569872866375844e-01,2.470261044708988163e-01,3.456528066801429766e-01
3.000000000000000000e+02,1.060404038739652277e+00,2.993206634560067747e-01,3.037920693977000930e-01,4.572913058859452984e-01
4.000000000000000000e+02,1.210322303005692213e+00,3.320112849905038632e-01,3.349976539418078603e-01,5.433133640733806002e-01
5.000000000000000000e+02,1.349012940591685750e+00,3.574956497769905539e-01,3.613691049704699787e-01,6.301481858442253836e-01
6.000000000000000000e+02,1.488062149045350502e+00,3.832074965544169931e-01,3.868323227383854146e-01,7.180223297525479831e-01
7.000000000000000000e+02,1.634618752712192036e+00,4.152215852626304771e-01,4.150601117386594208e-01,8.043370557109024155e-01
8.000000000000000000e+02,1.800704258020199733e+00,4.554546302892639176e-01,4.550486819756228152e-01,8.902009457553129446e-01
9.000000000000000000e+02,1.965650298264301599e+00,4.962758462183782804e-01,4.953900491010087559e-01,9.739844029449145069e-01
1.000000000000000000e+03,2.124366193423105731e+00,5.318083613946945620e-01,5.329932352312839461e-01,1.059564596797127445e+00
1.100000000000000000e+03,2.267359747811670267e+00,5.620098133437353427e-01,5.654674899684956069e-01,1.139882444499439096e+00
1.200000000000000000e+03,2.406667889966558338e+00,5.892378198440069159e-01,5.950131316521096725e-01,1.222416938470441750e+00
1.300000000000000000e+03,2.550399379576485437e+00,6.214141429250380488e-01,6.250824144387584491e-01,1.303902822212688939e+00
1.400000000000000000e+03,2.692297805517316345e+00,6.540844672725455444e-01,6.539832905977075450e-01,1.384230047647063477e+00
1.500000000000000000e+03,2.835983964365459187e+00,6.844000506558449715e-01,6.893038789262031507e-01,1.462280034783411287e+00
1.600000000000000000e+03,2.975987959890898704e+00,7.177768872482340745e-01,7.201250854189815698e-01,1.538085987223682949e+00
1.700000000000000000e+03,3.122335224636106688e+00,7.490600210476751064e-01,7.546794061277813936e-01,1.618595797460650187e+00
1.800000000000000000e+03,3.262550640284793246e+00,7.796325160842835222e-01,7.845757826381212219e-01,1.698342341562388169e+00
1.900000000000000000e+03,3.407383952725502763e+00,8.109441583914503981e-01,8.183687332895172029e-01,1.778071061044534718e+00
2.000000000000000000e+03,3.542421557491584050e+00,8.411043915916783797e-01,8.491593798164048801e-01,1.852157786083500790e+00
2.100000000000000000e+03,3.678699988408846711e+00,8.700879171103078624e-01,8.793584912213695537e-01,1.929253580077169294e+00
2.200000000000000000e+03,3.817364270695089434e+00,8.998211880245093885e-01,9.111688151524403034e-01,2.006374267518140631e+00
2.300000000000000000e+03,3.951114622167338553e+00,9.296112915100636087e-01,9.406290199830023013e-01,2.080874310674273087e+00
2.400000000000000000e+03,4.087290988247773704e+00,9.588103202528551749e-01,9.722057218519336574e-01,2.156274946142984650e+00
2.500000000000000000e+03,4.224400167765701930e+00,9.869382307921146236e-01,1.001904671994610529e+00,2.235557264978976999e+00
2.600000000000000000e+03,4.365099102057802050e+00,1.015929905123174715e+00,1.035145032394625186e+00,2.314024164540002371e+00
2.700000000000000000e+03,4.505998059059410643e+00,1.043677928095593010e+00,1.067198697202581981e+00,2.395121433761234986e+00
2.800000000000000000e+03,4.644566393213705346e+00,1.069928093020455995e+00,1.097084064598346176e+00,2.477554235594902732e+00
2.900000000000000000e+03,4.781709273619712874e+00,1.095710299970917623e+00,1.126998220526624239e+00,2.559000753122171012e+00
3.000000000000000000e+03,4.919120854149263700e+00,1.121780420638808229e+00,1.155602454607751461e+00,2.641737978902704231e+00
3.100000000000000000e+03,5.061863441364176097e+00,1.151261529797136918e+00,1.183933957911964763e+00,2.726667953655074417e+00
3.200000000000000000e+03,5.202154877937655186e+00,1.180348425949647284e+00,1.212571931127058855e+00,2.809234520860949491e+00
3.300000000000000000e+03,5.343273878907049301e+00,1.207028092239293082e+00,1.245529349086754278e+00,2.890716437581001941e+00
3.400000000000000000e+03,5.485028758657293224e+00,1.238984338350058279e+00,1.277918951256337587e+00,2.968125469050896914e+00
3.500000000000000000e+03,5.625447672891302098e+00,1.266650844100972284e+00,1.311929317195171363e+00,3.046867511595158451e+00
3.600000000000000000e+03,5.761769268834051161e+00,1.292728339530418546e+00,1.348260613724168167e+00,3.120780315579464226e+00
3.700000000000000000e+03,5.887391063157949134e+00,1.318956359624211538e+00,1.380031350974640247e+00,3.188403352559097126e+00
3.800000000000000000e+03,6.017139047529053819e+00,1.347245118384311269e+00,1.412268458426646278e+00,3.257625470718095162e+00
3.900000000000000000e+03,6.142976455135785052e+00,1.374806080784412243e+00,1.443919250384196218e+00,3.324251123967176369e+00
4.000000000000000000e+03,6.266453516823214720e+00,1.401902432332854609e+00,1.474764851754178707e+00,3.389786232736180072e+00
4.100000000000000000e+03,6.391824019390436540e+00,1.429644234090955202e+00,1.509645262153851419e+00,3.452534523145628587e+00
4.200000000000000000e+03,6.523430899763703827e+00,1.456970338943580856e+00,1.544691958514111230e+00,3.521768602306012852e+00
4.300000000000000000e+03,6.651027073860341865e+00,1.483578808852765052e+00,1.578754803159656328e+00,3.588693461847920929e+00
4.400000000000000000e+03,6.790354025192837817e+00,1.514387779358700170e+00,1.613659028813540175e+00,3.662307217020598582e+00
4.500000000000000000e+03,6.923950109411824094e+00,1.545426347581209336e+00,1.647325023982599168e+00,3.731198737848016034e+00
4.600000000000000000e+03,7.060907893728362694e+00,1.575684366281792315e+00,1.681750269797857245e+00,3.803473257648712913e+00
4.700000000000000000e+03,7.193142267145394619e+00,1.601330815264059071e+00,1.716363355629658249e+00,3.875448096251678631e+00
4.800000000000000000e+03,7.330173872028982629e+00,1.630717174248636825e+00,1.748915538096419864e+00,3.950541159683925940e+00
4.900000000000000000e+03,7.472325446106427016e+00,1.660360082478312904e+00,1.786737319363230325e+00,4.025228044264884453e+00
5.000000000000000000e+03,7.601338077279172545e+00,1.686165714293092366e+00,1.819253626570285887e+00,4.095918736415794292e+00
5.100000000000000000e+03,7.734754217514068664e+00,1.712964972386602724e+00,1.852082877647957204e+00,4.169706367479509623e+00
5.200000000000000000e+03,7.867219324680269743e+00,1.738583047547933802e+00,1.885906137801973026e+00,4.242730139330362249e+00
5.300000000000000000e+03,8.008551631059644293e+00,1.766849920193797052e+00,1.924390009134906654e+00,4.317311701730941031e+00
5.400000000000000000e+03,8.139352649134847795e+00,1.797083878731642770e+00,1.958229058140669387e+00,4.384039712262535637e+00
5.500000000000000000e+03,8.279353698388575822e+00,1.826582411338618206e+00,1.993806917909742182e+00,4.458964369140216100e+00
5.600000000000000000e+03,8.417245590734260929e+00,1.857699087395388693e+00,2.026144369577649318e+00,4.533402133761222252e+00
5.700000000000000000e+03,8.560099793489316156e+00,1.889191531193035845e+00,2.062502372029491937e+00,4.608405890266788596e+00
5.800000000000000000e+03,8.699747318355024461e+00,1.916571287398667778e+00,2.095086307758024180e+00,4.688089723198332059e+00
5.900000000000000000e+03,8.847392252169777649e+00,1.945861235258458111e+00,2.129764198028842426e+00,4.771766818882476002e+00
6.000000000000000000e+03,8.994015215147763698e+00,1.974073918079888967e+00,2.164577951182648174e+00,4.855363345885227666e+00
6.100000000000000000e+03,9.139102960318380653e+00,2.003809713835243755e+00,2.197042528412148421e+00,4.938250718070988476e+00
6.200000000000000000e+03,9.281781158367900630e+00,2.032181718839505269e+00,2.229580541218723955e+00,5.020018898309671407e+00
6.300000000000000000e+03,9.431907873036331935e+00,2.065817630810985683e+00,2.266007768809580991e+00,5.100082473415764817e+00
6.400000000000000000e+03,9.577505335565280831e+00,2.094595183850577413e+00,2.298358309903538732e+00,5.184551841811163797e+00
6.500000000000000000e+03,9.721060652678714220e+00,2.121796556055167926e+00,2.333012404371338722e+00,5.266251692252207128e+00
6.600000000000000000e+03,9.866931778210231485e+00,2.152318256941596619e+00,2.366709391121359474e+00,5.347904130147274948e+00
6.700000000000000000e+03,1.001319365018719409e+01,2.181577810927163075e+00,2.398188188888439765e+00,5.433427650371591255e+00
6.800000000000000000e+03,1.016536419700956806e+01,2.212732836750742837e+00,2.430797648185508475e+00,5.521833712073316747e+00
6.900000000000000000e+03,1.031392358331714654e+01,2.243966952458853914e+00,2.463120120782281042e+00,5.606836510076012026e+00
7.000000000000000000e+03,1.047329927152613749e+01,2.278356075359019517e+00,2.499012780032596748e+00,5.695930416134523000e+00
7.100000000000000000e+03,1.062504683780028358e+01,2.312157207584421226e+00,2.534241888001413034e+00,5.778647742214450211e+00
7.200000000000000000e+03,1.078609038541753229e+01,2.347470743198884158e+00,2.572800155055965821e+00,5.865819487162682755e+00
7.300000000000000000e+03,1.094278128308272358e+01,2.375263552126104738e+00,2.607709089290040527e+00,5.959808641666579199e+00
7.400000000000000000e+03,1.110268447665303881e+01,2.407493804058261855e+00,2.640281205505591533e+00,6.054909467089186315e+00
7.500000000000000000e+03,1.125563079272431288e+01,2.440138535839674550e+00,2.670540805080373392e+00,6.144951451804264941e+00
7.600000000000000000e+03,1.142561984588044233e+01,2.475224945728694781e+00,2.704039156940917010e+00,6.246355743210831868e+00
7.700000000000000000e+03,1.159555114609183057e+01,2.512331498264388063e+00,2.737103886007259401e+00,6.346115761820183998e+00
7.800000000000000000e+03,1.176346070644119202e+01,2.548130084442380650e+00,2.774665508014078963e+00,6.440665113984732848e+00
7.900000000000000000e+03,1.191796961281178291e+01,2.580875900437079817e+00,2.809041163898601479e+00,6.528052548476104278e+00
8.000000000000000000e+03,1.207868006947198403e+01,2.616380244466463889e+00,2.843336079483724799e+00,6.618963745521795339e+00
8.100000000000000000e+03,1.223091789132826612e+01,2.649485020523864254e+00,2.875019307324472972e+00,6.706413563479927120e+00
8.200000000000000000e+03,1.239968867705380262e+01,2.690302842582950493e+00,2.908977506582928640e+00,6.800408327887924820e+00
8.300000000000000000e+03,1.255902885438923278e+01,2.725287343763691528e+00,2.945026802983974790e+00,6.888714707641565127e+00
8.400000000000000000e+03,1.271509293763918258e+01,2.761136127455002143e+00,2.978534027714651700e+00,6.975422782469529182e+00
8.500000000000000000e+03,1.287318843334737295e+01,2.798012161554112254e+00,3.010552878562417600e+00,7.064623393230842652e+00
8.600000000000000000e+03,1.303524598617022612e+01,2.832187355236929438e+00,3.048028201130307036e+00,7.155030429802988756e+00
8.700000000000000000e+03,1.319519740948986453e+01,2.867294650356068342e+00,3.085604058960142115e+00,7.242298700173653181e+00
8.800000000000000000e+03,1.334706646015102827e+01,2.900501656710263720e+00,3.118675598528446447e+00,7.327889204912318100e+00
8.900000000000000000e+03,1.350406100589087011e+01,2.936871914455644994e+00,3.151557524197048377e+00,7.415631567238179400e+00
9.000000000000000000e+03,1.366486367455697426e+01,2.972277096823100262e+00,3.184897901176041213e+00,7.507688676557832785e+00
9.100000000000000000e+03,1.382835203522190248e+01,3.012129416507319579e+00,3.216471607962887447e+00,7.599751010751693237e+00
9.200000000000000000e+03,1.398946866724205051e+01,3.050050095864717647e+00,3.252734936988738834e+00,7.686683634388593589e+00
9.300000000000000000e+03,1.414424224768163896e+01,3.090825127667528260e+00,3.282314372209218956e+00,7.771102747804892630e+00
9.400000000000000000e+03,1.429946141809821114e+01,3.128651535926981975e+00,3.315906306560704397e+00,7.854903575610523880e+00
9.500000000000000000e+03,1.445719036232672750e+01,3.164945916053312658e+00,3.347565760839609883e+00,7.944678685433804510e+00
9.600000000000000000e+03,1.461402694595388141e+01,3.205285183332035714e+00,3.377513734459751671e+00,8.031228028162095356e+00
9.700000000000000000e+03,1.476601725762771800e+01,3.241539105424843914e+00,3.405758617812839617e+00,8.118719534390036685e+00
9.800000000000000000e+03,1.492619423190755334e+01,3.279455278563313758e+00,3.441495229910029874e+00,8.205243723434209713e+00
9.900000000000000000e+03,1.507956831227004635e+01,3.315718747641286157e+00,3.474124125739935121e+00,8.289725438888822850e+00
1.000000000000000000e+04,1.524116690446491162e+01,3.353761957148711392e+00,3.509178233308174910e+00,8.378226714008025766e+00
1.010000000000000000e+04,1.539389076658753197e+01,3.387385207110535479e+00,3.539555156983931195e+00,8.466950402493067074e+00
1.020000000000000000e+04,1.554440484083131047e+01,3.421090494580290908e+00,3.570102973675824298e+00,8.553211372575196592e+00
1.030000000000000000e+04,1.570470412933293680e+01,3.457543496645801184e+00,3.603988120856621347e+00,8.643172511830513827e+00
1.040000000000000000e+04,1.585780411116191679e+01,3.493696851920821800e+00,3.631972308709000341e+00,8.732134950532094209e+00
1.050000000000000000e+04,1.601589208606955594e+01,3.528428666679271242e+00,3.667214751595950784e+00,8.820248667794333031e+00
1.060000000000000000e+04,1.617418519057642357e+01,3.568025960243675687e+00,3.699470388088052175e+00,8.906688842244696147e+00
1.070000000000000000e+04,1.633358009895691509e+01,3.606899113282171498e+00,3.732740529472099222e+00,8.993940456202645706e+00
1.080000000000000000e+04,1.649621153744756086e+01,3.648009625365381314e+00,3.764579088575215504e+00,9.083622823506962263e+00
1.090000000000000000e+04,1.665141534855141359e+01,3.685568221739060402e+00,3.798076546296620393e+00,9.167770580515735901e+00
1.100000000000000000e+04,1.680954848648798006e+01,3.723230647440197050e+00,3.831145587581286538e+00,9.255172251466497357e+00
1.110000000000000000e+04,1.696115472867750995e+01,3.759001110038658222e+00,3.861756912604839886e+00,9.340396706034011842e+00
1.120000000000000000e+04,1.711668941622015438e+01,3.799334170356591045e+00,3.893168574799000137e+00,9.424186671064562759e+00
1.130000000000000000e+04,1.727959175932133817e+01,3.841934514839218107e+00,3.926905165134633169e+00,9.510752079347488674e+00
1.140000000000000000e+04,1.743321667827305532e+01,3.883800564549390710e+00,3.957554430619964592e+00,9.591861683103699576e+00
1.150000000000000000e+04,1.759436986654951696e+01,3.929142271053501556e+00,3.990742525895135007e+00,9.674485069600882170e+00
1.160000000000000000e+04,1.774969663658412244e+01,3.970079644325322565e+00,4.022181861553369764e+00,9.757435130705431447e+00
1.170000000000000000e+04,1.790847123676560315e+01,4.007099207641751981e+00,4.056119249407182714e+00,9.845252779716668456e+00
1.180000000000000000e+04,1.806366747492220881e+01,4.043616347281298040e+00,4.088300159636670372e+00,9.931750968004241287e+00
1.190000000000000000e+04,1.822874742268925274e+01,4.086423235730781478e+00,4.119797630086901030e+00,1.002252655687157024e+01
1.200000000000000000e+04,1.838537727391660326e+01,4.123900081956499264e+00,4.151338650502911953e+00,1.011013854145719115e+01
1.210000000000000000e+04,1.854293561947244839e+01,4.163488649701299060e+00,4.180964873795694814e+00,1.019848209597545718e+01
1.220000000000000000e+04,1.870513611042642310e+01,4.206759370041385893e+00,4.213924680042985926e+00,1.028445206034205128e+01
1.230000000000000000e+04,1.887132974505145455e+01,4.247908642503167798e+00,4.246811693662871257e+00,1.037660940888541283e+01
1.240000000000000000e+04,1.903586454601551736e+01,4.289963972050258256e+00,4.278286924261366586e+00,1.046761364970389430e+01
1.250000000000000000e+04,1.919411475397033939e+01,4.327403018308308980e+00,4.307977280453307856e+00,1.055873445520872522e+01
1.260000000000000000e+04,1.935596022718705100e+01,4.366037356343967168e+00,4.339723128130009044e+00,1.065019974271307213e+01
1.270000000000000000e+04,1.951473358220422583e+01,4.404845795299865863e+00,4.370645825496994874e+00,1.073924196140736420e+01
1.280000000000000000e+04,1.967579210376697674e+01,4.443697892268862581e+00,4.403621469091143048e+00,1.082847274240697288e+01
1.290000000000000000e+04,1.983643175291524940e+01,4.482943839890427107e+00,4.435009813012190882e+00,1.091847810001262964e+01
1.300000000000000000e+04,1.999067966022908749e+01,4.519918780956508009e+00,4.470235328348705295e+00,1.100052555092387330e+01
1.310000000000000000e+04,2.014277148286671704e+01,4.555684380834887470e+00,4.503267039512309111e+00,1.108382006251951957e+01
1.320000000000000000e+04,2.030038799611262945e+01,4.592928243416479539e+00,4.537126376979209397e+00,1.117033337571694140e+01
1.330000000000000000e+04,2.045643339138574035e+01,4.629286854197862233e+00,4.568541698292579945e+00,1.125860483889529995e+01
