t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.700029006457270953e-14,7.302954537398894504e-15,3.672525246874633090e-15,6.024810280299183510e-15
1.000000000000000000e+02,5.122903870454075248e-01,1.586834062227411024e-01,1.541298691486691907e-01,1.994771116739972039e-01
2.000000000000000000e+02,7.242718245257334653e-01,2.064293295669309691e-01,2.015610146820524251e-01,3.162814802767501265e-01
3.000000000000000000e+02,8.983967559972576566e-01,2.472755995098429305e-01,2.416873818496156068e-01,4.094337746377990084e-01
4.000000000000000000e+02,1.002201457686929142e+00,2.698707842552662828e-01,2.607497770812651772e-01,4.715808963503976270e-01
5.000000000000000000e+02,1.109394453307087192e+00,2.897989520765428262e-01,2.814398171891314138e-01,5.381556840414131182e-01
6.000000000000000000e+02,1.214801778900009843e+00,3.080773996351605093e-01,3.015552077104575734e-01,6.051691715543917605e-01
7.000000000000000000e+02,1.346557024092307708e+00,3.382737719757830663e-01,3.326904129415180766e-01,6.755928391750067874e-01
8.000000000000000000e+02,1.474894768551702873e+00,3.700125856590171236e-01,3.609000689496604797e-01,7.439821139430252694e-01
9.000000000000000000e+02,1.598176876929981338e+00,3.966308996774013385e-01,3.881450956947933295e-01,8.134008815577864482e-01
1.000000000000000000e+03,1.715055075548663099e+00,4.198907934595338953e-01,4.132301693841012313e-01,8.819341127050280837e-01
1.100000000000000000e+03,1.824117840827357950e+00,4.429428393626195226e-01,4.356897022180588053e-01,9.454852992466795669e-01
1.200000000000000000e+03,1.934503552944529803e+00,4.661374389519519212e-01,4.586779077845894448e-01,1.009688206207988825e+00
1.300000000000000000e+03,2.053024976065406904e+00,4.905958208918708707e-01,4.847898419571568529e-01,1.077639313216379069e+00
1.400000000000000000e+03,2.168299159664792253e+00,5.172899419398960807e-01,5.098158875955384195e-01,1.141193330129357753e+00
1.500000000000000000e+03,2.277364885802395822e+00,5.392996801176767052e-01,5.348793894452075204e-01,1.203185816239511707e+00
1.600000000000000000e+03,2.385686697073356566e+00,5.632248309921449314e-01,5.603108086820952627e-01,1.262151057399116372e+00
1.700000000000000000e+03,2.493543529640759981e+00,5.870673847752967411e-01,5.849583468770079842e-01,1.321517797988454923e+00
1.800000000000000000e+03,2.604563610062690326e+00,6.108141572978053047e-01,6.101865496207663497e-01,1.383562903144118339e+00
1.900000000000000000e+03,2.712272456156676004e+00,6.340794261021577283e-01,6.338527156746296409e-01,1.444340314379888524e+00
2.000000000000000000e+03,2.817544052594735060e+00,6.552596599672027011e-01,6.582273359635322230e-01,1.504057056663999914e+00
2.100000000000000000e+03,2.920269917163077711e+00,6.765399122659032649e-01,6.857617211263565826e-01,1.557968283770817974e+00
2.200000000000000000e+03,3.025451799370072692e+00,7.000815256588258650e-01,7.109345411899932188e-01,1.614435732521253719e+00
2.300000000000000000e+03,3.137370225092090958e+00,7.264456299047775678e-01,7.354696742904730522e-01,1.675454920896839894e+00
2.400000000000000000e+03,3.247950826927150647e+00,7.463791031527130526e-01,7.598812533966375904e-01,1.741690470377799782e+00
2.500000000000000000e+03,3.363263682538526478e+00,7.712151131373911062e-01,7.840547457015437649e-01,1.807993823699591829e+00
2.600000000000000000e+03,3.473209738904411648e+00,7.912183262047234322e-01,8.095607567850980901e-01,1.872430655914589792e+00
2.700000000000000000e+03,3.589257510011064856e+00,8.166116507722177564e-01,8.373341177345029473e-01,1.935311741504344596e+00
2.800000000000000000e+03,3.701488498368050273e+00,8.387591077799817496e-01,8.637425456916872912e-01,1.998986844896381454e+00
2.900000000000000000e+03,3.818471184476921021e+00,8.632646923542802719e-01,8.916393675100020566e-01,2.063567124612638803e+00
3.000000000000000000e+03,3.937440742122306769e+00,8.870706713702855017e-01,9.189307406332575257e-01,2.131439330118764186e+00
3.100000000000000000e+03,4.055318736879335084e+00,9.077948764550928251e-01,9.457988421094546405e-01,2.201725018314787174e+00
3.200000000000000000e+03,4.172216394830307706e+00,9.313836383974924971e-01,9.715702036392298568e-01,2.269262552793585019e+00
3.300000000000000000e+03,4.284681734092171901e+00,9.526056198021389809e-01,9.945450597708712648e-01,2.337531054519161433e+00
3.400000000000000000e+03,4.399678116702760100e+00,9.769824643671544129e-01,1.021547746769708942e+00,2.401147905565897300e+00
3.500000000000000000e+03,4.511727187121191029e+00,1.000134121863231584e+00,1.045643128793527499e+00,2.465949936464431946e+00
3.600000000000000000e+03,4.623519703121382385e+00,1.021928231678910448e+00,1.073278279218175202e+00,2.528313192224297179e+00
3.700000000000000000e+03,4.731999390681521866e+00,1.040038040980653555e+00,1.098236188053335116e+00,2.593725161647534083e+00
3.800000000000000000e+03,4.843799787911135191e+00,1.063102041841500034e+00,1.122422217732486294e+00,2.658275528337147975e+00
3.900000000000000000e+03,4.954321095997121560e+00,1.085558983879266970e+00,1.146808105704614000e+00,2.721954006413240368e+00
4.000000000000000000e+03,5.068201002641633757e+00,1.108343506033802717e+00,1.172023776376296622e+00,2.787833720231535306e+00
4.100000000000000000e+03,5.181762956815561871e+00,1.133244874878488240e+00,1.196444067197144356e+00,2.852074014739928831e+00
4.200000000000000000e+03,5.297264726220054953e+00,1.157831108437543666e+00,1.222717402447683011e+00,2.916716215334827833e+00
4.300000000000000000e+03,5.411039825599780251e+00,1.180376573328414169e+00,1.248056803853104801e+00,2.982606448418261280e+00
4.400000000000000000e+03,5.522040056163596056e+00,1.202114254495175061e+00,1.273201605098758904e+00,3.046724196569661647e+00
4.500000000000000000e+03,5.636770364106752140e+00,1.225816178920980937e+00,1.297792462814604919e+00,3.113161722371165840e+00
4.600000000000000000e+03,5.751576429433858273e+00,1.248357863499257814e+00,1.322400490197933820e+00,3.180818075736667527e+00
4.700000000000000000e+03,5.868127107824466115e+00,1.272559133439371770e+00,1.343931770980066887e+00,3.251636203405027015e+00
4.800000000000000000e+03,5.988432352304980277e+00,1.297580087912140412e+00,1.369676058781476469e+00,3.321176205611363397e+00
4.900000000000000000e+03,6.108305074148833391e+00,1.319652285535935166e+00,1.395665231756865188e+00,3.392987556856032594e+00
5.000000000000000000e+03,6.224283307440927615e+00,1.341540887277991034e+00,1.420271065158119184e+00,3.462471355004817397e+00
5.100000000000000000e+03,6.341790719796271958e+00,1.365209292550660036e+00,1.444430284968525546e+00,3.532151142277087263e+00
5.200000000000000000e+03,6.457821118218767253e+00,1.386087391220768739e+00,1.469986239385583593e+00,3.601747487612414478e+00
5.300000000000000000e+03,6.574705102785986632e+00,1.408972511451941800e+00,1.495569375203576579e+00,3.670163216130466921e+00
5.400000000000000000e+03,6.695818347440895657e+00,1.433712858675048496e+00,1.520475442540692113e+00,3.741630046225155493e+00
5.500000000000000000e+03,6.810112000956025646e+00,1.455266422240877100e+00,1.543835396038226948e+00,3.811010182676921598e+00
5.600000000000000000e+03,6.927070130248421442e+00,1.479224337011446400e+00,1.567428451164254888e+00,3.880417342072721265e+00
5.700000000000000000e+03,7.035753361579945242e+00,1.498168142325167373e+00,1.591158370894211194e+00,3.946426848360566453e+00
5.800000000000000000e+03,7.144399469293328586e+00,1.516998519235829734e+00,1.616254884381827850e+00,4.011146065675671224e+00
5.900000000000000000e+03,7.257759803601508075e+00,1.535914828487571215e+00,1.640703000688561231e+00,4.081141974425375629e+00
6.000000000000000000e+03,7.375098816856542783e+00,1.558474342899765164e+00,1.663580718290885718e+00,4.153043755665891901e+00
6.100000000000000000e+03,7.497306067294547738e+00,1.580223601030943614e+00,1.689655922674837774e+00,4.227426543588765462e+00
6.200000000000000000e+03,7.607878688984077264e+00,1.600013166550986021e+00,1.713034727711359784e+00,4.294830794721732126e+00
6.300000000000000000e+03,7.720200585696819218e+00,1.622318408924517952e+00,1.739219335941456945e+00,4.358662840830844765e+00
6.400000000000000000e+03,7.827739196026825219e+00,1.639764512137008801e+00,1.761747594133628914e+00,4.426227089756188171e+00
6.500000000000000000e+03,7.932917055193723144e+00,1.658295679226629460e+00,1.783406223691905934e+00,4.491215152275187528e+00
6.600000000000000000e+03,8.044639914576068307e+00,1.682199402578807623e+00,1.804858866289055674e+00,4.557581645708205009e+00
6.700000000000000000e+03,8.161086835460443112e+00,1.706179303438107864e+00,1.831055689791821317e+00,4.623851842230512155e+00
6.800000000000000000e+03,8.275769481099780833e+00,1.728369184179898044e+00,1.857272909791806370e+00,4.690127387128076641e+00
6.900000000000000000e+03,8.381731782563903721e+00,1.748637258894486068e+00,1.877986095215159468e+00,4.755108428454257741e+00
7.000000000000000000e+03,8.489125325616592832e+00,1.769780228755890805e+00,1.898961485414552897e+00,4.820383611446147576e+00
7.100000000000000000e+03,8.599500867244362468e+00,1.791574092841409005e+00,1.920225555385431493e+00,4.887701219017522192e+00
7.200000000000000000e+03,8.713551208823245631e+00,1.813836442619186196e+00,1.944100721205607174e+00,4.955614044998451817e+00
7.300000000000000000e+03,8.828203126849354376e+00,1.834148724301837952e+00,1.970302450470923672e+00,5.023751952076593419e+00
7.400000000000000000e+03,8.936513799597895158e+00,1.855123255723112541e+00,1.989080550234680445e+00,5.092309993640101062e+00
7.500000000000000000e+03,9.042082784102154491e+00,1.872917256042610168e+00,2.011048217807875016e+00,5.158117310251669529e+00
7.600000000000000000e+03,9.144920722719747985e+00,1.889682324015473869e+00,2.028614301571197487e+00,5.226624097133075963e+00
7.700000000000000000e+03,9.248077657316274625e+00,1.907901207857972237e+00,2.048457840361749493e+00,5.291718609096553116e+00
7.800000000000000000e+03,9.350662089326094772e+00,1.926857751117744710e+00,2.069776945745417596e+00,5.354027392462931800e+00
7.900000000000000000e+03,9.458059905486344121e+00,1.947995628515660327e+00,2.093424960328048368e+00,5.416639316642636537e+00
