t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-6.868117186087372755e-15,-3.938516179857742985e-15,-2.451233660494267434e-14,2.158273559871304378e-14
1.000000000000000000e+02,5.383936108204905313e-01,1.681906662904104066e-01,1.624802965874520277e-01,2.077226479426280414e-01
2.000000000000000000e+02,7.611916014012516385e-01,2.257764262705572733e-01,2.153220799832906152e-01,3.200930951474038055e-01
3.000000000000000000e+02,9.171964388901097109e-01,2.665977124433612233e-01,2.510616346453010683e-01,3.995370918014473638e-01
4.000000000000000000e+02,9.842159745959053740e-01,2.771330141400130120e-01,2.672590115823149093e-01,4.398239488735774527e-01
5.000000000000000000e+02,1.065610611989549650e+00,2.896098332012538856e-01,2.837508052686267823e-01,4.922499735196691484e-01
6.000000000000000000e+02,1.151446944316161236e+00,3.071204264556949282e-01,3.042216469171215576e-01,5.401048709433446948e-01
7.000000000000000000e+02,1.257836701782379496e+00,3.375457392732920670e-01,3.353042073236140452e-01,5.849867551854733838e-01
8.000000000000000000e+02,1.354660007322429749e+00,3.622664896778641785e-01,3.653305505812430853e-01,6.270629670633224295e-01
9.000000000000000000e+02,1.448054345851950808e+00,3.884943622248157591e-01,3.881233036052885721e-01,6.714366800218465325e-01
1.000000000000000000e+03,1.528795950417758842e+00,4.094444103689701686e-01,4.055998218806303734e-01,7.137517181681581890e-01
1.100000000000000000e+03,1.618251889498915297e+00,4.333518949192424197e-01,4.316853959624246673e-01,7.532145986172482655e-01
1.200000000000000000e+03,1.712004644282299370e+00,4.550176655962326899e-01,4.590091750669422765e-01,7.979778036191245150e-01
1.300000000000000000e+03,1.792377861529015792e+00,4.710885993245702563e-01,4.817635719233377967e-01,8.395256902811076838e-01
1.400000000000000000e+03,1.869681404268294100e+00,4.907699889615591005e-01,5.013566900218202615e-01,8.775547252849147384e-01
1.500000000000000000e+03,1.959359830475698949e+00,5.146728670369259406e-01,5.216292157118622708e-01,9.230577477269106268e-01
1.600000000000000000e+03,2.042138928502040596e+00,5.333987164048463736e-01,5.391935957890947595e-01,9.695466163080995736e-01
1.700000000000000000e+03,2.125621769653983861e+00,5.556695267863566157e-01,5.586205196663469597e-01,1.011331723201280175e+00
1.800000000000000000e+03,2.203007639734172241e+00,5.712972125221766895e-01,5.802931039665886193e-01,1.051417323245406932e+00
1.900000000000000000e+03,2.273079266206532001e+00,5.858118882412485240e-01,5.984774921303159800e-01,1.088789885834967386e+00
2.000000000000000000e+03,2.340954136836482569e+00,6.034087766691322852e-01,6.191247240328940915e-01,1.118420636134456192e+00
2.100000000000000000e+03,2.409425831866390144e+00,6.194802876961673643e-01,6.368420442166196072e-01,1.153103499953603173e+00
2.200000000000000000e+03,2.481940726110187345e+00,6.381854300346564424e-01,6.564998473749820151e-01,1.187255448700548888e+00
2.300000000000000000e+03,2.561823978260077794e+00,6.614474404914260086e-01,6.737761535595613305e-01,1.226600384209090233e+00
2.400000000000000000e+03,2.625719890357137487e+00,6.752266595630269652e-01,6.937815016807340474e-01,1.256711729113376474e+00
2.500000000000000000e+03,2.685911494653239195e+00,6.930993505173457248e-01,7.111955266465720404e-01,1.281616617489321319e+00
2.600000000000000000e+03,2.731452153061843191e+00,7.045296926279815963e-01,7.285761737401564853e-01,1.298346286693704998e+00
2.700000000000000000e+03,2.786551185909266870e+00,7.215327704712499735e-01,7.468303474718084312e-01,1.318188067966208132e+00
2.800000000000000000e+03,2.844675663262840271e+00,7.414461409370097789e-01,7.629805662816872003e-01,1.340248956044143291e+00
2.900000000000000000e+03,2.908445805602470458e+00,7.602947377568426424e-01,7.806566659075555581e-01,1.367494401938072146e+00
3.000000000000000000e+03,2.981192219881990013e+00,7.750951490305804104e-01,8.012753858334917823e-01,1.404821685017918043e+00
3.100000000000000000e+03,3.049923886002179341e+00,7.869827097699092500e-01,8.166899618764539293e-01,1.446251214355816161e+00
3.200000000000000000e+03,3.113301234451856025e+00,8.001191188524596765e-01,8.326205582491075230e-01,1.480561557350288826e+00
3.300000000000000000e+03,3.181178049642798378e+00,8.190340041755233003e-01,8.473074801248943189e-01,1.514836565342380759e+00
3.400000000000000000e+03,3.250197317517627305e+00,8.353149950552223313e-01,8.613692422482120969e-01,1.553513080214192543e+00
3.500000000000000000e+03,3.315127285072532182e+00,8.533204046306410717e-01,8.755181974689273394e-01,1.586288682972963437e+00
3.600000000000000000e+03,3.380071630919990522e+00,8.690583243026747118e-01,8.965629036459421553e-01,1.614450402971373766e+00
3.700000000000000000e+03,3.446897939844323133e+00,8.920571149555227564e-01,9.102288684430481780e-01,1.644611956445752199e+00
3.800000000000000000e+03,3.503441665850375308e+00,8.972020004929035508e-01,9.277571182780744996e-01,1.678482547079396925e+00
3.900000000000000000e+03,3.575783384801659803e+00,9.088447082136508204e-01,9.425209709567591299e-01,1.724417705631249742e+00
4.000000000000000000e+03,3.646761346103643664e+00,9.234320650736801417e-01,9.600317199305544724e-01,1.763297561099409050e+00
4.100000000000000000e+03,3.715901465385318403e+00,9.436571183863818879e-01,9.749593967003251649e-01,1.797284950298611239e+00
4.200000000000000000e+03,3.783255976247535735e+00,9.587723288110540087e-01,1.000349102924380285e+00,1.824134544512101552e+00
4.300000000000000000e+03,3.854882607992096144e+00,9.781137263267259963e-01,1.017198395075110229e+00,1.859570486590259808e+00
4.400000000000000000e+03,3.928881954806989540e+00,9.930746735158777483e-01,1.030891804444022286e+00,1.904915476847089506e+00
4.500000000000000000e+03,4.016816983722330647e+00,1.012628887661646271e+00,1.051077443755052299e+00,1.953110652305631856e+00
4.600000000000000000e+03,4.096120325455682831e+00,1.032250166702096683e+00,1.067574989146033104e+00,1.996295169607552822e+00
4.700000000000000000e+03,4.177236109724685953e+00,1.049080858129360916e+00,1.086782772449853551e+00,2.041372479145471708e+00
4.800000000000000000e+03,4.254513141647038310e+00,1.061679776850202206e+00,1.104525568029370852e+00,2.088307796767464808e+00
4.900000000000000000e+03,4.337592864825666084e+00,1.074795356870070107e+00,1.124446296747623641e+00,2.138351211207971669e+00
5.000000000000000000e+03,4.416430918039882414e+00,1.091313507390121895e+00,1.137716230937044548e+00,2.187401179712716193e+00
5.100000000000000000e+03,4.490365987941815185e+00,1.107500593268002431e+00,1.152582657765618412e+00,2.230282736908194341e+00
5.200000000000000000e+03,4.563284494604907593e+00,1.125043594646422118e+00,1.166441191685037015e+00,2.271799708273448015e+00
5.300000000000000000e+03,4.631875605242545824e+00,1.136966593838450112e+00,1.183923844114475710e+00,2.310985167289620001e+00
5.400000000000000000e+03,4.700076504762565222e+00,1.149135624403146094e+00,1.201272909201459571e+00,2.349667971157959112e+00
5.500000000000000000e+03,4.757290068812086048e+00,1.158233270179009899e+00,1.215342169700071917e+00,2.383714628933004676e+00
5.600000000000000000e+03,4.818887316676075727e+00,1.170517159583083222e+00,1.230212469948412712e+00,2.418157687144579793e+00
5.700000000000000000e+03,4.871702059005730945e+00,1.181393409956127405e+00,1.242047990639188360e+00,2.448260658410415846e+00
5.800000000000000000e+03,4.926330322353691393e+00,1.193289468159197231e+00,1.251830055547696663e+00,2.481210798646797500e+00
5.900000000000000000e+03,4.987101923972560691e+00,1.203306946897481744e+00,1.265080198037476844e+00,2.518714779037602103e+00
6.000000000000000000e+03,5.052453019949261659e+00,1.216380041922612509e+00,1.281581219096452395e+00,2.554491758930196976e+00
6.100000000000000000e+03,5.110132219624028416e+00,1.224113524196229097e+00,1.292329207902650268e+00,2.593689487525149051e+00
6.200000000000000000e+03,5.177602695697274271e+00,1.237474182115629651e+00,1.309541928318913584e+00,2.630586585262730814e+00
6.300000000000000000e+03,5.234079812826319511e+00,1.245576921435021855e+00,1.320857924926669869e+00,2.667644966464627121e+00
6.400000000000000000e+03,5.297970100380771541e+00,1.258053148393089238e+00,1.335594787746408496e+00,2.704322164241273807e+00
6.500000000000000000e+03,5.367910579906912005e+00,1.271306109997717204e+00,1.349266667003160336e+00,2.747337802906034021e+00
6.600000000000000000e+03,5.428384671269575357e+00,1.285467998543949220e+00,1.364275075397792580e+00,2.778641597327833779e+00
6.700000000000000000e+03,5.488921464472818812e+00,1.302473396642289893e+00,1.376514609663958444e+00,2.809933458166570475e+00
6.800000000000000000e+03,5.549050602963482071e+00,1.316303015748809147e+00,1.391179373091412597e+00,2.841568214123260105e+00
6.900000000000000000e+03,5.615515855744456886e+00,1.332100428510200718e+00,1.409901896420050038e+00,2.873513530814205907e+00
7.000000000000000000e+03,5.676547050979731779e+00,1.343661722815785442e+00,1.422299577988296537e+00,2.910585750175649800e+00
7.100000000000000000e+03,5.739120509774991774e+00,1.358668628916380738e+00,1.437935016215653006e+00,2.942516864642958474e+00
7.200000000000000000e+03,5.800373798199244035e+00,1.368551476538169664e+00,1.453278584506840554e+00,2.978543737154234261e+00
7.300000000000000000e+03,5.868590553683501021e+00,1.383266213506051612e+00,1.468994435977047708e+00,3.016329904200401479e+00
7.400000000000000000e+03,5.927448626849185054e+00,1.394605232749839940e+00,1.478245988963514446e+00,3.054597405135830890e+00
7.500000000000000000e+03,5.993219385763543627e+00,1.408076026102388578e+00,1.489698111957707294e+00,3.095445247703447755e+00
7.600000000000000000e+03,6.071214560260237647e+00,1.424413214001337025e+00,1.501919906427169993e+00,3.144881439831730408e+00
7.700000000000000000e+03,6.134890674615208539e+00,1.441751045910245832e+00,1.513815222079975875e+00,3.179324406624986388e+00
7.800000000000000000e+03,6.200155767745881619e+00,1.451000294385135669e+00,1.531045076036606334e+00,3.218110397324139171e+00
7.900000000000000000e+03,6.269812816331091554e+00,1.469911935279586634e+00,1.548747384887779299e+00,3.251153496163725176e+00
8.000000000000000000e+03,6.325934691749502292e+00,1.480030961634951847e+00,1.558440362559254000e+00,3.287463367555295779e+00
8.100000000000000000e+03,6.384304398020606008e+00,1.494106660091336192e+00,1.570361402920653182e+00,3.319836335008616857e+00
8.200000000000000000e+03,6.445766078608679450e+00,1.505092039594830844e+00,1.580083818617299851e+00,3.360590220396549199e+00
8.300000000000000000e+03,6.514117788753358340e+00,1.518922354184556456e+00,1.591703708198477729e+00,3.403491726370323711e+00
8.400000000000000000e+03,6.577008356816940626e+00,1.531238196210503499e+00,1.600301085857490646e+00,3.445469074748946703e+00
8.500000000000000000e+03,6.633768211552128591e+00,1.543091137357533338e+00,1.614686028259011419e+00,3.475991045935583834e+00
8.600000000000000000e+03,6.692207708155182289e+00,1.553013075607486471e+00,1.629255668882652497e+00,3.509938963665043765e+00
8.700000000000000000e+03,6.753702115167399711e+00,1.561455459645573196e+00,1.641915169201499936e+00,3.550331486320326579e+00
8.800000000000000000e+03,6.809150870022901536e+00,1.569935262481747085e+00,1.651494006151258631e+00,3.587721601389895820e+00
8.900000000000000000e+03,6.866676129055170108e+00,1.583767278089898589e+00,1.658365169621565993e+00,3.624543681343705082e+00
9.000000000000000000e+03,6.929129111340297520e+00,1.592976557305991747e+00,1.671614211733409405e+00,3.664538342300896367e+00
9.100000000000000000e+03,6.989048283135945283e+00,1.601990519019601766e+00,1.682092351242793216e+00,3.704965412873549635e+00
9.200000000000000000e+03,7.061971866833063771e+00,1.614140417019057638e+00,1.697075422749075191e+00,3.750756027064930720e+00
9.300000000000000000e+03,7.130701081348034265e+00,1.622334097178652401e+00,1.711777604491494076e+00,3.796589379677887788e+00
9.400000000000000000e+03,7.187055682776443355e+00,1.630897082159509681e+00,1.723190036207314701e+00,3.832968564409618750e+00
