t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.093361512438661849e-14,-1.156713613781334892e-15,5.861977570020826218e-15,6.228351168147128350e-15
1.000000000000000000e+02,2.562388428813709429e-01,7.759146202014059746e-02,7.772186799841600269e-02,1.009255128628143289e-01
2.000000000000000000e+02,3.454465243216513493e-01,1.011837464205211923e-01,9.533923185907358655e-02,1.489235460420565704e-01
3.000000000000000000e+02,4.096793478522179899e-01,1.171028457241491544e-01,1.117361649065919116e-01,1.808403372214769100e-01
4.000000000000000000e+02,4.127434491345639556e-01,1.173838267204697916e-01,1.095895671128759297e-01,1.857700553012182620e-01
5.000000000000000000e+02,4.176528230692039823e-01,1.124440347310342592e-01,1.089685920999969859e-01,1.962401962381727372e-01
6.000000000000000000e+02,4.127792427749462645e-01,1.101062762355590197e-01,1.069076454929909631e-01,1.957653210463962679e-01
7.000000000000000000e+02,4.227818881512975802e-01,1.153570399435582400e-01,1.105518440810254743e-01,1.968730041267139075e-01
8.000000000000000000e+02,4.388192884230981972e-01,1.228338356167460316e-01,1.162693718364210538e-01,1.997160809699310979e-01
9.000000000000000000e+02,4.592756503427851689e-01,1.307912468677969176e-01,1.212286785622632285e-01,2.072557249127250090e-01
1.000000000000000000e+03,4.798544834607751941e-01,1.361251013344716709e-01,1.253686848518599795e-01,2.183606972744435437e-01
1.100000000000000000e+03,4.958190682356897749e-01,1.382406967715295587e-01,1.279932762536140078e-01,2.295850952105462084e-01
1.200000000000000000e+03,5.075760097169691454e-01,1.403576277756120594e-01,1.311005736319951487e-01,2.361178083093618818e-01
1.300000000000000000e+03,5.138708697589041696e-01,1.422489407602330613e-01,1.302415258258080299e-01,2.413804031728630783e-01
1.400000000000000000e+03,5.295451736152294586e-01,1.459391458168531608e-01,1.343344016735809610e-01,2.492716261247953091e-01
1.500000000000000000e+03,5.464915903519225182e-01,1.511866299100636246e-01,1.394312937821809706e-01,2.558736666596778675e-01
1.600000000000000000e+03,5.677682964359325180e-01,1.578654207823654565e-01,1.450360420304480091e-01,2.648668336231190246e-01
1.700000000000000000e+03,5.861556085581718367e-01,1.641571986722914767e-01,1.475547273953587979e-01,2.744436824905215344e-01
1.800000000000000000e+03,6.025872123444914186e-01,1.667741190499195392e-01,1.516342655815813290e-01,2.841788277129905227e-01
1.900000000000000000e+03,6.197364546308152811e-01,1.709979060227950487e-01,1.545676203743305555e-01,2.941709282336896214e-01
2.000000000000000000e+03,6.384757809619342472e-01,1.752338381015254298e-01,1.593821353177480027e-01,3.038598075426608425e-01
2.100000000000000000e+03,6.551422960373525228e-01,1.811095207793266826e-01,1.623906204872075376e-01,3.116421547708183581e-01
2.200000000000000000e+03,6.717720434343467106e-01,1.856055318318009517e-01,1.675196106131195406e-01,3.186469009894262183e-01
2.300000000000000000e+03,6.872160593327174549e-01,1.889238389679806229e-01,1.698415900039811355e-01,3.284506303607557243e-01
2.400000000000000000e+03,6.988157947518300883e-01,1.921229210886025440e-01,1.696017560255084489e-01,3.370911176377191509e-01
2.500000000000000000e+03,7.212233779589444227e-01,1.992482561911652628e-01,1.738121204405175257e-01,3.481630013272616342e-01
2.600000000000000000e+03,7.397730824813083528e-01,2.034463437234857730e-01,1.773126067985876519e-01,3.590141319592349278e-01
2.700000000000000000e+03,7.578490986296587684e-01,2.080052111284782512e-01,1.806683005697222733e-01,3.691755869314582439e-01
2.800000000000000000e+03,7.697369561814568772e-01,2.093991206267346583e-01,1.840239356008872007e-01,3.763138999538350182e-01
2.900000000000000000e+03,7.847048966899952127e-01,2.136765134694526280e-01,1.869111024324728032e-01,3.841172807880697815e-01
3.000000000000000000e+03,8.004315697556600995e-01,2.179053917972589294e-01,1.914453935130644713e-01,3.910807844453366156e-01
3.100000000000000000e+03,8.179421498086256737e-01,2.215786142134624215e-01,1.958749426545300376e-01,4.004885929406332146e-01
3.200000000000000000e+03,8.362677882020146392e-01,2.262288712417945824e-01,1.974243839379415666e-01,4.126145330222785179e-01
3.300000000000000000e+03,8.609130446984942786e-01,2.324497711441630143e-01,2.036867755871344665e-01,4.247764979671968533e-01
3.400000000000000000e+03,8.846601380788734481e-01,2.378861039954536793e-01,2.091800569230260476e-01,4.375939771603937767e-01
3.500000000000000000e+03,9.008083639019817124e-01,2.393683205220095700e-01,2.138146487996988032e-01,4.476253945802733947e-01
3.600000000000000000e+03,9.138067473991799972e-01,2.435353429896733035e-01,2.164504852317745143e-01,4.538209191777321516e-01
3.700000000000000000e+03,9.290041903651831134e-01,2.490702994750356447e-01,2.193239348582586845e-01,4.606099560318887565e-01
3.800000000000000000e+03,9.419582429737647367e-01,2.537250964279990084e-01,2.216220110047613101e-01,4.666111355410044181e-01
3.900000000000000000e+03,9.578063708910844465e-01,2.584730536522345523e-01,2.268789360730325000e-01,4.724543811658173942e-01
4.000000000000000000e+03,9.728918006859101908e-01,2.611558056138894024e-01,2.312772763998570957e-01,4.804587186721637204e-01
4.100000000000000000e+03,9.868815738737927168e-01,2.634929484900802588e-01,2.336496458200477411e-01,4.897389795636647447e-01
4.200000000000000000e+03,1.003303361089414869e+00,2.674609815541231228e-01,2.359498782275450401e-01,4.998925013077467061e-01
4.300000000000000000e+03,1.021330080368638704e+00,2.704377911582550031e-01,2.402611866427068199e-01,5.106311025676768534e-01
