t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,3.927275171733413243e-14,1.969258089928871492e-15,-5.417888360170763602e-15,4.272138198757602494e-14
1.000000000000000000e+02,5.183971268152862688e-01,1.576107786792794452e-01,1.610263809919530720e-01,1.997599671440538072e-01
2.000000000000000000e+02,7.376717303564370720e-01,2.033859830899798771e-01,2.105934217459258517e-01,3.236923255205312877e-01
3.000000000000000000e+02,9.062485628319256747e-01,2.361118904855549760e-01,2.460345354847134625e-01,4.241021368616572640e-01
4.000000000000000000e+02,9.954051401788329700e-01,2.475255123765678356e-01,2.579772027031427828e-01,4.899024250991222962e-01
5.000000000000000000e+02,1.081859746653704324e+00,2.603416539128627361e-01,2.676581662104617343e-01,5.538599265303797425e-01
6.000000000000000000e+02,1.157435643468062381e+00,2.720467818240085434e-01,2.753205794653773020e-01,6.100682821786764798e-01
7.000000000000000000e+02,1.265283544723659670e+00,3.009625476050577508e-01,3.003393362906393582e-01,6.639816608279626164e-01
8.000000000000000000e+02,1.366972312456924854e+00,3.250736809415198936e-01,3.250620413059240876e-01,7.168365902094808728e-01
9.000000000000000000e+02,1.459469896695090751e+00,3.461066224630956478e-01,3.474672352357652816e-01,7.658960389962298221e-01
1.000000000000000000e+03,1.540355275913154021e+00,3.611412504235902987e-01,3.675529908474338692e-01,8.116610346421296862e-01
1.100000000000000000e+03,1.619887925639455384e+00,3.771285440166115555e-01,3.820344924099284833e-01,8.607248892129153450e-01
1.200000000000000000e+03,1.712582997498833137e+00,3.960123279908414062e-01,4.000873330781390402e-01,9.164833364298526908e-01
1.300000000000000000e+03,1.793899845185390252e+00,4.164179848594912192e-01,4.135418092726410033e-01,9.639400510532581956e-01
1.400000000000000000e+03,1.888622643806945778e+00,4.372135123525991429e-01,4.380482060870722338e-01,1.013360925367274401e+00
1.500000000000000000e+03,1.974747152850265142e+00,4.586639346442474841e-01,4.552282673883161768e-01,1.060854950817701425e+00
1.600000000000000000e+03,2.068668171233698949e+00,4.799500290031889493e-01,4.736214880579375786e-01,1.115096654172572643e+00
1.700000000000000000e+03,2.154367218280891283e+00,4.941891855642441267e-01,4.898316059553142199e-01,1.170346426761332825e+00
1.800000000000000000e+03,2.241056705727614951e+00,5.139275663280774564e-01,5.070860071153391324e-01,1.220043132284198251e+00
1.900000000000000000e+03,2.342151714230900961e+00,5.385417882430922898e-01,5.267511368381283532e-01,1.276858789149680318e+00
2.000000000000000000e+03,2.455682620425965190e+00,5.619579927364839467e-01,5.512264950287872889e-01,1.342498132660694177e+00
2.100000000000000000e+03,2.558796974660754842e+00,5.836744269618577841e-01,5.715068379340944027e-01,1.403615709764802988e+00
2.200000000000000000e+03,2.657704577532046031e+00,6.061472015915521094e-01,5.928950892654841764e-01,1.458662286675009856e+00
2.300000000000000000e+03,2.739688180665179829e+00,6.267799604157942017e-01,6.081597555814755030e-01,1.504748464667910124e+00
2.400000000000000000e+03,2.822971123117699044e+00,6.487338256562668048e-01,6.260517518084839361e-01,1.548185545652948081e+00
2.500000000000000000e+03,2.907137989198417483e+00,6.660440261895411718e-01,6.467493272522386594e-01,1.594344635756637540e+00
2.600000000000000000e+03,3.002560374890750339e+00,6.860221486678759195e-01,6.741342303403963232e-01,1.642403995882477874e+00
2.700000000000000000e+03,3.089643294809141238e+00,7.069229123082558797e-01,6.927279600632860745e-01,1.689992422437599284e+00
2.800000000000000000e+03,3.188639022605161522e+00,7.256046605007797634e-01,7.162624310888616730e-01,1.746771931015520085e+00
2.900000000000000000e+03,3.287964827246747213e+00,7.462967455494757818e-01,7.341771497693666548e-01,1.807490931927904665e+00
3.000000000000000000e+03,3.380895510232585721e+00,7.668452944155594864e-01,7.529534739685893596e-01,1.861096741848436764e+00
3.100000000000000000e+03,3.477122633238200144e+00,7.869557376193043741e-01,7.721098396899288563e-01,1.918057055928966692e+00
3.200000000000000000e+03,3.563805759372851156e+00,8.063803305543796318e-01,7.930778663789748162e-01,1.964347562439496597e+00
3.300000000000000000e+03,3.650530287848684274e+00,8.298367587670050227e-01,8.096058912746972869e-01,2.011087637806981743e+00
3.400000000000000000e+03,3.734958515710508298e+00,8.456799280091212845e-01,8.306704795878303571e-01,2.058608108113556767e+00
3.500000000000000000e+03,3.828969914651425999e+00,8.668022114134086298e-01,8.516714268212360883e-01,2.110496276416781392e+00
3.600000000000000000e+03,3.920997392597187048e+00,8.861079487416135825e-01,8.712827391979651726e-01,2.163606704657608404e+00
3.700000000000000000e+03,4.021092951183872444e+00,9.122504009570663319e-01,8.949265714194843957e-01,2.213915978807321494e+00
3.800000000000000000e+03,4.109486985766667821e+00,9.335681084466326274e-01,9.147416040013723881e-01,2.261177273318662806e+00
3.900000000000000000e+03,4.201004338349912715e+00,9.561740660848740969e-01,9.342856082359285441e-01,2.310544664029110073e+00
4.000000000000000000e+03,4.276185867996762369e+00,9.754673139768439416e-01,9.519103021978363444e-01,2.348808251822082305e+00
4.100000000000000000e+03,4.353628840522207000e+00,9.950373262322568246e-01,9.692334382301007745e-01,2.389358076059849623e+00
4.200000000000000000e+03,4.444874286334292712e+00,1.017337377974384172e+00,9.929525007446245999e-01,2.434584407615283830e+00
4.300000000000000000e+03,4.539761458113332537e+00,1.041420199035095084e+00,1.012495068640998586e+00,2.485846190437238867e+00
4.400000000000000000e+03,4.635321735261969778e+00,1.066151488416333448e+00,1.035239846145805886e+00,2.533930400699830443e+00
4.500000000000000000e+03,4.715047385556268011e+00,1.084372166559800066e+00,1.053297365286957943e+00,2.577377853709510447e+00
4.600000000000000000e+03,4.804412849022563492e+00,1.105893348836828327e+00,1.074838244930262476e+00,2.623681255255472244e+00
