t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,5.131312041939395385e-14,1.776356839400250465e-14,7.445433158892456049e-15,2.610411886649899316e-14
1.000000000000000000e+02,2.325257585728059961e-01,7.525082014762034255e-02,6.930052613171767961e-02,8.797441229346798786e-02
2.000000000000000000e+02,3.062642318437309163e-01,9.244348639999958039e-02,8.520453024521899843e-02,1.286162151985123514e-01
3.000000000000000000e+02,3.493281078217909674e-01,1.072974314767096288e-01,9.492431391802359786e-02,1.471063624270577408e-01
4.000000000000000000e+02,3.434832466821917674e-01,1.060542421849338390e-01,9.447700406834293185e-02,1.429520004289149826e-01
5.000000000000000000e+02,3.276448271982997928e-01,9.854981978412666321e-02,8.941189048091310876e-02,1.396831169332599931e-01
6.000000000000000000e+02,3.177544651199520342e-01,9.373560485608249671e-02,8.732974882839988906e-02,1.366891114354696346e-01
7.000000000000000000e+02,3.336640404119506353e-01,9.912301107243948195e-02,9.369046018736833237e-02,1.408505691521428071e-01
8.000000000000000000e+02,3.490435956384910776e-01,1.064871964061727405e-01,9.908706782147447267e-02,1.434693314108438367e-01
9.000000000000000000e+02,3.661371066732894697e-01,1.128610825951837648e-01,1.023283079705229193e-01,1.509477161075827856e-01
1.000000000000000000e+03,3.759008937990817589e-01,1.152706332738671485e-01,1.051114672136596040e-01,1.555187933115549925e-01
1.100000000000000000e+03,3.753057600216661571e-01,1.158179815860509443e-01,1.029512411975527508e-01,1.565365372380624343e-01
1.200000000000000000e+03,3.696604335971563904e-01,1.119759375957725539e-01,1.042453363041163650e-01,1.534391596972674854e-01
1.300000000000000000e+03,3.708577197696611982e-01,1.120689816333651778e-01,1.050876371505311269e-01,1.537011009857649213e-01
1.400000000000000000e+03,3.812234420505740129e-01,1.169821774503968237e-01,1.078986192798717381e-01,1.563426453203054234e-01
1.500000000000000000e+03,3.918855700636681982e-01,1.212355232060009086e-01,1.113462115338430952e-01,1.593038353238241667e-01
1.600000000000000000e+03,4.020153373529871121e-01,1.263785112315249926e-01,1.137531623523755087e-01,1.618836637690866109e-01
1.700000000000000000e+03,4.007965980432738884e-01,1.243384383042788477e-01,1.136813458543687594e-01,1.627768138846262813e-01
1.800000000000000000e+03,4.020616740723487181e-01,1.252420709029757329e-01,1.142046314575867194e-01,1.626149717117862381e-01
