t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,7.243546040758275997e-14,9.124067242479346907e-15,1.610378497218789688e-14,4.720760819291550829e-14
1.000000000000000000e+02,2.333072043036415744e-01,7.374506515072500046e-02,7.172780893093567978e-02,8.783433022198088025e-02
2.000000000000000000e+02,3.070504103274209751e-01,8.997083572150761654e-02,8.810840362836926121e-02,1.289711709775440973e-01
3.000000000000000000e+02,3.499089704763312381e-01,1.018062245922303211e-01,9.890168652367363478e-02,1.492010593604272961e-01
4.000000000000000000e+02,3.470062098921695148e-01,1.006960977006069458e-01,9.742476409449239705e-02,1.488853480970701304e-01
5.000000000000000000e+02,3.373333411491470923e-01,9.538835686216935728e-02,9.354915018858667164e-02,1.483958340983909940e-01
6.000000000000000000e+02,3.262980586647865056e-01,8.975075890943340351e-02,8.959726985192201232e-02,1.469500299034310620e-01
7.000000000000000000e+02,3.424878617284246030e-01,9.521179719855195345e-02,9.650139450012105991e-02,1.507746700297515619e-01
8.000000000000000000e+02,3.590431225569770124e-01,1.024181012520799516e-01,1.009873276141363685e-01,1.556376936907607200e-01
9.000000000000000000e+02,3.809265614494808383e-01,1.087273477126165372e-01,1.056805257495950778e-01,1.665186879872692649e-01
1.000000000000000000e+03,3.916480603709921460e-01,1.107983658461291904e-01,1.072889449297185077e-01,1.735607495951444201e-01
1.100000000000000000e+03,3.912131616756881480e-01,1.086499754850821092e-01,1.058483646433512754e-01,1.767148215472547079e-01
1.200000000000000000e+03,3.932319952948361563e-01,1.074979056258811849e-01,1.071026973771500579e-01,1.786313922918049135e-01
1.300000000000000000e+03,4.003498647640215125e-01,1.087534662072137531e-01,1.085568246498824774e-01,1.830395739069252958e-01
1.400000000000000000e+03,4.148737389118988816e-01,1.136671474933681064e-01,1.125477272640073023e-01,1.886588641545234868e-01
1.500000000000000000e+03,4.253062237561953673e-01,1.171003099732903646e-01,1.150315539158695000e-01,1.931743598670355444e-01
1.600000000000000000e+03,4.384122444610991098e-01,1.209257571325653008e-01,1.182016935929707940e-01,1.992847937355630428e-01
1.700000000000000000e+03,4.433988959698236254e-01,1.210525910762894064e-01,1.197914498221314822e-01,2.025548550714027785e-01
1.800000000000000000e+03,4.488282133479571390e-01,1.212805220077263907e-01,1.205502456972983999e-01,2.069974456429323484e-01
1.900000000000000000e+03,4.522839527704965445e-01,1.219127901331775038e-01,1.197133597559951051e-01,2.106578028813239634e-01
