t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-2.389199948993336749e-14,-9.778289289386066545e-15,1.700584117969583657e-14,-3.111955138024313909e-14
1.000000000000000000e+02,4.025205355621813141e-01,1.246613195393757867e-01,1.288553490012384617e-01,1.490038670215670380e-01
2.000000000000000000e+02,5.904961899444741702e-01,1.719059059360520947e-01,1.832485398509328123e-01,2.353417441574892632e-01
3.000000000000000000e+02,7.424897486353960741e-01,2.111710124579894710e-01,2.271624451247520327e-01,3.041562910526545149e-01
4.000000000000000000e+02,8.654364500628283219e-01,2.432554362845323337e-01,2.614430125249219694e-01,3.607380012533739633e-01
5.000000000000000000e+02,9.520551911700415593e-01,2.622218275644090935e-01,2.862016785062326818e-01,4.036316850993998395e-01
6.000000000000000000e+02,1.024927457051348467e+00,2.808532982592372163e-01,3.087756578468459634e-01,4.352985009452652321e-01
7.000000000000000000e+02,1.084497725726347284e+00,2.932351398367720741e-01,3.259917617419713087e-01,4.652708241476039563e-01
8.000000000000000000e+02,1.130563639605822512e+00,3.011750709481635369e-01,3.364697988305305754e-01,4.929187698271285112e-01
9.000000000000000000e+02,1.173287398166060314e+00,3.132893948018649066e-01,3.484836126615264429e-01,5.115143907026689085e-01
1.000000000000000000e+03,1.217176263144317483e+00,3.265415643364647513e-01,3.599509432021880673e-01,5.306837556056647198e-01
1.100000000000000000e+03,1.277413435741142633e+00,3.457680983381118400e-01,3.756998253141363708e-01,5.559455120888944224e-01
1.200000000000000000e+03,1.343212506992381483e+00,3.707351338259797235e-01,3.971853009252492850e-01,5.752920722411525301e-01
1.300000000000000000e+03,1.403401718466628534e+00,3.932679795617249896e-01,4.173876741618702257e-01,5.927460647430332630e-01
1.400000000000000000e+03,1.454722161255125323e+00,4.109286445784517960e-01,4.339316909726195215e-01,6.098618257040540058e-01
1.500000000000000000e+03,1.509461049709780012e+00,4.285026567878185699e-01,4.509659862966672317e-01,6.299924066252942101e-01
1.600000000000000000e+03,1.567209955750733741e+00,4.442620767729285047e-01,4.690635007373983312e-01,6.538843782404069049e-01
1.700000000000000000e+03,1.620671923641487266e+00,4.571192019496521652e-01,4.867462895096253961e-01,6.768064321822097051e-01
1.800000000000000000e+03,1.668984570543299517e+00,4.697181297319112936e-01,4.987273609921360484e-01,7.005390798192521196e-01
1.900000000000000000e+03,1.735196800647500037e+00,4.879249586024416163e-01,5.185566144216378071e-01,7.287152276234205583e-01
2.000000000000000000e+03,1.794942482795170546e+00,5.039891372653280133e-01,5.346825082370648685e-01,7.562708372927777756e-01
