t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-2.202404925100154287e-14,-5.770384170489251277e-15,2.398081733190338285e-15,-1.865174681370262988e-14
1.000000000000000000e+02,4.038071959627849150e-01,1.277926157295559972e-01,1.245643650815415199e-01,1.514502151516874118e-01
2.000000000000000000e+02,6.177641742912488576e-01,1.822153528171851777e-01,1.849434670338535314e-01,2.506053544402101485e-01
3.000000000000000000e+02,7.872708551812357403e-01,2.300664636447188049e-01,2.312180731700706759e-01,3.259863183664462594e-01
4.000000000000000000e+02,9.286504500556711506e-01,2.661204907544584275e-01,2.737631743191516476e-01,3.887667849820610755e-01
5.000000000000000000e+02,1.041825747494276921e+00,2.952372793399211659e-01,3.021966753227701696e-01,4.443917928315855859e-01
6.000000000000000000e+02,1.129979093228635545e+00,3.150883614006193545e-01,3.266844043220982208e-01,4.882063275059179697e-01
7.000000000000000000e+02,1.214772492420939098e+00,3.350568906120067192e-01,3.490035322369141602e-01,5.307120695720183301e-01
8.000000000000000000e+02,1.289602006549969371e+00,3.525244136963793240e-01,3.675245175293989641e-01,5.695530753241911937e-01
9.000000000000000000e+02,1.366096180486788381e+00,3.743519124663103881e-01,3.872743237163035479e-01,6.044699443041745557e-01
1.000000000000000000e+03,1.447301821889626305e+00,3.997683281905771713e-01,4.057945709665252143e-01,6.417389227325238643e-01
1.100000000000000000e+03,1.531924541466280321e+00,4.255107097278177930e-01,4.255296579508578425e-01,6.808841737876045741e-01
1.200000000000000000e+03,1.628952569385646143e+00,4.536892550237218158e-01,4.537427249051656508e-01,7.215205894567585654e-01
1.300000000000000000e+03,1.718177030569877584e+00,4.811690557839929383e-01,4.761309772588027123e-01,7.608769975270820440e-01
1.400000000000000000e+03,1.802848886308111798e+00,5.035809338104746402e-01,5.041012616743000274e-01,7.951666908233371300e-01
1.500000000000000000e+03,1.882945239155735528e+00,5.259048912710205803e-01,5.295645176281812416e-01,8.274758302565338175e-01
1.600000000000000000e+03,1.969961027972028100e+00,5.524453527050012802e-01,5.551388820142502123e-01,8.623767932527766078e-01
1.700000000000000000e+03,2.054502602520392962e+00,5.736232068181954524e-01,5.805320893309617869e-01,9.003473063712359448e-01
1.800000000000000000e+03,2.129715702596245208e+00,5.963413697322833551e-01,6.009460578765778438e-01,9.324282749873837872e-01
1.900000000000000000e+03,2.197872307875632369e+00,6.156671004109447454e-01,6.220552274709267859e-01,9.601499799937606161e-01
2.000000000000000000e+03,2.266504466837960585e+00,6.345638928715676697e-01,6.415232166767771416e-01,9.904173572896158850e-01
2.100000000000000000e+03,2.328180185990381457e+00,6.520470288127052649e-01,6.613908343289270908e-01,1.014742322848749101e+00
2.200000000000000000e+03,2.391620574612214334e+00,6.692579700762149031e-01,6.809495269727611211e-01,1.041413077563238421e+00
2.300000000000000000e+03,2.452375259853380562e+00,6.873861092545584528e-01,6.949875558441418466e-01,1.070001594754680374e+00
2.400000000000000000e+03,2.512445674834838272e+00,7.017419490233673951e-01,7.138050497856952559e-01,1.096898676025775732e+00
2.500000000000000000e+03,2.579299577185590664e+00,7.224752344851351760e-01,7.327259009788550381e-01,1.124098441721600228e+00
2.600000000000000000e+03,2.646181912282632887e+00,7.373894396208541258e-01,7.563495239528681413e-01,1.152442948708910953e+00
2.700000000000000000e+03,2.713058104856258534e+00,7.552833838337862371e-01,7.766627345838337249e-01,1.181111986438638572e+00
2.800000000000000000e+03,2.777471733300659551e+00,7.738619803148444332e-01,7.957298317267088583e-01,1.207879921259106260e+00
2.900000000000000000e+03,2.834086440829108433e+00,7.869233423337933520e-01,8.117713832146072894e-01,1.235391715280708125e+00
3.000000000000000000e+03,2.899542515710818780e+00,8.058921519884162388e-01,8.263273828525047326e-01,1.267322980869897808e+00
3.100000000000000000e+03,2.968385210812716224e+00,8.214683092825536548e-01,8.415391083184843302e-01,1.305377793211678128e+00
3.200000000000000000e+03,3.033307156336518595e+00,8.349833983756020928e-01,8.547396427913349637e-01,1.343584115169581539e+00
3.300000000000000000e+03,3.098660860755377389e+00,8.492185597298611555e-01,8.685226702958969147e-01,1.380919630729619207e+00
3.400000000000000000e+03,3.162698653939171933e+00,8.664968226814060426e-01,8.821973642156274442e-01,1.414004467042138558e+00
3.500000000000000000e+03,3.221465303284464010e+00,8.824466019794605653e-01,8.983967245636221843e-01,1.440621976741381260e+00
3.600000000000000000e+03,3.281387878646442324e+00,9.001019691880912665e-01,9.153140926848395420e-01,1.465971816773511405e+00
3.700000000000000000e+03,3.335200753828624798e+00,9.142830955515321989e-01,9.315860193265619316e-01,1.489331638950530445e+00
3.800000000000000000e+03,3.396903792919785392e+00,9.335097968284079561e-01,9.481331817866796019e-01,1.515260814304697945e+00
3.900000000000000000e+03,3.449674868770822300e+00,9.481555147080600321e-01,9.650825629160447727e-01,1.536436791146717384e+00
4.000000000000000000e+03,3.511538780992943032e+00,9.669517908359210878e-01,9.855885257679677380e-01,1.558998464389053984e+00
4.100000000000000000e+03,3.576035965277284845e+00,9.873670590193655006e-01,1.002458182547727672e+00,1.586210723710191672e+00
4.200000000000000000e+03,3.636930267030248132e+00,1.005293405598825851e+00,1.017583808021174097e+00,1.614053053410248184e+00
4.300000000000000000e+03,3.688862079466017185e+00,1.021454870290442241e+00,1.031925495887933142e+00,1.635481713287642025e+00
4.400000000000000000e+03,3.739055015520670100e+00,1.034314071323033213e+00,1.046513905732824989e+00,1.658227038464811898e+00
4.500000000000000000e+03,3.786930572974651188e+00,1.050440273831833027e+00,1.061455709684266058e+00,1.675034589458551881e+00
4.600000000000000000e+03,3.830513454547342711e+00,1.061332046504029236e+00,1.081170333646999548e+00,1.688011074396313926e+00
4.700000000000000000e+03,3.873643539040724448e+00,1.074866282368173831e+00,1.097202050632688053e+00,1.701575206039862564e+00
4.800000000000000000e+03,3.903804242618214460e+00,1.084433133399346216e+00,1.108871381329131545e+00,1.710499727889736477e+00
4.900000000000000000e+03,3.946543901751108585e+00,1.101834670826446594e+00,1.122437125281412262e+00,1.722272105643249729e+00
5.000000000000000000e+03,4.000303576498240865e+00,1.119676953816561848e+00,1.142254473022846772e+00,1.738372149658832244e+00
5.100000000000000000e+03,4.048834803273472005e+00,1.136363695417959896e+00,1.156268780083318681e+00,1.756202327772193428e+00
5.200000000000000000e+03,4.091631942654682774e+00,1.151484189209301956e+00,1.166795643464225929e+00,1.773352109981155333e+00
5.300000000000000000e+03,4.138354361306774365e+00,1.169739258914277436e+00,1.178542592767177100e+00,1.790072509625319608e+00
5.400000000000000000e+03,4.181081977661943228e+00,1.184614785644310553e+00,1.192201227663582719e+00,1.804265964354049512e+00
5.500000000000000000e+03,4.216804794621221930e+00,1.193930858279629303e+00,1.204838443506204726e+00,1.818035492835388123e+00
5.600000000000000000e+03,4.268175362049793087e+00,1.208169540080171966e+00,1.225691721707655057e+00,1.834314100261966063e+00
5.700000000000000000e+03,4.312366858599176567e+00,1.220507835891514237e+00,1.240543949460946704e+00,1.851315073246715404e+00
5.800000000000000000e+03,4.362632492434727283e+00,1.235190321148229575e+00,1.259393363281772205e+00,1.868048808004725503e+00
5.900000000000000000e+03,4.419421979730924654e+00,1.250681076109785739e+00,1.276594517930512040e+00,1.892146385690626875e+00
6.000000000000000000e+03,4.482426195607740027e+00,1.270223097232645149e+00,1.299248318480379805e+00,1.912954779894714630e+00
6.100000000000000000e+03,4.538534941563828085e+00,1.288781897173637336e+00,1.320534130804016604e+00,1.929218913586173922e+00
6.200000000000000000e+03,4.586152297279729950e+00,1.302245854700848193e+00,1.338837968431235925e+00,1.945068474147645166e+00
6.300000000000000000e+03,4.630756295949261414e+00,1.314589913117710562e+00,1.355018012633709024e+00,1.961148370197842272e+00
6.400000000000000000e+03,4.684734442435506629e+00,1.329468819312616734e+00,1.373988939905146145e+00,1.981276683217743750e+00
6.500000000000000000e+03,4.730326452511351754e+00,1.341045391569355427e+00,1.389416399028083449e+00,1.999864661913912656e+00
6.600000000000000000e+03,4.778152446728838321e+00,1.353398767239639700e+00,1.405193865989196933e+00,2.019559813500001688e+00
6.700000000000000000e+03,4.825449600866561717e+00,1.368667136763976888e+00,1.422602922064123421e+00,2.034179542038461186e+00
