t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.817527609896766792e-14,2.982799192826254747e-15,1.765347127739384245e-14,-2.460994371252429674e-15
1.000000000000000000e+02,4.010687836744411539e-01,1.245300413439534432e-01,1.263090068511445174e-01,1.502297354793432904e-01
2.000000000000000000e+02,6.132846121368510373e-01,1.793198140668152696e-01,1.846544546697728439e-01,2.493103434002628127e-01
3.000000000000000000e+02,7.776513951847711104e-01,2.219618767842868323e-01,2.308133272625314536e-01,3.248761911379526857e-01
4.000000000000000000e+02,9.124251319501492929e-01,2.559625827508458795e-01,2.676202075948847514e-01,3.888423416044186065e-01
5.000000000000000000e+02,1.017460556612945100e+00,2.818213210321734441e-01,2.941195660198394068e-01,4.415196695609324706e-01
6.000000000000000000e+02,1.104041386019442017e+00,3.003883431359112843e-01,3.173300857224556348e-01,4.863229571610749313e-01
7.000000000000000000e+02,1.181709944392172806e+00,3.180397973631931552e-01,3.341593266869399836e-01,5.295108203420396675e-01
8.000000000000000000e+02,1.250325217884550977e+00,3.327721486136575035e-01,3.495552402575723971e-01,5.679978290133211871e-01
9.000000000000000000e+02,1.320954983111865433e+00,3.507050459102833417e-01,3.636607583770317120e-01,6.065891788245504346e-01
1.000000000000000000e+03,1.398278456011526449e+00,3.707806361942118656e-01,3.809019967658572869e-01,6.465958230514573524e-01
1.100000000000000000e+03,1.483360313998225877e+00,3.943432607407950097e-01,4.025017293046393441e-01,6.865153239527913565e-01
1.200000000000000000e+03,1.568583775821770887e+00,4.175045692537984188e-01,4.255643309139403030e-01,7.255148756540323873e-01
1.300000000000000000e+03,1.648372668154409082e+00,4.383118903516373677e-01,4.460591319662514653e-01,7.640016458365200824e-01
1.400000000000000000e+03,1.723000561128711583e+00,4.575451757923517104e-01,4.661038171667419294e-01,7.993515681696178321e-01
1.500000000000000000e+03,1.799880133653114056e+00,4.768771085950072042e-01,4.868275748064060937e-01,8.361754502517008136e-01
1.600000000000000000e+03,1.875948644681587618e+00,4.961605406404466234e-01,5.056081145614789163e-01,8.741799894796621340e-01
1.700000000000000000e+03,1.958033156268841779e+00,5.151252852715816344e-01,5.269548500877667685e-01,9.159530209094932651e-01
1.800000000000000000e+03,2.037943758746463718e+00,5.359941135050743100e-01,5.452876274357714159e-01,9.566620178056181034e-01
1.900000000000000000e+03,2.117127078820676633e+00,5.552303922021546434e-01,5.664891552559302434e-01,9.954075313625917465e-01
2.000000000000000000e+03,2.192538596848262689e+00,5.741908381915340476e-01,5.847902824034799663e-01,1.033557476253249119e+00
2.100000000000000000e+03,2.261654334264635136e+00,5.898302678549919298e-01,6.025472505002530399e-01,1.069276815909389944e+00
2.200000000000000000e+03,2.336950800831744335e+00,6.067349980874389148e-01,6.223598599834406775e-01,1.107855942760864520e+00
2.300000000000000000e+03,2.415984974781353767e+00,6.251341858469574575e-01,6.410931671092633399e-01,1.149757621825132858e+00
2.400000000000000000e+03,2.495717101272378002e+00,6.428110746911944728e-01,6.629340493650403010e-01,1.189971977216143229e+00
2.500000000000000000e+03,2.578029704718130422e+00,6.642794030540793981e-01,6.829778105570619706e-01,1.230772491106989275e+00
2.600000000000000000e+03,2.658194346119987284e+00,6.807363709940942309e-01,7.050186852396095327e-01,1.272439289886283964e+00
2.700000000000000000e+03,2.733438689850128167e+00,6.964497003225981198e-01,7.215689320327873801e-01,1.315420057494742112e+00
2.800000000000000000e+03,2.809678765631293373e+00,7.129173833891546685e-01,7.396950797075563244e-01,1.357066302534581936e+00
2.900000000000000000e+03,2.885503677188268057e+00,7.282471229681597436e-01,7.581833453063363537e-01,1.399073208913772071e+00
3.000000000000000000e+03,2.960637951691836189e+00,7.464854820651812828e-01,7.738228596789173963e-01,1.440329609947736955e+00
3.100000000000000000e+03,3.039159748341116796e+00,7.630549122927406946e-01,7.897625876255599531e-01,1.486342248422815926e+00
3.200000000000000000e+03,3.111128662450042270e+00,7.778518493185669902e-01,8.055566008687792268e-01,1.527720212262695831e+00
3.300000000000000000e+03,3.186845083335819506e+00,7.928923721674183689e-01,8.228687148226471182e-01,1.571083996345754130e+00
3.400000000000000000e+03,3.260481792867306439e+00,8.083507629979455045e-01,8.379902559777322457e-01,1.614140773891628688e+00
3.500000000000000000e+03,3.334164576253037193e+00,8.245855346958369525e-01,8.559028375899586649e-01,1.653676203967241021e+00
3.600000000000000000e+03,3.410250086069887221e+00,8.431506876404237794e-01,8.741567443666417025e-01,1.692942654062822072e+00
3.700000000000000000e+03,3.487505856310297414e+00,8.614100947040976841e-01,8.956324547105661837e-01,1.730463306895633435e+00
3.800000000000000000e+03,3.562682568356656088e+00,8.791862833201090632e-01,9.150636894109211994e-01,1.768432595625625714e+00
3.900000000000000000e+03,3.635943864336113496e+00,8.965436938655878540e-01,9.328340180590846131e-01,1.806566152411441140e+00
4.000000000000000000e+03,3.711381615806209400e+00,9.147510472708929585e-01,9.525919090603910400e-01,1.844038659474924957e+00
4.100000000000000000e+03,3.787473911184136455e+00,9.330886301413423567e-01,9.692573522100037531e-01,1.885127928832790900e+00
4.200000000000000000e+03,3.858694053858635176e+00,9.497999177491829315e-01,9.836605034305114792e-01,1.925233632678940987e+00
