t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-1.799255189283145581e-15,-1.321165399303936323e-15,9.058725991550886647e-15,-9.536815781530095313e-15
1.000000000000000000e+02,3.107454874617667784e-01,9.406726241602128558e-02,9.447841958164787668e-02,1.221998054640976161e-01
2.000000000000000000e+02,4.390911999470287763e-01,1.215655926671181941e-01,1.291821633240017309e-01,1.883434439559088514e-01
3.000000000000000000e+02,5.379232425266285977e-01,1.450440925502823331e-01,1.547798362654471127e-01,2.380993137108991520e-01
4.000000000000000000e+02,5.846257292689414076e-01,1.547163178940172135e-01,1.664411153909704510e-01,2.634682959839537153e-01
5.000000000000000000e+02,6.192922895077751511e-01,1.620668411084499050e-01,1.740189901968617892e-01,2.832064582024634847e-01
6.000000000000000000e+02,6.537562372158174373e-01,1.675546562109460624e-01,1.782593855956912388e-01,3.079421954091800528e-01
7.000000000000000000e+02,6.914116855798164707e-01,1.759073264887549559e-01,1.846050338459867268e-01,3.308993252450748712e-01
8.000000000000000000e+02,7.287032308891970844e-01,1.864799946822039423e-01,1.909363972511571028e-01,3.512868389558360116e-01
9.000000000000000000e+02,7.764967265548314845e-01,1.994879045053992717e-01,2.039505766046270097e-01,3.730582454448051477e-01
1.000000000000000000e+03,8.308318935938641125e-01,2.115893491841062679e-01,2.153799749022274612e-01,4.038625695075303557e-01
1.100000000000000000e+03,8.761285955536592951e-01,2.184841323467381913e-01,2.272236712396034086e-01,4.304207919673176397e-01
1.200000000000000000e+03,9.206892364479087876e-01,2.271646382597058422e-01,2.339706369497372429e-01,4.595539612384657024e-01
1.300000000000000000e+03,9.613414158530064757e-01,2.328530792213684975e-01,2.447405342124845118e-01,4.837478024191534942e-01
1.400000000000000000e+03,1.001318740758393666e+00,2.420013276526202795e-01,2.510741624529856941e-01,5.082432506527877480e-01
1.500000000000000000e+03,1.043806422280995738e+00,2.510010423630294474e-01,2.585561457344253133e-01,5.342492341835409775e-01
1.600000000000000000e+03,1.091508070288492060e+00,2.650177093503000569e-01,2.656741062151389277e-01,5.608162547230529649e-01
1.700000000000000000e+03,1.129466277662537266e+00,2.714615814230361690e-01,2.737589472368626708e-01,5.842457490026384814e-01
1.800000000000000000e+03,1.172528770856555047e+00,2.805156249470434071e-01,2.838900063134765506e-01,6.081231395960351449e-01
1.900000000000000000e+03,1.217345010691021745e+00,2.885383352736541340e-01,2.953085710547872500e-01,6.334981043625804720e-01
2.000000000000000000e+03,1.267166344106304576e+00,2.965109412800706057e-01,3.094587090554962172e-01,6.611966937707377534e-01
2.100000000000000000e+03,1.315894490635194813e+00,3.041685352420246957e-01,3.203273727515801861e-01,6.913985826415899316e-01
2.200000000000000000e+03,1.359485875732097560e+00,3.124648295707195267e-01,3.273896005895826078e-01,7.196314455717953695e-01
2.300000000000000000e+03,1.399449021563375695e+00,3.175323488218623202e-01,3.321542207639844313e-01,7.497624519775289986e-01
2.400000000000000000e+03,1.443111747979673565e+00,3.223880856357684843e-01,3.386090117835335311e-01,7.821146505603715493e-01
2.500000000000000000e+03,1.483849279259744414e+00,3.278806550381088702e-01,3.461257220948962821e-01,8.098429021267392613e-01
2.600000000000000000e+03,1.523446300374809770e+00,3.354385735356850695e-01,3.544282224235694723e-01,8.335795044155552835e-01
2.700000000000000000e+03,1.565924110071498454e+00,3.439485256564713822e-01,3.652088360246248944e-01,8.567667483904021219e-01
2.800000000000000000e+03,1.605672530922519492e+00,3.515316876085174957e-01,3.726751854500351402e-01,8.814656578639666895e-01
2.900000000000000000e+03,1.648167797350598596e+00,3.600408000984604562e-01,3.788665962858720482e-01,9.092604009662661468e-01
3.000000000000000000e+03,1.684393744754267619e+00,3.656730237889521673e-01,3.850104835516856561e-01,9.337102374136296845e-01
