t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.604341659522390526e-14,-6.950690023543870981e-15,2.238348395522393856e-14,6.106226635438360972e-16
1.000000000000000000e+02,2.297826361726012789e-01,6.982658301437641435e-02,7.340122101548386679e-02,8.655483214274098391e-02
2.000000000000000000e+02,3.095423362535920653e-01,8.624428829828548193e-02,9.158709404635054230e-02,1.317109539089560410e-01
3.000000000000000000e+02,3.598719319297212227e-01,9.769273745802847797e-02,1.047220352870319032e-01,1.574571591846608554e-01
4.000000000000000000e+02,3.664603534270631791e-01,9.798982936330921656e-02,1.035706081966309561e-01,1.648999158671229925e-01
5.000000000000000000e+02,3.690120928471795625e-01,9.724572005753986947e-02,1.020509997029017263e-01,1.697153730867379529e-01
6.000000000000000000e+02,3.592377970364452611e-01,9.437825566385830978e-02,9.570941507389692238e-02,1.691501262986900289e-01
7.000000000000000000e+02,3.672882313256244924e-01,9.568850141425810918e-02,1.002449762303732061e-01,1.713547536809931771e-01
8.000000000000000000e+02,3.852880156170511161e-01,1.005344309276956088e-01,1.083189062026743282e-01,1.764346784866811790e-01
9.000000000000000000e+02,3.987179233935618239e-01,1.027777793456519928e-01,1.110548116130462698e-01,1.848853324348635474e-01
1.000000000000000000e+03,4.130988129023217548e-01,1.066524953899592454e-01,1.127764104869038719e-01,1.936699070254586652e-01
1.100000000000000000e+03,4.179688614360296262e-01,1.076800763711317499e-01,1.132629674629979794e-01,1.970258176018999385e-01
1.200000000000000000e+03,4.212952340916750194e-01,1.068330760994654349e-01,1.139531984664120950e-01,2.005089595257975310e-01
1.300000000000000000e+03,4.212914813487220744e-01,1.061809866913585171e-01,1.134619043848638792e-01,2.016485902724996504e-01
1.400000000000000000e+03,4.368131839737429134e-01,1.088365931614155152e-01,1.171844684977705747e-01,2.107921223145567957e-01
1.500000000000000000e+03,4.505637131258302674e-01,1.121406624871126717e-01,1.196676662682617936e-01,2.187553843704558021e-01
1.600000000000000000e+03,4.627792131319407587e-01,1.153217784991547867e-01,1.217031451623216548e-01,2.257542894704643310e-01
1.700000000000000000e+03,4.611466645934073627e-01,1.136913428685598360e-01,1.214560427351506766e-01,2.259992789896968779e-01
1.800000000000000000e+03,4.687029621533662649e-01,1.120529240843605445e-01,1.238676570415665756e-01,2.327823810274391447e-01
1.900000000000000000e+03,4.728041128603600041e-01,1.118648018069988009e-01,1.243911130453188019e-01,2.365481980080423874e-01
2.000000000000000000e+03,4.798427298422012766e-01,1.142744332866998808e-01,1.241847796236390106e-01,2.413835169318623852e-01
2.100000000000000000e+03,4.870846297749970577e-01,1.165906953006329710e-01,1.265297487892170225e-01,2.439641856851470503e-01
2.200000000000000000e+03,4.934941643097124353e-01,1.189655193361255636e-01,1.276747059272587970e-01,2.468539390463280747e-01
2.300000000000000000e+03,5.020762180033144784e-01,1.201449519279885747e-01,1.308986290686937615e-01,2.510326370066320867e-01
2.400000000000000000e+03,5.124225449244499409e-01,1.216976826679093265e-01,1.345370498801735648e-01,2.561878123763671189e-01
2.500000000000000000e+03,5.206163073727521073e-01,1.236570585858031424e-01,1.372515756551739019e-01,2.597076731317751186e-01
2.600000000000000000e+03,5.287228430782695554e-01,1.268876618574396598e-01,1.375245974385648773e-01,2.643105837822649629e-01
2.700000000000000000e+03,5.367304192875202995e-01,1.268217658963463335e-01,1.386563547941651875e-01,2.712522985970087785e-01
2.800000000000000000e+03,5.520635933990434285e-01,1.332336535512542719e-01,1.383330860738266055e-01,2.804968537739626067e-01
2.900000000000000000e+03,5.615348492196541308e-01,1.326101829874582749e-01,1.424715757912072278e-01,2.864530904409886003e-01
3.000000000000000000e+03,5.745361148510146343e-01,1.347232255684770730e-01,1.478704916066396202e-01,2.919423976758979689e-01
3.100000000000000000e+03,5.744117506940931150e-01,1.329796056049781794e-01,1.490552833012505074e-01,2.923768617878644283e-01
3.200000000000000000e+03,5.820056295587388018e-01,1.364602131467455570e-01,1.482689623738333573e-01,2.972764540381599430e-01
3.300000000000000000e+03,5.882237825187774938e-01,1.391177008016670213e-01,1.475978356071074304e-01,3.015082461100029865e-01
3.400000000000000000e+03,5.998156250912265453e-01,1.427838423834502379e-01,1.507709858591741447e-01,3.062607968486021348e-01
3.500000000000000000e+03,6.151053351504776057e-01,1.469637025914708184e-01,1.540074082849414161e-01,3.141342242740653989e-01
3.600000000000000000e+03,6.309711552977101956e-01,1.492354340260126366e-01,1.583683650984133995e-01,3.233673561732841040e-01
3.700000000000000000e+03,6.382989457521699439e-01,1.486368127101965475e-01,1.601225270721638727e-01,3.295396059698095237e-01
3.800000000000000000e+03,6.415654035530462540e-01,1.467980907755302711e-01,1.615204796519756347e-01,3.332468331255403760e-01
3.900000000000000000e+03,6.491198323539748571e-01,1.487960366930399791e-01,1.639695415348927654e-01,3.363542541260420848e-01
4.000000000000000000e+03,6.562333355289976522e-01,1.514213856322699503e-01,1.643467948521815936e-01,3.404651550445461083e-01
4.100000000000000000e+03,6.688142785055593009e-01,1.539211339112860344e-01,1.670255099914030317e-01,3.478676346028702904e-01
4.200000000000000000e+03,6.749109484169003581e-01,1.563313286434135641e-01,1.681439403050851156e-01,3.504356794684017062e-01
4.300000000000000000e+03,6.769807134566909745e-01,1.575133621031017950e-01,1.691415445704274878e-01,3.503258067831617195e-01
4.400000000000000000e+03,6.859393909638649145e-01,1.594975179126807974e-01,1.727814916756841290e-01,3.536603813754999326e-01
4.500000000000000000e+03,6.920444693544517412e-01,1.590342603840552704e-01,1.762279170511667215e-01,3.567822919192297215e-01
4.600000000000000000e+03,7.028538521347222900e-01,1.613552934370104108e-01,1.781937047918040196e-01,3.633048539059078319e-01
4.700000000000000000e+03,7.138688079446607881e-01,1.632596855995197549e-01,1.804173674908224057e-01,3.701917548543186554e-01
4.800000000000000000e+03,7.267183743615048819e-01,1.684158037270164776e-01,1.819752016195303468e-01,3.763273690149581130e-01
4.900000000000000000e+03,7.433447777457986572e-01,1.703591351854371605e-01,1.849410772455849783e-01,3.880445653147764906e-01
5.000000000000000000e+03,7.482808550512721757e-01,1.706889987608180004e-01,1.857330650533406402e-01,3.918587912371135351e-01
5.100000000000000000e+03,7.532744787536025388e-01,1.707707122298124658e-01,1.869961541895570067e-01,3.955076123342329830e-01
5.200000000000000000e+03,7.649409395999752226e-01,1.722821550002754110e-01,1.888747059998343025e-01,4.037840785998655369e-01
5.300000000000000000e+03,7.759915840623538008e-01,1.736676962517793299e-01,1.913147162762509068e-01,4.110091715343235919e-01
5.400000000000000000e+03,7.871430338175862129e-01,1.776170190443493169e-01,1.920392800658101140e-01,4.174867347074268653e-01
5.500000000000000000e+03,7.947312890241522432e-01,1.818967818072937392e-01,1.919697422614041749e-01,4.208647649554543291e-01
5.600000000000000000e+03,8.094153259550330715e-01,1.841199355168753327e-01,1.958518628877539969e-01,4.294435275504037142e-01
5.700000000000000000e+03,8.239946731830626314e-01,1.867610992143702020e-01,1.992902634816518248e-01,4.379433104870406046e-01
5.800000000000000000e+03,8.366131061735888608e-01,1.860303290364082318e-01,2.030446559498830794e-01,4.475381211872974663e-01
