t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,3.696487560489458575e-14,-1.667416205108907255e-15,1.344965805394338203e-14,2.518263375606011512e-14
1.000000000000000000e+02,2.308217040063918757e-01,7.284713639127614326e-02,6.964658697650909225e-02,8.832798063860659854e-02
2.000000000000000000e+02,3.079167772386046664e-01,8.967860866291588184e-02,8.435963156159247134e-02,1.338785370140963271e-01
3.000000000000000000e+02,3.583204763182371022e-01,1.004924802426434421e-01,9.549633419566770642e-02,1.623316618799260092e-01
4.000000000000000000e+02,3.650033522955957177e-01,1.009741611994955240e-01,9.426898028935472296e-02,1.697602108067455262e-01
5.000000000000000000e+02,3.675086133054308313e-01,1.000462829963396638e-01,9.262837765131710921e-02,1.748339526577740166e-01
6.000000000000000000e+02,3.578239649961982849e-01,9.659398376906658257e-02,8.712774472580257779e-02,1.741022365013290829e-01
7.000000000000000000e+02,3.694063362168464870e-01,9.970310341277965893e-02,9.243811716967885450e-02,1.772651156343879320e-01
8.000000000000000000e+02,3.882144389833819820e-01,1.051388808784893686e-01,9.972154973200671180e-02,1.833540083728859571e-01
9.000000000000000000e+02,4.048241489109692393e-01,1.078617799160767748e-01,1.029683559420684347e-01,1.939940130528240159e-01
1.000000000000000000e+03,4.187229411237776699e-01,1.101013605504650855e-01,1.044536642932265141e-01,2.041679162800860425e-01
1.100000000000000000e+03,4.227377437318727282e-01,1.097892384290080486e-01,1.042355268916770744e-01,2.087129784111876329e-01
1.200000000000000000e+03,4.282727515370822746e-01,1.103810085961074439e-01,1.040227348602668495e-01,2.138690080807079952e-01
1.300000000000000000e+03,4.357136050802161154e-01,1.123056208724546728e-01,1.053227680442559988e-01,2.180852161635054021e-01
1.400000000000000000e+03,4.485687617571660901e-01,1.136123082283394120e-01,1.076118774593246147e-01,2.273445760695020912e-01
1.500000000000000000e+03,4.609428607190990679e-01,1.157972426850567976e-01,1.094567682139669790e-01,2.356888498200752913e-01
1.600000000000000000e+03,4.700591609754989908e-01,1.184203481974867994e-01,1.098982993077689957e-01,2.417405134702432512e-01
1.700000000000000000e+03,4.747250145700372959e-01,1.189049355740337127e-01,1.109761340214086012e-01,2.448439449745949681e-01
1.800000000000000000e+03,4.781557973091269953e-01,1.172703551351859108e-01,1.108795272005450999e-01,2.500059149733959707e-01
1.900000000000000000e+03,4.830096141350188610e-01,1.174198896666115433e-01,1.111375777802092735e-01,2.544521466881980443e-01
2.000000000000000000e+03,4.902023030783800306e-01,1.176129241125800778e-01,1.121895996310844773e-01,2.603997793347154754e-01
2.100000000000000000e+03,4.987227204160150085e-01,1.198432023252781753e-01,1.129727469168998882e-01,2.659067711738369311e-01
2.200000000000000000e+03,5.074213539213313640e-01,1.221744959432911060e-01,1.154284747337426947e-01,2.698183832442975771e-01
2.300000000000000000e+03,5.164847983861614589e-01,1.247550928874829185e-01,1.174906339598339455e-01,2.742390715388445810e-01
2.400000000000000000e+03,5.249105000117381126e-01,1.261502211069393253e-01,1.197704732625651386e-01,2.789898056422335793e-01
2.500000000000000000e+03,5.302060349798441985e-01,1.267504148795560726e-01,1.204081157601178537e-01,2.830475043401702862e-01
2.600000000000000000e+03,5.363450571967635083e-01,1.278946902632940585e-01,1.203496946907941373e-01,2.881006722426753819e-01
2.700000000000000000e+03,5.487571320325492774e-01,1.299462315550251323e-01,1.226367511010790223e-01,2.961741493764451505e-01
2.800000000000000000e+03,5.637236720417393432e-01,1.335913851137333908e-01,1.246393454941032153e-01,3.054929414339027094e-01
2.900000000000000000e+03,5.757390315492488808e-01,1.355221182926170387e-01,1.271489250944461413e-01,3.130679881621856731e-01
3.000000000000000000e+03,5.853555410679461835e-01,1.367223223738727456e-01,1.297910825367426246e-01,3.188421361573308688e-01
3.100000000000000000e+03,5.890756411345313692e-01,1.356482985399878605e-01,1.312222733683874043e-01,3.222050692261561045e-01
3.200000000000000000e+03,5.948203637298008495e-01,1.373869826186608079e-01,1.312051189580871469e-01,3.262282621530528393e-01
3.300000000000000000e+03,6.032350833894815079e-01,1.400553188897928625e-01,1.318189776040329109e-01,3.313607868956556790e-01
3.400000000000000000e+03,6.127913329599214975e-01,1.416664421797167173e-01,1.332899481645601070e-01,3.378349426156446178e-01
3.500000000000000000e+03,6.275029593725961474e-01,1.451620486878036076e-01,1.354880808887173604e-01,3.468528297960751239e-01
3.600000000000000000e+03,6.418850514939492546e-01,1.475258447076970014e-01,1.382187432259424364e-01,3.561404635603098168e-01
3.700000000000000000e+03,6.494513118219434888e-01,1.471940910617156872e-01,1.395937033690969054e-01,3.626635173911309518e-01
3.800000000000000000e+03,6.553738836799872791e-01,1.470264886271596128e-01,1.400091559637303418e-01,3.683382390890972968e-01
3.900000000000000000e+03,6.642085812797546840e-01,1.479589380098941254e-01,1.413421590039979359e-01,3.749074842658626783e-01
4.000000000000000000e+03,6.743372247830045074e-01,1.501560917800101314e-01,1.425361125994696609e-01,3.816450204035246596e-01
4.100000000000000000e+03,6.852793534746225435e-01,1.520909948826471847e-01,1.435684648276498998e-01,3.896198937643255422e-01
4.200000000000000000e+03,6.960156516858188036e-01,1.545181562803815967e-01,1.452207858713772115e-01,3.962767095340600232e-01
4.300000000000000000e+03,7.057735313320883108e-01,1.572512234565407729e-01,1.477029714366963342e-01,4.008193364388512592e-01
4.400000000000000000e+03,7.148070995972665154e-01,1.577482369458785560e-01,1.498629280131517916e-01,4.071959346382360567e-01
4.500000000000000000e+03,7.212549593252934876e-01,1.575973416761386747e-01,1.512190755829675159e-01,4.124385420661873525e-01
4.600000000000000000e+03,7.269678026419720274e-01,1.579826032859013851e-01,1.517633827490906528e-01,4.172218166069798784e-01
4.700000000000000000e+03,7.343226524285076939e-01,1.589852792104212709e-01,1.521034804196203793e-01,4.232338927984659604e-01
4.800000000000000000e+03,7.493133917637644359e-01,1.626676037910410322e-01,1.537228854076521933e-01,4.329229025650711549e-01
