t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,6.303846333821638332e-14,1.683098105331737252e-14,-2.842170943040400901e-15,4.904965322793941722e-14
1.000000000000000000e+02,4.012921309209486753e-01,1.262031671027710744e-01,1.259485066752813742e-01,1.491404571428961989e-01
2.000000000000000000e+02,6.140266028036909240e-01,1.817237374512976622e-01,1.836873774921010671e-01,2.486154878602921947e-01
3.000000000000000000e+02,7.711871186567693659e-01,2.209353125790770311e-01,2.280911427846883943e-01,3.221606632930039682e-01
4.000000000000000000e+02,9.050588928701615021e-01,2.535326258012512435e-01,2.639716087272911960e-01,3.875546583416190072e-01
5.000000000000000000e+02,1.015894339812945857e+00,2.800198429894725227e-01,2.917296752377375735e-01,4.441448215857357051e-01
6.000000000000000000e+02,1.105122566290159369e+00,2.980668201847476162e-01,3.110656325697336855e-01,4.959901135356782342e-01
7.000000000000000000e+02,1.185124893726665185e+00,3.188227469977888973e-01,3.249360643239169733e-01,5.413660824049594256e-01
8.000000000000000000e+02,1.268696920884324175e+00,3.369956172448351772e-01,3.392952984928351290e-01,5.924060051466539800e-01
9.000000000000000000e+02,1.345674642488540629e+00,3.540909176647887291e-01,3.535048688527968053e-01,6.380788559709551500e-01
1.000000000000000000e+03,1.432605312219665805e+00,3.737601310789519515e-01,3.729626619688083955e-01,6.858825191719054581e-01
1.100000000000000000e+03,1.525777873163100207e+00,3.999135760194713618e-01,3.936210141741466328e-01,7.322432829694822676e-01
1.200000000000000000e+03,1.619497661251880549e+00,4.217297731674253813e-01,4.189370939573177077e-01,7.788307941271375157e-01
1.300000000000000000e+03,1.709580760016279122e+00,4.429232789555195282e-01,4.407045345542036641e-01,8.259529465065558185e-01
1.400000000000000000e+03,1.795891073322726017e+00,4.635352687256293902e-01,4.598081894864548547e-01,8.725476151106417166e-01
1.500000000000000000e+03,1.873631968631984890e+00,4.770577709962484647e-01,4.770585834950302195e-01,9.195156141407061501e-01
1.600000000000000000e+03,1.957702972722165757e+00,4.937894198923464262e-01,4.903012054795685692e-01,9.736123473502505954e-01
1.700000000000000000e+03,2.042129822780968329e+00,5.100479863833519145e-01,5.031758203785219319e-01,1.028906016019094594e+00
1.800000000000000000e+03,2.130342045296030662e+00,5.265680839708840599e-01,5.195468715937799908e-01,1.084227089731366611e+00
1.900000000000000000e+03,2.210953932524073906e+00,5.397350881842227777e-01,5.363142594123639917e-01,1.134904584927487248e+00
2.000000000000000000e+03,2.300183637443778295e+00,5.566824891913930706e-01,5.573824634075402740e-01,1.186118684844844617e+00
2.100000000000000000e+03,2.385583166676211064e+00,5.743573262685097713e-01,5.789191758455127790e-01,1.232306664562188736e+00
2.200000000000000000e+03,2.467740048248469709e+00,5.897430628318932611e-01,5.972027996348338030e-01,1.280794185781742645e+00
2.300000000000000000e+03,2.555106477992612923e+00,6.069503364693504821e-01,6.180522226773217387e-01,1.330103918845940703e+00
2.400000000000000000e+03,2.639080750197064784e+00,6.239119761040932133e-01,6.363614957380966386e-01,1.378807278354874821e+00
2.500000000000000000e+03,2.731773524066272607e+00,6.463688152407328635e-01,6.565400044089353404e-01,1.428864704416604514e+00
2.600000000000000000e+03,2.831207607715598318e+00,6.677340971706492434e-01,6.803555983143265706e-01,1.483117912230622615e+00
2.700000000000000000e+03,2.923360013377040101e+00,6.844926064606348115e-01,7.021277743677323269e-01,1.536739632548672851e+00
2.800000000000000000e+03,3.016394084920205998e+00,7.024687151837224475e-01,7.220169184273301788e-01,1.591908451309153261e+00
2.900000000000000000e+03,3.109230299449730062e+00,7.208725812372065445e-01,7.395839259736565197e-01,1.648773792238867220e+00
3.000000000000000000e+03,3.208377471636124856e+00,7.382561758128167728e-01,7.606684180736880130e-01,1.709452877749620070e+00
3.100000000000000000e+03,3.301928583423009211e+00,7.562227366948568452e-01,7.793929437939621785e-01,1.766312902934190188e+00
3.200000000000000000e+03,3.395377358724385175e+00,7.738318373496350100e-01,8.005697905883326637e-01,1.820975730786417390e+00
3.300000000000000000e+03,3.483770463331315792e+00,7.912150571696104917e-01,8.190824571821476718e-01,1.873472948979557628e+00
3.400000000000000000e+03,3.575379773640940506e+00,8.066543706157455196e-01,8.394926690777297917e-01,1.929232733947465306e+00
3.500000000000000000e+03,3.676327445256853288e+00,8.284204666187280353e-01,8.576748502025737242e-01,1.990232128435551529e+00
3.600000000000000000e+03,3.772696167504784981e+00,8.448596683678717412e-01,8.734271134971912653e-01,2.054409385639722085e+00
3.700000000000000000e+03,3.872872663931186565e+00,8.651118135936458620e-01,8.915987957317756951e-01,2.116162054605764897e+00
3.800000000000000000e+03,3.983379325035425023e+00,8.873058387073763376e-01,9.126963053877215071e-01,2.183377180940327289e+00
3.900000000000000000e+03,4.088654597971318694e+00,9.038274387640919949e-01,9.328895177313191178e-01,2.251937641475907803e+00
4.000000000000000000e+03,4.195752338500676082e+00,9.224320336366705897e-01,9.561177193005686581e-01,2.317202585563436834e+00
4.100000000000000000e+03,4.304723988615572594e+00,9.487676506479971739e-01,9.760497789626010334e-01,2.379906559004973943e+00
4.200000000000000000e+03,4.415601353942016694e+00,9.748028264389281272e-01,9.948960850289303437e-01,2.445902442474158001e+00
4.300000000000000000e+03,4.526284451277858167e+00,9.943629307466526068e-01,1.017410911847723254e+00,2.514510608683482751e+00
4.400000000000000000e+03,4.637700119343274530e+00,1.014251438786760051e+00,1.036835973311821535e+00,2.586612707244692722e+00
4.500000000000000000e+03,4.745654231215956642e+00,1.031910199884282120e+00,1.055162948490301789e+00,2.658581082841372734e+00
4.600000000000000000e+03,4.847542229243629208e+00,1.056181489819454811e+00,1.069236035040435073e+00,2.722124704383738880e+00
4.700000000000000000e+03,4.943387266109626310e+00,1.076119637146727870e+00,1.088726967743728791e+00,2.778540661219170094e+00
4.800000000000000000e+03,5.046893137518980055e+00,1.096684885526672648e+00,1.107455280974590117e+00,2.842752971017716845e+00
4.900000000000000000e+03,5.154359389846044692e+00,1.120214890469441338e+00,1.126113330746100205e+00,2.908031168630503593e+00
5.000000000000000000e+03,5.268877580120488346e+00,1.145529190862519808e+00,1.148562195458364243e+00,2.974786193799604295e+00
5.100000000000000000e+03,5.383130680239656130e+00,1.171043950238171760e+00,1.171027057314511399e+00,3.041059672686972526e+00
5.200000000000000000e+03,5.496151320974165699e+00,1.196043487824814067e+00,1.193283771339168409e+00,3.106824061810183224e+00
5.300000000000000000e+03,5.602653982823072809e+00,1.219848036999277463e+00,1.215497257544764009e+00,3.167308688279031781e+00
5.400000000000000000e+03,5.701237761172091467e+00,1.238834640756025562e+00,1.236600400395946320e+00,3.225802720020119807e+00
5.500000000000000000e+03,5.805743885405927784e+00,1.260630507509038489e+00,1.258253197465045270e+00,3.286860180431844469e+00
5.600000000000000000e+03,5.908095340898087855e+00,1.279045626596364116e+00,1.278738370987365869e+00,3.350311343314357426e+00
5.700000000000000000e+03,6.020318619974512231e+00,1.301141577078645195e+00,1.301208973693702475e+00,3.417968069202165005e+00
5.800000000000000000e+03,6.133785719918122936e+00,1.325875602985439938e+00,1.322286384217814525e+00,3.485623732714868250e+00
5.900000000000000000e+03,6.239418020437513590e+00,1.346215675201326567e+00,1.342071890062885187e+00,3.551130455173301836e+00
