t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,2.797715762762702125e-14,5.517577135923564169e-15,1.084664765412431635e-14,1.161293283757913836e-14
1.000000000000000000e+02,3.050677558574682591e-01,9.049542006458545507e-02,9.021008892761833708e-02,1.243622468652644669e-01
2.000000000000000000e+02,4.189378569810700559e-01,1.152994986633272684e-01,1.136805196130851320e-01,1.899578387046576278e-01
3.000000000000000000e+02,5.088049891261746671e-01,1.327821732586024206e-01,1.337319783457196209e-01,2.422908375218525701e-01
4.000000000000000000e+02,5.567117321618016978e-01,1.407067755490249150e-01,1.407870898222989275e-01,2.752178667904777720e-01
5.000000000000000000e+02,5.737826997950238317e-01,1.408785430486769741e-01,1.410120748268711699e-01,2.918920819194756322e-01
6.000000000000000000e+02,5.908779306215464766e-01,1.400352247582121457e-01,1.386820219251385378e-01,3.121606839381957932e-01
7.000000000000000000e+02,6.133049550539694250e-01,1.428396662761107772e-01,1.387772271143822567e-01,3.316880616634764745e-01
8.000000000000000000e+02,6.445280183254804562e-01,1.474003044365242987e-01,1.436662281977972855e-01,3.534614856911589276e-01
9.000000000000000000e+02,6.863390083117025808e-01,1.584673310868296714e-01,1.536493453491366290e-01,3.742223318757362804e-01
1.000000000000000000e+03,7.281048779211181099e-01,1.664247705271212630e-01,1.647531170815041690e-01,3.969269903124927334e-01
1.100000000000000000e+03,7.633027958739247998e-01,1.736005466845883527e-01,1.708220612603811028e-01,4.188801879289553720e-01
1.200000000000000000e+03,7.893021619976935410e-01,1.784651254881331750e-01,1.740507904210849832e-01,4.367862460884753273e-01
1.300000000000000000e+03,8.116464400359575393e-01,1.824593639942008461e-01,1.761805931903073219e-01,4.530064828514493436e-01
1.400000000000000000e+03,8.276985009123141168e-01,1.848833193663802499e-01,1.753688551494011205e-01,4.674463263965327187e-01
1.500000000000000000e+03,8.478487511063660387e-01,1.878449672937661241e-01,1.787938490164603655e-01,4.812099347961395490e-01
1.600000000000000000e+03,8.784810977638247698e-01,1.931159622629015360e-01,1.828924805180252300e-01,5.024726549828980593e-01
1.700000000000000000e+03,9.079041291321342522e-01,1.961212572025399226e-01,1.871281551596391812e-01,5.246547167699552316e-01
1.800000000000000000e+03,9.450246446116906673e-01,2.018485572279992424e-01,1.936700427299609395e-01,5.495060446537304299e-01
1.900000000000000000e+03,9.760600208284637702e-01,2.051287126673281003e-01,1.992142319946522411e-01,5.717170761664834844e-01
2.000000000000000000e+03,1.001250207171021422e+00,2.083983100576184688e-01,2.018714557726845327e-01,5.909804413407183654e-01
2.100000000000000000e+03,1.024327348277985328e+00,2.128978284178566494e-01,2.043621289930765139e-01,6.070673908670519703e-01
2.200000000000000000e+03,1.047580665026215607e+00,2.171372584979024134e-01,2.050134141593373538e-01,6.254299923689760066e-01
2.300000000000000000e+03,1.071206601401143876e+00,2.199920341264844648e-01,2.070817944127406884e-01,6.441327728619188342e-01
2.400000000000000000e+03,1.099643769204041499e+00,2.243223003930922277e-01,2.111415434923527845e-01,6.641799253185964869e-01
2.500000000000000000e+03,1.126672532445173625e+00,2.271498149226995056e-01,2.160687952002097456e-01,6.834539223222644289e-01
2.600000000000000000e+03,1.150044375679922570e+00,2.306485384100466496e-01,2.184091045715861601e-01,7.009867326982898161e-01
2.700000000000000000e+03,1.175474346418518445e+00,2.334385466910593454e-01,2.234008285052916376e-01,7.186349712221673514e-01
2.800000000000000000e+03,1.199052878135346667e+00,2.362705741529850245e-01,2.245693666670478261e-01,7.382129373153137886e-01
2.900000000000000000e+03,1.227558779477895046e+00,2.407500716457653400e-01,2.285618869175340129e-01,7.582468209145956095e-01
3.000000000000000000e+03,1.255472884669160516e+00,2.447013534537690049e-01,2.315445205648647420e-01,7.792270106505266858e-01
3.100000000000000000e+03,1.280666394705305855e+00,2.484634269449681465e-01,2.349239481639341098e-01,7.972790195964036819e-01
3.200000000000000000e+03,1.305571393495831733e+00,2.510858154482001336e-01,2.384955355313435332e-01,8.159900425162881499e-01
3.300000000000000000e+03,1.333055495174479743e+00,2.549094451356822000e-01,2.423147105702286586e-01,8.358313394685690234e-01
3.400000000000000000e+03,1.359107971109305479e+00,2.573238363650615090e-01,2.455075997560797196e-01,8.562765349881642507e-01
3.500000000000000000e+03,1.386392624516426197e+00,2.623037834823058190e-01,2.489542540231040879e-01,8.751345870110164293e-01
3.600000000000000000e+03,1.410682730078797631e+00,2.666913265469523786e-01,2.510887639740884691e-01,8.929026395577567277e-01
3.700000000000000000e+03,1.440188413858728422e+00,2.704784173273342418e-01,2.555827822455863374e-01,9.141272142858078986e-01
3.800000000000000000e+03,1.469511544447607010e+00,2.743251696875166901e-01,2.601874649668391437e-01,9.349989097932512871e-01
3.900000000000000000e+03,1.498902537756779951e+00,2.775136797486908447e-01,2.634535613887623029e-01,9.579352966193269703e-01
4.000000000000000000e+03,1.529260372457124317e+00,2.808489482107851543e-01,2.683692502290640491e-01,9.800421740172747809e-01
4.100000000000000000e+03,1.556419909032998206e+00,2.856680595628893204e-01,2.709001430077085382e-01,9.998517064624001804e-01
4.200000000000000000e+03,1.584380210681122447e+00,2.902413265062259162e-01,2.744830698293887483e-01,1.019655814345507672e+00
4.300000000000000000e+03,1.609945646286982113e+00,2.938867555153382161e-01,2.779357641929953160e-01,1.038123126578648581e+00
4.400000000000000000e+03,1.639236414042476220e+00,2.984599200225447890e-01,2.811820570532983510e-01,1.059594436966633246e+00
4.500000000000000000e+03,1.669764740602429631e+00,3.023134272244297205e-01,2.853174574541076924e-01,1.082133855923892218e+00
4.600000000000000000e+03,1.702565170500782044e+00,3.080921566825865487e-01,2.907585450664287863e-01,1.103714468751766598e+00
4.700000000000000000e+03,1.730773602581710646e+00,3.118804906174361125e-01,2.936339124481681662e-01,1.125259199516106312e+00
4.800000000000000000e+03,1.757281580221916384e+00,3.160529024828069855e-01,2.976020965116460415e-01,1.143626581227463301e+00
4.900000000000000000e+03,1.784036633026651941e+00,3.200966444717209258e-01,3.014477925523348367e-01,1.162492196002596012e+00
5.000000000000000000e+03,1.814964113439357929e+00,3.258418154327287763e-01,3.051428047279317046e-01,1.183979493278697337e+00
5.100000000000000000e+03,1.845426965940527353e+00,3.289208900548688530e-01,3.097840173447976020e-01,1.206722058540860898e+00
5.200000000000000000e+03,1.873989109481561499e+00,3.337627287851517299e-01,3.134281913937079778e-01,1.226798189302701569e+00
5.300000000000000000e+03,1.899756218439128119e+00,3.362766287557135136e-01,3.178352081834622811e-01,1.245644381499952047e+00
5.400000000000000000e+03,1.926756988665840664e+00,3.396120594069650944e-01,3.212617978513281902e-01,1.265883131407547380e+00
