t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,5.861283680630436126e-15,-1.873501354054951662e-15,1.087949175193614400e-14,-3.144706717250755822e-15
1.000000000000000000e+02,2.408162840360092705e-01,7.380393514499201946e-02,7.763190213852702581e-02,8.938044675249021132e-02
2.000000000000000000e+02,3.280498577174262298e-01,9.416214708677120293e-02,9.831552733978890513e-02,1.355721832908660940e-01
3.000000000000000000e+02,3.845744631129103253e-01,1.089656589897070871e-01,1.109609048738083581e-01,1.646478992493948801e-01
4.000000000000000000e+02,3.912360569332170024e-01,1.108547391101250279e-01,1.117888671179851912e-01,1.685924507051067833e-01
5.000000000000000000e+02,3.909787219884546250e-01,1.103495267027226473e-01,1.111253009695871707e-01,1.695038943161448208e-01
6.000000000000000000e+02,3.867354433969914518e-01,1.065770386583593243e-01,1.101581702888968783e-01,1.700002344497352491e-01
7.000000000000000000e+02,4.056503030393790454e-01,1.121629666544321502e-01,1.180534220279098045e-01,1.754339143570370907e-01
8.000000000000000000e+02,4.332651003492864472e-01,1.205642035344252905e-01,1.272261859935092387e-01,1.854747108213519180e-01
9.000000000000000000e+02,4.598223404747298071e-01,1.286904299078235892e-01,1.333833052213105330e-01,1.977486053455956572e-01
1.000000000000000000e+03,4.764449557326729257e-01,1.333073776503403418e-01,1.351534447464405320e-01,2.079841333358920519e-01
1.100000000000000000e+03,4.865282071631645278e-01,1.354469379963286202e-01,1.387407645196772898e-01,2.123405046471586455e-01
1.200000000000000000e+03,4.984276642305348615e-01,1.383687906130256773e-01,1.432014744243053639e-01,2.168573991932038203e-01
1.300000000000000000e+03,5.098521187568496593e-01,1.421303337173007719e-01,1.458873225493477754e-01,2.218344624902010565e-01
1.400000000000000000e+03,5.238428988442016543e-01,1.460336133018728666e-01,1.505189083891536606e-01,2.272903771531751826e-01
1.500000000000000000e+03,5.318100479084039156e-01,1.490986211606559197e-01,1.506246819853562791e-01,2.320867447623916890e-01
1.600000000000000000e+03,5.469440016586617492e-01,1.541415560765035664e-01,1.558444648009403855e-01,2.369579807812177419e-01
1.700000000000000000e+03,5.593157130702081092e-01,1.588247401022305494e-01,1.614467529715508110e-01,2.390442199964267489e-01
1.800000000000000000e+03,5.785678558063601651e-01,1.654082856743475660e-01,1.685973058939946312e-01,2.445622642380179401e-01
1.900000000000000000e+03,5.956485604723203986e-01,1.686119385642767809e-01,1.749199224876823999e-01,2.521166994203611900e-01
2.000000000000000000e+03,6.097944726618573785e-01,1.711996407311803248e-01,1.803403033352573570e-01,2.582545285954197523e-01
2.100000000000000000e+03,6.161519103021086963e-01,1.719278143744603082e-01,1.810281840093483918e-01,2.631959119182999962e-01
2.200000000000000000e+03,6.328959925052090041e-01,1.751502439692946556e-01,1.859367204108811622e-01,2.718090281250331586e-01
2.300000000000000000e+03,6.457541317645915102e-01,1.789244969155353304e-01,1.915027130183779847e-01,2.753269218306781951e-01
2.400000000000000000e+03,6.604955621614656547e-01,1.817946205457823261e-01,2.006648645053584479e-01,2.780360771103248529e-01
2.500000000000000000e+03,6.736677859241881894e-01,1.864890553851070998e-01,2.051636834978528834e-01,2.820150470412281507e-01
2.600000000000000000e+03,6.865840428684065744e-01,1.884685209252190963e-01,2.085777005769164916e-01,2.895378213662709865e-01
2.700000000000000000e+03,6.964074621944411625e-01,1.925309819886635021e-01,2.074828579394771277e-01,2.963936222663005049e-01
2.800000000000000000e+03,7.138089157911574612e-01,1.964164964186603246e-01,2.145858920487035415e-01,3.028065273237935950e-01
2.900000000000000000e+03,7.202487874643519472e-01,1.958782152438403035e-01,2.169858615783112898e-01,3.073847106422004094e-01
3.000000000000000000e+03,7.312065755119705468e-01,1.988647968287711731e-01,2.237121285095342027e-01,3.086296501736651154e-01
3.100000000000000000e+03,7.334358758059122962e-01,1.977061972549074009e-01,2.250398545630805103e-01,3.106898239879244406e-01
3.200000000000000000e+03,7.413567761833654846e-01,1.993698256885115538e-01,2.280734998775610367e-01,3.139134506172929773e-01
