t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,3.974135835231132582e-15,-2.342570581959080064e-15,-2.669161188369643863e-16,6.583622536027177180e-15
1.000000000000000000e+02,2.356489092917766204e-01,7.440435143671994545e-02,7.228226745016547161e-02,8.896229040489117557e-02
2.000000000000000000e+02,3.177833435653457661e-01,9.191896967928588069e-02,8.934571093910896600e-02,1.365186629469508917e-01
3.000000000000000000e+02,3.713727321579862739e-01,1.045304530785648583e-01,1.000558175963347368e-01,1.667864614830867342e-01
4.000000000000000000e+02,3.782801076771764026e-01,1.043799338372611435e-01,9.768914880857447469e-02,1.762110250313407012e-01
5.000000000000000000e+02,3.827164491343875707e-01,1.022496901870214026e-01,9.700796799759603406e-02,1.834587909497701619e-01
6.000000000000000000e+02,3.815794203972320275e-01,9.981032907432747792e-02,9.357701127433119825e-02,1.881920800485733791e-01
7.000000000000000000e+02,3.979928867300071560e-01,1.046009631399213574e-01,9.935950934006416990e-02,1.940324142500216287e-01
8.000000000000000000e+02,4.177682516694352088e-01,1.102877690240819941e-01,1.058945898669200886e-01,2.015858927784331678e-01
9.000000000000000000e+02,4.375796566263630005e-01,1.149188095626088729e-01,1.097424608851679112e-01,2.129183861785861887e-01
1.000000000000000000e+03,4.497437129082674789e-01,1.162657326054231111e-01,1.100622827220162220e-01,2.234156975808280488e-01
1.100000000000000000e+03,4.570247293734670535e-01,1.177122120206178374e-01,1.098484873642830983e-01,2.294640299885661039e-01
1.200000000000000000e+03,4.647876428826041018e-01,1.179646810365619358e-01,1.108880028207313989e-01,2.359349590253107809e-01
1.300000000000000000e+03,4.748906431425976016e-01,1.197059182264312432e-01,1.118516176466831519e-01,2.433331072694831787e-01
1.400000000000000000e+03,4.873010190202251013e-01,1.208021557443963862e-01,1.149901657366801527e-01,2.515086975391485624e-01
1.500000000000000000e+03,5.025476486638685847e-01,1.240436657424806022e-01,1.171042243887419482e-01,2.613997585326460205e-01
1.600000000000000000e+03,5.197226683428169958e-01,1.292221070463555332e-01,1.207389089875289673e-01,2.697616523089323981e-01
1.700000000000000000e+03,5.316990084363981683e-01,1.312816395282423720e-01,1.219751551099146486e-01,2.784422137982411338e-01
1.800000000000000000e+03,5.427720348995559441e-01,1.325848764960354809e-01,1.234590441663262900e-01,2.867281142371941871e-01
1.900000000000000000e+03,5.590826006525023706e-01,1.349206692103488703e-01,1.278746773744016685e-01,2.962872540677518596e-01
2.000000000000000000e+03,5.727390701362798930e-01,1.369781800349301193e-01,1.316519149422484547e-01,3.041089751591014023e-01
