t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-2.176384072960502181e-14,1.867256349541435314e-15,-2.975397705995419607e-15,-2.065569937315103870e-14
1.000000000000000000e+02,2.335092258919243824e-01,6.753956269231249643e-02,7.334630084706528219e-02,9.262336235254661765e-02
2.000000000000000000e+02,3.139693107566570718e-01,8.213262123268716408e-02,8.987564237269284051e-02,1.419610471512770533e-01
3.000000000000000000e+02,3.690867099121002415e-01,9.313804017917000355e-02,1.040179794898574289e-01,1.719306902430727813e-01
4.000000000000000000e+02,3.754610123951303002e-01,9.230080708749657803e-02,1.051915145506415461e-01,1.779686907569922039e-01
5.000000000000000000e+02,3.831544503004659097e-01,9.120876713395494051e-02,1.037456736932013818e-01,1.882000094733095596e-01
6.000000000000000000e+02,3.878359809819738602e-01,8.949419087546627016e-02,1.023405724627204777e-01,1.960012176437871123e-01
7.000000000000000000e+02,4.111478352530150149e-01,9.714465053065393652e-02,1.074624620414672133e-01,2.065407226808938235e-01
8.000000000000000000e+02,4.346638017230202156e-01,1.065142546265881174e-01,1.134280521652833579e-01,2.147214949311487542e-01
9.000000000000000000e+02,4.569913022356769661e-01,1.081772521284947441e-01,1.194493814218420963e-01,2.293646686853401118e-01
1.000000000000000000e+03,4.764384130282483532e-01,1.085919784866209853e-01,1.233429449813952389e-01,2.445034895602321290e-01
1.100000000000000000e+03,4.879752675169252152e-01,1.082416882097282651e-01,1.249164835029209220e-01,2.548170958042760281e-01
1.200000000000000000e+03,5.021096774731590440e-01,1.123218401886253714e-01,1.273388981206459714e-01,2.624489391638876734e-01
1.300000000000000000e+03,5.160372861428391689e-01,1.153202846954000521e-01,1.284809852809356556e-01,2.722360161665034473e-01
1.400000000000000000e+03,5.356063802714553512e-01,1.213599713128215712e-01,1.325520886863203462e-01,2.816943202723134476e-01
1.500000000000000000e+03,5.469199638407651332e-01,1.229585408573953542e-01,1.333902593678050197e-01,2.905711636155647315e-01
1.600000000000000000e+03,5.616695925550740931e-01,1.238261994204470778e-01,1.366631335828090710e-01,3.011802595518179304e-01
1.700000000000000000e+03,5.777031731459226771e-01,1.237533438035816474e-01,1.407165251534631123e-01,3.132333041888779035e-01
1.800000000000000000e+03,5.932462613329116952e-01,1.281976585080854270e-01,1.425142368659797765e-01,3.225343659588465473e-01
1.900000000000000000e+03,6.054380907093650510e-01,1.302873385364900771e-01,1.427097811774135361e-01,3.324409709954614378e-01
2.000000000000000000e+03,6.236683778844567261e-01,1.354218516554360485e-01,1.469532619181480038e-01,3.412932643108726460e-01
2.100000000000000000e+03,6.382181454252033870e-01,1.393215769241839541e-01,1.492916937823467183e-01,3.496048747186727423e-01
2.200000000000000000e+03,6.528271745139826443e-01,1.424320054232720845e-01,1.515755525203105469e-01,3.588196165703999574e-01
2.300000000000000000e+03,6.719126977561089564e-01,1.445053703586443583e-01,1.559775551174088781e-01,3.714297722800556367e-01
2.400000000000000000e+03,6.931929682569939466e-01,1.487437582219375554e-01,1.589609929096922059e-01,3.854882171253641299e-01
2.500000000000000000e+03,7.115538640952396854e-01,1.518302427844041569e-01,1.622292033960024416e-01,3.974944179148330869e-01
2.600000000000000000e+03,7.282588975632375838e-01,1.551925031906145058e-01,1.661827370895009870e-01,4.068836572831221465e-01
2.700000000000000000e+03,7.402558753470251940e-01,1.574077876204996729e-01,1.695917263831624999e-01,4.132563613433630212e-01
2.800000000000000000e+03,7.538590700254027555e-01,1.613400640750373982e-01,1.725342225894163639e-01,4.199847833609490211e-01
2.900000000000000000e+03,7.639617748100615557e-01,1.625463116717426604e-01,1.735449416990885452e-01,4.278705214392303224e-01
3.000000000000000000e+03,7.768152825641015946e-01,1.659280558169056730e-01,1.739847168449930592e-01,4.369025099022028624e-01
3.100000000000000000e+03,7.914388076737823852e-01,1.675011487836418900e-01,1.770788590111242178e-01,4.468587998790162774e-01
3.200000000000000000e+03,8.059197404369528028e-01,1.693338792397114934e-01,1.796833536594528435e-01,4.569025075377884937e-01
3.300000000000000000e+03,8.237549733423876752e-01,1.727161975071753175e-01,1.845477307433119052e-01,4.664910450919004248e-01
3.400000000000000000e+03,8.414051097341797014e-01,1.771158911233274014e-01,1.865078973925395622e-01,4.777813212183127378e-01
3.500000000000000000e+03,8.547423519926062863e-01,1.783193922549864419e-01,1.884122184770359032e-01,4.880107412605839690e-01
3.600000000000000000e+03,8.640379077742791347e-01,1.776252241369326301e-01,1.881754284059412030e-01,4.982372552314052738e-01
3.700000000000000000e+03,8.742862062260479128e-01,1.794378276683017415e-01,1.891591988971214333e-01,5.056891796606247658e-01
3.800000000000000000e+03,8.935524417418490017e-01,1.821268936542703443e-01,1.938759670559332127e-01,5.175495810316455003e-01
3.900000000000000000e+03,9.124130123346743115e-01,1.872253911444262398e-01,1.983929902117528288e-01,5.267946309784952152e-01
4.000000000000000000e+03,9.251981202107141256e-01,1.906537479588247819e-01,1.988863486896631783e-01,5.356580235622261377e-01
4.100000000000000000e+03,9.344364961291289351e-01,1.933336292213702345e-01,2.007073733414907468e-01,5.403954935662679260e-01
4.200000000000000000e+03,9.370245215957562213e-01,1.927815752457934240e-01,1.996870546113060363e-01,5.445558917386568165e-01
4.300000000000000000e+03,9.542599188976547131e-01,1.944292123901478209e-01,2.033531812801855077e-01,5.564775252273214123e-01
4.400000000000000000e+03,9.763426686075347138e-01,1.997591352778399221e-01,2.065694130878804324e-01,5.700141202418144148e-01
4.500000000000000000e+03,9.958449962482616158e-01,2.041780982397390365e-01,2.111810998463958811e-01,5.804857981621267538e-01
4.600000000000000000e+03,1.006249230853212495e+00,2.056580418878085348e-01,2.139274331238893434e-01,5.866637558415146447e-01
4.700000000000000000e+03,1.017337195990845267e+00,2.082040256510368226e-01,2.180945764106372309e-01,5.910385939291712409e-01
4.800000000000000000e+03,1.028429210460405585e+00,2.106430022280750269e-01,2.165051885483025296e-01,6.012810196840280286e-01
4.900000000000000000e+03,1.044026664748114896e+00,2.150014417483209483e-01,2.204527578285636058e-01,6.085724651712304256e-01
5.000000000000000000e+03,1.055747548937938651e+00,2.183113943954682890e-01,2.228227145440812296e-01,6.146134399983891328e-01
5.100000000000000000e+03,1.073182643102185807e+00,2.215906739952271942e-01,2.264580592268455594e-01,6.251339098801131922e-01
5.200000000000000000e+03,1.086123287413192084e+00,2.242714184587845661e-01,2.288640956976123186e-01,6.329877732567952275e-01
5.300000000000000000e+03,1.104282734358277951e+00,2.276931104341468615e-01,2.337789891186420610e-01,6.428106348054890562e-01
5.400000000000000000e+03,1.116300766544826573e+00,2.301201413523831785e-01,2.337489605469205978e-01,6.524316646455227131e-01
5.500000000000000000e+03,1.130237370098504668e+00,2.329634056543825049e-01,2.385735898095975305e-01,6.587003746345245769e-01
5.600000000000000000e+03,1.145591432901684081e+00,2.354625303970086792e-01,2.418021569448977337e-01,6.683267455597776685e-01
5.700000000000000000e+03,1.165342679990474917e+00,2.388936271223081886e-01,2.498204871446082220e-01,6.766285657235585616e-01
5.800000000000000000e+03,1.184494986021580765e+00,2.458126615812829541e-01,2.540408689116612773e-01,6.846414555286365333e-01
5.900000000000000000e+03,1.192658642163556326e+00,2.493298008099130991e-01,2.542020278230012753e-01,6.891268135306419795e-01
6.000000000000000000e+03,1.205186661061988573e+00,2.529792895786032725e-01,2.568495062475087409e-01,6.953578652358766155e-01
6.100000000000000000e+03,1.208736115031984859e+00,2.526193898151429806e-01,2.574799612247232750e-01,6.986367639921184924e-01
6.200000000000000000e+03,1.220574277719673528e+00,2.568081171493283854e-01,2.607550740655706911e-01,7.030110865047746183e-01
6.300000000000000000e+03,1.236821606436169008e+00,2.602294413897242586e-01,2.645380559296409695e-01,7.120541091168037795e-01
6.400000000000000000e+03,1.255620885904184636e+00,2.660253213319177523e-01,2.698619862264294289e-01,7.197335783458373992e-01
