t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-4.372890938242335324e-14,3.273076254473039547e-15,-5.324213292468016019e-15,-4.167777234442837400e-14
1.000000000000000000e+02,3.048756079638771932e-01,9.195999956351663673e-02,9.068530095121965506e-02,1.222303074491409153e-01
2.000000000000000000e+02,4.165483494176109858e-01,1.150219922832210057e-01,1.125787353319483985e-01,1.889476218024415954e-01
3.000000000000000000e+02,4.977038646803124688e-01,1.348910448093826875e-01,1.251597989381006693e-01,2.376530209328291399e-01
4.000000000000000000e+02,5.424931044289862392e-01,1.418626124179826475e-01,1.282750512731218040e-01,2.723554407378817599e-01
5.000000000000000000e+02,5.656441103456819608e-01,1.444889094947905961e-01,1.310916455382534207e-01,2.900635553126378885e-01
6.000000000000000000e+02,5.817744304186690529e-01,1.408236060218458763e-01,1.316858485272362211e-01,3.092649758695869555e-01
7.000000000000000000e+02,5.991263395451679186e-01,1.385042619300704270e-01,1.323599333952377166e-01,3.282621442198597750e-01
8.000000000000000000e+02,6.329782376032174751e-01,1.430098851710626118e-01,1.366604994152798569e-01,3.533078530168750064e-01
9.000000000000000000e+02,6.677290654616756527e-01,1.508624073166870416e-01,1.420411510942078404e-01,3.748255070507807152e-01
1.000000000000000000e+03,6.986291003560061164e-01,1.578385997824976461e-01,1.456913554712658820e-01,3.950991451022425327e-01
1.100000000000000000e+03,7.348026969936479746e-01,1.653054413870269079e-01,1.484782143438344304e-01,4.210190412627866641e-01
1.200000000000000000e+03,7.690010382527479038e-01,1.702447666941272197e-01,1.551248842734327116e-01,4.436313872851879725e-01
1.300000000000000000e+03,7.937555831282092633e-01,1.717087608855463188e-01,1.568835211936986107e-01,4.651633010489643061e-01
1.400000000000000000e+03,8.247364178625893327e-01,1.723848858043809662e-01,1.601718545424932194e-01,4.921796775157151194e-01
1.500000000000000000e+03,8.549331142849638798e-01,1.741182014310544424e-01,1.650758101319441951e-01,5.157391027219652146e-01
1.600000000000000000e+03,8.851199592724369181e-01,1.772603710333020277e-01,1.669712148031747279e-01,5.408883734359601902e-01
1.700000000000000000e+03,9.160884792145331801e-01,1.821258947637982295e-01,1.705024320678939220e-01,5.634601523828409730e-01
1.800000000000000000e+03,9.456063564459998849e-01,1.885310858719724814e-01,1.735030059749014530e-01,5.835722645991259228e-01
1.900000000000000000e+03,9.756803621751912736e-01,1.922970584268575145e-01,1.781757619695914230e-01,6.052075417787423639e-01
2.000000000000000000e+03,1.004808100886845690e+00,1.975132813310051250e-01,1.811904276269634406e-01,6.261043919288772353e-01
2.100000000000000000e+03,1.042298243843282179e+00,2.043223094570706111e-01,1.878486707837811465e-01,6.501272636024305607e-01
2.200000000000000000e+03,1.069647375388767863e+00,2.075285437833778723e-01,1.934582653936094410e-01,6.686605662117806048e-01
2.300000000000000000e+03,1.093631581044688161e+00,2.096956912724939615e-01,1.942282030718904817e-01,6.897076867003036904e-01
2.400000000000000000e+03,1.122870875962220127e+00,2.142039376976440646e-01,1.959789397916280596e-01,7.126879984729480588e-01
2.500000000000000000e+03,1.144996534478861960e+00,2.171154179379941596e-01,1.982180726352018862e-01,7.296630439056659423e-01
2.600000000000000000e+03,1.176239902675728644e+00,2.226639299131907279e-01,2.023187554915111264e-01,7.512572172710266782e-01
2.700000000000000000e+03,1.213272795668673965e+00,2.290987477550393281e-01,2.061563074906376802e-01,7.780177404229970950e-01
2.800000000000000000e+03,1.249344781101415780e+00,2.324158440960946703e-01,2.117714172782521609e-01,8.051575197270690598e-01
