t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,9.534040223968544018e-16,-5.805541232935708822e-16,2.960594732333750610e-16,1.237898672457050174e-15
1.000000000000000000e+02,3.055962377871064284e-01,9.085971114399754578e-02,9.141156674272382654e-02,1.233249599003850144e-01
2.000000000000000000e+02,4.170420354546369168e-01,1.138333280088125177e-01,1.152496944787541056e-01,1.879590129670703214e-01
3.000000000000000000e+02,5.056199444746211080e-01,1.328360735219438205e-01,1.324624408295894396e-01,2.403214301230878480e-01
4.000000000000000000e+02,5.513464076815051129e-01,1.386898447155047176e-01,1.392181671073058069e-01,2.734383958586945051e-01
5.000000000000000000e+02,5.730472899792703467e-01,1.404254579057191976e-01,1.409798999055888180e-01,2.916419321679622478e-01
6.000000000000000000e+02,5.931240198337148772e-01,1.403552136974363929e-01,1.410731544257992076e-01,3.116956517104792490e-01
7.000000000000000000e+02,6.150400677209580946e-01,1.420117701506538321e-01,1.414070916600616845e-01,3.316212059102426335e-01
8.000000000000000000e+02,6.470488931221772821e-01,1.479821761917186618e-01,1.459268180790282421e-01,3.531398988514302673e-01
9.000000000000000000e+02,6.831000767050875444e-01,1.565221800603241731e-01,1.533634814857567641e-01,3.732144151590064962e-01
1.000000000000000000e+03,7.224497034758892156e-01,1.657142644385818375e-01,1.617310762323940498e-01,3.950043628049133559e-01
1.100000000000000000e+03,7.552325979256458988e-01,1.710825189716193850e-01,1.671213253026414269e-01,4.170287536513853088e-01
1.200000000000000000e+03,7.895273054883794606e-01,1.774886512794338900e-01,1.747134022898670092e-01,4.373252519190786725e-01
1.300000000000000000e+03,8.179131002930578598e-01,1.809599079924255616e-01,1.798245040697392938e-01,4.571286882308929211e-01
1.400000000000000000e+03,8.427929901306262517e-01,1.848027430014725636e-01,1.830050091391153266e-01,4.749852379900383892e-01
1.500000000000000000e+03,8.774027252912683927e-01,1.917416707189422420e-01,1.881185650105124674e-01,4.975424895618136834e-01
1.600000000000000000e+03,9.101080848471786444e-01,1.977171981862867745e-01,1.945383462676715247e-01,5.178525403932202620e-01
1.700000000000000000e+03,9.401776554033040023e-01,2.048760129222058080e-01,1.973863825786500159e-01,5.379152599024482617e-01
1.800000000000000000e+03,9.736498910667498174e-01,2.101946941305897487e-01,2.048832159793302354e-01,5.585719809568298055e-01
1.900000000000000000e+03,9.998860394454922584e-01,2.145016723690566229e-01,2.093413994883753515e-01,5.760429675880603950e-01
2.000000000000000000e+03,1.021808338915457304e+00,2.173185676854930692e-01,2.121765332009412364e-01,5.923132380290229149e-01
2.100000000000000000e+03,1.048284379839327096e+00,2.211197662803492392e-01,2.157725229924448429e-01,6.113920905665332084e-01
2.200000000000000000e+03,1.076973721462485933e+00,2.259917375711917309e-01,2.184234054165373473e-01,6.325585784747568274e-01
2.300000000000000000e+03,1.105081569463209012e+00,2.306959786990423755e-01,2.219861872568966721e-01,6.523994035072697706e-01
2.400000000000000000e+03,1.131491680567672686e+00,2.354576864657147439e-01,2.254688749130348835e-01,6.705651191889231422e-01
2.500000000000000000e+03,1.159100119455168665e+00,2.398402832581816579e-01,2.299966820846814641e-01,6.892631541123056538e-01
2.600000000000000000e+03,1.185913815722742459e+00,2.444845195299023832e-01,2.336897116705795863e-01,7.077395845222603787e-01
2.700000000000000000e+03,1.214366346615206815e+00,2.483073574228070457e-01,2.391285120828797739e-01,7.269304771095200790e-01
2.800000000000000000e+03,1.243074091882929944e+00,2.523442150606812762e-01,2.447177790864184799e-01,7.460120977358303263e-01
2.900000000000000000e+03,1.273988087058030461e+00,2.596421493451886442e-01,2.485406979603055344e-01,7.658052397525363375e-01
3.000000000000000000e+03,1.299507249673158338e+00,2.638258604535268503e-01,2.516056065344019488e-01,7.840757826852294832e-01
3.100000000000000000e+03,1.325729752989184052e+00,2.699833917098110603e-01,2.549906757789532352e-01,8.007556855004199781e-01
3.200000000000000000e+03,1.350274245806827977e+00,2.754534342964378157e-01,2.576934251098568773e-01,8.171273864005331733e-01
3.300000000000000000e+03,1.377772392267155199e+00,2.800971136856852395e-01,2.626711249481455401e-01,8.350041536333246972e-01
3.400000000000000000e+03,1.406081181505766553e+00,2.842458202982396931e-01,2.669531474766679846e-01,8.548822137308590419e-01
3.500000000000000000e+03,1.439845803728520224e+00,2.883523123042235903e-01,2.735197049728142482e-01,8.779737864514821633e-01
3.600000000000000000e+03,1.470551773467663859e+00,2.932059382595337826e-01,2.769354897500817536e-01,9.004103454580483223e-01
3.700000000000000000e+03,1.499843500303429389e+00,2.990165145855233630e-01,2.801184783959287938e-01,9.207085073219771765e-01
3.800000000000000000e+03,1.525999440252374439e+00,3.031363249639311142e-01,2.834394135416360427e-01,9.394237017468070050e-01
3.900000000000000000e+03,1.551076371833198353e+00,3.079212098697933775e-01,2.842903087029408082e-01,9.588648532604642227e-01
4.000000000000000000e+03,1.577670033825734563e+00,3.115945974640366711e-01,2.880833459814435837e-01,9.779920903802542531e-01
4.100000000000000000e+03,1.606495999671421870e+00,3.164066839078761295e-01,2.921926718125701927e-01,9.978966439509755482e-01
4.200000000000000000e+03,1.626380208729685917e+00,3.182999745936782587e-01,2.958288765161981027e-01,1.012251357619809555e+00
4.300000000000000000e+03,1.647681809656293739e+00,3.228016923326004761e-01,2.967650078875420649e-01,1.028115109436151142e+00
4.400000000000000000e+03,1.672913231614578722e+00,3.271006788608200044e-01,2.994814463965498885e-01,1.046331106357208940e+00
4.500000000000000000e+03,1.698665907703831524e+00,3.334523934224098984e-01,3.020459242853596460e-01,1.063167589996062201e+00
4.600000000000000000e+03,1.720328500340412070e+00,3.382806978630958916e-01,3.044341970894260951e-01,1.077613605387890194e+00
4.700000000000000000e+03,1.741699482762610218e+00,3.420035817393047850e-01,3.085244402574263134e-01,1.091171460765878898e+00
4.800000000000000000e+03,1.765312172500596022e+00,3.447218559224436429e-01,3.128620741196625477e-01,1.107728242458489998e+00
4.900000000000000000e+03,1.787600692758348986e+00,3.493772825315562547e-01,3.147006322418260393e-01,1.123522777984966581e+00
5.000000000000000000e+03,1.814481822557135082e+00,3.560739329042812984e-01,3.174495837232193529e-01,1.140958305929634653e+00
5.100000000000000000e+03,1.843627733211131714e+00,3.611452729229058245e-01,3.210210103399201986e-01,1.161461449948305580e+00
5.200000000000000000e+03,1.873945127321089865e+00,3.665380642471409156e-01,3.250822171053949772e-01,1.182324845968554250e+00
5.300000000000000000e+03,1.902718100757552433e+00,3.703745440099773245e-01,3.300101495672490559e-01,1.202333407180325775e+00
5.400000000000000000e+03,1.926173991952745190e+00,3.734991906038248044e-01,3.326265940726784720e-01,1.220048207276241747e+00
5.500000000000000000e+03,1.951582724324127271e+00,3.773863613446839516e-01,3.365024017144961355e-01,1.237693961264947351e+00
5.600000000000000000e+03,1.977649587629820571e+00,3.829476194467576478e-01,3.416664623121690170e-01,1.253035505870893962e+00
5.700000000000000000e+03,2.003954020592178420e+00,3.885398327290398579e-01,3.452577350896024466e-01,1.270156452773536282e+00
5.800000000000000000e+03,2.033689563670338707e+00,3.937121000379711355e-01,3.490604725634590122e-01,1.290916991068908670e+00
5.900000000000000000e+03,2.062699069939082808e+00,3.999220330305532367e-01,3.521965757004510422e-01,1.310580461208078917e+00
6.000000000000000000e+03,2.091805131654574712e+00,4.062372628854034606e-01,3.563376039255102268e-01,1.329230264843661358e+00
6.100000000000000000e+03,2.119116146640894538e+00,4.106277990635942565e-01,3.591319808503898869e-01,1.349356366726910395e+00
6.200000000000000000e+03,2.148720775741548739e+00,4.145532277671326593e-01,3.644165159893097972e-01,1.369751031985106726e+00
6.300000000000000000e+03,2.176777516666646761e+00,4.204094549909501155e-01,3.685610665834992417e-01,1.387806995092197404e+00
6.400000000000000000e+03,2.203958654211972679e+00,4.266005817930882960e-01,3.728591743574550255e-01,1.404498898061429246e+00
6.500000000000000000e+03,2.230635462046933970e+00,4.332015131049660184e-01,3.752864888997979875e-01,1.422147460042170408e+00
6.600000000000000000e+03,2.256077533612849351e+00,4.384714293746288516e-01,3.767928777963545639e-01,1.440813226441865824e+00
6.700000000000000000e+03,2.284031783208177568e+00,4.422053900446686892e-01,3.804284172303325495e-01,1.461397975933176108e+00
6.800000000000000000e+03,2.312528081302529070e+00,4.475103078727897810e-01,3.828302605605405362e-01,1.482187512869199031e+00
6.900000000000000000e+03,2.337823957336834013e+00,4.513815116428354091e-01,3.860296451627652226e-01,1.500412800531233382e+00
7.000000000000000000e+03,2.367002748398351564e+00,4.559754687673871487e-01,3.901775257466152946e-01,1.520849753884348843e+00
7.100000000000000000e+03,2.399092097254383216e+00,4.611104084570586958e-01,3.943861087549209721e-01,1.543595580042403492e+00
7.200000000000000000e+03,2.431656367253301809e+00,4.678668828924770762e-01,3.972049016508080732e-01,1.566584582710016882e+00
7.300000000000000000e+03,2.460796474613307527e+00,4.727544962004130435e-01,4.007238867433192131e-01,1.587318091669574827e+00
7.400000000000000000e+03,2.487176133855589111e+00,4.757094766150111731e-01,4.041187548203853397e-01,1.607347902420192876e+00
7.500000000000000000e+03,2.514509215204842274e+00,4.818024615423459056e-01,4.081870428202947210e-01,1.624519710842201592e+00
7.600000000000000000e+03,2.538036080749799250e+00,4.854714607883863220e-01,4.102989247461693023e-01,1.642265695215243682e+00
7.700000000000000000e+03,2.565886211246730220e+00,4.897393051019570120e-01,4.146275929316332598e-01,1.661519313213140059e+00
7.800000000000000000e+03,2.590934677771608907e+00,4.939902533196861012e-01,4.183047986859508849e-01,1.678639625765972143e+00
7.900000000000000000e+03,2.619400107878240735e+00,4.999238281868225720e-01,4.224518985652862546e-01,1.697024381126131631e+00
8.000000000000000000e+03,2.645487925642360238e+00,5.046132243534710016e-01,4.263803898036107043e-01,1.714494311485278422e+00
8.100000000000000000e+03,2.671267342817735368e+00,5.084873500128225254e-01,4.298383248900523035e-01,1.732941667914860595e+00
8.200000000000000000e+03,2.695223045051143629e+00,5.114096916698677164e-01,4.313295656128732225e-01,1.752483787768402967e+00
8.300000000000000000e+03,2.720057684092727968e+00,5.154971638995596850e-01,4.352997404883631738e-01,1.769260779704804998e+00
8.400000000000000000e+03,2.741443594153723406e+00,5.188686724088364954e-01,4.379131879506326097e-01,1.784661733794254301e+00
8.500000000000000000e+03,2.771603071406718133e+00,5.246532020929312035e-01,4.428773931874276926e-01,1.804072476126359126e+00
8.600000000000000000e+03,2.798441504916028943e+00,5.296570907943477513e-01,4.437318882535318809e-01,1.825052525868149367e+00
8.700000000000000000e+03,2.830165748810831161e+00,5.351532986674806258e-01,4.483016774850519526e-01,1.846710772658298749e+00
8.800000000000000000e+03,2.855485733513482227e+00,5.389558543030948945e-01,4.514911880272389766e-01,1.865038691183148245e+00
8.900000000000000000e+03,2.876533144830544675e+00,5.424221505509149166e-01,4.530308921276797740e-01,1.881080102151949873e+00
9.000000000000000000e+03,2.898882593458510737e+00,5.466354097014038960e-01,4.544726589579216047e-01,1.897774524799184848e+00
9.100000000000000000e+03,2.922020751201920064e+00,5.503823375256068351e-01,4.573218274106303216e-01,1.914316586265683240e+00
9.200000000000000000e+03,2.952606115953888999e+00,5.570337967933427503e-01,4.616001830214003232e-01,1.933972136139146203e+00
9.300000000000000000e+03,2.982832988823960196e+00,5.633088933530981945e-01,4.634843325295739391e-01,1.956039762941288451e+00
9.400000000000000000e+03,3.011393413675558239e+00,5.675307670653898517e-01,4.671335959443183583e-01,1.976729050665850140e+00
9.500000000000000000e+03,3.038340629981238550e+00,5.708032680263123160e-01,4.680157427823721794e-01,1.999521619172553777e+00
9.600000000000000000e+03,3.062262807428027145e+00,5.731138547124591254e-01,4.707225768714422554e-01,2.018426375844125875e+00
9.700000000000000000e+03,3.087878575187657848e+00,5.763785995600201328e-01,4.725096646233417075e-01,2.038990311004296174e+00
9.800000000000000000e+03,3.117994433240227625e+00,5.812890254025525616e-01,4.741226112302839302e-01,2.062582796607391078e+00
9.900000000000000000e+03,3.149160324737563688e+00,5.868518300596027304e-01,4.752470386285438386e-01,2.087061456049417174e+00
1.000000000000000000e+04,3.186489661236302506e+00,5.915342799244815986e-01,4.806937643757061562e-01,2.114261616936115029e+00
1.010000000000000000e+04,3.220541376705952974e+00,5.971040065677527542e-01,4.826958134726545002e-01,2.140741556665545886e+00
1.020000000000000000e+04,3.255328001215074707e+00,6.030536599388248709e-01,4.872571875879465608e-01,2.165017153688303164e+00
1.030000000000000000e+04,3.286710934092097247e+00,6.078724544569976684e-01,4.913022704306504451e-01,2.187536209204449023e+00
1.040000000000000000e+04,3.321131116949021855e+00,6.130419254907769622e-01,4.953271856485696456e-01,2.212762005809675525e+00
1.050000000000000000e+04,3.355814322126851490e+00,6.188481781382911828e-01,4.994759924706412835e-01,2.237490151517918413e+00
1.060000000000000000e+04,3.390835019439123244e+00,6.231394377221284309e-01,5.025386370452463725e-01,2.265156944671748551e+00
1.070000000000000000e+04,3.427017098000476381e+00,6.273485273714092259e-01,5.070054396230002647e-01,2.292663131006066557e+00
1.080000000000000000e+04,3.459130251470857953e+00,6.312785785991574805e-01,5.095537695431343606e-01,2.318297903328565557e+00
1.090000000000000000e+04,3.494671885622926411e+00,6.339885230162501939e-01,5.135370468076413397e-01,2.347146315799034877e+00
1.100000000000000000e+04,3.527403732018075555e+00,6.392800846377079127e-01,5.165212064311631712e-01,2.371602440949204915e+00
1.110000000000000000e+04,3.561674579647128080e+00,6.449637161852823652e-01,5.212942715233722657e-01,2.395416591938472894e+00
1.120000000000000000e+04,3.596825347769018411e+00,6.504658327454828637e-01,5.264272264836522552e-01,2.419932288539883292e+00
1.130000000000000000e+04,3.630533975261690305e+00,6.556626218383386773e-01,5.324916952423582872e-01,2.442379658180993562e+00
1.140000000000000000e+04,3.661499065937450670e+00,6.604041400465481271e-01,5.348110302903236191e-01,2.466283895600579257e+00
1.150000000000000000e+04,3.690370585163892603e+00,6.640137688487586232e-01,5.361418259195495084e-01,2.490214990395585026e+00
1.160000000000000000e+04,3.721868263108055519e+00,6.681954398856303490e-01,5.391200958316787473e-01,2.514552727390747311e+00
1.170000000000000000e+04,3.751503078288665360e+00,6.729297918786913968e-01,5.411400712384962786e-01,2.537433215171477574e+00
1.180000000000000000e+04,3.789074125590074171e+00,6.785386707901945869e-01,5.466847588488811249e-01,2.563850695950998126e+00
1.190000000000000000e+04,3.827161814374648419e+00,6.842308050776825246e-01,5.510578556291017005e-01,2.591873153667864305e+00
1.200000000000000000e+04,3.863009989239696740e+00,6.902967271228978019e-01,5.557281227653002587e-01,2.616985139351498457e+00
1.210000000000000000e+04,3.898281821429598892e+00,6.942401302248041306e-01,5.611512809792338352e-01,2.642890410225561038e+00
1.220000000000000000e+04,3.927554947674643415e+00,6.985772603624279542e-01,5.645541137824934275e-01,2.664423573529722145e+00
1.230000000000000000e+04,3.953974436234575673e+00,7.013603417791737238e-01,5.671379594300350879e-01,2.685476135025365974e+00
1.240000000000000000e+04,3.983421691150068167e+00,7.050550199405350993e-01,5.701187693451376104e-01,2.708247901864395235e+00
1.250000000000000000e+04,4.012825601506869511e+00,7.092431195840952496e-01,5.731794289099254591e-01,2.730403053012848691e+00
1.260000000000000000e+04,4.046137244940314126e+00,7.144371634070164623e-01,5.776894575939318655e-01,2.754010623939365132e+00
1.270000000000000000e+04,4.077660493263473462e+00,7.187797396033142050e-01,5.816819070978310746e-01,2.777198846562328072e+00
1.280000000000000000e+04,4.109129303555035584e+00,7.242442981195784668e-01,5.859269955514486705e-01,2.798958009884008558e+00
1.290000000000000000e+04,4.139894261354529981e+00,7.279371431683392402e-01,5.904997099604781807e-01,2.821457408225712893e+00
1.300000000000000000e+04,4.170888944595439796e+00,7.316003358894906938e-01,5.940271367642983025e-01,2.845261471941650910e+00
1.310000000000000000e+04,4.199091121088581069e+00,7.345128719455192856e-01,5.961472836643569861e-01,2.868430965478704575e+00
1.320000000000000000e+04,4.231406730633639590e+00,7.386153902586191089e-01,5.992297365740828496e-01,2.893561603800938187e+00
1.330000000000000000e+04,4.258584565977184155e+00,7.414181224753301214e-01,6.025855348812022561e-01,2.914580908620651556e+00
1.340000000000000000e+04,4.291454925437171219e+00,7.455896467937542793e-01,6.071881142163312317e-01,2.938677164427085930e+00
1.350000000000000000e+04,4.319636348649797064e+00,7.488374746470629617e-01,6.121375457806007558e-01,2.958661328222133235e+00
1.360000000000000000e+04,4.343946607152584960e+00,7.518015260086307050e-01,6.160023658711788475e-01,2.976142715272775963e+00
1.370000000000000000e+04,4.369850508200632255e+00,7.550382974770676325e-01,6.191186259650509616e-01,2.995693584758514216e+00
1.380000000000000000e+04,4.395643976693588861e+00,7.591763112073509623e-01,6.216251787134335904e-01,3.014842486772804531e+00
1.390000000000000000e+04,4.418515131185059452e+00,7.638135773923154792e-01,6.239796516941492621e-01,3.030721902098595155e+00
1.400000000000000000e+04,4.445118990409986814e+00,7.680679602786936178e-01,6.280478109797646979e-01,3.049003219151529276e+00
1.410000000000000000e+04,4.470811248906288782e+00,7.697728616956793779e-01,6.319870454458074160e-01,3.069051341764802654e+00
1.420000000000000000e+04,4.496970183773175478e+00,7.729763399935368762e-01,6.352543309320343168e-01,3.088739512847604729e+00
1.430000000000000000e+04,4.523956132681806075e+00,7.756251306489763131e-01,6.394536092253410020e-01,3.108877392807488871e+00
1.440000000000000000e+04,4.552048362440094031e+00,7.780463440509342021e-01,6.444979838108377823e-01,3.129504034578321825e+00
1.450000000000000000e+04,4.578727495353514421e+00,7.818424585523778836e-01,6.452260121848251151e-01,3.151659024616311200e+00
1.460000000000000000e+04,4.605564038424845741e+00,7.867170895941697495e-01,6.487804959542252670e-01,3.170066452876449947e+00
1.470000000000000000e+04,4.634252677189556913e+00,7.926494735873793607e-01,6.537199053246464109e-01,3.187883298277531363e+00
1.480000000000000000e+04,4.661850404725124797e+00,7.983644307149974084e-01,6.585753608751471200e-01,3.204910613134979158e+00
1.490000000000000000e+04,4.683202602584196406e+00,8.020418543187517457e-01,6.604584549561702822e-01,3.220702293309274378e+00
1.500000000000000000e+04,4.702516424679299867e+00,8.033728826018405877e-01,6.638318915682330790e-01,3.235311650509224979e+00
1.510000000000000000e+04,4.726936367568945307e+00,8.064443557472871227e-01,6.664277843452590666e-01,3.254064227476399562e+00
1.520000000000000000e+04,4.758502554855618349e+00,8.111710879360137794e-01,6.696031728459362897e-01,3.277728294073668724e+00
1.530000000000000000e+04,4.788471942858341102e+00,8.148195512867367762e-01,6.723293983277541797e-01,3.301322993243850590e+00
1.540000000000000000e+04,4.819239530973483454e+00,8.175410043850357411e-01,6.779260122901984431e-01,3.323772514298249714e+00
1.550000000000000000e+04,4.852892562501373241e+00,8.226491345171766945e-01,6.824812453550936908e-01,3.347762182629101968e+00
1.560000000000000000e+04,4.879702946729340240e+00,8.257412134784566371e-01,6.852030404316552525e-01,3.368758692819228795e+00
1.570000000000000000e+04,4.903963236009199811e+00,8.297068675809738947e-01,6.870378502194176562e-01,3.387218518208808149e+00
1.580000000000000000e+04,4.930223796711722173e+00,8.338258491174386222e-01,6.896090452351648636e-01,3.406788902359118243e+00
1.590000000000000000e+04,4.955868064365144043e+00,8.381255008007357787e-01,6.922601345348861068e-01,3.425482429029521825e+00
1.600000000000000000e+04,4.979020184438874175e+00,8.392917783874578319e-01,6.958764747926938776e-01,3.443851931258723464e+00
1.610000000000000000e+04,5.008312574151033481e+00,8.429872716874563521e-01,7.011645013947314098e-01,3.464160801068846052e+00
1.620000000000000000e+04,5.036111367754871004e+00,8.481691156798047970e-01,7.055668397480353571e-01,3.482375412327031849e+00
1.630000000000000000e+04,5.062937309532076213e+00,8.537045541238571511e-01,7.095118047989266152e-01,3.499720950609292558e+00
1.640000000000000000e+04,5.086358493435433559e+00,8.573595938591069832e-01,7.121215980890190922e-01,3.516877301487307594e+00
1.650000000000000000e+04,5.105066838676942886e+00,8.600395073604586438e-01,7.131188835359303368e-01,3.531908447780553573e+00
1.660000000000000000e+04,5.131544938742393036e+00,8.644543195962349769e-01,7.153325380828086111e-01,3.551758081063349781e+00
1.670000000000000000e+04,5.152593084722771444e+00,8.663794613130723077e-01,7.160759308502040454e-01,3.570137692559494980e+00
1.680000000000000000e+04,5.176972551313158810e+00,8.700690693148943611e-01,7.196694934921238351e-01,3.587233988506140392e+00
1.690000000000000000e+04,5.202483093084777188e+00,8.731129543670088644e-01,7.239786696565880808e-01,3.605391469061179688e+00
1.700000000000000000e+04,5.226888450846145062e+00,8.771923897685179883e-01,7.269426083145272832e-01,3.622753452763099791e+00
1.710000000000000000e+04,5.252447321901017041e+00,8.819612392285248736e-01,7.298945651636320475e-01,3.640591517508860786e+00
1.720000000000000000e+04,5.275765727441444675e+00,8.853061530690750081e-01,7.337700484327159822e-01,3.656689525939653240e+00
1.730000000000000000e+04,5.302870860534421915e+00,8.901661434261719519e-01,7.373270825304564235e-01,3.675377634577794428e+00
1.740000000000000000e+04,5.329454891029290486e+00,8.948564617373419017e-01,7.421964497264629257e-01,3.692401979565486325e+00
1.750000000000000000e+04,5.357355092418775833e+00,8.994522240227634802e-01,7.466650367865345084e-01,3.711237831609478288e+00
1.760000000000000000e+04,5.382069441359952577e+00,9.041841391125492455e-01,7.500585215680075635e-01,3.727826780679395657e+00
1.770000000000000000e+04,5.401655625207950173e+00,9.075429171441267151e-01,7.530102232311758348e-01,3.741102484832647068e+00
1.780000000000000000e+04,5.421416869823804774e+00,9.100240582381627918e-01,7.554685810418056979e-01,3.755924230543835396e+00
1.790000000000000000e+04,5.446344678679534645e+00,9.131425086185407380e-01,7.615971839912454300e-01,3.771604986069748922e+00
