t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,2.728026138321126837e-14,1.119659920334470308e-14,7.734785034685387788e-15,8.348877145181177500e-15
1.000000000000000000e+02,2.991670033851396848e-01,8.839791064561136613e-02,8.862379874293292714e-02,1.221452939965953777e-01
2.000000000000000000e+02,4.026423759969911531e-01,1.107587192296432405e-01,1.089128779801017133e-01,1.829707787872462132e-01
3.000000000000000000e+02,4.871350816503881020e-01,1.280071199398405413e-01,1.254577257393745260e-01,2.336702359711730348e-01
4.000000000000000000e+02,5.393084443185189869e-01,1.350006178326527695e-01,1.347565807754957656e-01,2.695512457103704795e-01
5.000000000000000000e+02,5.790657177850011550e-01,1.437815774707700556e-01,1.392356622995618853e-01,2.960484780146691586e-01
6.000000000000000000e+02,6.105642824677063318e-01,1.485249405063233108e-01,1.403046448225925835e-01,3.217346971387904375e-01
7.000000000000000000e+02,6.443514473315818947e-01,1.545547256682362480e-01,1.436735734899703965e-01,3.461231481733753057e-01
8.000000000000000000e+02,6.775411562714598324e-01,1.622208573969380896e-01,1.512656763614229072e-01,3.640546225130988356e-01
9.000000000000000000e+02,7.106666898705803481e-01,1.692515697802735031e-01,1.609191612242587832e-01,3.804959588660480341e-01
1.000000000000000000e+03,7.479699370468173569e-01,1.769573889493158414e-01,1.693083783253373775e-01,4.017041697721641103e-01
1.100000000000000000e+03,7.868613302370401907e-01,1.854362344847823862e-01,1.762675426507601395e-01,4.251575531014976095e-01
1.200000000000000000e+03,8.210701044394712600e-01,1.925883703467284325e-01,1.807408853448200514e-01,4.477408487479228039e-01
1.300000000000000000e+03,8.481090052274944391e-01,1.963137365956584557e-01,1.869398653767068152e-01,4.648554032551291959e-01
1.400000000000000000e+03,8.786968392040986897e-01,2.034394047051512611e-01,1.931903379530038045e-01,4.820670965459435964e-01
1.500000000000000000e+03,9.092465099709237109e-01,2.078479812674989824e-01,2.017699597947403833e-01,4.996285689086842896e-01
1.600000000000000000e+03,9.480678919780790581e-01,2.167103015647566799e-01,2.085684844960610518e-01,5.227891059172613542e-01
1.700000000000000000e+03,9.868863523736124410e-01,2.249346017020035227e-01,2.155625514326887093e-01,5.463891992389201535e-01
1.800000000000000000e+03,1.033148048777200678e+00,2.337461859406615994e-01,2.245416949250817473e-01,5.748601679114572205e-01
1.900000000000000000e+03,1.079172829174705139e+00,2.425552553093411334e-01,2.311904585714016080e-01,6.054271152939624256e-01
2.000000000000000000e+03,1.125303890011229324e+00,2.503151247720959427e-01,2.381693872613088736e-01,6.368193779778246189e-01
2.100000000000000000e+03,1.168481986684308360e+00,2.555698767669726257e-01,2.433976080463554348e-01,6.695145018709803830e-01
2.200000000000000000e+03,1.207874209489004702e+00,2.616356955932302997e-01,2.486493600487345024e-01,6.975891538470400111e-01
2.300000000000000000e+03,1.242347110868641913e+00,2.681259812411337373e-01,2.540111751652898708e-01,7.202099544622182492e-01
2.400000000000000000e+03,1.287543032435014112e+00,2.794844404144767869e-01,2.634407019271191031e-01,7.446178900934181666e-01
2.500000000000000000e+03,1.323373722973481659e+00,2.858536351525341468e-01,2.687836379806500808e-01,7.687364498402975421e-01
2.600000000000000000e+03,1.355624860775714868e+00,2.921486688710798196e-01,2.762349386275028129e-01,7.872412532771321247e-01
2.700000000000000000e+03,1.391912762509782686e+00,2.993121116699736239e-01,2.815717101762276742e-01,8.110289406635813325e-01
2.800000000000000000e+03,1.426515358809804290e+00,3.055649800097366975e-01,2.847187878471520439e-01,8.362315909529154379e-01
2.900000000000000000e+03,1.461643226725294120e+00,3.116744071960914075e-01,2.900686712423964919e-01,8.599001482868062762e-01
3.000000000000000000e+03,1.499657894867122421e+00,3.167104363548350898e-01,2.969385847005677759e-01,8.860088738117195550e-01
3.100000000000000000e+03,1.540290258167826165e+00,3.234625041616712715e-01,3.033165693146183672e-01,9.135111846915364708e-01
3.200000000000000000e+03,1.581853830698307206e+00,3.305996807337231447e-01,3.094083969833087422e-01,9.418457529812753748e-01
3.300000000000000000e+03,1.616611504670606880e+00,3.362009609246568997e-01,3.135165593310364485e-01,9.668939844149135876e-01
3.400000000000000000e+03,1.648769270233854556e+00,3.411718835766929248e-01,3.179892276887414382e-01,9.896081589684202484e-01
3.500000000000000000e+03,1.686886066202399226e+00,3.488272814440256941e-01,3.245893973471959404e-01,1.013469387411177536e+00
3.600000000000000000e+03,1.726340652970197231e+00,3.555476438435621889e-01,3.316800052026042112e-01,1.039113003924030831e+00
3.700000000000000000e+03,1.770585508848552259e+00,3.636538725708239328e-01,3.388804005831089206e-01,1.068051235694619461e+00
3.800000000000000000e+03,1.810302296943884670e+00,3.665758105183191673e-01,3.452579053358796890e-01,1.098468581089685703e+00
3.900000000000000000e+03,1.851814389375558978e+00,3.717793330976706390e-01,3.515368877933340852e-01,1.128498168484554309e+00
4.000000000000000000e+03,1.894278374722983438e+00,3.791242634634288122e-01,3.565301493997823923e-01,1.158623961859772233e+00
4.100000000000000000e+03,1.938893280167734101e+00,3.875315487262099845e-01,3.621824130920481277e-01,1.189179318349476100e+00
4.200000000000000000e+03,1.984113903782892319e+00,3.982646437463296940e-01,3.691706738100836160e-01,1.216678586226479064e+00
4.300000000000000000e+03,2.027862046722449740e+00,4.058066003812594857e-01,3.759635248480543979e-01,1.246091921493135857e+00
4.400000000000000000e+03,2.072702988127677948e+00,4.138330457373518567e-01,3.836203396765823781e-01,1.275249602713743657e+00
4.500000000000000000e+03,2.116451953178253298e+00,4.188356250141921922e-01,3.917673827633449957e-01,1.305848945400715833e+00
4.600000000000000000e+03,2.157964811542919747e+00,4.250565487163163736e-01,3.985990327165915281e-01,1.334309230110011901e+00
4.700000000000000000e+03,2.200264859154319907e+00,4.333316395557826328e-01,4.023305884146460842e-01,1.364602631183891024e+00
4.800000000000000000e+03,2.244523799327464264e+00,4.426659934047895151e-01,4.108817134911602054e-01,1.390976092431514433e+00
4.900000000000000000e+03,2.287491313452858499e+00,4.537822542486632527e-01,4.174765297140101694e-01,1.416232529490185188e+00
5.000000000000000000e+03,2.329233386613244861e+00,4.619239187423404003e-01,4.245244420262756502e-01,1.442785025844628866e+00
5.100000000000000000e+03,2.378430915871306617e+00,4.702684818311407833e-01,4.344590303859786617e-01,1.473703403654187172e+00
5.200000000000000000e+03,2.429601900661551017e+00,4.791740453237391395e-01,4.420611548468731944e-01,1.508366700490938683e+00
5.300000000000000000e+03,2.481442845845057477e+00,4.871286906174049913e-01,4.489713182708884309e-01,1.545342836956764110e+00
5.400000000000000000e+03,2.536062283760571745e+00,4.972477652820118665e-01,4.584576612823013098e-01,1.580356857196258513e+00
5.500000000000000000e+03,2.585744062831557333e+00,5.061253400489051923e-01,4.635768661968309168e-01,1.616041856585821224e+00
5.600000000000000000e+03,2.640293461531518560e+00,5.155863226622130480e-01,4.721221118348625789e-01,1.652585027034442877e+00
5.700000000000000000e+03,2.686793629752205259e+00,5.246378955741758388e-01,4.794818647968382419e-01,1.682673869381191123e+00
5.800000000000000000e+03,2.732624531721913996e+00,5.340632985562542290e-01,4.877004313516152267e-01,1.710860801814044319e+00
5.900000000000000000e+03,2.781185988371839279e+00,5.418895708564700486e-01,4.947915804692599728e-01,1.744504837046109147e+00
6.000000000000000000e+03,2.831591734452997944e+00,5.488411628172963352e-01,5.059435863921346588e-01,1.776806985243566839e+00
6.100000000000000000e+03,2.879819895885910253e+00,5.562380502013792860e-01,5.139058781162370027e-01,1.809675967568293853e+00
6.200000000000000000e+03,2.924512408716554823e+00,5.646786676194265331e-01,5.210329523607947211e-01,1.838800788736333569e+00
