t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,4.733389606196661859e-14,8.872301041999244936e-15,1.174777867577840258e-14,2.671381634418897580e-14
1.000000000000000000e+02,3.060484584000078279e-01,9.369640837230437669e-02,9.165921344341043664e-02,1.206928365842930145e-01
2.000000000000000000e+02,4.119487305857834625e-01,1.180946895704527155e-01,1.164110251870625473e-01,1.774430158282682690e-01
3.000000000000000000e+02,4.995797655431337136e-01,1.378859299650815051e-01,1.367993883606841710e-01,2.248944472173680931e-01
4.000000000000000000e+02,5.517302351881104849e-01,1.460084353763032861e-01,1.471829169350120925e-01,2.585388828767950509e-01
5.000000000000000000e+02,5.867187234390429662e-01,1.522923693612096840e-01,1.516065198214622822e-01,2.828198342563709722e-01
6.000000000000000000e+02,6.142154638030780101e-01,1.539474701980975135e-01,1.531179260870287051e-01,3.071500675179518747e-01
7.000000000000000000e+02,6.436971874284808104e-01,1.584594206633543056e-01,1.562597264725997526e-01,3.289780402925268632e-01
8.000000000000000000e+02,6.753938051425264488e-01,1.636192307211583874e-01,1.620356425622563046e-01,3.497389318591117013e-01
9.000000000000000000e+02,7.164102650357792035e-01,1.722765746594917824e-01,1.722942065194024430e-01,3.718394838568848670e-01
1.000000000000000000e+03,7.606136513869583560e-01,1.818387481652269100e-01,1.833842092799461698e-01,3.953906939417852762e-01
1.100000000000000000e+03,8.015686913511862466e-01,1.913229020328802710e-01,1.911885221021793757e-01,4.190572672161265722e-01
1.200000000000000000e+03,8.359318107740394410e-01,1.974216961846213814e-01,1.983374627278586821e-01,4.401726518615592387e-01
1.300000000000000000e+03,8.651738058994955516e-01,2.029833474128688309e-01,2.042699932486778946e-01,4.579204652379487706e-01
1.400000000000000000e+03,8.933039191595107953e-01,2.081486489192696243e-01,2.082814183803378683e-01,4.768738518599033305e-01
1.500000000000000000e+03,9.244992117816851485e-01,2.142242122003211457e-01,2.139538093844050304e-01,4.963211901969590834e-01
1.600000000000000000e+03,9.619237733146377423e-01,2.201634427867647792e-01,2.219474161208583596e-01,5.198129144070146035e-01
1.700000000000000000e+03,9.993579837627928342e-01,2.274233368444803227e-01,2.288713352580406257e-01,5.430633116602719968e-01
1.800000000000000000e+03,1.036775268161821861e+00,2.326359817021524945e-01,2.367796736607510610e-01,5.673596127989183335e-01
1.900000000000000000e+03,1.074532028215918089e+00,2.395969668248592033e-01,2.428063270526215900e-01,5.921287343384373791e-01
2.000000000000000000e+03,1.108111323449885610e+00,2.457882638720327861e-01,2.483283016527041698e-01,6.139947579251486820e-01
2.100000000000000000e+03,1.140891014576028928e+00,2.515541892947270042e-01,2.530588917324255172e-01,6.362779335488764065e-01
2.200000000000000000e+03,1.173467099055375051e+00,2.571979450865080064e-01,2.591617753153821480e-01,6.571073786534851191e-01
2.300000000000000000e+03,1.208863843838536622e+00,2.653502861274458779e-01,2.659034344569044528e-01,6.776101232541861252e-01
2.400000000000000000e+03,1.244277828149467302e+00,2.715216258272482031e-01,2.744845607844219049e-01,6.982716415377971941e-01
2.500000000000000000e+03,1.276922140416653972e+00,2.768918582062115941e-01,2.817154808040976954e-01,7.183148014063446274e-01
