t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,2.828015599476429934e-14,1.598443599704069066e-14,1.438849039914202813e-14,-2.092770401418420236e-15
1.000000000000000000e+02,2.347255959547367710e-01,7.176503994559113586e-02,7.153017627306368365e-02,9.143037973608195146e-02
2.000000000000000000e+02,3.128554710251807980e-01,8.550877190016999141e-02,8.775291974416069007e-02,1.395937793808501026e-01
3.000000000000000000e+02,3.575908350177198214e-01,9.444268914243612867e-02,9.445679098191886447e-02,1.686913548933648144e-01
4.000000000000000000e+02,3.593139309464907227e-01,9.446804112764042860e-02,9.299330446357231827e-02,1.718525853552779759e-01
5.000000000000000000e+02,3.571284983893207587e-01,9.219969134372915653e-02,9.166180231182667615e-02,1.732670047337649399e-01
6.000000000000000000e+02,3.513132988674390056e-01,8.735836895778301137e-02,8.758554758958783659e-02,1.763693823200681854e-01
7.000000000000000000e+02,3.645153593399422243e-01,8.974014724847760582e-02,9.167325366199677306e-02,1.831019584294678593e-01
8.000000000000000000e+02,3.862142215567277992e-01,9.373885436994985887e-02,9.462453220891549333e-02,1.978508349778624609e-01
9.000000000000000000e+02,4.084145872496766083e-01,9.794982259046200457e-02,9.804776243496148014e-02,2.124170022242531375e-01
1.000000000000000000e+03,4.247385077032094780e-01,9.982094865782129012e-02,1.009793515037563372e-01,2.239382075416318507e-01
1.100000000000000000e+03,4.299230662576656314e-01,9.979898626124630856e-02,9.829406369620960482e-02,2.318300163002097458e-01
1.200000000000000000e+03,4.328213080794998113e-01,9.902466283858465945e-02,9.691333954581049515e-02,2.368833056951046567e-01
1.300000000000000000e+03,4.360910690497190600e-01,9.812305446311375690e-02,9.702781086143824618e-02,2.409402037251670292e-01
1.400000000000000000e+03,4.360296067530586850e-01,9.558080287350616266e-02,9.622059143721750640e-02,2.442282124423350298e-01
1.500000000000000000e+03,4.335009530435345315e-01,9.475790322227736762e-02,9.409115816625110429e-02,2.446518916550060874e-01
1.600000000000000000e+03,4.409127235473133677e-01,9.708827089981889036e-02,9.592464288964208663e-02,2.478998097578523629e-01
1.700000000000000000e+03,4.487654238933497242e-01,9.770764340045323681e-02,9.682703514114772425e-02,2.542307453517487770e-01
1.800000000000000000e+03,4.601719681540653584e-01,9.868507544919799535e-02,9.858609048346100856e-02,2.629008022214063822e-01
1.900000000000000000e+03,4.687839302406281994e-01,9.943561318138838256e-02,9.664478623249918299e-02,2.727035308267406477e-01
2.000000000000000000e+03,4.726261977915646173e-01,9.757319509539810753e-02,9.601827993228309599e-02,2.790347227638834138e-01
2.100000000000000000e+03,4.749847268288536206e-01,9.807242916412320377e-02,9.382867343790607384e-02,2.830836242268243153e-01
2.200000000000000000e+03,4.800993882108331445e-01,9.760419598375355554e-02,9.564169170262100395e-02,2.868535005244585712e-01
2.300000000000000000e+03,4.861554757503028790e-01,9.759430154215217867e-02,9.605745774645148283e-02,2.925037164616992036e-01
2.400000000000000000e+03,4.996140669186929228e-01,9.810137971277273217e-02,9.856513169480869696e-02,3.029475555111114660e-01
2.500000000000000000e+03,5.118015079694976377e-01,9.893242249010117395e-02,9.962001396667337361e-02,3.132490715127230763e-01
2.600000000000000000e+03,5.208060925700541688e-01,9.838420567922463722e-02,1.003473791921097036e-01,3.220745076987198141e-01
2.700000000000000000e+03,5.263858127924466723e-01,9.819599878183356279e-02,9.834404353936378185e-02,3.298457704712492999e-01
2.800000000000000000e+03,5.389708321180622930e-01,9.963552664355304622e-02,1.003812499849124906e-01,3.389540554895967284e-01
2.900000000000000000e+03,5.427443106308216247e-01,9.844682404676100007e-02,9.778462807316004590e-02,3.465128585109006343e-01
3.000000000000000000e+03,5.485711239118844507e-01,9.975212947199868507e-02,9.921737774507853602e-02,3.496016166948071602e-01
3.100000000000000000e+03,5.473498699849876914e-01,9.800958302590837001e-02,9.827264840874323781e-02,3.510676385503360142e-01
3.200000000000000000e+03,5.531320043286627186e-01,9.757759973878242510e-02,9.729136309389145587e-02,3.582630414959888099e-01
3.300000000000000000e+03,5.652501016986309912e-01,9.822608968167445553e-02,9.771823138170017409e-02,3.693057806352563754e-01
3.400000000000000000e+03,5.807153441575657604e-01,1.000420961937878300e-01,9.886714509808634810e-02,3.818061028656915545e-01
3.500000000000000000e+03,5.863800321052596853e-01,9.869093205006726488e-02,9.900710539579694880e-02,3.886819946593954578e-01
3.600000000000000000e+03,5.881574883186925229e-01,1.002085023692421972e-01,9.756676057835286797e-02,3.903822253710974577e-01
3.700000000000000000e+03,5.866882969192330766e-01,9.991155729210009218e-02,9.706305276615181943e-02,3.897136868609812344e-01
3.800000000000000000e+03,5.931301678132339106e-01,9.877094520437723624e-02,9.556549106086661971e-02,3.987937315479900824e-01
3.900000000000000000e+03,6.024541426098203312e-01,9.786309312555431517e-02,9.621546677397219138e-02,4.083755827102938385e-01
4.000000000000000000e+03,6.181466411605136546e-01,9.799217365789489320e-02,9.848728918896834661e-02,4.216671783136504148e-01
4.100000000000000000e+03,6.262517650369723299e-01,9.829141173374265905e-02,9.953519635429604329e-02,4.284251569489336831e-01
4.200000000000000000e+03,6.307958878776249723e-01,9.856070445215722731e-02,9.842539707300904106e-02,4.338097863524587039e-01
4.300000000000000000e+03,6.363184053206372148e-01,9.952516852120683877e-02,9.762086790453235186e-02,4.391723688948980242e-01
4.400000000000000000e+03,6.445536486620260241e-01,9.983100165071845389e-02,9.865838341557227331e-02,4.460642635957353663e-01
4.500000000000000000e+03,6.511252641126666907e-01,9.824398655060950780e-02,9.989240971787469170e-02,4.529888678441825189e-01
4.600000000000000000e+03,6.634357063547637878e-01,1.006354060263774108e-01,1.021308480102890159e-01,4.606694523180973055e-01
4.700000000000000000e+03,6.733168885527527348e-01,1.010916315488578771e-01,1.014931921497902456e-01,4.707320648541045705e-01
4.800000000000000000e+03,6.859572827417133034e-01,1.032789391767443554e-01,1.004717094863752519e-01,4.822066340785936545e-01
4.900000000000000000e+03,6.952294146427683286e-01,1.039781303291154452e-01,1.016695203758129773e-01,4.895817639378399200e-01
5.000000000000000000e+03,7.047920746848128637e-01,1.042314477018789487e-01,1.031379652933948066e-01,4.974226616895390807e-01
5.100000000000000000e+03,7.129408791700698744e-01,1.033156354239851138e-01,1.036627360501077011e-01,5.059625076959770595e-01
5.200000000000000000e+03,7.169315011873080845e-01,1.035547736671072611e-01,1.025778785967822182e-01,5.107988489234186469e-01
5.300000000000000000e+03,7.193005644812971999e-01,1.018173668605712179e-01,1.007804841078134422e-01,5.167027135129125259e-01
5.400000000000000000e+03,7.286261694448354920e-01,1.033207788775996061e-01,1.016333664605627574e-01,5.236720241066731285e-01
5.500000000000000000e+03,7.371025518800354837e-01,1.023361171935185665e-01,1.019277274363845215e-01,5.328387072501323818e-01
5.600000000000000000e+03,7.468860766646694405e-01,1.023139073536186994e-01,1.023155965676694201e-01,5.422565727433813487e-01
5.700000000000000000e+03,7.564874477828178456e-01,1.026504496685558127e-01,1.020166217250050300e-01,5.518203763892570723e-01
5.800000000000000000e+03,7.653728510708419641e-01,1.043772489433296979e-01,1.029247187730526758e-01,5.580708833544595349e-01
5.900000000000000000e+03,7.716200769010770344e-01,1.042670095891173043e-01,1.032959247367045280e-01,5.640571425752551882e-01
6.000000000000000000e+03,7.795041574630492409e-01,1.043737358913923580e-01,1.015247977822867631e-01,5.736056237893701892e-01
6.100000000000000000e+03,7.867510181764080235e-01,1.045075096353373090e-01,1.017339614797220931e-01,5.805095470613486075e-01
