t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-1.554867345987531546e-14,6.572520305780927035e-15,-2.656208586415687102e-15,-1.946498517924055578e-14
1.000000000000000000e+02,2.385484991906975383e-01,7.240611009637953899e-02,7.449867996436276840e-02,9.164370912995523089e-02
2.000000000000000000e+02,3.114925889865169939e-01,8.587083594766600769e-02,8.831360776696314807e-02,1.373081452718878381e-01
3.000000000000000000e+02,3.626204187445302152e-01,9.748122413211675330e-02,9.679086806955614075e-02,1.683483265428573072e-01
4.000000000000000000e+02,3.725458128168352423e-01,9.666008052800982575e-02,9.472891739429552260e-02,1.811568148945298939e-01
5.000000000000000000e+02,3.867409305240629425e-01,9.319486641952670625e-02,9.785808939223468450e-02,1.956879747123015378e-01
6.000000000000000000e+02,3.846456108483856662e-01,8.897834210257000997e-02,9.464405281677763793e-02,2.010232159290380183e-01
7.000000000000000000e+02,3.951848653007655754e-01,9.455052058778293245e-02,9.792519156051805729e-02,2.027091531524645995e-01
8.000000000000000000e+02,4.140777703312856772e-01,1.004260262908268919e-01,1.045435260366692071e-01,2.091082180037896199e-01
9.000000000000000000e+02,4.219218693022683264e-01,1.014305446792038296e-01,1.067420311838495478e-01,2.137492934392149491e-01
1.000000000000000000e+03,4.333918006455540484e-01,1.034768546773028319e-01,1.100564929824110055e-01,2.198584529858401970e-01
1.100000000000000000e+03,4.378427515075475895e-01,1.026223903912654861e-01,1.090824623276638317e-01,2.261378987886183134e-01
1.200000000000000000e+03,4.498520208089756278e-01,1.052566220017258358e-01,1.115464417442582901e-01,2.330489570629915019e-01
1.300000000000000000e+03,4.614745290727721994e-01,1.085023889164294653e-01,1.126603156953074752e-01,2.403118244610352450e-01
1.400000000000000000e+03,4.768757308765018132e-01,1.118815664664408460e-01,1.166541781951052625e-01,2.483399862149557324e-01
1.500000000000000000e+03,4.923920042563959543e-01,1.116199752097258163e-01,1.220566596966929512e-01,2.587153693499771867e-01
1.600000000000000000e+03,5.080452776448559638e-01,1.120259757942105444e-01,1.251883211442220145e-01,2.708309807064234187e-01
1.700000000000000000e+03,5.241811855161155886e-01,1.158736281070404522e-01,1.273054749276237296e-01,2.810020824814513651e-01
1.800000000000000000e+03,5.385810705982813085e-01,1.194549671201110136e-01,1.308703911562202338e-01,2.882557123219500750e-01
1.900000000000000000e+03,5.480016718760594152e-01,1.224985560570060750e-01,1.326910017541851894e-01,2.928121140648681231e-01
2.000000000000000000e+03,5.567314948300328137e-01,1.234644486307886757e-01,1.354241945744171782e-01,2.978428516248269875e-01
2.100000000000000000e+03,5.678861474238832141e-01,1.245921483472371555e-01,1.382916237107940649e-01,3.050023753658520631e-01
2.200000000000000000e+03,5.789499773000915672e-01,1.265643522670051868e-01,1.400829071298284600e-01,3.123027179032579204e-01
