t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-1.179727611895961098e-15,-4.467722488262400042e-15,8.381605594761273470e-15,-5.093610718394832357e-15
1.000000000000000000e+02,2.306353741634042664e-01,7.188371176366464832e-02,7.223476602641355770e-02,8.651689637332604654e-02
2.000000000000000000e+02,3.039803686001533722e-01,8.798429190901457808e-02,8.752829018234269121e-02,1.284677865087961446e-01
3.000000000000000000e+02,3.505820391503391420e-01,9.789717897608191111e-02,9.760825818626890638e-02,1.550766019879883661e-01
4.000000000000000000e+02,3.529222830358612062e-01,9.632303585247241340e-02,9.494839795713332087e-02,1.616508492262555274e-01
5.000000000000000000e+02,3.501235422325481572e-01,9.040829744874696872e-02,9.311261473958094836e-02,1.666026300442202124e-01
6.000000000000000000e+02,3.389969149445207219e-01,8.480503321105836712e-02,8.812996325362069949e-02,1.660619184798416414e-01
7.000000000000000000e+02,3.455692463723084029e-01,8.970106063331902135e-02,9.055991167118832008e-02,1.653082740678011309e-01
8.000000000000000000e+02,3.600318662870261588e-01,9.482337583243995172e-02,9.625283836043789509e-02,1.689556520941483397e-01
9.000000000000000000e+02,3.724663046832047963e-01,9.731408637898499026e-02,9.964012552075081353e-02,1.755120927834689371e-01
1.000000000000000000e+03,3.836309356855094888e-01,9.894072132470693726e-02,1.020001118229016540e-01,1.826901025379008559e-01
1.100000000000000000e+03,3.873917533955210657e-01,9.845776608173999189e-02,1.009253748684419971e-01,1.880086124453390628e-01
1.200000000000000000e+03,3.912933941993865794e-01,9.831345692510773393e-02,1.018759918156253302e-01,1.911039454586535291e-01
1.300000000000000000e+03,3.958078027301176749e-01,9.920770193532561787e-02,1.006176165160406755e-01,1.959824842787513954e-01
1.400000000000000000e+03,4.043527781977058755e-01,1.006620092465614763e-01,1.029497317395146189e-01,2.007410372116298358e-01
1.500000000000000000e+03,4.109897357161065301e-01,1.012044582667582654e-01,1.053999811647011176e-01,2.043852962846471888e-01
1.600000000000000000e+03,4.210631217055522124e-01,1.028188832650054341e-01,1.085661133524589150e-01,2.096781250880878911e-01
1.700000000000000000e+03,4.277272200832211158e-01,1.049479491857573804e-01,1.080707130835214941e-01,2.147085578139421858e-01
1.800000000000000000e+03,4.354699612510155582e-01,1.060619020363764986e-01,1.090622282871830800e-01,2.203458309274559657e-01
1.900000000000000000e+03,4.389036372608588477e-01,1.061934939468133637e-01,1.088057366329202719e-01,2.239044066811252398e-01
2.000000000000000000e+03,4.466380631488826580e-01,1.064384511059030675e-01,1.108295208291217859e-01,2.293700912138577908e-01
2.100000000000000000e+03,4.545559891475367542e-01,1.081440772696765501e-01,1.121893583072046813e-01,2.342225535706555506e-01
2.200000000000000000e+03,4.612997352629625847e-01,1.095488411798683365e-01,1.130992804402223134e-01,2.386516136428719348e-01
2.300000000000000000e+03,4.667466551644979256e-01,1.099586306134013730e-01,1.138266323273248171e-01,2.429613922237717494e-01
2.400000000000000000e+03,4.728386263574068660e-01,1.108611687454110623e-01,1.134020534360348914e-01,2.485754041759609123e-01
2.500000000000000000e+03,4.831023469233701739e-01,1.111313658754429223e-01,1.155671364652238325e-01,2.564038445827033219e-01
2.600000000000000000e+03,4.938264317964879413e-01,1.126346302903871166e-01,1.182876924650250877e-01,2.629041090410756953e-01
2.700000000000000000e+03,5.034998314675139808e-01,1.143812761557837926e-01,1.202895132626873725e-01,2.688290420490428434e-01
2.800000000000000000e+03,5.100440558113027434e-01,1.151852248932368344e-01,1.204808922527470100e-01,2.743779386653188990e-01
2.900000000000000000e+03,5.164935378383231912e-01,1.166185769088865926e-01,1.200381820240112168e-01,2.798367789054254096e-01
3.000000000000000000e+03,5.248070857790634314e-01,1.167804278179327832e-01,1.221768806692281190e-01,2.858497772919025848e-01
3.100000000000000000e+03,5.319685542275064405e-01,1.172760580978228634e-01,1.222922758297399631e-01,2.924002202999435585e-01
3.200000000000000000e+03,5.477602025547905207e-01,1.207992203008691340e-01,1.260400897962063171e-01,3.009208924577150834e-01
3.300000000000000000e+03,5.583107724855097542e-01,1.212026205205191109e-01,1.277356611168988243e-01,3.093724908480918190e-01
3.400000000000000000e+03,5.658392909752572031e-01,1.212250763987963165e-01,1.282471143286837145e-01,3.163671002477771999e-01
3.500000000000000000e+03,5.717183627023595394e-01,1.217596918623594510e-01,1.283725393297064366e-01,3.215861315102937490e-01
3.600000000000000000e+03,5.774461547164814190e-01,1.221526103345102338e-01,1.284876975413757061e-01,3.268058468405954931e-01
3.700000000000000000e+03,5.843951083616241160e-01,1.235283039332054494e-01,1.294500849762515171e-01,3.314167194521671633e-01
3.800000000000000000e+03,5.926362971379764977e-01,1.239870646727178755e-01,1.303188742680308765e-01,3.383303581972277319e-01
3.900000000000000000e+03,5.998782079999390726e-01,1.256229485557249503e-01,1.316472954063664658e-01,3.426079640378477120e-01
4.000000000000000000e+03,6.077621946044757806e-01,1.259957943211695852e-01,1.318559360895593391e-01,3.499104641937467730e-01
4.100000000000000000e+03,6.209202255445590568e-01,1.277324480446024868e-01,1.341085257957292387e-01,3.590792517042273313e-01
4.200000000000000000e+03,6.276899244309489534e-01,1.269682712744503450e-01,1.339960918130062295e-01,3.667255613434924899e-01
4.300000000000000000e+03,6.358941553086384646e-01,1.274794692092836301e-01,1.351016006223267618e-01,3.733130854770281282e-01
4.400000000000000000e+03,6.478865435594945987e-01,1.290467446555930986e-01,1.365003256571086232e-01,3.823394732467928492e-01
4.500000000000000000e+03,6.567812295233632636e-01,1.313589488121506832e-01,1.383451416741614814e-01,3.870771390370511544e-01
4.600000000000000000e+03,6.650279351108369097e-01,1.317682139546727804e-01,1.386452872289502258e-01,3.946144339272139590e-01
4.700000000000000000e+03,6.721917001948204407e-01,1.328906790020405737e-01,1.386074540827685608e-01,4.006935671100111396e-01
4.800000000000000000e+03,6.790091442368106911e-01,1.318734501753351385e-01,1.382959107393658682e-01,4.088397833221097399e-01
4.900000000000000000e+03,6.880228596289788001e-01,1.317544750057085545e-01,1.402463037317986660e-01,4.160220808914716906e-01
5.000000000000000000e+03,6.978749890714116555e-01,1.321203082002744000e-01,1.417413215858481512e-01,4.240133592852890487e-01
5.100000000000000000e+03,7.071303941405494564e-01,1.341271116504592353e-01,1.430158749118995987e-01,4.299874075781907057e-01
5.200000000000000000e+03,7.177489213626619957e-01,1.355898740135451364e-01,1.449292107744111213e-01,4.372298365747057658e-01
5.300000000000000000e+03,7.236809032386807283e-01,1.361985459051751335e-01,1.439955316669912222e-01,4.434868256665145392e-01
5.400000000000000000e+03,7.299429077748280648e-01,1.367181622406708763e-01,1.444241781332216146e-01,4.488005674009356016e-01
5.500000000000000000e+03,7.413617361607144352e-01,1.370653986823368864e-01,1.455764542956129171e-01,4.587198831827646317e-01
5.600000000000000000e+03,7.521729059487891611e-01,1.391270921364819724e-01,1.465216916624385857e-01,4.665241221498686031e-01
5.700000000000000000e+03,7.624090774381858671e-01,1.396483429549694455e-01,1.479434294323520305e-01,4.748173050508642246e-01
5.800000000000000000e+03,7.689331021807365163e-01,1.398824971625345637e-01,1.483137660023359228e-01,4.807368390158661131e-01
5.900000000000000000e+03,7.762168171126703209e-01,1.398153381209003288e-01,1.491390527837223867e-01,4.872624262080475499e-01
6.000000000000000000e+03,7.836048084281622694e-01,1.405888633632248474e-01,1.492472140598698482e-01,4.937687310050676293e-01
6.100000000000000000e+03,7.929517247180687400e-01,1.403453770069593987e-01,1.503788499719876104e-01,5.022274977391217865e-01
6.200000000000000000e+03,8.061685226438409790e-01,1.413424849599609900e-01,1.523969368158268611e-01,5.124291008680531556e-01
6.300000000000000000e+03,8.168674583228971997e-01,1.427737376360303789e-01,1.528403096828822028e-01,5.212534110039847013e-01
6.400000000000000000e+03,8.225553326936975163e-01,1.419226888315426593e-01,1.529248319886029606e-01,5.277078118735518686e-01
