t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,5.079270337660091172e-15,-6.572520305780927035e-15,0.000000000000000000e+00,1.165179064344101821e-14
1.000000000000000000e+02,2.306252284168393563e-01,7.272802459005095477e-02,7.207795976777600644e-02,8.581924405901240893e-02
2.000000000000000000e+02,3.033263785680960778e-01,8.841571206148433892e-02,8.769871237469920033e-02,1.272119541319125524e-01
3.000000000000000000e+02,3.488769980906737400e-01,1.015967042404783277e-01,9.775766236140270848e-02,1.495226314887926622e-01
4.000000000000000000e+02,3.472157591002282828e-01,9.832152376308581077e-02,9.752529803868040248e-02,1.513689372984620696e-01
5.000000000000000000e+02,3.465311557541184140e-01,9.568607469066353621e-02,9.804098388634470418e-02,1.528040971771101597e-01
6.000000000000000000e+02,3.348294456496255234e-01,9.360597133977464901e-02,9.262942802536314191e-02,1.485940462844877463e-01
7.000000000000000000e+02,3.485364134246086709e-01,1.034374779710980352e-01,9.627350960750087616e-02,1.488254258460097734e-01
8.000000000000000000e+02,3.573508992991466515e-01,1.053221570209312424e-01,1.008588127543627727e-01,1.511699295238526641e-01
9.000000000000000000e+02,3.677773093750417166e-01,1.073433808327325101e-01,1.026994607907283780e-01,1.577344677515808147e-01
1.000000000000000000e+03,3.732218948007538506e-01,1.044112820857786283e-01,1.047194223978667738e-01,1.640911903171084485e-01
1.100000000000000000e+03,3.777950791642941120e-01,1.040156189539807874e-01,1.070344862361656268e-01,1.667449739741477255e-01
1.200000000000000000e+03,3.810516265900825705e-01,1.068024940632989195e-01,1.075310098895384259e-01,1.667181226372452252e-01
1.300000000000000000e+03,3.917725566680806404e-01,1.110198870243727792e-01,1.103717966752048724e-01,1.703808729685029610e-01
1.400000000000000000e+03,4.018593722067952401e-01,1.141665400775325467e-01,1.138489760795641514e-01,1.738438560496985696e-01
1.500000000000000000e+03,4.044109069235019560e-01,1.137810600572329162e-01,1.148463134846100103e-01,1.757835333816590295e-01
1.600000000000000000e+03,4.101964924727960482e-01,1.126886798277625112e-01,1.175080550257733975e-01,1.799997576192601256e-01
1.700000000000000000e+03,4.168398377156339873e-01,1.137861597757524879e-01,1.223994744743792246e-01,1.806542034655022611e-01
1.800000000000000000e+03,4.201217957700643657e-01,1.130934764381810592e-01,1.235142890998702087e-01,1.835140302320131256e-01
1.900000000000000000e+03,4.221865709684510248e-01,1.136351405732874131e-01,1.235612966119856715e-01,1.849901337831779680e-01
2.000000000000000000e+03,4.253274084692499901e-01,1.148235911905131079e-01,1.256069521587973026e-01,1.848968651199395796e-01
2.100000000000000000e+03,4.301429425215941293e-01,1.173161897504871043e-01,1.279549646744073677e-01,1.848717880966996296e-01
2.200000000000000000e+03,4.364404044518606085e-01,1.192684717895907964e-01,1.295249800861035250e-01,1.876469525761662871e-01
2.300000000000000000e+03,4.426945441899563516e-01,1.192826351760263581e-01,1.344547603255643042e-01,1.889571486883656892e-01
2.400000000000000000e+03,4.454651366388551748e-01,1.181356958931877588e-01,1.377022167735643399e-01,1.896272239721030761e-01
2.500000000000000000e+03,4.454605763568068033e-01,1.181530759680757547e-01,1.379517753727477758e-01,1.893557250159833283e-01
2.600000000000000000e+03,4.467275252243984585e-01,1.188305476345708767e-01,1.395061013266468142e-01,1.883908762631807954e-01
2.700000000000000000e+03,4.503915510480899775e-01,1.214503780379156128e-01,1.415555246608136142e-01,1.873856483493607228e-01
2.800000000000000000e+03,4.525702322077526651e-01,1.229567919864421877e-01,1.421515369163169618e-01,1.874619033049935157e-01
2.900000000000000000e+03,4.559295039937990568e-01,1.223961434189481390e-01,1.439275100436790689e-01,1.896058505311718212e-01
3.000000000000000000e+03,4.634478428698639574e-01,1.240542308880768496e-01,1.459516040140381443e-01,1.934420079677489912e-01
3.100000000000000000e+03,4.709366402427916931e-01,1.270943919893086638e-01,1.496843135431037142e-01,1.941579347103793152e-01
3.200000000000000000e+03,4.746897522770090472e-01,1.279751680688898108e-01,1.518015647360626552e-01,1.949130194720565812e-01
3.300000000000000000e+03,4.800140140926586474e-01,1.291126127171833282e-01,1.558362238038371039e-01,1.950651775716381875e-01
3.400000000000000000e+03,4.815831714460399038e-01,1.297585799206287804e-01,1.574128389078948698e-01,1.944117526175162258e-01
3.500000000000000000e+03,4.834067237863332589e-01,1.294243672275681156e-01,1.581176104973462115e-01,1.958647460614189595e-01
3.600000000000000000e+03,4.923591211099225262e-01,1.318398412952968279e-01,1.626820793103379015e-01,1.978372005042877690e-01
3.700000000000000000e+03,5.012015774157715375e-01,1.325070424736031760e-01,1.650202395072172534e-01,2.036742954349510804e-01
3.800000000000000000e+03,4.986003851021981736e-01,1.324913032500439902e-01,1.633706128373798860e-01,2.027384690147743529e-01
3.900000000000000000e+03,5.045204373729803571e-01,1.325495331142053090e-01,1.678644791492394650e-01,2.041064251095355553e-01
4.000000000000000000e+03,5.131284211058231293e-01,1.354937811807941372e-01,1.709264515269938722e-01,2.067081883980351198e-01
4.100000000000000000e+03,5.210552515559432329e-01,1.367109984015631718e-01,1.758933316630869881e-01,2.084509214912930730e-01
4.200000000000000000e+03,5.175971013593515524e-01,1.369238311423587595e-01,1.744761614552906848e-01,2.061971087617021081e-01
4.300000000000000000e+03,5.240825566009486014e-01,1.371801140227137950e-01,1.777975940362463980e-01,2.091048485419884639e-01
4.400000000000000000e+03,5.222134922339243257e-01,1.358387162719178198e-01,1.773117035332942015e-01,2.090630724287123599e-01
4.500000000000000000e+03,5.325348103412028689e-01,1.369444205954785387e-01,1.806826189611639433e-01,2.149077707845603036e-01
4.600000000000000000e+03,5.404307814544180300e-01,1.391390498792034469e-01,1.843257254935583289e-01,2.169660060816562819e-01
4.700000000000000000e+03,5.412792499111184208e-01,1.408082529334021282e-01,1.863471325689808888e-01,2.141238644087354037e-01
4.800000000000000000e+03,5.379436743023764400e-01,1.384916732323768218e-01,1.871515259665448849e-01,2.123004751034546778e-01
