t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-4.020395127923848122e-14,5.516420653606246560e-15,-5.685729664861582775e-15,-4.003464226798314737e-14
1.000000000000000000e+02,3.960339689876076763e-01,1.285223481681255220e-01,1.214789252783426698e-01,1.460326955411395122e-01
2.000000000000000000e+02,5.971321614062865546e-01,1.844512970124611573e-01,1.734765124772316702e-01,2.392043519165936716e-01
3.000000000000000000e+02,7.626879890480209312e-01,2.321442086884553668e-01,2.177498391835038238e-01,3.127939411760616850e-01
4.000000000000000000e+02,8.890453699845631830e-01,2.627693859095522333e-01,2.502264726130484229e-01,3.760495114619625268e-01
5.000000000000000000e+02,9.893646760209980906e-01,2.889720686762901058e-01,2.734035953024818721e-01,4.269890120422260571e-01
6.000000000000000000e+02,1.066483142090473235e+00,3.059003986475435921e-01,2.912010919305242362e-01,4.693816515124053512e-01
7.000000000000000000e+02,1.138824799054757086e+00,3.210987465155258347e-01,3.087547694671866627e-01,5.089712830720445336e-01
8.000000000000000000e+02,1.204015437732921967e+00,3.343289633341748890e-01,3.204799775803437445e-01,5.492064968184033891e-01
9.000000000000000000e+02,1.263425441719306708e+00,3.469595505086949805e-01,3.344042400739797860e-01,5.820616511366318857e-01
1.000000000000000000e+03,1.329862643160101054e+00,3.619829360106997518e-01,3.500914596126017408e-01,6.177882475367996173e-01
1.100000000000000000e+03,1.396800160271862934e+00,3.796875945724458301e-01,3.710748030869537306e-01,6.460377626124633732e-01
1.200000000000000000e+03,1.470861521777442116e+00,4.024570632022266281e-01,3.901282080168298472e-01,6.782762505583856960e-01
1.300000000000000000e+03,1.543284555753128284e+00,4.240973199716751019e-01,4.113974486602046676e-01,7.077897871212486258e-01
1.400000000000000000e+03,1.617936975362244123e+00,4.470429984786037925e-01,4.284252811226387792e-01,7.424686957610014959e-01
1.500000000000000000e+03,1.691510139319672534e+00,4.663105097044062397e-01,4.472205395846661213e-01,7.779790900306001733e-01
1.600000000000000000e+03,1.764764127960875673e+00,4.876032123630688053e-01,4.627698041873976598e-01,8.143911114104092075e-01
1.700000000000000000e+03,1.838136565757845009e+00,5.049957787157451916e-01,4.803914569508725418e-01,8.527493300912271090e-01
1.800000000000000000e+03,1.915867153217033714e+00,5.261188259193453343e-01,4.987971360546740729e-01,8.909511912430142511e-01
1.900000000000000000e+03,1.993063044563182951e+00,5.430271189568255386e-01,5.196831004145294752e-01,9.303528251918280478e-01
