t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.747329133235571787e-14,-3.034609600642095201e-15,1.730953343622350792e-14,3.198367496774305554e-15
1.000000000000000000e+02,3.064251246052889788e-01,9.353608874968584452e-02,9.336487110117470956e-02,1.195241647544283969e-01
2.000000000000000000e+02,4.114451933860408528e-01,1.160660969606821524e-01,1.169954017694081888e-01,1.783836946559505809e-01
3.000000000000000000e+02,4.969059897825100491e-01,1.370546424684004061e-01,1.339209957978132748e-01,2.259303515162962572e-01
4.000000000000000000e+02,5.426902755999539751e-01,1.438753219206209411e-01,1.410377524297265206e-01,2.577772012496064580e-01
5.000000000000000000e+02,5.680738663215472162e-01,1.472707618885753245e-01,1.432865537066459194e-01,2.775165507263260278e-01
6.000000000000000000e+02,5.856982622742981093e-01,1.462388716356489426e-01,1.430120704714781532e-01,2.964473201671709579e-01
7.000000000000000000e+02,6.079478487070038017e-01,1.492732868256610168e-01,1.462149109281067616e-01,3.124596509532359678e-01
8.000000000000000000e+02,6.354192684403203728e-01,1.539240455083486225e-01,1.528396633280314498e-01,3.286555596039402727e-01
9.000000000000000000e+02,6.699835835029753772e-01,1.627766995198159650e-01,1.625888927450916122e-01,3.446179912380678001e-01
1.000000000000000000e+03,7.052692279474873649e-01,1.716373642039975833e-01,1.708886716154815189e-01,3.627431921280083738e-01
1.100000000000000000e+03,7.384917015569149035e-01,1.779833829437130477e-01,1.773761020781328412e-01,3.831322165350690145e-01
1.200000000000000000e+03,7.685091819700941018e-01,1.840631422654883664e-01,1.824874749667536600e-01,4.019585647378520754e-01
1.300000000000000000e+03,7.943363709386418448e-01,1.884328496904770500e-01,1.867206014533415726e-01,4.191829197948231389e-01
1.400000000000000000e+03,8.122499425721638744e-01,1.903264855845100134e-01,1.889013313782523518e-01,4.330221256094015647e-01
1.500000000000000000e+03,8.338917840327360054e-01,1.943471534042668647e-01,1.936628923740909280e-01,4.458817382543782126e-01
1.600000000000000000e+03,8.605775136541679027e-01,2.006057317460087364e-01,1.981570627717940403e-01,4.618147191363650705e-01
1.700000000000000000e+03,8.872837577595640290e-01,2.077260957288117049e-01,2.035511176821890589e-01,4.760065443485632652e-01
1.800000000000000000e+03,9.133495341545067037e-01,2.132500751587990961e-01,2.073408231045179295e-01,4.927586358911897335e-01
1.900000000000000000e+03,9.380652508099900366e-01,2.187457415912756886e-01,2.134862141019799597e-01,5.058332951167343605e-01
2.000000000000000000e+03,9.623417696109920483e-01,2.235646140846734298e-01,2.177686638883772341e-01,5.210084916379412734e-01
2.100000000000000000e+03,9.874254914025900609e-01,2.277773732235094661e-01,2.235044650972218550e-01,5.361436530818588508e-01
2.200000000000000000e+03,1.012341579618060150e+00,2.319633200025326969e-01,2.280497638113846148e-01,5.523284958041428938e-01
2.300000000000000000e+03,1.037958421021298205e+00,2.383857020764033052e-01,2.327382037288886485e-01,5.668345152160062517e-01
