t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-3.729482001002537572e-14,1.154631945610162841e-15,9.545489398909979349e-15,-4.799494135454551850e-14
1.000000000000000000e+02,2.380939875671100325e-01,7.137363222112561023e-02,7.441398604573254416e-02,9.230636930025186426e-02
2.000000000000000000e+02,3.169942476244829721e-01,8.939307947089092377e-02,9.144731470434575016e-02,1.361538534492462982e-01
3.000000000000000000e+02,3.731266481102560872e-01,1.019660703935309221e-01,1.056597157223015948e-01,1.655008619944235426e-01
4.000000000000000000e+02,3.769376567177856741e-01,9.935942361981528470e-02,1.046372709127674216e-01,1.729409621852029677e-01
5.000000000000000000e+02,3.704227103892107076e-01,9.363877212639619418e-02,9.994425654026999062e-02,1.768396817225445505e-01
6.000000000000000000e+02,3.674585747501618593e-01,8.973970970970697458e-02,9.914639841714345536e-02,1.785724666233114155e-01
7.000000000000000000e+02,3.817268746054253148e-01,9.695073445074846308e-02,1.030690765232146894e-01,1.817070636314621623e-01
8.000000000000000000e+02,4.005884589739335810e-01,1.036300751781400881e-01,1.098612921167572420e-01,1.870970916790362926e-01
9.000000000000000000e+02,4.174881363833982117e-01,1.087783229413734898e-01,1.150357469185311066e-01,1.936740665234936432e-01
1.000000000000000000e+03,4.253877972972026078e-01,1.096738634778185728e-01,1.151253707175133173e-01,2.005885631018707316e-01
1.100000000000000000e+03,4.277002011647369484e-01,1.072140033638597084e-01,1.162650197443964445e-01,2.042211780564808232e-01
1.200000000000000000e+03,4.331934934011812399e-01,1.077695293097973017e-01,1.171453132195871411e-01,2.082786508717968110e-01
1.300000000000000000e+03,4.419841722550982288e-01,1.097152957240484783e-01,1.205283063840467267e-01,2.117405701470030377e-01
1.400000000000000000e+03,4.534830218663336021e-01,1.134120832927956596e-01,1.230831838061063888e-01,2.169877547674315399e-01
1.500000000000000000e+03,4.618587044347737258e-01,1.182003636462332918e-01,1.259792781024313968e-01,2.176790626861090094e-01
1.600000000000000000e+03,4.665398542452732222e-01,1.207927706039428895e-01,1.269066548947993811e-01,2.188404287465309239e-01
1.700000000000000000e+03,4.751796449650833587e-01,1.229862359860990767e-01,1.280459794350792269e-01,2.241474295439050413e-01
1.800000000000000000e+03,4.888559620873421108e-01,1.251489036367474939e-01,1.300231207997486205e-01,2.336839376508459964e-01
1.900000000000000000e+03,4.951002926523703218e-01,1.235651460907003091e-01,1.337900282889345482e-01,2.377451182727354784e-01
2.000000000000000000e+03,5.009941068359609062e-01,1.269519093422601663e-01,1.359304226848664920e-01,2.381117748088343311e-01
2.100000000000000000e+03,5.151407564155392471e-01,1.326293321579102846e-01,1.381385524187740688e-01,2.443728718388549770e-01
2.200000000000000000e+03,5.240301522771824150e-01,1.358367133765226165e-01,1.419305740570286078e-01,2.462628648436312184e-01
2.300000000000000000e+03,5.300682098445522739e-01,1.391055575750324569e-01,1.434561057921589500e-01,2.475065464773608670e-01
2.400000000000000000e+03,5.363624513020256446e-01,1.395908480289619891e-01,1.471070295288100238e-01,2.496645737442536872e-01
2.500000000000000000e+03,5.456904656615018112e-01,1.400496449602740834e-01,1.501413471474370986e-01,2.554994735537906014e-01
2.600000000000000000e+03,5.583595856627761034e-01,1.432917487460685368e-01,1.522634807212113195e-01,2.628043561954962470e-01
2.700000000000000000e+03,5.712982273175901682e-01,1.472982845341877511e-01,1.566823519679357291e-01,2.673175908154666880e-01
2.800000000000000000e+03,5.747342014627347950e-01,1.481546651251632596e-01,1.580120260385389774e-01,2.685675102990325303e-01
2.900000000000000000e+03,5.807007638979360120e-01,1.512736770143013332e-01,1.590173145452804526e-01,2.704097723383542817e-01
3.000000000000000000e+03,5.828993310221112223e-01,1.505449383496174076e-01,1.596288566566946288e-01,2.727255360157991859e-01
3.100000000000000000e+03,5.880108153940410975e-01,1.531200296296908181e-01,1.611411346349646556e-01,2.737496511293857071e-01
3.200000000000000000e+03,5.928884580992712650e-01,1.582194637165507400e-01,1.620316866752996299e-01,2.726373077074208950e-01
3.300000000000000000e+03,5.995806627323181370e-01,1.586620765256153143e-01,1.657256591548998959e-01,2.751929270518028714e-01
3.400000000000000000e+03,6.090884569865981923e-01,1.588502756348098011e-01,1.689031541299211847e-01,2.813350272218671511e-01
3.500000000000000000e+03,6.138536126932173653e-01,1.602305113095857103e-01,1.678508278170941781e-01,2.857722735665374492e-01
3.600000000000000000e+03,6.184387722600946935e-01,1.608828668080777846e-01,1.678279211226492151e-01,2.897279843293676937e-01
3.700000000000000000e+03,6.192103415338493511e-01,1.620912344859827270e-01,1.668016880666664536e-01,2.903174189812001704e-01
3.800000000000000000e+03,6.280367277234003565e-01,1.665005148212750918e-01,1.693768629894895628e-01,2.921593499126357019e-01
3.900000000000000000e+03,6.313939703379499724e-01,1.659690650895563613e-01,1.720447268086999215e-01,2.933801784396936618e-01
4.000000000000000000e+03,6.363685941158354620e-01,1.658219687117929719e-01,1.743737236003469471e-01,2.961729018036955985e-01
4.100000000000000000e+03,6.403734659655624384e-01,1.646142182781061558e-01,1.743921928463992299e-01,3.013670548410571359e-01
4.200000000000000000e+03,6.473906931174855384e-01,1.658058776084801178e-01,1.749647659580200743e-01,3.066200495509853186e-01
4.300000000000000000e+03,6.625864267005264763e-01,1.695628498318439703e-01,1.772493060237334550e-01,3.157742708449490232e-01
4.400000000000000000e+03,6.711460151127965901e-01,1.727246318008872628e-01,1.799866876232762147e-01,3.184346956886331403e-01
4.500000000000000000e+03,6.760797788656968121e-01,1.759132020694321452e-01,1.819279734507703028e-01,3.182386033454943641e-01
4.600000000000000000e+03,6.790018415838701138e-01,1.768290641015343445e-01,1.850564238205265610e-01,3.171163536618092915e-01
