t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-2.231756446313681989e-14,1.271344141073882415e-14,4.087702398791748395e-15,-3.911870827266739323e-14
1.000000000000000000e+02,2.317510692784413018e-01,7.218392608907485408e-02,7.042584028945458874e-02,8.914130289991184508e-02
2.000000000000000000e+02,3.058247238044766170e-01,8.863517380082644448e-02,8.610790959765997343e-02,1.310816404059901852e-01
3.000000000000000000e+02,3.453843765296852331e-01,9.484228723322746246e-02,9.340011946749066096e-02,1.571419698289671374e-01
4.000000000000000000e+02,3.505287294038389456e-01,9.536853449003566963e-02,9.258045030131975550e-02,1.625797446124835344e-01
5.000000000000000000e+02,3.551061021389403383e-01,9.450366198763381076e-02,9.280662152952642852e-02,1.677958186217801129e-01
6.000000000000000000e+02,3.541826855523245721e-01,9.239957419293767793e-02,8.924449440590480342e-02,1.725386169534820768e-01
7.000000000000000000e+02,3.674651198376556183e-01,9.833823630547873507e-02,9.414742661037925342e-02,1.749794569217975881e-01
8.000000000000000000e+02,3.786216230778254310e-01,1.025038445094824946e-01,9.958088689800717597e-02,1.765368916703357882e-01
9.000000000000000000e+02,3.861187368412777321e-01,1.031619263657180402e-01,1.022482291230429469e-01,1.807085813525167173e-01
1.000000000000000000e+03,3.981419186349195449e-01,1.056519704508999125e-01,1.040389607077322615e-01,1.884509874762873294e-01
1.100000000000000000e+03,4.059909015829151757e-01,1.065919949982318815e-01,1.026696156102917118e-01,1.967292909743915408e-01
1.200000000000000000e+03,4.114172741823006185e-01,1.074134606158157340e-01,1.026535245757342618e-01,2.013502889907506366e-01
1.300000000000000000e+03,4.222865049901024515e-01,1.091532371176566485e-01,1.061224716109924193e-01,2.070107962614534114e-01
1.400000000000000000e+03,4.296156830539529237e-01,1.095984520422336461e-01,1.090847364154225313e-01,2.109324945962967601e-01
1.500000000000000000e+03,4.335921175203291122e-01,1.102973074141000431e-01,1.106764411584214153e-01,2.126183689478076955e-01
1.600000000000000000e+03,4.438687974245978385e-01,1.119762651443900747e-01,1.138512084144955860e-01,2.180413238657121777e-01
1.700000000000000000e+03,4.529573889900572747e-01,1.138075044550792142e-01,1.145722433775202970e-01,2.245776411574577636e-01
1.800000000000000000e+03,4.605806344767057192e-01,1.150770885062809556e-01,1.165450271509059499e-01,2.289585188195188137e-01
1.900000000000000000e+03,4.631708111443500475e-01,1.153999342458534583e-01,1.165648809050265494e-01,2.312059959934700260e-01
2.000000000000000000e+03,4.687933783772242347e-01,1.178472113383981917e-01,1.180474159450860816e-01,2.328987510937400029e-01
2.100000000000000000e+03,4.790767521948264829e-01,1.170489595239579683e-01,1.194066632237400089e-01,2.426211294471284918e-01
2.200000000000000000e+03,4.969881919399587455e-01,1.221480487741248427e-01,1.243099065428427963e-01,2.505302366229911204e-01
2.300000000000000000e+03,5.022570624316224919e-01,1.222373385463546985e-01,1.240368653005512745e-01,2.559828585847165328e-01
2.400000000000000000e+03,5.056178455814598349e-01,1.227936680355205257e-01,1.246140322447151644e-01,2.582101453012241588e-01
2.500000000000000000e+03,5.001737391044422942e-01,1.204301448685858311e-01,1.234405715184615226e-01,2.563030227173949127e-01
2.600000000000000000e+03,5.042732780006600191e-01,1.202595995377736954e-01,1.252952579875410422e-01,2.587184204753453232e-01
2.700000000000000000e+03,5.074195903379458139e-01,1.220751670424924801e-01,1.253412609666462729e-01,2.600031623288070470e-01
2.800000000000000000e+03,5.189856628632448787e-01,1.246992738553652780e-01,1.300721510067155418e-01,2.642142380011640590e-01
2.900000000000000000e+03,5.253912693153444113e-01,1.245442622180688713e-01,1.315535575170851401e-01,2.692934495801903583e-01
3.000000000000000000e+03,5.322297578818806496e-01,1.249588571025228162e-01,1.349437644312315721e-01,2.723271363481262197e-01
3.100000000000000000e+03,5.325860515972866693e-01,1.235879296012548367e-01,1.366337158647950856e-01,2.723644061312366915e-01
3.200000000000000000e+03,5.366554448274735156e-01,1.225795399295411398e-01,1.375994657019043999e-01,2.764764391960279899e-01
3.300000000000000000e+03,5.345221677004883265e-01,1.202878051634980183e-01,1.366098586552586536e-01,2.776245038817316546e-01
3.400000000000000000e+03,5.479205543428087299e-01,1.235065213071868950e-01,1.381464849488563962e-01,2.862675480867655220e-01
3.500000000000000000e+03,5.560849653704244000e-01,1.235682020453202912e-01,1.430134197602158652e-01,2.895033435648882714e-01
3.600000000000000000e+03,5.665143062561284193e-01,1.254166430804389831e-01,1.450043844254969017e-01,2.960932787501925345e-01
3.700000000000000000e+03,5.745426818794673318e-01,1.244295192867514721e-01,1.461715250012318168e-01,3.039416375914840707e-01
3.800000000000000000e+03,5.817399129120166545e-01,1.246613689599385399e-01,1.483407529587797147e-01,3.087377909932984554e-01
3.900000000000000000e+03,5.794546983178334720e-01,1.228084701582286276e-01,1.497806456562588151e-01,3.068655825033460571e-01
4.000000000000000000e+03,5.840382176905686284e-01,1.253245483333149668e-01,1.511647074150847536e-01,3.075489619421689080e-01
4.100000000000000000e+03,5.986524244993305377e-01,1.274875312526878024e-01,1.572075097632118224e-01,3.139573834834309962e-01
4.200000000000000000e+03,6.063862983763566028e-01,1.249419297021691494e-01,1.578916116395727431e-01,3.235527570346147241e-01
4.300000000000000000e+03,6.150994634480962953e-01,1.240103341389002106e-01,1.595634585689031937e-01,3.315256707402928771e-01
4.400000000000000000e+03,6.217604509770170429e-01,1.228489005055472816e-01,1.616500969335731286e-01,3.372614535378966050e-01
4.500000000000000000e+03,6.250118308286243263e-01,1.221294036574384068e-01,1.612237589849876973e-01,3.416586681861982222e-01
4.600000000000000000e+03,6.372795995101147026e-01,1.249942513070237543e-01,1.634807652472019812e-01,3.488045829558889532e-01
4.700000000000000000e+03,6.452380656273075665e-01,1.238981632962373458e-01,1.653318059559129583e-01,3.560080963751573457e-01
4.800000000000000000e+03,6.540545265394703822e-01,1.259362222949313159e-01,1.684638943525637589e-01,3.596544098919752797e-01
4.900000000000000000e+03,6.619105605792063862e-01,1.256134737696539827e-01,1.713110848518052121e-01,3.649860019577472192e-01
5.000000000000000000e+03,6.680433025556369309e-01,1.254482945654758763e-01,1.728141506974866237e-01,3.697808572926744586e-01
5.100000000000000000e+03,6.720149616968107420e-01,1.232806087829099451e-01,1.731659208574077846e-01,3.755684320564930401e-01
5.200000000000000000e+03,6.821597446019000976e-01,1.249712663300615867e-01,1.747221780244368472e-01,3.824663002474016915e-01
5.300000000000000000e+03,6.974144210878950867e-01,1.270132229626442510e-01,1.780729475083483171e-01,3.923282506169025186e-01
5.400000000000000000e+03,7.034606583460993878e-01,1.271152323047998745e-01,1.782678057211751210e-01,3.980776203201244479e-01
5.500000000000000000e+03,7.161605746633015190e-01,1.289267245598221812e-01,1.818447491236989677e-01,4.053891009797803702e-01
5.600000000000000000e+03,7.200816733820567528e-01,1.274771048096054182e-01,1.840329167168198998e-01,4.085716518556313792e-01
5.700000000000000000e+03,7.284138962407793461e-01,1.270379572878574670e-01,1.858783750979074445e-01,4.154975638550144623e-01
5.800000000000000000e+03,7.348746303725628426e-01,1.251559598231448411e-01,1.872106265673431635e-01,4.225080439820748102e-01
5.900000000000000000e+03,7.419115767202504319e-01,1.257925574181057715e-01,1.892642711925107135e-01,4.268547481096339746e-01
6.000000000000000000e+03,7.468465781058570840e-01,1.267018425990774633e-01,1.916521461767050627e-01,4.284925893300745026e-01
6.100000000000000000e+03,7.540308897626670781e-01,1.269639809954545839e-01,1.930870396156270652e-01,4.339798691515854290e-01
6.200000000000000000e+03,7.654270028375880219e-01,1.269296153874990285e-01,1.956515121864196571e-01,4.428458752636693641e-01
6.300000000000000000e+03,7.699059279321064375e-01,1.275974517882176584e-01,1.963395383758601009e-01,4.459689377680287059e-01
6.400000000000000000e+03,7.809534792858147112e-01,1.276786712534322965e-01,2.012604039571796455e-01,4.520144040752027692e-01
6.500000000000000000e+03,7.926017254685682190e-01,1.305870085420196003e-01,2.046959453975547016e-01,4.573187715289939170e-01
6.600000000000000000e+03,8.014662380305075384e-01,1.318724686860424933e-01,2.066443452575152107e-01,4.629494240869498900e-01
6.700000000000000000e+03,8.087870811033310847e-01,1.318191271321249025e-01,2.082326053088339735e-01,4.687353486623721532e-01
6.800000000000000000e+03,8.163279931602649420e-01,1.307874108273817393e-01,2.109939123596159261e-01,4.745466699732672211e-01
6.900000000000000000e+03,8.289485273131802501e-01,1.313167179963928566e-01,2.138144485047863697e-01,4.838173608120009961e-01
7.000000000000000000e+03,8.378915132131016241e-01,1.304746244595501592e-01,2.152833879417509755e-01,4.921335008118005172e-01
7.100000000000000000e+03,8.418086679281727713e-01,1.295296032456732249e-01,2.175484938243702204e-01,4.947305708581293260e-01
7.200000000000000000e+03,8.465040815492654858e-01,1.303335781504156299e-01,2.179002797902971911e-01,4.982702236085526648e-01
7.300000000000000000e+03,8.520413166229386936e-01,1.303264633216999202e-01,2.195922712693085810e-01,5.021225820319301647e-01
7.400000000000000000e+03,8.660273079626157333e-01,1.325933040939408780e-01,2.209361832827593797e-01,5.124978205859155311e-01
7.500000000000000000e+03,8.748543376500799162e-01,1.311830414874005091e-01,2.249219288058086352e-01,5.187493673568708275e-01
7.600000000000000000e+03,8.854923532336480552e-01,1.296675361852009933e-01,2.278239812439038781e-01,5.280008358045431560e-01
7.700000000000000000e+03,8.958374341930609441e-01,1.302736787195689916e-01,2.290459822272548074e-01,5.365177732462371729e-01
7.800000000000000000e+03,9.085350994705239103e-01,1.318752505207188563e-01,2.302150804914517013e-01,5.464447684583533249e-01
7.900000000000000000e+03,9.195037790866182892e-01,1.322234866611686210e-01,2.327172032664278356e-01,5.545630891590218603e-01
8.000000000000000000e+03,9.286846997027504713e-01,1.314875056368802198e-01,2.361904489475737390e-01,5.610067451182965126e-01
8.100000000000000000e+03,9.393418585325769010e-01,1.334938578361012929e-01,2.396765173093761692e-01,5.661714833870994390e-01
8.200000000000000000e+03,9.463638886478407120e-01,1.338007659186984388e-01,2.418674044792730182e-01,5.706957182498691994e-01
8.300000000000000000e+03,9.515250066319218547e-01,1.324989170151546491e-01,2.433637701755724247e-01,5.756623194411948363e-01
8.400000000000000000e+03,9.600480315773362028e-01,1.332609722737163882e-01,2.439385916014396027e-01,5.828484677021802396e-01
8.500000000000000000e+03,9.748723984149360033e-01,1.352830888276712606e-01,2.486057303660631490e-01,5.909835792212015937e-01
8.600000000000000000e+03,9.914418852478891209e-01,1.359442025059263426e-01,2.533091357308075997e-01,6.021885470111552063e-01
8.700000000000000000e+03,1.006443827753961351e+00,1.389527321800517190e-01,2.555999999725059868e-01,6.118910956014036451e-01
8.800000000000000000e+03,1.015185128489927813e+00,1.390908403394996162e-01,2.569223731938523048e-01,6.191719149565759750e-01
8.900000000000000000e+03,1.026078488502299324e+00,1.387290772789229187e-01,2.609445966675635331e-01,6.264048145558128722e-01
9.000000000000000000e+03,1.028762123100378734e+00,1.367469575074133359e-01,2.630982201477872207e-01,6.289169454451781771e-01
9.100000000000000000e+03,1.039100183784565257e+00,1.379191059366838834e-01,2.673376061200350984e-01,6.338434717278461639e-01
9.200000000000000000e+03,1.056125662302868307e+00,1.415615472881259218e-01,2.700681584849131678e-01,6.444959565298291615e-01
9.300000000000000000e+03,1.066092986529114217e+00,1.416313988957802750e-01,2.713990083391768504e-01,6.530625792941571195e-01
9.400000000000000000e+03,1.075076622528421844e+00,1.402732255270230377e-01,2.727520882593496565e-01,6.620513087420490939e-01
9.500000000000000000e+03,1.089246181418650483e+00,1.403748303451784751e-01,2.776637458646479262e-01,6.712076052088240541e-01
9.600000000000000000e+03,1.099271611955920269e+00,1.402004625014449946e-01,2.797368220997757948e-01,6.793343273546994521e-01
9.700000000000000000e+03,1.108730570328620546e+00,1.390973003643256878e-01,2.820923922174238263e-01,6.875408777468710042e-01
9.800000000000000000e+03,1.121554961371390657e+00,1.410148605045427606e-01,2.851250429614881066e-01,6.954150579053598458e-01
9.900000000000000000e+03,1.129768137386979898e+00,1.398565250412612815e-01,2.871305369172260091e-01,7.027810754284926631e-01
1.000000000000000000e+04,1.137930494208565957e+00,1.391382017642174840e-01,2.898187145793845731e-01,7.089735778649638442e-01
1.010000000000000000e+04,1.152127469881662369e+00,1.404166639692086826e-01,2.918494640993989919e-01,7.198613418130547226e-01
1.020000000000000000e+04,1.166760575897916485e+00,1.416298753292415391e-01,2.966166765344537826e-01,7.285140240342211637e-01
1.030000000000000000e+04,1.180492312777176922e+00,1.433139032595180662e-01,2.994560776968843707e-01,7.377223318207745129e-01
1.040000000000000000e+04,1.184103425594907666e+00,1.416480495712481302e-01,2.985783467820618542e-01,7.438770292415975982e-01
1.050000000000000000e+04,1.186889217178640266e+00,1.384261974116936522e-01,2.990613775711546962e-01,7.494016421957918617e-01
1.060000000000000000e+04,1.194255985221453820e+00,1.376980670024062769e-01,3.026158873468586807e-01,7.539420308721888064e-01
1.070000000000000000e+04,1.204664086904106979e+00,1.388995446749913265e-01,3.039186304916508541e-01,7.618459117374648537e-01
1.080000000000000000e+04,1.220258690185098027e+00,1.399245948677769746e-01,3.077067117021397569e-01,7.726273836151813512e-01
1.090000000000000000e+04,1.233676077005555705e+00,1.397503602598871575e-01,3.123493651688001305e-01,7.815763515768685554e-01
1.100000000000000000e+04,1.247229326337020439e+00,1.418951198824341120e-01,3.163406514590914043e-01,7.889935549954948391e-01
1.110000000000000000e+04,1.257325789984597320e+00,1.407332643286816620e-01,3.184665169752037839e-01,7.981260086807119292e-01
1.120000000000000000e+04,1.265537946404617253e+00,1.409376224549143963e-01,3.203220289226431094e-01,8.042782950270597198e-01
