t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-5.850990988006306966e-15,1.036844221591337600e-14,-2.775557561562864927e-18,-1.621665764635812260e-14
1.000000000000000000e+02,2.343187355762620661e-01,7.230281637180589749e-02,7.015234943141838986e-02,9.186356977303782034e-02
2.000000000000000000e+02,3.158967229873391735e-01,9.012067301168169564e-02,8.587926202075503446e-02,1.398967879549024296e-01
3.000000000000000000e+02,3.689882589752864206e-01,1.013494633852177335e-01,9.592843241877239968e-02,1.717103631712963152e-01
4.000000000000000000e+02,3.805374997647532620e-01,1.021510107827802577e-01,9.606609128712295664e-02,1.823203976948500615e-01
5.000000000000000000e+02,3.911826960251556518e-01,1.018752068185699855e-01,9.661540868904157364e-02,1.926920805175440510e-01
6.000000000000000000e+02,3.944494908897188679e-01,1.004053309479226302e-01,9.431561479718857111e-02,1.997285451446076665e-01
7.000000000000000000e+02,4.132150698742693140e-01,1.065797509244372221e-01,1.013217406816780547e-01,2.053135782681539956e-01
8.000000000000000000e+02,4.332718805108226601e-01,1.135669773826867290e-01,1.081457828810495903e-01,2.115591202470863685e-01
9.000000000000000000e+02,4.510484972240136337e-01,1.171532335352596238e-01,1.136460545158199248e-01,2.202492091729340296e-01
1.000000000000000000e+03,4.702745016480394114e-01,1.207980405858922052e-01,1.172244033749263864e-01,2.322520576872208198e-01
1.100000000000000000e+03,4.802095745294395202e-01,1.222529119844851103e-01,1.174055537908157421e-01,2.405511087541386261e-01
1.200000000000000000e+03,4.907940931706596399e-01,1.233834714942967786e-01,1.195269924921413957e-01,2.478836291842214934e-01
1.300000000000000000e+03,5.072271143080132605e-01,1.271146274304223722e-01,1.239635241049416442e-01,2.561489627726492579e-01
1.400000000000000000e+03,5.260707513301654537e-01,1.306518984150112639e-01,1.279808109142396566e-01,2.674380420009146442e-01
1.500000000000000000e+03,5.417402197226378613e-01,1.342991306122266748e-01,1.315895915206631017e-01,2.758514975897481403e-01
1.600000000000000000e+03,5.585235676452353637e-01,1.384235860786987571e-01,1.351916584267168486e-01,2.849083231398197857e-01
1.700000000000000000e+03,5.713371472947129659e-01,1.410031735865476532e-01,1.369446188823171540e-01,2.933893548258482142e-01
1.800000000000000000e+03,5.862462091060431923e-01,1.433666567273607917e-01,1.393597747656403762e-01,3.035197776130419967e-01
1.900000000000000000e+03,5.985975700765077123e-01,1.453700553553436692e-01,1.414559986209914799e-01,3.117715161001724522e-01
2.000000000000000000e+03,6.123113561516521086e-01,1.482747963302711858e-01,1.444293607130635870e-01,3.196071991083173636e-01
2.100000000000000000e+03,6.268662936749295200e-01,1.499254253792109692e-01,1.466652417174571232e-01,3.302756265782614276e-01
2.200000000000000000e+03,6.449993689124949858e-01,1.546741434814764837e-01,1.506385501306286290e-01,3.396866753003899286e-01
2.300000000000000000e+03,6.566600361560940291e-01,1.564581123386310779e-01,1.525977726404060542e-01,3.476041511770569525e-01
2.400000000000000000e+03,6.701618009310056356e-01,1.591035806976953126e-01,1.552070729902292612e-01,3.558511472430811451e-01
2.500000000000000000e+03,6.787697580882784409e-01,1.605872279560917049e-01,1.560710386888528312e-01,3.621114914433339327e-01
2.600000000000000000e+03,6.903460232426418264e-01,1.618244001236281149e-01,1.588630528129230390e-01,3.696585703060907835e-01
2.700000000000000000e+03,7.027910695237137295e-01,1.639010748837313181e-01,1.612322173073660048e-01,3.776577773326162402e-01
2.800000000000000000e+03,7.175709380866880371e-01,1.673577130474945829e-01,1.654714960077288410e-01,3.847417290314645300e-01
2.900000000000000000e+03,7.304151067132168551e-01,1.704015164892263012e-01,1.678101620861393861e-01,3.922034281378512510e-01
3.000000000000000000e+03,7.449758974057253402e-01,1.736706886761336666e-01,1.716433491943017697e-01,3.996618595352899317e-01
3.100000000000000000e+03,7.573380768148544329e-01,1.756256764334854503e-01,1.745580393095887695e-01,4.071543610717802686e-01
3.200000000000000000e+03,7.673862033578192632e-01,1.758203470420111880e-01,1.776639107789933780e-01,4.139019455368148637e-01
3.300000000000000000e+03,7.766650316730064896e-01,1.774627240439138331e-01,1.795449036672213949e-01,4.196574039618712892e-01
3.400000000000000000e+03,7.908562750043368617e-01,1.802325990691579782e-01,1.833439279539038347e-01,4.272797479812751043e-01
3.500000000000000000e+03,8.044838458564412820e-01,1.839199085807257106e-01,1.864773358631029720e-01,4.340866014126126271e-01
3.600000000000000000e+03,8.170934626884527319e-01,1.860449193577919658e-01,1.889293488100193263e-01,4.421191945206414675e-01
3.700000000000000000e+03,8.314614581074506461e-01,1.887118819136482106e-01,1.913472268500101825e-01,4.514023493437921419e-01
3.800000000000000000e+03,8.435195575669132140e-01,1.899439051308816628e-01,1.937919348443943035e-01,4.597837175916373309e-01
3.900000000000000000e+03,8.520322734631021744e-01,1.908513830202573092e-01,1.971910951870494977e-01,4.639897952557953675e-01
4.000000000000000000e+03,8.617739936210663254e-01,1.924331661306503127e-01,2.010311764958477854e-01,4.683096509945683938e-01
4.100000000000000000e+03,8.732372778802798274e-01,1.945910484085917880e-01,2.049637135249812447e-01,4.736825159467070168e-01
4.200000000000000000e+03,8.863959160999543840e-01,1.963591640161177765e-01,2.071356858787133659e-01,4.829010662051231306e-01
4.300000000000000000e+03,8.975803382995146684e-01,1.979128313714066945e-01,2.104980109061278248e-01,4.891694960219801214e-01
4.400000000000000000e+03,9.080805631393831234e-01,1.997195251190579945e-01,2.137529319034479902e-01,4.946081061168771664e-01
4.500000000000000000e+03,9.202899797987148522e-01,2.013037876929273384e-01,2.163367254531376460e-01,5.026494666526498678e-01
4.600000000000000000e+03,9.348926243379830359e-01,2.037551651693655652e-01,2.196585410891438439e-01,5.114789180794736545e-01
4.700000000000000000e+03,9.481975658950920760e-01,2.050575528733218356e-01,2.226061186237300038e-01,5.205338943980403199e-01
4.800000000000000000e+03,9.619402107882845110e-01,2.080379615054612774e-01,2.262428756441843269e-01,5.276593736386387956e-01
4.900000000000000000e+03,9.789790037230852171e-01,2.116981261541979187e-01,2.301875613189539871e-01,5.370933162499332836e-01
5.000000000000000000e+03,9.917762903705426014e-01,2.138247077942043439e-01,2.332940962295542431e-01,5.446574863467841254e-01
5.100000000000000000e+03,1.004955455224196159e+00,2.147383346323072095e-01,2.378546583627496602e-01,5.523624622291392061e-01
5.200000000000000000e+03,1.014612492833865787e+00,2.164534435132376144e-01,2.393765087009232795e-01,5.587825406197047817e-01
5.300000000000000000e+03,1.030552407727511222e+00,2.198152700876156995e-01,2.428628503423385654e-01,5.678742872975571787e-01
5.400000000000000000e+03,1.043049292044149645e+00,2.209288012592368344e-01,2.457663136351694033e-01,5.763541771497434629e-01
5.500000000000000000e+03,1.060773027590352857e+00,2.241728527170420426e-01,2.501065769751359968e-01,5.864935978981747899e-01
5.600000000000000000e+03,1.073620484855420942e+00,2.252199744085646715e-01,2.545057437735732675e-01,5.938947666732830033e-01
5.700000000000000000e+03,1.091735548105913001e+00,2.291101377233560055e-01,2.589600861536733301e-01,6.036653242288836374e-01
5.800000000000000000e+03,1.105247781531831119e+00,2.310163943839451672e-01,2.614913747591548487e-01,6.127400123887309924e-01
5.900000000000000000e+03,1.121342406247692658e+00,2.339193557007973878e-01,2.658725927847833681e-01,6.215504577621119298e-01
6.000000000000000000e+03,1.132612283654639729e+00,2.350952695620637523e-01,2.691510174726913784e-01,6.283659966198845703e-01
6.100000000000000000e+03,1.145912661131037957e+00,2.367692504996536107e-01,2.740993461105289408e-01,6.350440645208553780e-01
6.200000000000000000e+03,1.158139777540936777e+00,2.390936732205372339e-01,2.779821373082498881e-01,6.410639670121495159e-01
6.300000000000000000e+03,1.168283676382998459e+00,2.413155127146915380e-01,2.805514543036973785e-01,6.464167093646094875e-01
6.400000000000000000e+03,1.179364006842201107e+00,2.437872716614583046e-01,2.840496519085986549e-01,6.515270832721441474e-01
6.500000000000000000e+03,1.193623740968050351e+00,2.463919387295309960e-01,2.886409222847566847e-01,6.585908799537628644e-01
6.600000000000000000e+03,1.205328778506355114e+00,2.482144795361591605e-01,2.921195387453422998e-01,6.649947602248537093e-01
6.700000000000000000e+03,1.216757793453972392e+00,2.486609201725578089e-01,2.948426950315523043e-01,6.732541782498623339e-01
6.800000000000000000e+03,1.230041833352401026e+00,2.497438908489791609e-01,2.992414763236592168e-01,6.810564661797626762e-01
6.900000000000000000e+03,1.245051241711415013e+00,2.519343061164419639e-01,3.032944964491180451e-01,6.898224391458550597e-01
7.000000000000000000e+03,1.259274779087857787e+00,2.540700166166824925e-01,3.068961029853808919e-01,6.983086594857946805e-01
7.100000000000000000e+03,1.272857123623371223e+00,2.563973180905245730e-01,3.103476824916994725e-01,7.061121230411471217e-01
7.200000000000000000e+03,1.285734540700037121e+00,2.585290624044588315e-01,3.135890461574029620e-01,7.136164321381753828e-01
7.300000000000000000e+03,1.297498112068165677e+00,2.601745547681689197e-01,3.164952108356911542e-01,7.208283464643058247e-01
7.400000000000000000e+03,1.309118168072230803e+00,2.610868616099613071e-01,3.190462093220002848e-01,7.289850971402692670e-01
7.500000000000000000e+03,1.319314921154537856e+00,2.611671002196141456e-01,3.225722088837559842e-01,7.355756120511677265e-01
7.600000000000000000e+03,1.331886141348973540e+00,2.623235719561085033e-01,3.250723579567909027e-01,7.444902114360739676e-01
7.700000000000000000e+03,1.343723717797290051e+00,2.645355478034582819e-01,3.279153261699577215e-01,7.512728438238741591e-01
7.800000000000000000e+03,1.358564709619495714e+00,2.674716913864934598e-01,3.308461559219773584e-01,7.602468623110246737e-01
7.900000000000000000e+03,1.374054190711068602e+00,2.699842987043911680e-01,3.341060114700019068e-01,7.699638805366754157e-01
8.000000000000000000e+03,1.386179539652937054e+00,2.710260313537037891e-01,3.369289060694855009e-01,7.782246022297476529e-01
8.100000000000000000e+03,1.396797292951408531e+00,2.728967021070282661e-01,3.399119791328090723e-01,7.839886117115714148e-01
8.200000000000000000e+03,1.406253429484811690e+00,2.741680351236745472e-01,3.422282659008370476e-01,7.898571284603003173e-01
8.300000000000000000e+03,1.420516278550429945e+00,2.768841896873081021e-01,3.452367163586421150e-01,7.983953725044795613e-01
8.400000000000000000e+03,1.432250485040157839e+00,2.780639903524768086e-01,3.485904363846951681e-01,8.055960583029855293e-01
8.500000000000000000e+03,1.444818132958817003e+00,2.801474026196101863e-01,3.516716795879389346e-01,8.129990507512676601e-01
8.600000000000000000e+03,1.456809383063182972e+00,2.810371685174930523e-01,3.564486727798230059e-01,8.193235417658666364e-01
8.700000000000000000e+03,1.471073377350369027e+00,2.837899517764559953e-01,3.594856067958795975e-01,8.277978187780336006e-01
8.800000000000000000e+03,1.483682893096530009e+00,2.852930474889142642e-01,3.621151492031092212e-01,8.362746964045064679e-01
8.900000000000000000e+03,1.497489377503412378e+00,2.863604698572815299e-01,3.670033145088709703e-01,8.441255931372600996e-01
9.000000000000000000e+03,1.507650085143511731e+00,2.873000084565676127e-01,3.683015448305970163e-01,8.520485318563473243e-01
9.100000000000000000e+03,1.523678916501018721e+00,2.903754273895732263e-01,3.728170573491393358e-01,8.604864317623062142e-01
9.200000000000000000e+03,1.540321633830065151e+00,2.924579917103590776e-01,3.763106022516968241e-01,8.715530398680089164e-01
9.300000000000000000e+03,1.554610076662412910e+00,2.943002192228527658e-01,3.791454771369891508e-01,8.811643803025708266e-01
9.400000000000000000e+03,1.568711388977598764e+00,2.957905716568590138e-01,3.816792449121284569e-01,8.912415724086112379e-01
9.500000000000000000e+03,1.582650411838755877e+00,2.973434357232606629e-01,3.859211874725027580e-01,8.993857886429923454e-01
9.600000000000000000e+03,1.594324830211585109e+00,2.980198400970884287e-01,3.879790098049961666e-01,9.083259803095004026e-01
9.700000000000000000e+03,1.607580504629138263e+00,2.986530539280068397e-01,3.911370472669737919e-01,9.177904034341577422e-01
9.800000000000000000e+03,1.621901181186344409e+00,3.015613286193711273e-01,3.945451433232574634e-01,9.257947092437156522e-01
9.900000000000000000e+03,1.635027552170200238e+00,3.033505446179642906e-01,3.986181124574701973e-01,9.330588950947656945e-01
1.000000000000000000e+04,1.648368081567125332e+00,3.043921813469400717e-01,4.013444493039723948e-01,9.426314509162131428e-01
1.010000000000000000e+04,1.664169067338949093e+00,3.065053526753290791e-01,4.031230253525926455e-01,9.545406893110275348e-01
1.020000000000000000e+04,1.683508219038034825e+00,3.096852152443819728e-01,4.069614060933335886e-01,9.668615977003195416e-01
1.030000000000000000e+04,1.700322213024607620e+00,3.120798331975576101e-01,4.090614322886316212e-01,9.791809475384184447e-01
1.040000000000000000e+04,1.714016937240370853e+00,3.124995367167643923e-01,4.111594956748452767e-01,9.903579048487611836e-01
1.050000000000000000e+04,1.726401163554574181e+00,3.137224356906241352e-01,4.130502961397686246e-01,9.996284317241811435e-01
1.060000000000000000e+04,1.740273674990266750e+00,3.153586658925083275e-01,4.168826930612070658e-01,1.008032316036551412e+00
1.070000000000000000e+04,1.754139374221379333e+00,3.174825400550741472e-01,4.189007743272140094e-01,1.017756059839091121e+00
1.080000000000000000e+04,1.769506898163641928e+00,3.189910969792704720e-01,4.229814035066856714e-01,1.027534397677685840e+00
1.090000000000000000e+04,1.780097285445881861e+00,3.195012388742543563e-01,4.248521291048644177e-01,1.035743917466763087e+00
