t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,4.963737754160035820e-14,-2.759598105583904647e-15,1.110223024625156540e-15,5.128675262255910512e-14
1.000000000000000000e+02,2.615008037455612833e-01,8.580741960706558813e-02,7.281164059887919315e-02,1.028817435396165020e-01
2.000000000000000000e+02,3.604287731739764244e-01,1.064974872505731751e-01,9.314169401218501398e-02,1.607895919112182215e-01
3.000000000000000000e+02,4.396623778439427976e-01,1.256315787391882877e-01,1.070784653935970832e-01,2.069523337111573991e-01
4.000000000000000000e+02,4.585509099015694368e-01,1.260718661969148224e-01,1.083904923453820057e-01,2.240885513592725808e-01
5.000000000000000000e+02,4.637362346239902733e-01,1.228054317263062301e-01,1.073620449963005041e-01,2.335687579013835669e-01
6.000000000000000000e+02,4.760573146016909285e-01,1.237575209841640794e-01,1.090474914618848185e-01,2.432523021556420306e-01
7.000000000000000000e+02,5.015124620564812563e-01,1.288410863556121444e-01,1.156265460856069627e-01,2.570448296152620937e-01
8.000000000000000000e+02,5.346755942177350285e-01,1.395595407696047785e-01,1.252493231519559436e-01,2.698667302961742509e-01
9.000000000000000000e+02,5.567428764107283934e-01,1.454352906964901382e-01,1.295482826857875247e-01,2.817593030284507583e-01
1.000000000000000000e+03,5.800929122497924251e-01,1.523828055295599060e-01,1.323659749213766390e-01,2.953441317988559356e-01
1.100000000000000000e+03,5.962602833739107933e-01,1.550986010797475445e-01,1.348875798721391184e-01,3.062741024220240749e-01
1.200000000000000000e+03,6.106674833777951950e-01,1.553687974890618495e-01,1.372820322680748384e-01,3.180166536206585071e-01
1.300000000000000000e+03,6.313839191170382836e-01,1.565278802056128682e-01,1.410602071805735491e-01,3.337958317308519218e-01
1.400000000000000000e+03,6.515626167366833643e-01,1.625253428220471419e-01,1.448356482231664688e-01,3.442016256914697259e-01
1.500000000000000000e+03,6.655746911559063950e-01,1.640061126300544625e-01,1.482737553143290143e-01,3.532948232115230014e-01
1.600000000000000000e+03,6.853882725166984269e-01,1.702108781137648130e-01,1.525038009736093270e-01,3.626735934293243147e-01
1.700000000000000000e+03,7.009608220726120109e-01,1.738636715762236773e-01,1.576321052369249465e-01,3.694650452594633316e-01
1.800000000000000000e+03,7.100312975301564800e-01,1.747006702759385244e-01,1.593236234276429464e-01,3.760070038265750370e-01
1.900000000000000000e+03,7.306025710566683706e-01,1.817644782894511368e-01,1.622513825826517875e-01,3.865867101845654186e-01
2.000000000000000000e+03,7.421245946745398392e-01,1.830769715311242329e-01,1.671822447910179255e-01,3.918653783523977086e-01
2.100000000000000000e+03,7.500549920673749149e-01,1.851108277355116294e-01,1.683001521599185035e-01,3.966440121719448375e-01
2.200000000000000000e+03,7.598506704174868842e-01,1.866560092145977123e-01,1.705048042455064028e-01,4.026898569573827968e-01
2.300000000000000000e+03,7.710930783438272318e-01,1.893344169586015369e-01,1.741032676665332790e-01,4.076553937186924159e-01
2.400000000000000000e+03,7.873015970880251624e-01,1.941828954632596194e-01,1.763779067360348451e-01,4.167407948887307256e-01
2.500000000000000000e+03,8.010547957168234756e-01,1.981699082389127842e-01,1.787878978095190363e-01,4.240969896683915996e-01
2.600000000000000000e+03,8.070206169565226073e-01,2.009643842983009632e-01,1.808402133103774734e-01,4.252160193478441985e-01
2.700000000000000000e+03,8.085280403629275803e-01,2.019497198430761087e-01,1.821542820531606710e-01,4.244240384666907451e-01
2.800000000000000000e+03,8.138365793890143252e-01,2.043229395706096518e-01,1.838510258984673018e-01,4.256626139199373715e-01
2.900000000000000000e+03,8.242291351375949926e-01,2.084652214151724858e-01,1.888316054302937863e-01,4.269323082921287482e-01
3.000000000000000000e+03,8.398372843389598774e-01,2.136036858751822476e-01,1.934483858383514165e-01,4.327852126254262410e-01
3.100000000000000000e+03,8.513225564470430218e-01,2.188291877167684585e-01,1.974270670988923781e-01,4.350663016313822129e-01
3.200000000000000000e+03,8.566700608279429474e-01,2.216110540782598726e-01,2.001931681727121826e-01,4.348658385769709755e-01
3.300000000000000000e+03,8.591761361575855904e-01,2.249902825809749485e-01,2.024649681991444461e-01,4.317208853774662236e-01
3.400000000000000000e+03,8.638284156248233758e-01,2.274376569461224462e-01,2.068076111929993410e-01,4.295831474857015886e-01
3.500000000000000000e+03,8.686431354866892551e-01,2.295858050668860284e-01,2.079817408664364764e-01,4.310755895533667226e-01
3.600000000000000000e+03,8.881044216575739725e-01,2.333907172131697294e-01,2.139459990189465088e-01,4.407677054254577342e-01
3.700000000000000000e+03,9.057043846593761938e-01,2.376663422196742259e-01,2.182255520085810974e-01,4.498124904311208150e-01
