t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,3.374592272287202503e-14,5.950101522600448334e-15,2.930988785010413267e-14,-1.514066649832557153e-15
1.000000000000000000e+02,2.343524534652310920e-01,7.028816854998651276e-02,7.291804783308974969e-02,9.114623708215482956e-02
2.000000000000000000e+02,3.146156863892496380e-01,8.788426039304457482e-02,8.583116592804029832e-02,1.409002600681647233e-01
3.000000000000000000e+02,3.591986653882605629e-01,9.787664287757470716e-02,9.303009495687927788e-02,1.682919275538065640e-01
4.000000000000000000e+02,3.676094394154864053e-01,9.689195427190745724e-02,9.224857534243141588e-02,1.784689098011475183e-01
5.000000000000000000e+02,3.671291803641564266e-01,9.426384428469533616e-02,8.887401849657208808e-02,1.839913175828890302e-01
6.000000000000000000e+02,3.677945829354106189e-01,9.341859995612603051e-02,8.696327189413569081e-02,1.874127110851488975e-01
7.000000000000000000e+02,3.786838794951536968e-01,9.873791294343123304e-02,9.116730025696824502e-02,1.887786662947542049e-01
8.000000000000000000e+02,3.898425410809696068e-01,1.012089490614312692e-01,9.616750277169133776e-02,1.924660892478469998e-01
9.000000000000000000e+02,4.047085797695414433e-01,1.045027257777397800e-01,9.892032822362153976e-02,2.012855257681801235e-01
1.000000000000000000e+03,4.159713223081844546e-01,1.057233628087598520e-01,9.771003930452605568e-02,2.125379201948985608e-01
1.100000000000000000e+03,4.170164186833142939e-01,1.031434401014846153e-01,9.627635567329995148e-02,2.175966229085297132e-01
1.200000000000000000e+03,4.283410878350363271e-01,1.054215142439426656e-01,1.008391277633858135e-01,2.220804458277078341e-01
1.300000000000000000e+03,4.341082214776176840e-01,1.054551253164407176e-01,1.036880041605308111e-01,2.249650920006461552e-01
1.400000000000000000e+03,4.415507170665167735e-01,1.087848838805609980e-01,1.067231180715830369e-01,2.260427151143727387e-01
1.500000000000000000e+03,4.432060454403731198e-01,1.102758569481953471e-01,1.051642770095528173e-01,2.277659114826249276e-01
1.600000000000000000e+03,4.495301988798607873e-01,1.134346936525664484e-01,1.054136144652464413e-01,2.306818907620478698e-01
1.700000000000000000e+03,4.608876587362047972e-01,1.153276299568531671e-01,1.069062336676081387e-01,2.386537951117435052e-01
1.800000000000000000e+03,4.667599600763792100e-01,1.152784115727455150e-01,1.075803195175062399e-01,2.439012289861274552e-01
1.900000000000000000e+03,4.795323536339989312e-01,1.190401458862557355e-01,1.127461052230505079e-01,2.477461025246927018e-01
2.000000000000000000e+03,4.825670711630354326e-01,1.183360024332958949e-01,1.150420521898131571e-01,2.491890165399263668e-01
2.100000000000000000e+03,4.851911967537534953e-01,1.193318096016131868e-01,1.144355317437633912e-01,2.514238554083769173e-01
2.200000000000000000e+03,4.921308389466728106e-01,1.217224921028792206e-01,1.148109003382844079e-01,2.555974465055091960e-01
2.300000000000000000e+03,4.967784541072856608e-01,1.228489985517227517e-01,1.148822279889029768e-01,2.590472275666599322e-01
2.400000000000000000e+03,5.069393252882965495e-01,1.226976511575259554e-01,1.181302291700829094e-01,2.661114449606877264e-01
2.500000000000000000e+03,5.141741811491244984e-01,1.224792811179400004e-01,1.211291876316941130e-01,2.705657123994904545e-01
2.600000000000000000e+03,5.174713958585863693e-01,1.245305076964933894e-01,1.199796983506466741e-01,2.729611898114462365e-01
2.700000000000000000e+03,5.289003407337740104e-01,1.302177197303363010e-01,1.216927782009259718e-01,2.769898428025116544e-01
2.800000000000000000e+03,5.298232763951921109e-01,1.306313784415763513e-01,1.202008295241011882e-01,2.789910684295145993e-01
2.900000000000000000e+03,5.311444823699524864e-01,1.310221417985361625e-01,1.214122915789225959e-01,2.787100489924936864e-01
3.000000000000000000e+03,5.438151711395109444e-01,1.317363615178305802e-01,1.245689597782450031e-01,2.875098498434354166e-01
3.100000000000000000e+03,5.611379507967444447e-01,1.336524911026856777e-01,1.286019061700222343e-01,2.988835535240365049e-01
3.200000000000000000e+03,5.696594572489559472e-01,1.360125673922512879e-01,1.290464477814212418e-01,3.046004420752833619e-01
3.300000000000000000e+03,5.777813139008615151e-01,1.381999576318125034e-01,1.303148752877221206e-01,3.092664809813269189e-01
3.400000000000000000e+03,5.857072358643897747e-01,1.406142334776895875e-01,1.310858573100703861e-01,3.140071450766298566e-01
3.500000000000000000e+03,5.964660632450573541e-01,1.416966402655727153e-01,1.348047347311828736e-01,3.199646882483017096e-01
3.600000000000000000e+03,6.042981747977964613e-01,1.453459619626133459e-01,1.364469395827169196e-01,3.225052732524661403e-01
3.700000000000000000e+03,6.113215919211396621e-01,1.457224306257424717e-01,1.403008736100862242e-01,3.252982876853109384e-01
3.800000000000000000e+03,6.173117163992261069e-01,1.487379997513289531e-01,1.412251740552067092e-01,3.273485425926904169e-01
3.900000000000000000e+03,6.247289672244861203e-01,1.513253632323905140e-01,1.446245107148121378e-01,3.287790932772834962e-01
4.000000000000000000e+03,6.302221819897451116e-01,1.535158494902210402e-01,1.461322527977071961e-01,3.305740797018167920e-01
4.100000000000000000e+03,6.368425535107362645e-01,1.539795084238075873e-01,1.494272434785294257e-01,3.334358016083991960e-01
4.200000000000000000e+03,6.445936896927777493e-01,1.553757450285592201e-01,1.525409388735324279e-01,3.366770057906861013e-01
4.300000000000000000e+03,6.506392202778876754e-01,1.570183273089924003e-01,1.557416026883395310e-01,3.378792902805557996e-01
4.400000000000000000e+03,6.504572069098489839e-01,1.603284918519859159e-01,1.544206526094691889e-01,3.357080624483939069e-01
4.500000000000000000e+03,6.551082055308889984e-01,1.624558755154765499e-01,1.562585092816430321e-01,3.363938207337694442e-01
4.600000000000000000e+03,6.673550019965326374e-01,1.663855554547995497e-01,1.594456067116617470e-01,3.415238398300712852e-01
4.700000000000000000e+03,6.786129246349454913e-01,1.688326962971943568e-01,1.635578440026839997e-01,3.462223843350671904e-01
4.800000000000000000e+03,6.868684882595368357e-01,1.695370510226720806e-01,1.657644739423966285e-01,3.515669632944681267e-01
4.900000000000000000e+03,6.957825897163406603e-01,1.725971689691486177e-01,1.673501236382400614e-01,3.558352971089520089e-01
5.000000000000000000e+03,7.112657030484552667e-01,1.764873330059688050e-01,1.706959744414345281e-01,3.640823956010519336e-01
5.100000000000000000e+03,7.207338288955209560e-01,1.790445377486966638e-01,1.708166118634600328e-01,3.708726792833642039e-01
5.200000000000000000e+03,7.249407293598952862e-01,1.804631162707041048e-01,1.730385880739198634e-01,3.714390250152713180e-01
5.300000000000000000e+03,7.372926248090777568e-01,1.821907901586040102e-01,1.774658261117733893e-01,3.776360085387003851e-01
5.400000000000000000e+03,7.461704759930181119e-01,1.860785989482674485e-01,1.791028254308052459e-01,3.809890516139454730e-01
5.500000000000000000e+03,7.547490322741269297e-01,1.876547655162642547e-01,1.808908133649421990e-01,3.862034533929205038e-01
5.600000000000000000e+03,7.613816684191078155e-01,1.891355067590462791e-01,1.834616384602986705e-01,3.887845231997628659e-01
5.700000000000000000e+03,7.676160257434851975e-01,1.923774301328948777e-01,1.855396943972710544e-01,3.896989012133192931e-01
5.800000000000000000e+03,7.698231056921605031e-01,1.927130748091132328e-01,1.871578792550301629e-01,3.899521516280171629e-01
5.900000000000000000e+03,7.794021588510157139e-01,1.943037726257152986e-01,1.922895354139213531e-01,3.928088508113790622e-01
6.000000000000000000e+03,7.902688890810627420e-01,1.987420759146903693e-01,1.937801197048626967e-01,3.977466934615097593e-01
6.100000000000000000e+03,8.016266428409393185e-01,2.009421213785386462e-01,1.949924876247019212e-01,4.056920338376987512e-01
6.200000000000000000e+03,8.102729456314653467e-01,2.034263949040067687e-01,1.960112618338962776e-01,4.108352888935623004e-01
6.300000000000000000e+03,8.178939266382391216e-01,2.058559731028062889e-01,2.005815958926489007e-01,4.114563576427839320e-01
6.400000000000000000e+03,8.260711691381368293e-01,2.080139094585470860e-01,2.026680979665377025e-01,4.153891617130520686e-01
6.500000000000000000e+03,8.364192864960967588e-01,2.106527631619082574e-01,2.081105216752449638e-01,4.176560016589435653e-01
6.600000000000000000e+03,8.407737535073680490e-01,2.117327497373214240e-01,2.107391604269904239e-01,4.183018433430562011e-01
6.700000000000000000e+03,8.420368078831673708e-01,2.132449669943795034e-01,2.103490736090218860e-01,4.184427672797659814e-01
6.800000000000000000e+03,8.441746863590986472e-01,2.147045503722003201e-01,2.101183577110353196e-01,4.193517782758630075e-01
