t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,4.174161016834432555e-14,-4.005129561335252535e-15,2.266520304772257140e-14,2.308153668195700511e-14
1.000000000000000000e+02,2.487862736677380338e-01,7.421294482976688311e-02,7.051748696486834223e-02,1.040558418731027945e-01
2.000000000000000000e+02,3.251025647741121460e-01,8.538456165370887641e-02,7.775619958970148016e-02,1.619618035307017478e-01
3.000000000000000000e+02,3.920948751540747068e-01,9.791821140117266953e-02,9.061750748520629173e-02,2.035591562676957178e-01
4.000000000000000000e+02,4.016756922479323699e-01,9.775873098320633781e-02,8.646450028888851003e-02,2.174524609758375360e-01
5.000000000000000000e+02,4.181030642056611235e-01,9.640365628040799273e-02,8.591862940075981059e-02,2.357807785244932786e-01
6.000000000000000000e+02,4.252629540399381902e-01,9.438337602738804122e-02,8.352263010814767186e-02,2.473569479044025188e-01
7.000000000000000000e+02,4.449026749863966845e-01,9.540486618436500033e-02,8.934831333352198646e-02,2.601494954685096839e-01
8.000000000000000000e+02,4.691940890672382514e-01,1.012937758637460356e-01,9.411026056522261984e-02,2.737900526382696098e-01
9.000000000000000000e+02,4.999447765172997382e-01,1.073548905571672235e-01,1.001406777605801796e-01,2.924492081995523352e-01
1.000000000000000000e+03,5.097727462425643008e-01,1.066304342237831965e-01,9.873274752507167629e-02,3.044095644937093725e-01
1.100000000000000000e+03,5.177390473381704439e-01,1.042568103043680222e-01,9.926169485485636379e-02,3.142205421789460162e-01
1.200000000000000000e+03,5.245404038308283390e-01,1.039251550731763035e-01,9.822133173489719371e-02,3.223939170227548834e-01
1.300000000000000000e+03,5.417793906998437103e-01,1.051014094585839553e-01,1.012758738569689010e-01,3.354021073842908818e-01
1.400000000000000000e+03,5.567013890563659029e-01,1.072574527782896164e-01,1.034827338212405551e-01,3.459612024568357591e-01
1.500000000000000000e+03,5.685274933893758043e-01,1.113076253040430341e-01,1.045056101901666590e-01,3.527142578951661389e-01
1.600000000000000000e+03,5.837092318408370062e-01,1.121670470079875470e-01,1.054158244721049992e-01,3.661263603607445294e-01
1.700000000000000000e+03,6.028041725970957332e-01,1.131642372371466088e-01,1.074068989314151956e-01,3.822330364285339566e-01
1.800000000000000000e+03,6.096731238164595501e-01,1.114460680067316939e-01,1.059949070452991665e-01,3.922321487644286897e-01
1.900000000000000000e+03,6.249025377242439783e-01,1.131328340916157582e-01,1.091091817542204356e-01,4.026605218784077844e-01
2.000000000000000000e+03,6.370428033533531709e-01,1.132801568596399633e-01,1.100591564469125122e-01,4.137034900468006815e-01
2.100000000000000000e+03,6.537255588886448088e-01,1.162951377815665960e-01,1.117948968752190825e-01,4.256355242318591858e-01
2.200000000000000000e+03,6.679229790370592168e-01,1.176579776783597542e-01,1.139195611736289609e-01,4.363454401850704878e-01
2.300000000000000000e+03,6.813040299839757674e-01,1.180141793971444669e-01,1.138221305713533749e-01,4.494677200154779118e-01
2.400000000000000000e+03,6.999264668563101033e-01,1.212948894285164059e-01,1.142739095531713767e-01,4.643576678746222930e-01
2.500000000000000000e+03,7.162956869934141713e-01,1.220237653757079155e-01,1.152161182635710601e-01,4.790558033541351679e-01
2.600000000000000000e+03,7.317041247284321592e-01,1.251977958273873537e-01,1.173317013718870871e-01,4.891746275291577462e-01
2.700000000000000000e+03,7.433385588196457228e-01,1.242012998215284575e-01,1.192014656320944110e-01,4.999357933660227848e-01
2.800000000000000000e+03,7.568302891894036488e-01,1.245673179004721798e-01,1.208203136814866296e-01,5.114426576074448949e-01
2.900000000000000000e+03,7.748125044587855781e-01,1.251522137924661604e-01,1.225082665296948481e-01,5.271520241366245418e-01
3.000000000000000000e+03,7.939831254859754939e-01,1.286889056384736829e-01,1.238239341847446884e-01,5.414702856627571226e-01
3.100000000000000000e+03,8.114886142481311238e-01,1.284371425388094179e-01,1.232244248564913630e-01,5.598270468528303567e-01
3.200000000000000000e+03,8.312019411335163088e-01,1.308680994303365319e-01,1.239815387922461876e-01,5.763523029109335338e-01
3.300000000000000000e+03,8.475449139607840188e-01,1.310740375861594309e-01,1.256419751109713601e-01,5.908289012636531723e-01
3.400000000000000000e+03,8.649969767210075045e-01,1.340447725354921293e-01,1.278233580775715306e-01,6.031288461079438168e-01
3.500000000000000000e+03,8.765118150914437134e-01,1.337025360892757642e-01,1.287257282560680116e-01,6.140835507460999931e-01
3.600000000000000000e+03,8.911314054921953831e-01,1.347251612981164304e-01,1.280527397898934827e-01,6.283535044041854700e-01
3.700000000000000000e+03,9.089992812617262441e-01,1.349202677618014934e-01,1.302238072941842295e-01,6.438552062057405490e-01
3.800000000000000000e+03,9.239024024948765401e-01,1.355464451443106066e-01,1.293920588378762171e-01,6.589638985126897719e-01
3.900000000000000000e+03,9.413946650824583928e-01,1.369121708422506301e-01,1.316328238972733489e-01,6.728496703429344139e-01
4.000000000000000000e+03,9.533566761580735127e-01,1.374872875375424963e-01,1.315173145563979240e-01,6.843520740641331201e-01
4.100000000000000000e+03,9.587181501861357091e-01,1.360325010705125404e-01,1.327706963737933787e-01,6.899149527418297900e-01
4.200000000000000000e+03,9.664051623891947163e-01,1.375118667298728670e-01,1.307277132988871049e-01,6.981655823604346889e-01
4.300000000000000000e+03,9.748445474946461076e-01,1.373026582890498060e-01,1.328773104285073392e-01,7.046645787770889902e-01
4.400000000000000000e+03,9.895230755952559853e-01,1.392555910733412339e-01,1.321977329764794096e-01,7.180697515454353974e-01
4.500000000000000000e+03,1.000207756465524511e+00,1.388806124829130850e-01,1.320649851954692200e-01,7.292621587871421784e-01
4.600000000000000000e+03,1.009588550296036225e+00,1.385869276609678624e-01,1.317321836881175101e-01,7.392694389469509630e-01
4.700000000000000000e+03,1.013143566300624521e+00,1.372764732716963143e-01,1.306389410646527360e-01,7.452281519642754981e-01
4.800000000000000000e+03,1.023682338218600663e+00,1.396159161694655315e-01,1.310570352341181022e-01,7.530093868150171676e-01
4.900000000000000000e+03,1.041183557538097659e+00,1.414066411675451995e-01,1.337919244774132266e-01,7.659849918931392887e-01
5.000000000000000000e+03,1.051741929178071189e+00,1.406244351566149076e-01,1.325794335095850651e-01,7.785380605118712438e-01
5.100000000000000000e+03,1.067922989073648132e+00,1.422602262338945600e-01,1.339322669840692370e-01,7.917304958556844463e-01
5.200000000000000000e+03,1.079744191416273535e+00,1.429254068520829368e-01,1.340599103650366164e-01,8.027588741991540378e-01
5.300000000000000000e+03,1.088756808890733563e+00,1.427695367385408143e-01,1.372558805467552490e-01,8.087313916054373886e-01
5.400000000000000000e+03,1.095459194633292554e+00,1.437481559731645375e-01,1.352286302199891543e-01,8.164824084401389737e-01
5.500000000000000000e+03,1.106647718955029225e+00,1.436193770164413408e-01,1.361221668717898514e-01,8.269061750667979771e-01
5.600000000000000000e+03,1.120630788216047780e+00,1.449017019430875464e-01,1.400321717471957050e-01,8.356969145257646669e-01
5.700000000000000000e+03,1.127300074190964452e+00,1.433229658355064107e-01,1.395564915736347000e-01,8.444206167818233411e-01
5.800000000000000000e+03,1.141325523089382177e+00,1.453073278466553431e-01,1.418840800300139038e-01,8.541341152127129854e-01
5.900000000000000000e+03,1.150394458070299830e+00,1.469764558367812612e-01,1.429166833597432240e-01,8.605013188737752339e-01
6.000000000000000000e+03,1.157434754135996613e+00,1.484839926750269046e-01,1.415073658015353342e-01,8.674433956594344020e-01
6.100000000000000000e+03,1.163687723807344865e+00,1.488465259863434031e-01,1.446010764408161564e-01,8.702401213801852498e-01
6.200000000000000000e+03,1.168666618712161487e+00,1.497690545661685690e-01,1.443327501884703323e-01,8.745648139575227242e-01
6.300000000000000000e+03,1.172216989773563922e+00,1.487455201252510240e-01,1.462350302126028956e-01,8.772364394357099471e-01
6.400000000000000000e+03,1.182367913100889512e+00,1.481079025015551720e-01,1.480952347667316149e-01,8.861647758326027802e-01
6.500000000000000000e+03,1.191975398207737680e+00,1.497801326460429794e-01,1.491817289331774654e-01,8.930135366285171239e-01
6.600000000000000000e+03,1.203041221281219153e+00,1.500609980596848414e-01,1.492846316300167619e-01,9.036955915915175774e-01
6.700000000000000000e+03,1.208894688461858102e+00,1.507776540352306349e-01,1.495939118720655547e-01,9.085231225545620237e-01
6.800000000000000000e+03,1.216655484920948105e+00,1.519986083505721619e-01,1.500654293655054039e-01,9.145914472048705113e-01
6.900000000000000000e+03,1.224098097436097987e+00,1.535985015388764419e-01,1.515914414185372261e-01,9.189081544786844580e-01
7.000000000000000000e+03,1.234119908240374652e+00,1.550917637658816850e-01,1.530402734439736123e-01,9.259878710305194938e-01
7.100000000000000000e+03,1.243837618355154273e+00,1.548710271778044878e-01,1.563310272759348141e-01,9.326355639014149990e-01
7.200000000000000000e+03,1.256810205368357636e+00,1.581072462910564358e-01,1.596046529147133186e-01,9.390983061625878259e-01
7.300000000000000000e+03,1.262619000466320029e+00,1.577926161052703447e-01,1.594332334130377504e-01,9.453931509480119066e-01
7.400000000000000000e+03,1.274306669548200599e+00,1.589564468620172366e-01,1.627218936289840934e-01,9.526283290571992968e-01
7.500000000000000000e+03,1.275322957242441824e+00,1.585576925255938741e-01,1.623496644780493547e-01,9.544156002387985671e-01
7.600000000000000000e+03,1.277903839187058521e+00,1.593026166209308980e-01,1.638445785950689015e-01,9.547566439710587494e-01
7.700000000000000000e+03,1.285226800087904575e+00,1.584146991766974266e-01,1.645957733307791548e-01,9.622163275804280769e-01
7.800000000000000000e+03,1.303534877475404086e+00,1.614792907326805804e-01,1.688343926833816289e-01,9.732211940593419319e-01
7.900000000000000000e+03,1.315019391274658833e+00,1.624660259423295061e-01,1.692979708074978940e-01,9.832553945248315719e-01
8.000000000000000000e+03,1.326650199692098742e+00,1.661049787026342428e-01,1.705263980372020982e-01,9.900188229522622896e-01
8.100000000000000000e+03,1.333188108538688521e+00,1.664173858463951494e-01,1.712466862519403388e-01,9.955240364403531439e-01
8.200000000000000000e+03,1.338060338179694497e+00,1.667389775765246163e-01,1.696209047994104990e-01,1.001700455803759438e+00
8.300000000000000000e+03,1.344391651682441013e+00,1.660056118503874523e-01,1.724544930687780531e-01,1.005931546763275453e+00
8.400000000000000000e+03,1.356433828404166597e+00,1.678433602484086240e-01,1.745799818748326737e-01,1.014010486280925383e+00
8.500000000000000000e+03,1.362173167414622243e+00,1.656833037351163052e-01,1.773253761015053942e-01,1.019164487578000600e+00
8.600000000000000000e+03,1.368349878798115871e+00,1.693254519125643731e-01,1.756400365504728334e-01,1.023384390335078775e+00
