t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.564720575331079999e-14,-3.708144902248022687e-15,2.590982983718958918e-15,1.676436767183986376e-14
1.000000000000000000e+02,3.125048844700294426e-01,9.297811791468309217e-02,9.465727857622585617e-02,1.248694879791205359e-01
2.000000000000000000e+02,4.237286528188540236e-01,1.162804256674334624e-01,1.203541506382765913e-01,1.870940765131439698e-01
3.000000000000000000e+02,5.188500206172437235e-01,1.357852324240595432e-01,1.434087987342048398e-01,2.396559894589793682e-01
4.000000000000000000e+02,5.726790520082749580e-01,1.437575771388812651e-01,1.503645922498366150e-01,2.785568826195570780e-01
5.000000000000000000e+02,6.063695593534603745e-01,1.447675983283168155e-01,1.521527740834053011e-01,3.094491869417382857e-01
6.000000000000000000e+02,6.408370740590589865e-01,1.473206944327088430e-01,1.524189689855690033e-01,3.410974106407810846e-01
7.000000000000000000e+02,6.725483913489234133e-01,1.487477729754715372e-01,1.582567759309420896e-01,3.655438424425097588e-01
8.000000000000000000e+02,7.044103683817922734e-01,1.557036422465147563e-01,1.624863069795643988e-01,3.862204191557131461e-01
9.000000000000000000e+02,7.459839564644730192e-01,1.642911366986417876e-01,1.714183275423416808e-01,4.102744922234896063e-01
1.000000000000000000e+03,7.915231817963894745e-01,1.736412319423282224e-01,1.809089443341088399e-01,4.369730055199524399e-01
1.100000000000000000e+03,8.302017923493780760e-01,1.801150387567060918e-01,1.873617498587788199e-01,4.627250037338931921e-01
1.200000000000000000e+03,8.612768373903034735e-01,1.823041486952621804e-01,1.930378952034276230e-01,4.859347934916137257e-01
1.300000000000000000e+03,8.971863101015546960e-01,1.863116955170302513e-01,1.975725003868254170e-01,5.133021141976989998e-01
1.400000000000000000e+03,9.237325430074271315e-01,1.892961247683851433e-01,2.006534526254603323e-01,5.337829656135816281e-01
1.500000000000000000e+03,9.541663269189855079e-01,1.944032412155705936e-01,2.056348313989181664e-01,5.541282543044967479e-01
1.600000000000000000e+03,9.891008199310912241e-01,2.026459189988242815e-01,2.088337342731099722e-01,5.776211666591569704e-01
1.700000000000000000e+03,1.022078565112989779e+00,2.105702644911794930e-01,2.158984905473783356e-01,5.956098100744320334e-01
1.800000000000000000e+03,1.052942207987138001e+00,2.150240640664319858e-01,2.236862527828634428e-01,6.142318911378427115e-01
1.900000000000000000e+03,1.084842686667282230e+00,2.219748907696811879e-01,2.313627097626484996e-01,6.315050861349525979e-01
2.000000000000000000e+03,1.113296538694393156e+00,2.257178886262805884e-01,2.359390386373443893e-01,6.516396114307683174e-01
2.100000000000000000e+03,1.140721788436708017e+00,2.286793877315430046e-01,2.415986568110156385e-01,6.704437438941492911e-01
2.200000000000000000e+03,1.166790253438628078e+00,2.335975700547078815e-01,2.439619629876051410e-01,6.892307203963149442e-01
2.300000000000000000e+03,1.194101940981741494e+00,2.394951481028903262e-01,2.471445029094069823e-01,7.074622899694441580e-01
2.400000000000000000e+03,1.235795881501870142e+00,2.481578243743215728e-01,2.532015257735914515e-01,7.344365313539571449e-01
2.500000000000000000e+03,1.270243853849134741e+00,2.542985788667376790e-01,2.596959091272991738e-01,7.562493658550978326e-01
2.600000000000000000e+03,1.309146094837143615e+00,2.620133321969050355e-01,2.657872910549817780e-01,7.813454715852566901e-01
2.700000000000000000e+03,1.340292754441657408e+00,2.667903978861493330e-01,2.716624265588249987e-01,8.018399299966830762e-01
2.800000000000000000e+03,1.373220684585093387e+00,2.728037920558409324e-01,2.763774379760531308e-01,8.240394545531991577e-01
2.900000000000000000e+03,1.410288088760695890e+00,2.792321664399844972e-01,2.839024364836479353e-01,8.471534858370635135e-01
3.000000000000000000e+03,1.445929929819375293e+00,2.864909583398693727e-01,2.875268878626629498e-01,8.719120836168429145e-01
3.100000000000000000e+03,1.482165214532588982e+00,2.933011491646084767e-01,2.922268269805498586e-01,8.966372383874305907e-01
3.200000000000000000e+03,1.516125687077465756e+00,3.003604222180533689e-01,2.972243248618176015e-01,9.185409399975947853e-01
3.300000000000000000e+03,1.555692004024120667e+00,3.095925080512874072e-01,3.024778556503741056e-01,9.436216403224590987e-01
3.400000000000000000e+03,1.589636981580830666e+00,3.154690162243115048e-01,3.085018677481280447e-01,9.656660976083910608e-01
3.500000000000000000e+03,1.627004815571252649e+00,3.216923304059354782e-01,3.138525390463390852e-01,9.914599461189782525e-01
3.600000000000000000e+03,1.661029554312162482e+00,3.243597439865424370e-01,3.191700081034962722e-01,1.017499802222123773e+00
3.700000000000000000e+03,1.692754969584218561e+00,3.284439509925206613e-01,3.217275818953173050e-01,1.042583436696380650e+00
3.800000000000000000e+03,1.729312882285369390e+00,3.363223091356530858e-01,3.243529304676461278e-01,1.068637642682070066e+00
