t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,2.024561074343011898e-14,1.065814103640150239e-15,6.079164949213122939e-15,1.310063169057684718e-14
1.000000000000000000e+02,2.989090443999451452e-01,9.065777564371471642e-02,8.880772541518702767e-02,1.194435433410434150e-01
2.000000000000000000e+02,3.986612025872635634e-01,1.166926512243165320e-01,1.112084125499142456e-01,1.707601388130327857e-01
3.000000000000000000e+02,4.787965852817644419e-01,1.335537030211890186e-01,1.316420012435603470e-01,2.136008810170150762e-01
4.000000000000000000e+02,5.122717359764541456e-01,1.384286806225438760e-01,1.360772148792888658e-01,2.377658404746213761e-01
5.000000000000000000e+02,5.221241046209610381e-01,1.381008299389392957e-01,1.353072677990627970e-01,2.487160068829588622e-01
6.000000000000000000e+02,5.181038696917175113e-01,1.332284874303710787e-01,1.299836426768303244e-01,2.548917395845161638e-01
7.000000000000000000e+02,5.212510500282415693e-01,1.315303258309500067e-01,1.288384896970552196e-01,2.608822345002363430e-01
8.000000000000000000e+02,5.350024946766840372e-01,1.356833742239838547e-01,1.307258440311616643e-01,2.685932764215385182e-01
9.000000000000000000e+02,5.571210706619436070e-01,1.439932157209388441e-01,1.375193616076785808e-01,2.756084933333260989e-01
1.000000000000000000e+03,5.885885437865936431e-01,1.526112237797968285e-01,1.454383217790952976e-01,2.905389982277015171e-01
1.100000000000000000e+03,6.082089131565397988e-01,1.569734137896950377e-01,1.497642213840872927e-01,3.014712779827574129e-01
1.200000000000000000e+03,6.250625113711716363e-01,1.591580174861738084e-01,1.511297815832649827e-01,3.147747123017328175e-01
1.300000000000000000e+03,6.386353844435223026e-01,1.585298006468732201e-01,1.505242058893844492e-01,3.295813779072646055e-01
1.400000000000000000e+03,6.470785072569267271e-01,1.594311638615176219e-01,1.481952177807351334e-01,3.394521256146739163e-01
1.500000000000000000e+03,6.625261540538406324e-01,1.581863428789542780e-01,1.509514574826339994e-01,3.533883536922523549e-01
1.600000000000000000e+03,6.779914655144797520e-01,1.609013843358789164e-01,1.532074341430894882e-01,3.638826470355113196e-01
1.700000000000000000e+03,7.008071998976229677e-01,1.670792553814504089e-01,1.604311691455242439e-01,3.732967753706483149e-01
1.800000000000000000e+03,7.094248863452161658e-01,1.681569371142560831e-01,1.627699489580533843e-01,3.784980002729066983e-01
1.900000000000000000e+03,7.215231130066702692e-01,1.706957377860331415e-01,1.637415461911777559e-01,3.870858290294593718e-01
2.000000000000000000e+03,7.307864924141609375e-01,1.716699576110511383e-01,1.641231223770939496e-01,3.949934124260158219e-01
2.100000000000000000e+03,7.434829237585873773e-01,1.751193897159630808e-01,1.645296408416511147e-01,4.038338932009731264e-01
2.200000000000000000e+03,7.562725973372264043e-01,1.737112347685972336e-01,1.660261718747237936e-01,4.165351906939053217e-01
2.300000000000000000e+03,7.620698432916577225e-01,1.744042152962614334e-01,1.657776546458500644e-01,4.218879733495461970e-01
2.400000000000000000e+03,7.723645292245435723e-01,1.743418408966238842e-01,1.681760542581857143e-01,4.298466340697340016e-01
2.500000000000000000e+03,7.771584643652140745e-01,1.762431439072084660e-01,1.711304322396410005e-01,4.297848882183645247e-01
2.600000000000000000e+03,7.906932606560591603e-01,1.801926656108151781e-01,1.729449815621949549e-01,4.375556134830490551e-01
2.700000000000000000e+03,8.082788982688275947e-01,1.853581904043307971e-01,1.758051404333303147e-01,4.471155674311664829e-01
2.800000000000000000e+03,8.189575902721485390e-01,1.872964002062487698e-01,1.754481711670967115e-01,4.562130188988030577e-01
2.900000000000000000e+03,8.329696999034565952e-01,1.866097058655629692e-01,1.775345983189795807e-01,4.688253957189140175e-01
3.000000000000000000e+03,8.481948298734123259e-01,1.910717960726986964e-01,1.759210364699786699e-01,4.812019973307350429e-01
3.100000000000000000e+03,8.652109044584853637e-01,1.916668350441978197e-01,1.796550398243539903e-01,4.938890295899335259e-01
3.200000000000000000e+03,8.860018809153104025e-01,1.983049272161428733e-01,1.825273382826175794e-01,5.051696154165499220e-01
3.300000000000000000e+03,8.993491969077731518e-01,2.000924337498012906e-01,1.871477560621083169e-01,5.121090070958634888e-01
3.400000000000000000e+03,9.007849065766243557e-01,2.001760807445059354e-01,1.868803058930715300e-01,5.137285199390468904e-01
3.500000000000000000e+03,9.046703345227266047e-01,1.980206940627187717e-01,1.860887687730809203e-01,5.205608716869268848e-01
3.600000000000000000e+03,9.157101331999328853e-01,2.032762167322664237e-01,1.858188221961166176e-01,5.266150942715498440e-01
3.700000000000000000e+03,9.213389493517210038e-01,2.051716421287910208e-01,1.845742797237482358e-01,5.315930274991818028e-01
