t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.928480523420243436e-14,-6.466817821978073484e-15,7.249756350802271893e-15,1.850186670537823438e-14
1.000000000000000000e+02,3.016617226618281133e-01,8.968443821610105893e-02,8.740713221740743777e-02,1.245701522283195889e-01
2.000000000000000000e+02,4.084556102182260173e-01,1.135392324431401812e-01,1.099736318098359505e-01,1.849427459652498440e-01
3.000000000000000000e+02,4.910407324191549683e-01,1.306827430189701489e-01,1.280934435150579420e-01,2.322645458851269051e-01
4.000000000000000000e+02,5.273359570286462183e-01,1.344367893164024885e-01,1.326757044081487147e-01,2.602234633040950151e-01
5.000000000000000000e+02,5.448766169623059374e-01,1.355753776812059219e-01,1.338736048405959334e-01,2.754276344405039989e-01
6.000000000000000000e+02,5.552501448283023722e-01,1.328856347969304963e-01,1.301672707111584948e-01,2.921972393202133533e-01
7.000000000000000000e+02,5.731991634010968895e-01,1.325809198660755917e-01,1.304229950548552175e-01,3.101952484801660526e-01
8.000000000000000000e+02,5.983863705508519759e-01,1.386654850504819569e-01,1.338831462436084752e-01,3.258377392567614605e-01
9.000000000000000000e+02,6.293608198699730538e-01,1.467262133140284364e-01,1.421556306823114069e-01,3.404789758736331273e-01
1.000000000000000000e+03,6.672240822358620482e-01,1.550507583448842708e-01,1.506567187297187249e-01,3.615166051612590525e-01
1.100000000000000000e+03,6.960719975963218786e-01,1.610982955544093820e-01,1.559344791574542310e-01,3.790392228844583489e-01
1.200000000000000000e+03,7.187055492660417988e-01,1.642149407583593235e-01,1.594366035047839192e-01,3.950540050028985561e-01
1.300000000000000000e+03,7.394684118108435511e-01,1.660252884232328585e-01,1.619787797251384387e-01,4.114643436624721429e-01
1.400000000000000000e+03,7.558603475803081784e-01,1.673683754742443242e-01,1.619684417384308905e-01,4.265235303676328527e-01
1.500000000000000000e+03,7.819939809285617605e-01,1.717450214216294235e-01,1.666720119902906916e-01,4.435769475166416176e-01
1.600000000000000000e+03,8.044657529943916030e-01,1.753951948292792606e-01,1.698554981175058876e-01,4.592150600476063715e-01
1.700000000000000000e+03,8.310246404219564509e-01,1.804159755778362850e-01,1.760409581722836014e-01,4.745677066718365644e-01
1.800000000000000000e+03,8.520949707744250867e-01,1.830465729507922967e-01,1.808751625957668308e-01,4.881732352278659870e-01
1.900000000000000000e+03,8.770507605602113621e-01,1.876263062081463262e-01,1.847504608884950050e-01,5.046739934635701141e-01
2.000000000000000000e+03,8.969502969356227817e-01,1.899975866739857244e-01,1.863891636621762549e-01,5.205635465994608024e-01
2.100000000000000000e+03,9.173551069660182966e-01,1.934163678179448009e-01,1.887638233002022492e-01,5.351749158478712465e-01
2.200000000000000000e+03,9.373389735160909675e-01,1.957178417992190000e-01,1.922303533016839205e-01,5.493907784151880191e-01
2.300000000000000000e+03,9.540805840499090307e-01,1.992767836152614380e-01,1.957065527217203560e-01,5.590972477129271256e-01
2.400000000000000000e+03,9.697040562552144971e-01,2.007991569044103863e-01,1.983061355137365200e-01,5.705987638370674242e-01
2.500000000000000000e+03,9.884500595530258948e-01,2.051699097063787447e-01,2.026145146796349550e-01,5.806656351670121952e-01
2.600000000000000000e+03,1.012591213638496912e+00,2.114778861573731739e-01,2.065590486607171428e-01,5.945542788204066786e-01
2.700000000000000000e+03,1.034247297830396706e+00,2.165541935784905947e-01,2.114003901372685512e-01,6.062927141146375876e-01
2.800000000000000000e+03,1.052024448912445509e+00,2.206487961923401520e-01,2.149667391727536625e-01,6.164089135473515002e-01
2.900000000000000000e+03,1.069533727575797899e+00,2.225751677229480252e-01,2.194451742841949382e-01,6.275133855686551021e-01
3.000000000000000000e+03,1.086980694467116315e+00,2.270786338096139334e-01,2.218438129782064616e-01,6.380582476792960867e-01
3.100000000000000000e+03,1.103586033303171510e+00,2.294210613886859818e-01,2.256624208672931287e-01,6.485025510471924548e-01
3.200000000000000000e+03,1.121484870311376891e+00,2.340709356573125455e-01,2.295058887130555780e-01,6.579080459410088233e-01
3.300000000000000000e+03,1.135957335204929919e+00,2.388568876317345990e-01,2.336933808905484466e-01,6.634070666826468177e-01
3.400000000000000000e+03,1.145313346721483549e+00,2.414349032033390741e-01,2.356451768213988218e-01,6.682332666967455426e-01
3.500000000000000000e+03,1.157878494644190459e+00,2.435116838117330484e-01,2.385355512051421656e-01,6.758312596273151618e-01
3.600000000000000000e+03,1.170998952883885780e+00,2.474569243224475079e-01,2.420286454308876178e-01,6.815133831305506540e-01
3.700000000000000000e+03,1.181600401530959799e+00,2.500566563987680069e-01,2.458625393885169041e-01,6.856812057436746377e-01
3.800000000000000000e+03,1.196485488714782663e+00,2.537465022344227439e-01,2.490152185820919684e-01,6.937237678982678402e-01
3.900000000000000000e+03,1.209035382715770490e+00,2.571581469481813431e-01,2.523338853221134825e-01,6.995433504454758866e-01
4.000000000000000000e+03,1.222710255320991424e+00,2.602351181332455687e-01,2.560580345510068967e-01,7.064171026367387363e-01
4.100000000000000000e+03,1.232224646199384877e+00,2.608859795891453892e-01,2.573551604593914965e-01,7.139835061508478242e-01
4.200000000000000000e+03,1.243978595977897506e+00,2.621746287595360658e-01,2.620807219087623041e-01,7.197232453095989690e-01
4.300000000000000000e+03,1.258337950253468618e+00,2.644170004639682658e-01,2.659100850195574850e-01,7.280108647699427005e-01
4.400000000000000000e+03,1.274354041774775181e+00,2.678323848120396922e-01,2.683338245804327005e-01,7.381878323823030108e-01
4.500000000000000000e+03,1.287581073874599857e+00,2.715410707396044843e-01,2.704968826629638445e-01,7.455431204720314176e-01
4.600000000000000000e+03,1.300304369775358682e+00,2.743677999168716020e-01,2.726749883715974820e-01,7.532615814868895976e-01
4.700000000000000000e+03,1.320608725406366313e+00,2.781748984001614633e-01,2.767150651486110502e-01,7.657187618575939103e-01
4.800000000000000000e+03,1.338880491081194224e+00,2.801961997038686092e-01,2.824995981586296279e-01,7.761846932186960979e-01
4.900000000000000000e+03,1.359153749151261081e+00,2.825282114138889522e-01,2.872428902610361101e-01,7.893826474763360190e-01
5.000000000000000000e+03,1.377054607470852732e+00,2.844940510379536658e-01,2.909753922819995342e-01,8.015851641508997538e-01
5.100000000000000000e+03,1.393642396406684192e+00,2.870693659908917783e-01,2.938898563293061428e-01,8.126831740864863818e-01
5.200000000000000000e+03,1.408004930021916623e+00,2.886939078621592603e-01,2.964981326718011401e-01,8.228128894879561672e-01
5.300000000000000000e+03,1.427412552573676718e+00,2.914835097933323182e-01,3.008566136813623504e-01,8.350724290989819387e-01
5.400000000000000000e+03,1.441728194853295841e+00,2.944561225676465832e-01,3.028762306522448378e-01,8.443958416334043093e-01
5.500000000000000000e+03,1.460120431906003491e+00,2.972966048710696252e-01,3.068906226733696396e-01,8.559332043615642815e-01
5.600000000000000000e+03,1.475763649391616417e+00,3.001996769841449031e-01,3.099722725233650666e-01,8.655916998841064469e-01
5.700000000000000000e+03,1.494253165543393047e+00,3.036075934778193486e-01,3.137189683271515706e-01,8.769266037384223500e-01
5.800000000000000000e+03,1.507683454269908907e+00,3.043608415514443832e-01,3.160826472269508969e-01,8.872399654915136269e-01
5.900000000000000000e+03,1.525105257301545336e+00,3.047171515523975915e-01,3.201441976511359422e-01,9.002439080980119135e-01
6.000000000000000000e+03,1.541031364463941289e+00,3.064634884000964621e-01,3.229911277287529914e-01,9.115767483350918354e-01
6.100000000000000000e+03,1.557175802076395277e+00,3.090189587962970941e-01,3.254307037030392813e-01,9.227261395770587349e-01
6.200000000000000000e+03,1.571421090653914332e+00,3.116067919097353367e-01,3.291639164142524110e-01,9.306503823299264733e-01
6.300000000000000000e+03,1.589391394181225214e+00,3.165280927050806992e-01,3.319212786710787899e-01,9.409420228050656698e-01
6.400000000000000000e+03,1.610495044972982015e+00,3.211222021351500810e-01,3.367013445197248322e-01,9.526714983181071572e-01
6.500000000000000000e+03,1.628132980604147351e+00,3.252094977677877918e-01,3.407376130827711180e-01,9.621858697535885518e-01
6.600000000000000000e+03,1.639010487985431697e+00,3.261399481425187319e-01,3.448192559682086711e-01,9.680512838747045157e-01
6.700000000000000000e+03,1.650584206510743668e+00,3.281037094746925287e-01,3.472903434984559445e-01,9.751901535375951946e-01
6.800000000000000000e+03,1.664234274609896813e+00,3.303260765554207334e-01,3.492220105094687721e-01,9.846861875450070301e-01
6.900000000000000000e+03,1.679681278244229192e+00,3.331983091419183363e-01,3.531703930368585431e-01,9.933125760654525349e-01
7.000000000000000000e+03,1.691993194850099691e+00,3.347910823724276619e-01,3.545052818252804605e-01,1.002696830652391347e+00
7.100000000000000000e+03,1.707328011173768090e+00,3.374129529527996607e-01,3.590980953217002836e-01,1.010816962899268034e+00
7.200000000000000000e+03,1.723907566474507602e+00,3.414852506690264633e-01,3.643998505077268302e-01,1.018022465297754309e+00
7.300000000000000000e+03,1.738199794302853318e+00,3.427573022816207682e-01,3.687419994766065745e-01,1.026700492544625920e+00
7.400000000000000000e+03,1.749952717697379256e+00,3.457843626622469912e-01,3.709951443228396983e-01,1.033173210712292844e+00
7.500000000000000000e+03,1.761010222144736348e+00,3.469656115321131384e-01,3.727177370263397571e-01,1.041326873586283286e+00
7.600000000000000000e+03,1.776515021014967166e+00,3.497111632770451006e-01,3.768715076985461043e-01,1.049932350039375573e+00
7.700000000000000000e+03,1.793925024632391230e+00,3.527517251998983916e-01,3.805133766911769633e-01,1.060659922741315819e+00
7.800000000000000000e+03,1.811099871311903087e+00,3.555819355849913488e-01,3.843976002046364804e-01,1.071120335522275369e+00
7.900000000000000000e+03,1.829876033734206375e+00,3.592933916489987056e-01,3.884948296167170523e-01,1.082087812468490950e+00
8.000000000000000000e+03,1.851994571079370155e+00,3.643012781593994442e-01,3.948520430671687564e-01,1.092841249852802177e+00
8.100000000000000000e+03,1.865765898572486314e+00,3.663525421290165229e-01,3.987166441084280533e-01,1.100696712335041516e+00
8.200000000000000000e+03,1.879713834299806763e+00,3.686642865052210394e-01,4.006996911137087891e-01,1.110349856680876934e+00
8.300000000000000000e+03,1.890537591778703286e+00,3.693590937009551545e-01,4.030202982918294485e-01,1.118158199785918683e+00
8.400000000000000000e+03,1.902967951792689627e+00,3.712307764218392703e-01,4.042961505736671346e-01,1.127441024797183333e+00
8.500000000000000000e+03,1.924535763433359747e+00,3.750942288316969631e-01,4.089021118223137852e-01,1.140539422779348833e+00
8.600000000000000000e+03,1.944694499791880693e+00,3.788926152889977028e-01,4.121842066621781986e-01,1.153617677840704792e+00
8.700000000000000000e+03,1.965074101453991418e+00,3.813093741312216789e-01,4.169403327967088901e-01,1.166824394526060793e+00
8.800000000000000000e+03,1.985227297846780203e+00,3.842423064379458797e-01,4.213602092413421540e-01,1.179624782167491892e+00
8.900000000000000000e+03,2.003768694507059411e+00,3.870194725251497325e-01,4.257105989611546515e-01,1.191038623020754805e+00
9.000000000000000000e+03,2.019622843838200232e+00,3.904545159874090454e-01,4.280228620313337728e-01,1.201145465819457803e+00
9.100000000000000000e+03,2.037594741561508993e+00,3.934578691360164360e-01,4.313968176305277846e-01,1.212740054794964273e+00
9.200000000000000000e+03,2.060924489989326869e+00,3.983461781350269848e-01,4.359407573517024015e-01,1.226637554502597371e+00
9.300000000000000000e+03,2.085446494219090230e+00,4.021989220021637834e-01,4.420009801777531888e-01,1.241246592039173757e+00
9.400000000000000000e+03,2.104390466551402827e+00,4.046070438634095656e-01,4.459875307700835734e-01,1.253795891917909966e+00
9.500000000000000000e+03,2.127405397936014797e+00,4.077387885852991611e-01,4.518589752064523513e-01,1.267807634144263229e+00
9.600000000000000000e+03,2.146614755669654429e+00,4.099377832484021877e-01,4.543291858915989856e-01,1.282347786529653311e+00
9.700000000000000000e+03,2.166105714805768745e+00,4.119613843059351521e-01,4.586164077611723511e-01,1.295527922738661575e+00
9.800000000000000000e+03,2.185973952627734196e+00,4.152464366680782004e-01,4.605064306486921222e-01,1.310221085310964151e+00
9.900000000000000000e+03,2.203713836171734997e+00,4.181896911631120539e-01,4.632206042056319362e-01,1.322303540802991062e+00
1.000000000000000000e+04,2.224976739184496122e+00,4.224287153489758029e-01,4.686713065964620561e-01,1.333876717239058207e+00
1.010000000000000000e+04,2.241114265952476536e+00,4.242296584844454377e-01,4.722461253815316007e-01,1.344638482086499387e+00
1.020000000000000000e+04,2.256177028178069754e+00,4.263908781559410666e-01,4.743033317890576472e-01,1.355482818233071152e+00
1.030000000000000000e+04,2.273271733890251944e+00,4.291330590914856913e-01,4.786070653726348656e-01,1.365531609426131388e+00
1.040000000000000000e+04,2.291698631552808507e+00,4.331864697186268987e-01,4.824098355211654532e-01,1.376102326313016100e+00
1.050000000000000000e+04,2.311200841607175427e+00,4.369187093456521898e-01,4.859369731973493534e-01,1.388345159064174217e+00
1.060000000000000000e+04,2.331384015601615900e+00,4.406885174722838250e-01,4.906934904911154915e-01,1.400002007638216694e+00
1.070000000000000000e+04,2.351239641431560390e+00,4.413933320116237291e-01,4.951033545433712324e-01,1.414742954876565095e+00
