t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.152751505362204044e-13,5.880018694170985169e-15,1.182318132286752706e-14,9.757195051918188508e-14
1.000000000000000000e+02,3.049557122131401621e-01,8.915949577929642433e-02,9.008750025746292689e-02,1.257087161763807970e-01
2.000000000000000000e+02,4.056483781665238264e-01,1.081921054828277606e-01,1.119518034384289623e-01,1.855044692452670896e-01
3.000000000000000000e+02,4.898531572361194408e-01,1.253105476014407804e-01,1.323793887361952304e-01,2.321632208984834023e-01
4.000000000000000000e+02,5.384409428816918641e-01,1.343312493486938652e-01,1.402207362587243322e-01,2.638889572742735834e-01
5.000000000000000000e+02,5.641392166577723355e-01,1.387561808487993154e-01,1.434035351965163019e-01,2.819795006124566905e-01
6.000000000000000000e+02,5.850002842277041148e-01,1.402725443535760841e-01,1.412791265569494081e-01,3.034486133171786504e-01
7.000000000000000000e+02,6.131672363182534280e-01,1.429667989662733174e-01,1.420820026819632209e-01,3.281184346700169452e-01
8.000000000000000000e+02,6.561868523507115025e-01,1.508676068067828502e-01,1.482805687173059106e-01,3.570386768266227695e-01
9.000000000000000000e+02,7.020962942903162807e-01,1.597179276365125189e-01,1.572800563478853331e-01,3.850983103059184565e-01
1.000000000000000000e+03,7.506112665016881902e-01,1.677965349939519180e-01,1.669822012126727373e-01,4.158325302950635627e-01
1.100000000000000000e+03,7.903513882368478072e-01,1.719357168809390601e-01,1.730245412452864340e-01,4.453911301106223131e-01
1.200000000000000000e+03,8.296788370444647676e-01,1.779592148574566379e-01,1.791337878330283018e-01,4.725858343539798834e-01
1.300000000000000000e+03,8.671887678214285078e-01,1.839567163700316366e-01,1.830327113297213759e-01,5.001993401216754398e-01
1.400000000000000000e+03,9.014768709956065829e-01,1.886492464652123890e-01,1.870620400751046852e-01,5.257655844552895363e-01
1.500000000000000000e+03,9.393904170371606410e-01,1.934179038175968812e-01,1.911593704989804077e-01,5.548131427205833521e-01
1.600000000000000000e+03,9.808447187373928733e-01,1.996043927043969768e-01,1.961993230242976005e-01,5.850410030086983237e-01
1.700000000000000000e+03,1.025226871911451010e+00,2.054073552212526133e-01,2.025269424548366004e-01,6.172925742353616574e-01
1.800000000000000000e+03,1.072896732698525479e+00,2.142172659559284098e-01,2.069016099940695352e-01,6.517778567485275065e-01
1.900000000000000000e+03,1.114196937063650417e+00,2.207785507815364368e-01,2.111101104392351657e-01,6.823082758428788974e-01
2.000000000000000000e+03,1.158530979166807695e+00,2.256542796627079017e-01,2.160075023052344945e-01,7.168691971988653266e-01
2.100000000000000000e+03,1.210565361012782448e+00,2.304643679395220468e-01,2.239604796831796141e-01,7.561405133900808151e-01
2.200000000000000000e+03,1.254592159197742696e+00,2.362074436884011308e-01,2.296483981191173029e-01,7.887363173902242064e-01
2.300000000000000000e+03,1.298105654901153816e+00,2.392506537094732377e-01,2.352679436277271829e-01,8.235870575639534508e-01
2.400000000000000000e+03,1.343783067553153021e+00,2.456417170930397798e-01,2.367060542779104715e-01,8.614352961822027144e-01
2.500000000000000000e+03,1.390656222584034429e+00,2.500610287612887173e-01,2.398899093205923150e-01,9.007052845021533694e-01
2.600000000000000000e+03,1.444158961873653446e+00,2.554391349037036241e-01,2.457114178769409796e-01,9.430084090930088703e-01
2.700000000000000000e+03,1.494083929019723644e+00,2.596232449030425604e-01,2.497869639258691044e-01,9.846737201908121184e-01
2.800000000000000000e+03,1.548285136078462410e+00,2.623023691499720700e-01,2.559864404117113135e-01,1.029996326516779082e+00
2.900000000000000000e+03,1.606642013384651735e+00,2.683426519418384837e-01,2.621872594735251139e-01,1.076112101969288082e+00
3.000000000000000000e+03,1.664224197652177661e+00,2.736862955539671738e-01,2.696196590027836182e-01,1.120918243095426980e+00
3.100000000000000000e+03,1.705811231692404117e+00,2.740739159770929634e-01,2.700765271410859869e-01,1.161660788574225167e+00
3.200000000000000000e+03,1.754348191947197932e+00,2.766438135352623506e-01,2.747983877239502659e-01,1.202905990687985316e+00
3.300000000000000000e+03,1.813395030966145072e+00,2.832128966861771624e-01,2.812883892106288752e-01,1.248893745069338923e+00
3.400000000000000000e+03,1.872924932346585969e+00,2.881444847888537941e-01,2.880967549529761529e-01,1.296683692604756022e+00
3.500000000000000000e+03,1.933462241403345994e+00,2.926625944194554685e-01,2.931390368676897173e-01,1.347660610116200752e+00
3.600000000000000000e+03,1.990413407208484697e+00,2.975902422897217514e-01,2.968839939910716264e-01,1.395939170927691375e+00
3.700000000000000000e+03,2.047847943945798832e+00,3.041206502838496029e-01,3.029123347119257459e-01,1.440814958950023428e+00
3.800000000000000000e+03,2.094230315721630653e+00,3.066821778691196099e-01,3.052741261669303929e-01,1.482274011685580817e+00
3.900000000000000000e+03,2.142516893535939548e+00,3.092470463927309843e-01,3.094043402828323686e-01,1.523865506860376140e+00
4.000000000000000000e+03,2.195018706036832690e+00,3.123228678703809935e-01,3.143136348645166889e-01,1.568382203301935229e+00
4.100000000000000000e+03,2.245148936152040697e+00,3.145315763325610137e-01,3.165219516187322002e-01,1.614095408200747483e+00
4.200000000000000000e+03,2.300829870273882083e+00,3.166800436422523291e-01,3.229496109064560194e-01,1.661200215725173734e+00
4.300000000000000000e+03,2.356898526666743710e+00,3.185165538705249100e-01,3.277341695699482749e-01,1.710647803226270636e+00
4.400000000000000000e+03,2.410579569164218672e+00,3.242827909487014937e-01,3.296951587002448503e-01,1.756601619515272272e+00
4.500000000000000000e+03,2.462599184636894645e+00,3.261466935045513327e-01,3.340329867162282751e-01,1.802419504416115092e+00
4.600000000000000000e+03,2.523941871917715574e+00,3.314963331877741615e-01,3.407800054469946049e-01,1.851665533282946585e+00
4.700000000000000000e+03,2.576317853185402740e+00,3.380466055012100735e-01,3.451680973182754686e-01,1.893103150365917031e+00
4.800000000000000000e+03,2.632477740709114222e+00,3.409359574754245448e-01,3.479858160782239862e-01,1.943555967155465636e+00
4.900000000000000000e+03,2.684337930893097912e+00,3.433994418653149583e-01,3.501658336978995534e-01,1.990772655329883678e+00
5.000000000000000000e+03,2.731345199153561776e+00,3.448334396747233521e-01,3.516115198714311885e-01,2.034900239607407180e+00
5.100000000000000000e+03,2.783824568499851715e+00,3.482292181212449100e-01,3.565949449775415725e-01,2.079000405401065343e+00
5.200000000000000000e+03,2.828517487064396985e+00,3.506412885701983284e-01,3.597405406975596742e-01,2.118135657796639038e+00
5.300000000000000000e+03,2.887924736282730720e+00,3.549815545836388919e-01,3.679052542486290767e-01,2.165037927450462973e+00
5.400000000000000000e+03,2.940569597729764340e+00,3.601613437063586054e-01,3.742940422575792292e-01,2.206114211765826560e+00
5.500000000000000000e+03,2.998042295627610265e+00,3.657164437396886458e-01,3.817867577173099658e-01,2.250539094170611598e+00
5.600000000000000000e+03,3.055896610714176731e+00,3.694399269259436847e-01,3.884757534938017010e-01,2.297980930294431623e+00
5.700000000000000000e+03,3.105002779543525548e+00,3.706825629249052012e-01,3.902607854557723632e-01,2.344059431162848206e+00
5.800000000000000000e+03,3.160567525892295393e+00,3.728189921886686520e-01,3.953822276070116382e-01,2.392366306096615158e+00
5.900000000000000000e+03,3.212685166980641327e+00,3.750137701828794023e-01,3.977487523740600439e-01,2.439922644423702103e+00
6.000000000000000000e+03,3.274946561010321666e+00,3.830638847390850366e-01,4.033861822400842678e-01,2.488496494031152473e+00
6.100000000000000000e+03,3.326883071741019826e+00,3.883693710473483107e-01,4.053072686953569925e-01,2.533206431998314301e+00
6.200000000000000000e+03,3.376973268466984202e+00,3.902032501261485931e-01,4.130403309436093684e-01,2.573729687397226407e+00
6.300000000000000000e+03,3.420418485994547453e+00,3.908002229805042083e-01,4.160273377820030705e-01,2.613590925232040174e+00
6.400000000000000000e+03,3.466983526448736086e+00,3.945398343669821450e-01,4.190972286024752802e-01,2.653346463479278494e+00
6.500000000000000000e+03,3.516865655373116795e+00,3.955640534153143650e-01,4.235331838202572863e-01,2.697768418137544977e+00
6.600000000000000000e+03,3.569779446332087769e+00,3.974717411502589615e-01,4.282719745820372514e-01,2.744035730599791556e+00
6.700000000000000000e+03,3.620037879468521069e+00,4.007524073413264998e-01,4.319957703103574076e-01,2.787289701816837439e+00
6.800000000000000000e+03,3.670711803344679502e+00,4.039222498030768937e-01,4.351436172909329825e-01,2.831645936250669848e+00
6.900000000000000000e+03,3.724147784883481194e+00,4.088340550668608242e-01,4.356310263939230376e-01,2.879682703422697276e+00
7.000000000000000000e+03,3.771175385203884289e+00,4.092972514525460292e-01,4.394297167045181363e-01,2.922448417046820346e+00
7.100000000000000000e+03,3.818499501375637539e+00,4.128820473965976734e-01,4.398404286223699944e-01,2.965777025356669760e+00
7.200000000000000000e+03,3.874025889692640945e+00,4.181651124348711446e-01,4.472633972256262469e-01,3.008597380032143498e+00
7.300000000000000000e+03,3.926870913785757367e+00,4.209521115981612605e-01,4.531717874655329936e-01,3.052747014722063224e+00
7.400000000000000000e+03,3.977014118356306582e+00,4.223625179787152684e-01,4.588274904011162003e-01,3.095824109976474947e+00
7.500000000000000000e+03,4.036169720804877237e+00,4.276879626061450002e-01,4.611828444033562735e-01,3.147298913795375963e+00
7.600000000000000000e+03,4.091719678981995401e+00,4.290984601915658336e-01,4.637922526557658465e-01,3.198828966134664054e+00
7.700000000000000000e+03,4.143812672606577152e+00,4.310379083808106304e-01,4.649225635910814169e-01,3.247852200634684827e+00
7.800000000000000000e+03,4.197696652887522362e+00,4.350580989705372659e-01,4.696669310723342039e-01,3.292971622844651058e+00
7.900000000000000000e+03,4.255364077335607398e+00,4.396305479848520159e-01,4.731581305166490670e-01,3.342575398834106259e+00
8.000000000000000000e+03,4.314352170582448132e+00,4.432776859971511163e-01,4.729804206132787736e-01,3.398094063972018297e+00
8.100000000000000000e+03,4.373301140713230950e+00,4.456761356128836615e-01,4.756319723922067810e-01,3.451993032708140952e+00
8.200000000000000000e+03,4.430656468098054468e+00,4.461751415004352461e-01,4.817483862242870063e-01,3.502732940373332049e+00
8.300000000000000000e+03,4.491413823614364809e+00,4.507672564690261008e-01,4.853211662500229728e-01,3.555325400895315902e+00
8.400000000000000000e+03,4.551511678320517618e+00,4.517147060951467452e-01,4.909443021250721739e-01,3.608852670100298976e+00
8.500000000000000000e+03,4.617807650727847602e+00,4.575814203592591944e-01,4.955795725657305972e-01,3.664646657802857366e+00
