t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,4.150360610744030005e-14,3.615441279691822021e-14,3.587408148320037268e-16,4.990452495690078965e-15
1.000000000000000000e+02,3.132815445410398469e-01,9.328989411312445246e-02,9.522429899076334525e-02,1.247673514371520770e-01
2.000000000000000000e+02,4.293882310984946660e-01,1.179425997619793776e-01,1.221242185877477182e-01,1.893214127487675424e-01
3.000000000000000000e+02,5.317193046947292778e-01,1.420175848419205633e-01,1.473468305776860776e-01,2.423548892751226091e-01
4.000000000000000000e+02,5.745321863115051553e-01,1.483764161351385780e-01,1.538640402284445485e-01,2.722917299479220565e-01
5.000000000000000000e+02,5.939767826175221810e-01,1.518647875909446832e-01,1.560569585905722811e-01,2.860550364360052167e-01
6.000000000000000000e+02,6.031129950141108642e-01,1.512884035594163346e-01,1.557272489242605973e-01,2.960973425304339601e-01
7.000000000000000000e+02,6.170955334895253941e-01,1.514585172149554848e-01,1.545284348348482939e-01,3.111085814397216431e-01
8.000000000000000000e+02,6.550560848840711881e-01,1.592278398074872536e-01,1.638092225546597669e-01,3.320190225219241675e-01
9.000000000000000000e+02,7.050778874188972090e-01,1.725483545143811914e-01,1.785898645007972241e-01,3.539396684037187657e-01
1.000000000000000000e+03,7.501507803323654855e-01,1.848694653897559048e-01,1.905313170895505392e-01,3.747499978530591247e-01
1.100000000000000000e+03,7.843786523111179187e-01,1.940585545965257397e-01,1.968196347709378902e-01,3.935004629436542611e-01
1.200000000000000000e+03,8.146463518233211243e-01,2.011668987372249862e-01,2.015042675533225969e-01,4.119751855327735690e-01
1.300000000000000000e+03,8.388282046380046708e-01,2.059683089334547468e-01,2.093697710765004827e-01,4.234901246280495246e-01
1.400000000000000000e+03,8.545203090857450556e-01,2.053396145480995416e-01,2.117115108379573341e-01,4.374691836996881800e-01
1.500000000000000000e+03,8.759916380146357540e-01,2.073613827370547891e-01,2.182014461411104222e-01,4.504288091364705982e-01
1.600000000000000000e+03,9.070686032475115956e-01,2.145062784602166650e-01,2.233080262933712645e-01,4.692542984939236383e-01
1.700000000000000000e+03,9.420144162236812058e-01,2.194576248015197295e-01,2.316169968631453524e-01,4.909397945590160961e-01
1.800000000000000000e+03,9.705933271014921537e-01,2.243366134499441833e-01,2.374503110266771855e-01,5.088064026248707572e-01
1.900000000000000000e+03,1.000762352110518449e+00,2.313980908244498980e-01,2.443360066312757206e-01,5.250282546547929696e-01
2.000000000000000000e+03,1.027028387907755969e+00,2.390805493346479516e-01,2.464463687062112274e-01,5.415014698668967341e-01
2.100000000000000000e+03,1.041333735907592040e+00,2.417129960726049909e-01,2.464294651879855580e-01,5.531912746470013520e-01
2.200000000000000000e+03,1.064008125406535443e+00,2.483371141303695739e-01,2.496198055233407875e-01,5.660512057528250818e-01
2.300000000000000000e+03,1.088399708521190945e+00,2.503306061520939596e-01,2.560209482679924875e-01,5.820481541011044424e-01
2.400000000000000000e+03,1.116677250113981668e+00,2.579908276173369375e-01,2.618797013801633100e-01,5.968067211164813646e-01
2.500000000000000000e+03,1.143244593978829826e+00,2.616217456963376153e-01,2.700857752309716031e-01,6.115370730515206077e-01
2.600000000000000000e+03,1.167338161347222680e+00,2.677037125708616738e-01,2.734493443433955173e-01,6.261851044329654892e-01
2.700000000000000000e+03,1.199730584562989533e+00,2.744854012525848042e-01,2.809316617587969689e-01,6.443135215516078151e-01
2.800000000000000000e+03,1.233250530418026347e+00,2.816840369870429184e-01,2.863294690055075975e-01,6.652370244254759424e-01
2.900000000000000000e+03,1.264199197241922867e+00,2.860649907231862521e-01,2.930357310642164870e-01,6.850984754545200728e-01
3.000000000000000000e+03,1.292923540750534173e+00,2.890296142178515604e-01,2.986874295872362639e-01,7.052064969454464594e-01
3.100000000000000000e+03,1.321840873143168116e+00,2.909884017678263102e-01,3.048766655602349607e-01,7.259758058151069005e-01
3.200000000000000000e+03,1.350504609617328988e+00,2.954276286930456186e-01,3.117060567968132356e-01,7.433709241274700785e-01
3.300000000000000000e+03,1.382440619048876274e+00,3.012740858673061406e-01,3.186932222355347566e-01,7.624733109460353209e-01
3.400000000000000000e+03,1.411526371937785296e+00,3.061093626183171157e-01,3.244068285726008360e-01,7.810101807468674551e-01
3.500000000000000000e+03,1.448121827119659866e+00,3.129186068694059242e-01,3.314720343544585446e-01,8.037311858957952859e-01
3.600000000000000000e+03,1.488179089607926553e+00,3.206984261438587391e-01,3.409992515878230157e-01,8.264814118762447981e-01
3.700000000000000000e+03,1.522336944138182879e+00,3.249596557041362077e-01,3.472060744579299474e-01,8.501712139761167242e-01
3.800000000000000000e+03,1.549130096534929502e+00,3.275056613687251650e-01,3.515628694602858095e-01,8.700615657059185271e-01
3.900000000000000000e+03,1.579372530977430467e+00,3.329325921275388955e-01,3.573899922286791209e-01,8.890499466212125057e-01
4.000000000000000000e+03,1.608675998339752056e+00,3.366105524274302652e-01,3.651078791528361567e-01,9.069575667594855783e-01
4.100000000000000000e+03,1.638705732553147776e+00,3.427491480647132938e-01,3.732847637123996032e-01,9.226718207760349344e-01
4.200000000000000000e+03,1.672098227351172861e+00,3.507852228401897032e-01,3.809409332337175824e-01,9.403720712772656309e-01
4.300000000000000000e+03,1.704002722402002235e+00,3.579968385192423552e-01,3.871386956148471503e-01,9.588671882679126179e-01
4.400000000000000000e+03,1.736786338512133376e+00,3.623366400505195206e-01,3.955194210594696336e-01,9.789302774021443332e-01
4.500000000000000000e+03,1.765859898268626438e+00,3.650716704610266761e-01,3.991069667406496602e-01,1.001681261066950102e+00
4.600000000000000000e+03,1.794858581775824025e+00,3.683621623442334125e-01,4.054895679460651658e-01,1.021006851485525502e+00
4.700000000000000000e+03,1.829276107613331925e+00,3.738286412077295728e-01,4.135163832163021302e-01,1.041931083189300278e+00
4.800000000000000000e+03,1.859323313208423256e+00,3.788511630816181475e-01,4.193456045879294658e-01,1.061126545538875643e+00
4.900000000000000000e+03,1.893834399672716273e+00,3.847521576885685746e-01,4.261628337123337107e-01,1.082919408271813877e+00
5.000000000000000000e+03,1.928707010404482336e+00,3.901108320102127380e-01,4.344933723397630954e-01,1.104102806054506392e+00
5.100000000000000000e+03,1.966323860462370066e+00,3.952307160841396216e-01,4.423951555525708068e-01,1.128697988825659637e+00
5.200000000000000000e+03,2.004992077591240207e+00,4.001780912054538897e-01,4.531244029161745068e-01,1.151689583469611922e+00
5.300000000000000000e+03,2.042959588604636778e+00,4.073999153405594709e-01,4.598954115318695801e-01,1.175664261732207505e+00
5.400000000000000000e+03,2.083956834396736735e+00,4.160200815355761250e-01,4.663956594586048388e-01,1.201541093402555660e+00
5.500000000000000000e+03,2.124566324683338614e+00,4.225497916125225406e-01,4.723669627522745773e-01,1.229649570318541718e+00
5.600000000000000000e+03,2.163859188284769530e+00,4.297636903603093694e-01,4.811891056824026403e-01,1.252906392242057354e+00
5.700000000000000000e+03,2.205932052100402885e+00,4.364084621153453969e-01,4.878975575565888678e-01,1.281626032428468509e+00
5.800000000000000000e+03,2.249787089974053522e+00,4.428361694571112395e-01,4.964627514117225249e-01,1.310488169105219924e+00
5.900000000000000000e+03,2.287657417098173607e+00,4.476289839519801417e-01,5.058996613099091544e-01,1.334128771836284200e+00
6.000000000000000000e+03,2.322533553179916943e+00,4.536850413426490869e-01,5.131724412669317337e-01,1.355676070570336123e+00
6.100000000000000000e+03,2.350727767295652360e+00,4.569016868580336732e-01,5.184973225676008379e-01,1.375328757870017737e+00
6.200000000000000000e+03,2.386357974674399252e+00,4.673448853614813325e-01,5.242819590034804023e-01,1.394731130309437406e+00
6.300000000000000000e+03,2.426509348699216417e+00,4.716125346418619801e-01,5.334363533145360936e-01,1.421460460742818510e+00
6.400000000000000000e+03,2.471936231226360192e+00,4.792849429713631482e-01,5.434761016938580713e-01,1.449175186561138862e+00
6.500000000000000000e+03,2.516347220627629167e+00,4.858789063073630787e-01,5.538036516533422216e-01,1.476664662666923977e+00
6.600000000000000000e+03,2.550114066054446127e+00,4.920400617803631360e-01,5.583539261962084943e-01,1.499720078077874552e+00
6.700000000000000000e+03,2.580620251526214215e+00,4.960478964568427740e-01,5.651597170219091470e-01,1.519412638047462405e+00
6.800000000000000000e+03,2.615363644107720376e+00,5.004218126908648312e-01,5.728150062278091204e-01,1.542126825189046757e+00
6.900000000000000000e+03,2.655585644362777220e+00,5.056518066599824390e-01,5.814901655013745563e-01,1.568443672201420114e+00
7.000000000000000000e+03,2.695963876055355257e+00,5.126100924993207686e-01,5.886224544353874100e-01,1.594731329120647079e+00
7.100000000000000000e+03,2.740157839309556920e+00,5.193025704636500262e-01,5.983892773502543783e-01,1.622465991495652515e+00
7.200000000000000000e+03,2.776984899570740684e+00,5.256282777901217784e-01,6.042085671964566584e-01,1.647148054584162136e+00
7.300000000000000000e+03,2.811091516964882686e+00,5.337168845902154901e-01,6.123807564350588484e-01,1.664993875939608570e+00
7.400000000000000000e+03,2.838242915725539550e+00,5.382887649384189288e-01,6.185583886411905041e-01,1.681395762145930117e+00
7.500000000000000000e+03,2.865675545309789740e+00,5.434846067123181301e-01,6.231598233826780575e-01,1.699031115214793219e+00
7.600000000000000000e+03,2.897711779006131749e+00,5.467908422264718959e-01,6.320608021305971214e-01,1.718860134649062843e+00
7.700000000000000000e+03,2.934208123269987034e+00,5.536383712850019290e-01,6.406854712425846810e-01,1.739884280742400424e+00
7.800000000000000000e+03,2.971191016413795793e+00,5.630259405373351234e-01,6.486653710881522539e-01,1.759499704788308749e+00
7.900000000000000000e+03,3.007265170852231773e+00,5.659732194846224251e-01,6.579197403839763814e-01,1.783372210983632966e+00
8.000000000000000000e+03,3.038182209434486580e+00,5.712470126139523874e-01,6.643605396624663317e-01,1.802574657158067639e+00
8.100000000000000000e+03,3.073212440426424941e+00,5.785034459303282084e-01,6.681288411509289649e-01,1.826580153345167545e+00
8.200000000000000000e+03,3.103129963655207213e+00,5.829553142850321112e-01,6.730679413803360989e-01,1.847106707989838670e+00
8.300000000000000000e+03,3.136842280646996439e+00,5.893204159702668532e-01,6.798943291304265779e-01,1.867627535546303008e+00
8.400000000000000000e+03,3.168503046528275746e+00,5.900245820605698466e-01,6.862224738343188912e-01,1.892255990633386897e+00
8.500000000000000000e+03,3.199711168085038970e+00,5.943686334039839370e-01,6.947644012617195663e-01,1.910578133419335689e+00
8.600000000000000000e+03,3.229136642798500212e+00,5.982540618117728748e-01,7.027485709115577350e-01,1.928134010075169824e+00
8.700000000000000000e+03,3.261206894097710141e+00,6.051697017291826075e-01,7.097203642372210686e-01,1.946316828131306576e+00
8.800000000000000000e+03,3.288950311004465554e+00,6.115125847391763569e-01,7.178215726876893132e-01,1.959616153577600217e+00
8.900000000000000000e+03,3.319465161034047540e+00,6.181194520442507834e-01,7.257980181033273359e-01,1.975547690886469310e+00
9.000000000000000000e+03,3.353077391264812412e+00,6.239296809180239212e-01,7.347520865669984191e-01,1.994395623779789961e+00
9.100000000000000000e+03,3.385853326787344297e+00,6.286199288937408536e-01,7.443783952030973428e-01,2.012855002690506101e+00
9.200000000000000000e+03,3.421238741699791142e+00,6.365635985493226512e-01,7.525450116015351965e-01,2.032130131548933072e+00
9.300000000000000000e+03,3.449813548391334361e+00,6.394672400703789172e-01,7.590884097481419568e-01,2.051257898572813598e+00
9.400000000000000000e+03,3.478845499358166116e+00,6.468050297198529863e-01,7.638220913159343706e-01,2.068218378322378648e+00
9.500000000000000000e+03,3.503139310020436437e+00,6.517222726604365857e-01,7.723359597537201582e-01,2.079081077606279582e+00
9.600000000000000000e+03,3.529972099181851952e+00,6.607925955664010198e-01,7.761655424321453056e-01,2.093013961183305849e+00
9.700000000000000000e+03,3.561518462463197032e+00,6.682719327478688909e-01,7.838141080546339179e-01,2.109432421660694335e+00
9.800000000000000000e+03,3.593138429614971763e+00,6.714575171299234091e-01,7.922002658852292933e-01,2.129480646599819060e+00
9.900000000000000000e+03,3.620802073339024041e+00,6.740898555758224608e-01,7.998102476647381831e-01,2.146901970098463508e+00
1.000000000000000000e+04,3.647418567034867998e+00,6.765395189231542261e-01,8.069111519244114294e-01,2.163967896187302120e+00
1.010000000000000000e+04,3.677604662502166999e+00,6.823948020590302477e-01,8.160327500150644786e-01,2.179177110428072162e+00
1.020000000000000000e+04,3.705431428167977881e+00,6.869260277740261156e-01,8.214729445353896597e-01,2.197032455858562106e+00
1.030000000000000000e+04,3.739609169998036720e+00,6.903271020811556635e-01,8.286699131707375710e-01,2.220612154746143485e+00
1.040000000000000000e+04,3.773954354932444133e+00,6.939315101842610245e-01,8.349439415038650836e-01,2.245078903244317914e+00
1.050000000000000000e+04,3.808072028542949017e+00,6.985831860019635631e-01,8.440569985718819890e-01,2.265431843969103465e+00
1.060000000000000000e+04,3.836500000130914412e+00,7.049996425308759918e-01,8.499347633127971591e-01,2.281565594287241261e+00
1.070000000000000000e+04,3.861054843438310957e+00,7.072559084072819191e-01,8.580596272329412688e-01,2.295739307798087658e+00
1.080000000000000000e+04,3.887902788681297572e+00,7.123823370351517470e-01,8.662153723601694333e-01,2.309305079285976614e+00
1.090000000000000000e+04,3.914056941606121498e+00,7.158973355804059135e-01,8.745381046983625728e-01,2.323621501327353123e+00
1.100000000000000000e+04,3.939745569286373872e+00,7.194997657207815589e-01,8.826267382119418192e-01,2.337619065353650605e+00
1.110000000000000000e+04,3.968888036937254338e+00,7.244603801661603226e-01,8.892824072593326079e-01,2.355145249511761296e+00
1.120000000000000000e+04,3.998533636786481882e+00,7.287322226932754221e-01,8.994653723299425030e-01,2.370336041763263957e+00
1.130000000000000000e+04,4.027723683650981101e+00,7.364958425939883702e-01,9.083711636830278380e-01,2.382856677373964338e+00
1.140000000000000000e+04,4.054182156468562503e+00,7.429606161881783244e-01,9.148347218847930895e-01,2.396386818395590979e+00
1.150000000000000000e+04,4.082180388370924007e+00,7.435791371836336650e-01,9.222615165761200995e-01,2.416339734611169909e+00
1.160000000000000000e+04,4.105870998225119806e+00,7.466887778982320700e-01,9.293364161803040480e-01,2.429845804146584243e+00
1.170000000000000000e+04,4.128142416165292872e+00,7.503951844405211125e-01,9.325605805815854188e-01,2.445186651143186118e+00
