t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.155510872171324216e-14,1.661171200595390158e-14,6.497117658691800190e-15,-1.155372094293246198e-14
1.000000000000000000e+02,3.095442431163836772e-01,9.163238259647003836e-02,9.401399225316237063e-02,1.238978682667512682e-01
2.000000000000000000e+02,4.201745824239382920e-01,1.135579482584047756e-01,1.192492150291554753e-01,1.873674191363780273e-01
3.000000000000000000e+02,5.106848734099104226e-01,1.328461063333539471e-01,1.397584537913642844e-01,2.380803132851921078e-01
4.000000000000000000e+02,5.585131203890222329e-01,1.387645618763105049e-01,1.477035801581197405e-01,2.720449783545919042e-01
5.000000000000000000e+02,5.872163028174764987e-01,1.427105076701136177e-01,1.502685966027799414e-01,2.942371985445828564e-01
6.000000000000000000e+02,6.098352250513335848e-01,1.428232608940541992e-01,1.513068198163241562e-01,3.157051443409553682e-01
7.000000000000000000e+02,6.405677239744570484e-01,1.457134471732580150e-01,1.543061700953755055e-01,3.405481067058235278e-01
8.000000000000000000e+02,6.780753793931690865e-01,1.524120083631580191e-01,1.608389288202564937e-01,3.648244422097546291e-01
9.000000000000000000e+02,7.232899370260090777e-01,1.639463430442522351e-01,1.716185809588124389e-01,3.877250130229443204e-01
1.000000000000000000e+03,7.632862498667946083e-01,1.727377433148721275e-01,1.801119335359998297e-01,4.104365730159227343e-01
1.100000000000000000e+03,7.981035224782034865e-01,1.788353088401306579e-01,1.874505628467149909e-01,4.318176507913578099e-01
1.200000000000000000e+03,8.266903313896559746e-01,1.837271814516891200e-01,1.919025060759057821e-01,4.510606438620610170e-01
1.300000000000000000e+03,8.547318814753296357e-01,1.890700057057103090e-01,1.966176176235031325e-01,4.690442581461161109e-01
1.400000000000000000e+03,8.768139196101510935e-01,1.912740132432483031e-01,1.996906388374564134e-01,4.858492675294464047e-01
1.500000000000000000e+03,9.059647302173722272e-01,1.954023697338055643e-01,2.064784096205858344e-01,5.040839508629807453e-01
1.600000000000000000e+03,9.395719136750498857e-01,2.018567530819859179e-01,2.122951907668579885e-01,5.254199698262059792e-01
1.700000000000000000e+03,9.738231636953145198e-01,2.072688923281620632e-01,2.190566916881932225e-01,5.474975796789591787e-01
1.800000000000000000e+03,1.001976611210428914e+00,2.100541007519539649e-01,2.233214555746325936e-01,5.686010548838423828e-01
1.900000000000000000e+03,1.034970539377172871e+00,2.161931520001789397e-01,2.293267514962679388e-01,5.894506358807261037e-01
2.000000000000000000e+03,1.067539119613118315e+00,2.228774400388560117e-01,2.332818391941777758e-01,6.113798403800846382e-01
2.100000000000000000e+03,1.094439230049096601e+00,2.275105889910271906e-01,2.367106320754914783e-01,6.302180089825779596e-01
2.200000000000000000e+03,1.125304853273383587e+00,2.339078503370288498e-01,2.405119686481305974e-01,6.508850342882241957e-01
2.300000000000000000e+03,1.155247930607756768e+00,2.372600309494088400e-01,2.476645768312796259e-01,6.703233228270683020e-01
2.400000000000000000e+03,1.188177225443168394e+00,2.429366565458029870e-01,2.535163820495330844e-01,6.917241868478321010e-01
2.500000000000000000e+03,1.220922789897582739e+00,2.486066835739276504e-01,2.611253555946164151e-01,7.111907507290387009e-01
